Date, Open, High, Low, Close, Volume
03/31/16, 4455, 4455, 4162, 4207, 942193
03/30/16, 4285, 4535, 4219, 4266, 1096868
03/29/16, 4400, 4400, 4231, 4285, 549194
03/24/16, 4237, 4432, 4002, 4349, 1040290
03/23/16, 4450, 4587, 4100, 4237, 1040290
03/22/16, 4499, 4574, 4200, 4462, 1320193
03/18/16, 4225, 4500, 4082, 4399, 1436998
03/17/16, 4368, 4600, 4023, 4067, 1436998
03/16/16, 4160, 4395, 3947, 4368, 1404467
03/15/16, 4405, 4600, 4260, 4366, 754584
03/14/16, 4400, 4578, 4330, 4560, 1091603
03/11/16, 4400, 4631, 4350, 4545, 1230202
03/10/16, 4550, 4760, 4349, 4540, 1067123
03/09/16, 4650, 4750, 4556, 4612, 973027
03/08/16, 4969, 4999, 4551, 4807, 1351779
03/07/16, 4700, 5080, 4501, 4950, 1885942
03/04/16, 4500, 4700, 4478, 4695, 2513746
03/03/16, 4061, 4632, 4000, 4415, 2333584
03/02/16, 3899, 4090, 3700, 4061, 2534679
03/01/16, 3501, 3901, 3378, 3750, 1672941
02/29/16, 3250, 3500, 2855, 3355, 1535210
02/26/16, 3400, 3701, 3256, 3315, 795399
02/25/16, 3647, 3701, 3356, 3378, 335226
02/24/16, 3406, 3540, 3315, 3500, 481298
02/23/16, 3400, 3473, 3307, 3450, 196797
02/22/16, 3589, 3589, 3333, 3400, 598873
02/19/16, 3498, 3715, 3330, 3530, 625814
02/18/16, 3850, 3950, 3497, 3497, 904138
02/17/16, 3675, 3770, 3356, 3700, 1579576
02/16/16, 3600, 3780, 3477, 3668, 759671
02/15/16, 3680, 3799, 3400, 3745, 830218
02/12/16, 3520, 3784, 3520, 3696, 1457045
02/11/16, 3505, 3647, 3340, 3570, 409149
02/10/16, 3759, 3760, 3451, 3506, 381249
02/09/16, 3850, 4000, 3759, 3759, 944629
02/08/16, 3900, 3990, 3600, 3880, 1541689
02/05/16, 3581, 3985, 3555, 3900, 2204175
02/04/16, 3499, 3780, 3200, 3603, 2127431
