Date, Open, High, Low, Close, Volume
03/31/16, 0.013, 0.013, 0.013, 0.013, 210000
03/30/16, 0.012, 0.012, 0.012, 0.012, 0
03/29/16, 0.012, 0.012, 0.012, 0.012, 142005
03/24/16, 0.011, 0.011, 0.011, 0.011, 15000
03/23/16, 0.012, 0.012, 0.012, 0.012, 50000
03/22/16, 0.01, 0.01, 0.01, 0.01, 42000
03/21/16, 0.01, 0.01, 0.01, 0.01, 4000
03/18/16, 0.01, 0.01, 0.01, 0.01, 0
03/17/16, 0.01, 0.012, 0.01, 0.012, 99995
03/16/16, 0.009, 0.009, 0.009, 0.009, 0
03/15/16, 0.01, 0.01, 0.009, 0.01, 358000
03/14/16, 0.008, 0.009, 0.008, 0.009, 777014
03/11/16, 0.007, 0.007, 0.007, 0.007, 0
03/10/16, 0.008, 0.008, 0.008, 0.008, 67222
03/09/16, 0.008, 0.008, 0.008, 0.008, 287778
03/08/16, 0.008, 0.008, 0.008, 0.008, 0
03/07/16, 0.008, 0.008, 0.008, 0.008, 5000
03/04/16, 0.008, 0.008, 0.008, 0.008, 0
03/03/16, 0.008, 0.008, 0.008, 0.008, 0
03/02/16, 0.008, 0.008, 0.008, 0.008, 370000
03/01/16, 0.008, 0.008, 0.008, 0.008, 0
02/29/16, 0.009, 0.009, 0.009, 0.009, 117000
02/26/16, 0.007, 0.007, 0.007, 0.007, 0
02/25/16, 0.007, 0.007, 0.007, 0.007, 0
02/24/16, 0.007, 0.007, 0.007, 0.007, 0
02/23/16, 0.007, 0.007, 0.007, 0.007, 0
02/22/16, 0.008, 0.008, 0.008, 0.008, 103750
02/19/16, 0.008, 0.008, 0.007, 0.007, 107500
02/18/16, 0.007, 0.007, 0.007, 0.007, 0
02/17/16, 0.007, 0.007, 0.007, 0.007, 0
02/16/16, 0.007, 0.007, 0.007, 0.007, 0
02/15/16, 0.008, 0.008, 0.008, 0.008, 93750
02/12/16, 0.007, 0.007, 0.007, 0.007, 0
02/11/16, 0.007, 0.007, 0.007, 0.007, 100000
02/10/16, 0.007, 0.007, 0.007, 0.007, 0
02/09/16, 0.007, 0.007, 0.007, 0.007, 0
02/08/16, 0.007, 0.007, 0.007, 0.007, 0
02/05/16, 0.007, 0.007, 0.007, 0.007, 0
02/04/16, 0.009, 0.009, 0.007, 0.007, 110262
02/03/16, 0.008, 0.008, 0.008, 0.008, 0
02/02/16, 0.008, 0.008, 0.008, 0.008, 0
02/01/16, 0.006, 0.006, 0.006, 0.006, 0
01/29/16, 0.006, 0.006, 0.006, 0.006, 0
01/28/16, 0.006, 0.006, 0.006, 0.006, 0
01/27/16, 0.006, 0.006, 0.006, 0.006, 0
01/25/16, 0.006, 0.006, 0.006, 0.006, 0
01/22/16, 0.006, 0.006, 0.006, 0.006, 20030
01/21/16, 0.006, 0.006, 0.006, 0.006, 0
01/20/16, 0.006, 0.006, 0.006, 0.006, 0
01/19/16, 0.006, 0.006, 0.006, 0.006, 0
01/18/16, 0.007, 0.007, 0.006, 0.006, 299700
01/15/16, 0.007, 0.007, 0.007, 0.007, 0
01/14/16, 0.007, 0.007, 0.007, 0.007, 0
01/13/16, 0.007, 0.007, 0.007, 0.007, 0
01/12/16, 0.007, 0.007, 0.007, 0.007, 0
01/11/16, 0.007, 0.007, 0.007, 0.007, 0
01/08/16, 0.007, 0.007, 0.007, 0.007, 100000
01/07/16, 0.007, 0.007, 0.007, 0.007, 0
01/06/16, 0.007, 0.007, 0.007, 0.007, 0
01/05/16, 0.007, 0.007, 0.007, 0.007, 0
01/04/16, 0.007, 0.007, 0.007, 0.007, 0
12/31/15, 0.007, 0.007, 0.007, 0.007, 0
12/30/15, 0.007, 0.007, 0.007, 0.007, 0
12/29/15, 0.007, 0.007, 0.007, 0.007, 0
12/24/15, 0.007, 0.007, 0.007, 0.007, 0
12/23/15, 0.009, 0.009, 0.009, 0.009, 58500
12/22/15, 0.008, 0.008, 0.008, 0.008, 0
12/21/15, 0.008, 0.008, 0.008, 0.008, 0
12/18/15, 0.008, 0.008, 0.008, 0.008, 46500
12/17/15, 0.008, 0.008, 0.008, 0.008, 0
12/16/15, 0.008, 0.008, 0.008, 0.008, 0
12/15/15, 0.008, 0.008, 0.008, 0.008, 0
12/14/15, 0.008, 0.008, 0.008, 0.008, 0
12/11/15, 0.008, 0.008, 0.008, 0.008, 0
12/10/15, 0.008, 0.008, 0.008, 0.008, 45000
12/09/15, 0.008, 0.008, 0.008, 0.008, 0
12/08/15, 0.008, 0.008, 0.008, 0.008, 0
12/07/15, 0.008, 0.008, 0.008, 0.008, 0
12/04/15, 0.008, 0.008, 0.008, 0.008, 0
12/03/15, 0.008, 0.008, 0.008, 0.008, 0
12/02/15, 0.008, 0.008, 0.008, 0.008, 0
12/01/15, 0.008, 0.008, 0.008, 0.008, 0
11/30/15, 0.008, 0.008, 0.008, 0.008, 0
11/27/15, 0.008, 0.008, 0.008, 0.008, 0
11/26/15, 0.008, 0.008, 0.008, 0.008, 0
11/25/15, 0.006, 0.008, 0.006, 0.008, 246144
