Date, Open, High, Low, Close, Volume
03/31/16, 12.62, 12.75, 12.60, 12.72, 294332
03/30/16, 12.63, 12.69, 12.5901, 12.61, 307570
03/29/16, 12.34, 12.54, 12.3288, 12.52, 303552
03/28/16, 12.27, 12.42, 12.25, 12.27, 248977
03/24/16, 12.30, 12.36, 12.25, 12.2698, 259512
03/23/16, 12.50, 12.5896, 12.32, 12.35, 200968
03/22/16, 12.67, 12.69, 12.49, 12.53, 207270
03/21/16, 12.53, 12.70, 12.494, 12.70, 125256
03/18/16, 12.50, 12.63, 12.462, 12.53, 195785
03/17/16, 12.45, 12.61, 12.45, 12.50, 209483
03/16/16, 12.35, 12.53, 12.304, 12.42, 195405
03/15/16, 12.30, 12.42, 12.29, 12.32, 194899
03/14/16, 12.52, 12.52, 12.37, 12.42, 166058
03/11/16, 12.71, 12.71, 12.50, 12.53, 276029
03/10/16, 12.79, 12.82, 12.65, 12.82, 283213
03/09/16, 12.59, 12.7879, 12.55, 12.74, 241481
03/08/16, 12.56, 12.6899, 12.52, 12.55, 221095
03/07/16, 12.63, 12.68, 12.6096, 12.68, 147292
03/04/16, 12.60, 12.75, 12.49, 12.63, 264634
03/03/16, 12.51, 12.63, 12.46, 12.53, 313221
03/02/16, 12.39, 12.60, 12.26, 12.58, 174855
03/01/16, 12.21, 12.42, 12.15, 12.40, 244563
02/29/16, 12.23, 12.35, 12.15, 12.18, 196172
02/26/16, 12.30, 12.37, 12.19, 12.25, 196575
02/25/16, 12.27, 12.30, 12.16, 12.30, 289380
02/24/16, 12.14, 12.28, 12.09, 12.23, 206232
02/23/16, 12.26, 12.30, 12.1601, 12.29, 321569
02/22/16, 12.26, 12.30, 12.23, 12.27, 214889
02/19/16, 12.11, 12.15, 11.95, 12.13, 340696
02/18/16, 12.11, 12.18, 11.9101, 12.13, 327301
02/17/16, 11.95, 12.28, 11.79, 12.05, 391371
02/16/16, 11.70, 11.86, 11.65, 11.84, 315510
02/12/16, 11.56, 11.70, 11.50, 11.61, 237183
02/11/16, 11.26, 11.55, 11.26, 11.50, 267197
02/10/16, 11.28, 11.56, 11.27, 11.46, 331518
02/09/16, 11.32, 11.5299, 11.2023, 11.25, 462355
02/08/16, 11.81, 11.81, 11.2701, 11.46, 448160
02/05/16, 12.13, 12.16, 11.87, 12.00, 212613
02/04/16, 12.11, 12.23, 12.06, 12.16, 181585
02/03/16, 12.12, 12.24, 11.86, 12.14, 296115
02/02/16, 12.20, 12.20, 12.00, 12.15, 280999
02/01/16, 12.15, 12.28, 12.09, 12.28, 154852
01/29/16, 11.87, 12.20, 11.84, 12.20, 298190
