Date, Open, High, Low, Close, Volume
03/31/16, 13.23, 13.41, 13.16, 13.32, 121463
03/30/16, 13.13, 13.31, 13.07, 13.28, 53830
03/29/16, 12.96, 13.16, 12.93, 13.11, 55384
03/28/16, 12.99, 13.09, 12.95, 12.95, 33523
03/24/16, 13.10, 13.16, 12.9601, 12.98, 28241
03/23/16, 13.15, 13.27, 13.15, 13.22, 52102
03/22/16, 13.10, 13.23, 13.095, 13.2299, 41176
03/21/16, 13.15, 13.22, 13.10, 13.22, 25155
03/18/16, 13.23, 13.27, 13.11, 13.11, 37231
03/17/16, 13.10, 13.23, 13.06, 13.15, 54511
03/16/16, 13.10, 13.23, 13.10, 13.15, 40803
03/15/16, 13.11, 13.16, 13.02, 13.15, 33745
03/14/16, 13.12, 13.15, 13.06, 13.11, 28302
03/11/16, 13.15, 13.27, 13.04, 13.14, 32416
03/10/16, 13.37, 13.37, 13.23, 13.25, 31792
03/09/16, 13.21, 13.33, 13.11, 13.29, 38622
03/08/16, 13.13, 13.17, 13.05, 13.09, 35956
03/07/16, 13.17, 13.22, 13.1101, 13.201, 53971
03/04/16, 12.96, 13.20, 12.93, 13.17, 31786
03/03/16, 12.97, 13.09, 12.89, 13.00, 45651
03/02/16, 12.84, 12.99, 12.8152, 12.99, 45805
03/01/16, 12.68, 12.90, 12.68, 12.84, 23549
02/29/16, 12.67, 12.73, 12.62, 12.66, 31037
02/26/16, 12.74, 12.74, 12.66, 12.67, 20249
02/25/16, 12.57, 12.65, 12.47, 12.65, 55150
02/24/16, 12.48, 12.52, 12.3701, 12.505, 59358
02/23/16, 12.41, 12.59, 12.41, 12.49, 58863
02/22/16, 12.57, 12.62, 12.49, 12.49, 32277
02/19/16, 12.33, 12.42, 12.305, 12.37, 23070
02/18/16, 12.53, 12.54, 12.38, 12.38, 32505
02/17/16, 12.42, 12.64, 12.4053, 12.55, 74423
02/16/16, 12.24, 12.52, 12.18, 12.35, 89437
02/12/16, 11.92, 12.14, 11.87, 12.12, 48230
02/11/16, 11.74, 11.87, 11.72, 11.83, 28544
02/10/16, 12.03, 12.19, 11.91, 12.01, 70376
02/09/16, 11.83, 11.9999, 11.79, 11.93, 37256
02/08/16, 11.94, 12.02, 11.823, 11.85, 41383
02/05/16, 12.31, 12.31, 12.03, 12.06, 75592
02/04/16, 12.32, 12.42, 12.2453, 12.27, 22651
02/03/16, 12.30, 12.33, 12.10, 12.27, 42484
02/02/16, 12.39, 12.39, 12.23, 12.24, 32826
