Date, Open, High, Low, Close, Volume
03/31/16, 1530, 1548, 1512, 1529, 241000
03/30/16, 1545, 1557, 1500, 1511, 528100
03/29/16, 1594, 1602, 1565, 1576, 361800
03/28/16, 1590, 1610, 1573, 1609, 280100
03/25/16, 1587, 1587, 1540, 1559, 413000
03/24/16, 1635, 1636, 1578, 1596, 410000
03/23/16, 1693, 1708, 1643, 1656, 279300
03/22/16, 1756, 1770, 1681, 1693, 258600
03/18/16, 1720, 1756, 1702, 1730, 217900
03/17/16, 1735, 1765, 1712, 1714, 237000
03/16/16, 1729, 1735, 1706, 1719, 188400
03/15/16, 1750, 1769, 1732, 1742, 138500
03/14/16, 1734, 1776, 1721, 1758, 188500
03/11/16, 1691, 1733, 1691, 1731, 201100
03/10/16, 1771, 1773, 1676, 1701, 524700
03/09/16, 1780, 1795, 1737, 1772, 360500
03/08/16, 1832, 1896, 1785, 1822, 642300
03/07/16, 1785, 1821, 1726, 1802, 423100
03/04/16, 1685, 1798, 1680, 1780, 1332500
03/03/16, 1850, 1885, 1811, 1885, 536100
03/02/16, 1895, 1915, 1810, 1835, 421500
03/01/16, 1791, 1861, 1746, 1861, 589400
02/29/16, 1802, 1830, 1771, 1791, 337400
02/26/16, 1764, 1810, 1761, 1764, 320400
02/25/16, 1660, 1729, 1660, 1724, 171200
02/24/16, 1661, 1686, 1628, 1665, 143700
02/23/16, 1667, 1738, 1667, 1691, 261600
02/22/16, 1610, 1652, 1607, 1632, 150600
02/19/16, 1680, 1680, 1615, 1635, 221700
02/18/16, 1660, 1714, 1655, 1692, 266600
02/17/16, 1612, 1666, 1577, 1600, 190600
02/16/16, 1616, 1677, 1599, 1635, 246600
02/15/16, 1616, 1650, 1579, 1625, 285200
02/12/16, 1506, 1542, 1481, 1508, 505100
02/10/16, 1615, 1637, 1560, 1599, 317100
02/09/16, 1623, 1650, 1609, 1626, 318400
02/08/16, 1720, 1722, 1665, 1711, 373200
02/05/16, 1700, 1767, 1688, 1755, 391600
02/04/16, 1716, 1799, 1710, 1721, 429500
02/03/16, 1800, 1804, 1701, 1722, 767000
02/02/16, 1888, 1913, 1831, 1835, 729100
02/01/16, 1973, 2020, 1957, 2018, 580100
01/29/16, 2100, 2101, 1910, 1943, 1136100
01/28/16, 2350, 2350, 2132, 2171, 654400
01/27/16, 2413, 2442, 2328, 2373, 230800
01/26/16, 2367, 2393, 2331, 2333, 272100
01/25/16, 2362, 2463, 2330, 2416, 505300
01/22/16, 2175, 2271, 2118, 2262, 333400
01/21/16, 2089, 2198, 2074, 2080, 282200
01/20/16, 2276, 2287, 2100, 2104, 426500
01/19/16, 2200, 2297, 2193, 2292, 278100
01/18/16, 2150, 2220, 2101, 2209, 271700
01/15/16, 2255, 2284, 2188, 2204, 243500
01/14/16, 2199, 2232, 2120, 2221, 260300
01/13/16, 2203, 2258, 2188, 2226, 205900
01/12/16, 2217, 2249, 2168, 2168, 422400
01/08/16, 2210, 2305, 2201, 2270, 485000
01/07/16, 2350, 2355, 2229, 2233, 621600
01/06/16, 2407, 2418, 2358, 2376, 228500
01/05/16, 2452, 2476, 2390, 2400, 363800
01/04/16, 2499, 2548, 2471, 2485, 188000
12/30/15, 2525, 2562, 2496, 2504, 155000
12/29/15, 2525, 2544, 2426, 2505, 233400
12/28/15, 2490, 2562, 2490, 2525, 227800
12/25/15, 2512, 2539, 2425, 2434, 272100
12/24/15, 2499, 2587, 2499, 2542, 367500
12/22/15, 2485, 2504, 2410, 2467, 333900
12/21/15, 2471, 2515, 2433, 2504, 307400
12/18/15, 2559, 2585, 2482, 2496, 347400
12/17/15, 2567, 2620, 2553, 2553, 324400
12/16/15, 2585, 2613, 2532, 2543, 383600
12/15/15, 2598, 2645, 2531, 2532, 359600
12/14/15, 2598, 2644, 2545, 2597, 456500
12/11/15, 2635, 2667, 2607, 2656, 421100
12/10/15, 2672, 2730, 2652, 2683, 244500
12/09/15, 2732, 2747, 2679, 2692, 376000
12/08/15, 2777, 2817, 2728, 2764, 388600
12/07/15, 2897, 2908, 2778, 2779, 647600
12/04/15, 2904, 2927, 2866, 2874, 460700
12/03/15, 2933, 2962, 2904, 2940, 326700
12/02/15, 3000, 3000, 2914, 2923, 441900
12/01/15, 3010, 3025, 2974, 2989, 232200
11/30/15, 3105, 3110, 2961, 3000, 453700
11/27/15, 3010, 3130, 3005, 3075, 495300
11/26/15, 3005, 3040, 2952, 2972, 605400
11/25/15, 3055, 3065, 3000, 3005, 606200
