Date, Open, High, Low, Close, Volume
03/31/16, 2.33, 2.47, 2.33, 2.47, 5364
03/30/16, 2.40, 2.40, 2.40, 2.40, 0
03/29/16, 2.69, 2.69, 2.69, 2.69, 20
03/28/16, 2.90, 2.90, 2.70, 2.70, 13210
03/25/16, 2.60, 2.78, 2.60, 2.78, 64
03/24/16, 2.60, 2.60, 2.60, 2.60, 325
03/23/16, 2.35, 2.35, 2.35, 2.35, 0
03/22/16, 2.90, 2.90, 2.80, 2.80, 3050
03/21/16, 3.00, 3.00, 3.00, 3.00, 145
03/18/16, 2.93, 3.00, 2.92, 3.00, 1139
03/17/16, 2.35, 2.35, 2.35, 2.35, 0
03/16/16, 2.92, 2.92, 2.92, 2.92, 339
03/15/16, 2.93, 2.93, 2.93, 2.93, 17
03/14/16, 2.89, 2.89, 2.89, 2.89, 26
03/11/16, 2.93, 2.93, 2.91, 2.91, 203
03/10/16, 2.92, 2.92, 2.92, 2.92, 100
03/09/16, 2.93, 2.93, 2.93, 2.93, 3
03/08/16, 2.35, 2.35, 2.35, 2.35, 0
03/07/16, 2.94, 2.94, 2.93, 2.93, 303
03/04/16, 2.95, 2.95, 2.94, 2.94, 255
03/03/16, 2.96, 2.96, 2.95, 2.95, 326
03/02/16, 2.97, 2.97, 2.97, 2.97, 1
03/01/16, 2.97, 2.97, 2.97, 2.97, 5
02/29/16, 2.98, 2.98, 2.98, 2.98, 5
02/26/16, 2.98, 2.98, 2.98, 2.98, 31
02/25/16, 2.94, 2.94, 2.94, 2.94, 243
02/24/16, 2.98, 2.98, 2.98, 2.98, 1
02/23/16, 3.01, 3.01, 3.01, 3.01, 4
02/22/16, 3.02, 3.02, 3.01, 3.01, 12
02/19/16, 3.11, 3.11, 2.96, 2.96, 7
02/18/16, 2.97, 2.97, 2.96, 2.96, 61
02/17/16, 2.98, 2.98, 2.98, 2.98, 291
02/16/16, 2.88, 2.89, 2.88, 2.89, 2379
02/15/16, 2.88, 2.88, 2.88, 2.88, 0
02/12/16, 2.95, 2.95, 2.95, 2.95, 0
02/11/16, 2.88, 2.88, 2.88, 2.88, 0
02/10/16, 2.88, 2.88, 2.88, 2.88, 0
02/09/16, 2.88, 2.88, 2.88, 2.88, 0
02/08/16, 2.88, 2.88, 2.88, 2.88, 0
02/05/16, 2.88, 2.88, 2.88, 2.88, 0
02/04/16, 2.88, 2.88, 2.88, 2.88, 0
02/03/16, 3.00, 3.00, 3.00, 3.00, 0
