Date, Open, High, Low, Close, Volume
03/31/16, 16542, 16562, 16433, 16474, 220
03/30/16, 16582, 16582, 16445, 16528, 466
03/29/16, 16312, 16336, 16204, 16321, 1048
03/24/16, 16380, 16381, 16290, 16249, 552
03/23/16, 16444, 16475, 16367, 16465, 552
03/22/16, 16441, 16472, 16360, 16427, 108
03/21/16, 16301, 16415, 16301, 16382, 390
03/18/16, 16377, 16498, 16377, 16415, 164
03/17/16, 16365, 16365, 16286, 16381, 554
03/16/16, 16258, 16288, 16169, 16218, 454
03/15/16, 16225, 16225, 16120, 16167, 190
03/14/16, 16235, 16273, 16225, 16185, 110
03/11/16, 16194, 16194, 16192, 16114, 4
03/10/16, 16222, 16232, 15941, 15909, 1734
03/09/16, 16123, 16123, 16123, 16123, 0
03/08/16, 16025, 16157, 16003, 16084, 774
03/07/16, 16194, 16194, 16169, 16162, 18
03/04/16, 16276, 16355, 16187, 16287, 666
03/03/16, 16196, 16224, 16196, 16123, 152
03/02/16, 16180, 16194, 16097, 16158, 318
03/01/16, 16329, 16329, 16226, 16283, 426
02/29/16, 16076, 16179, 16076, 16106, 326
02/26/16, 16108, 16187, 16106, 16131, 542
02/25/16, 15977, 16094, 15977, 16036, 1202
02/24/16, 15814, 15814, 15725, 15710, 114
02/23/16, 15999, 15999, 15998, 15883, 340
02/22/16, 16062, 16075, 16062, 15990, 496
02/19/16, 15866, 15879, 15866, 15854, 106
02/18/16, 15878, 15907, 15814, 15865, 72
02/17/16, 15864, 15864, 15606, 15829, 446
02/16/16, 15469, 15469, 15469, 15469, 0
02/15/16, 15461, 15488, 15387, 15418, 668
02/12/16, 14982, 15144, 14982, 15169, 69
02/11/16, 14978, 14988, 14978, 14894, 18
02/10/16, 15143, 15143, 14997, 15035, 550
02/09/16, 15012, 15012, 14935, 15014, 100
02/08/16, 15180, 15181, 15180, 15059, 86
02/05/16, 15531, 15553, 15267, 15307, 2808
02/04/16, 15451, 15475, 15451, 15482, 386
02/03/16, 15497, 15567, 15497, 15392, 312
02/02/16, 15481, 15636, 15481, 15567, 248
02/01/16, 15652, 15745, 15650, 15779, 58
01/29/16, 15678, 15678, 15474, 15705, 128
01/28/16, 15352, 15518, 15352, 15356, 98
01/27/16, 15491, 15491, 15465, 15471, 66
01/26/16, 15365, 15365, 15257, 15322, 94
01/25/16, 15230, 15288, 15199, 15228, 246
01/22/16, 15180, 15180, 15131, 15270, 50
01/21/16, 14820, 14930, 14820, 14911, 326
01/20/16, 14867, 14909, 14843, 14711, 341
01/19/16, 15200, 15242, 15200, 15139, 322
01/18/16, 14889, 15074, 14889, 14955, 602
01/15/16, 14965, 15054, 14965, 15022, 58
01/14/16, 15148, 15261, 15148, 15266, 586
01/13/16, 15385, 15470, 15385, 15411, 124
01/12/16, 15496, 15539, 15496, 15400, 146
01/11/16, 15450, 15450, 15279, 15279, 1078
01/08/16, 15353, 15393, 15353, 15368, 2
01/07/16, 15415, 15415, 15341, 15324, 440
01/06/16, 15640, 15640, 15532, 15532, 1791
01/05/16, 15687, 15718, 15687, 15631, 112
01/04/16, 15687, 15687, 15565, 15687, 888
12/31/15, 15874, 15901, 15874, 15874, 248
12/30/15, 16102, 16109, 16102, 16059, 622
12/29/15, 16089, 16089, 15990, 16054, 240
12/24/15, 15892, 15892, 15892, 15892, 0
12/23/15, 15925, 15925, 15879, 15892, 1150
12/22/15, 15646, 15646, 15639, 15574, 510
12/21/15, 15646, 15652, 15646, 15572, 984
12/18/15, 15550, 15560, 15550, 15569, 294
12/17/15, 15756, 15794, 15756, 15723, 36
12/16/15, 15648, 15667, 15648, 15607, 86
12/15/15, 15424, 15424, 15389, 15493, 14
12/14/15, 15417, 15432, 15162, 15162, 412
12/11/15, 15437, 15476, 15437, 15437, 28
12/10/15, 15666, 15666, 15654, 15603, 500
12/09/15, 15784, 15784, 15609, 15674, 514
12/08/15, 15915, 15915, 15746, 15736, 1451
12/07/15, 16041, 16063, 15970, 15946, 196
12/04/15, 15950, 15953, 15950, 15926, 582
12/03/15, 16144, 16359, 15964, 16002, 954
12/02/15, 16282, 16330, 16282, 16268, 1988
12/01/15, 16227, 16227, 16120, 16181, 426
11/30/15, 16131, 16139, 16131, 16077, 4
11/27/15, 16115, 16159, 16110, 16120, 1492
11/26/15, 16126, 16128, 16122, 16104, 136
11/25/15, 15982, 15982, 15875, 15917, 80
11/24/15, 15725, 15725, 15717, 15758, 252
11/23/15, 15772, 15836, 15744, 15821, 8
11/20/15, 15924, 15950, 15924, 15907, 8
11/19/15, 15922, 15927, 15908, 15918, 508
11/18/15, 15630, 15751, 15630, 15711, 238
11/17/15, 15728, 15768, 15597, 15674, 1128
11/16/15, 15409, 15417, 15401, 15456, 102
11/13/15, 15378, 15401, 15377, 15389, 3170
11/12/15, 15571, 15580, 15479, 15534, 354
11/11/15, 15653, 15728, 15636, 15669, 180
11/10/15, 15615, 15615, 15615, 15615, 0
11/09/15, 15799, 15825, 15793, 15659, 976
11/06/15, 15868, 15871, 15768, 15821, 310
11/05/15, 15933, 16003, 15933, 15879, 58
11/04/15, 16060, 16060, 16047, 15968, 44
11/03/15, 15828, 15928, 15828, 15882, 350
11/02/15, 15952, 15977, 15864, 15919, 276
10/30/15, 15959, 15972, 15877, 15911, 18
10/29/15, 16032, 16062, 16032, 16000, 178
10/28/15, 16157, 16157, 16033, 16103, 280
10/27/15, 16026, 16085, 15966, 15968, 496
10/26/15, 16159, 16181, 16159, 16108, 176
10/23/15, 16209, 16209, 16099, 16151, 360
10/22/15, 16056, 16056, 15984, 16000, 18
10/21/15, 15970, 16013, 15914, 15903, 2187
10/20/15, 15958, 15958, 15863, 15985, 146
10/19/15, 15900, 15900, 15893, 15909, 98
10/16/15, 15939, 15939, 15834, 15920, 6
10/15/15, 15909, 15909, 15866, 15889, 118
10/14/15, 15693, 15784, 15693, 15722, 100
10/13/15, 15846, 15846, 15806, 15812, 96
10/12/15, 15944, 15944, 15823, 15939, 448
10/09/15, 16057, 16057, 15977, 15977, 120
10/08/15, 15788, 15957, 15788, 15918, 396
10/07/15, 15904, 15912, 15904, 15766, 64
10/06/15, 15950, 15950, 15942, 15920, 380
10/05/15, 15890, 15890, 15858, 15837, 34
10/02/15, 15430, 15434, 15369, 15517, 1340
10/01/15, 15400, 15479, 15400, 15381, 138
09/30/15, 15296, 15327, 15289, 15303, 422
09/29/15, 15060, 15069, 15060, 14991, 174
09/28/15, 15244, 15294, 15232, 15165, 396
09/25/15, 15374, 15396, 15374, 15390, 210
09/24/15, 15060, 15076, 15060, 15037, 64
09/23/15, 15167, 15177, 15077, 15097, 62
09/22/15, 14995, 15231, 14930, 14921, 700
09/21/15, 15301, 15319, 15273, 15265, 74
09/18/15, 15288, 15288, 15288, 15288, 0
09/17/15, 15450, 15487, 15369, 15427, 96
09/16/15, 15489, 15497, 15489, 15511, 116
09/15/15, 15352, 15398, 15211, 15356, 799
09/14/15, 15354, 15354, 15319, 15304, 140
09/11/15, 15380, 15389, 15374, 15375, 188
09/10/15, 15466, 15466, 15466, 15466, 0
09/09/15, 15606, 15678, 15606, 15559, 286
09/08/15, 15414, 15447, 15414, 15408, 526
09/07/15, 15218, 15263, 15215, 15257, 844
09/04/15, 15491, 15491, 15246, 15204, 337
09/03/15, 15520, 15587, 15406, 15490, 1390
09/02/15, 15308, 15330, 15232, 15291, 564
09/01/15, 15172, 15244, 15172, 15173, 94
08/28/15, 15460, 15460, 15428, 15495, 94
08/27/15, 15465, 15465, 15329, 15445, 94
08/26/15, 15208, 15235, 15100, 15053, 2875
08/25/15, 15326, 15339, 15158, 15299, 1184
08/24/15, 14931, 14931, 14931, 14931, 0
08/21/15, 15693, 15734, 15693, 15556, 290
08/20/15, 15903, 15922, 15903, 15855, 204
08/19/15, 15946, 15994, 15946, 15876, 112
08/18/15, 16126, 16126, 16103, 16080, 6
08/17/15, 16165, 16165, 16095, 16112, 92
08/14/15, 16130, 16130, 16099, 16103, 480
08/13/15, 16126, 16136, 16107, 16081, 148
08/12/15, 15992, 16041, 15961, 16019, 38
08/11/15, 16230, 16234, 16158, 16158, 178
08/10/15, 16333, 16333, 16202, 16290, 264
08/07/15, 16311, 16311, 16295, 16271, 4
08/06/15, 16301, 16358, 16279, 16323, 28
08/05/15, 16320, 16321, 16320, 16314, 96
08/04/15, 16169, 16254, 16169, 16218, 54
08/03/15, 16162, 16180, 16092, 16137, 66
07/31/15, 16172, 16172, 16106, 16150, 260
07/30/15, 16016, 16016, 16011, 16026, 48
07/29/15, 16035, 16035, 15973, 15998, 24
07/28/15, 15823, 15823, 15820, 15878, 6
07/27/15, 15785, 15817, 15743, 15739, 86
07/24/15, 16000, 16024, 15928, 15877, 332
07/23/15, 16031, 16055, 16026, 15979, 154
07/22/15, 16070, 16070, 16031, 16027, 128
07/21/15, 16239, 16249, 16239, 16170, 806
07/20/15, 16192, 16242, 16192, 16173, 634
07/17/15, 16229, 16230, 16229, 16183, 138
07/16/15, 16200, 16274, 16200, 16233, 172
07/15/15, 16192, 16195, 16103, 16152, 252
07/14/15, 16032, 16098, 15999, 16083, 1214
07/13/15, 16000, 16018, 15966, 16023, 298
07/10/15, 15896, 15904, 15889, 15886, 188
07/09/15, 15617, 15704, 15617, 15645, 30
07/08/15, 15462, 15462, 15386, 15461, 600
07/07/15, 15586, 15600, 15586, 15397, 144
07/06/15, 15680, 15680, 15672, 15605, 334
07/03/15, 15710, 15710, 15675, 15676, 120
07/02/15, 15725, 15778, 15725, 15723, 156
07/01/15, 15698, 15702, 15666, 15683, 1864
06/30/15, 15694, 15748, 15658, 15609, 232
06/29/15, 15983, 15983, 15812, 15810, 676
06/26/15, 16107, 16107, 16067, 16062, 5804
06/25/15, 16193, 16195, 16190, 16154, 36
06/24/15, 16287, 16287, 16210, 16244, 554
06/23/15, 16337, 16337, 16253, 16281, 522
06/22/15, 16242, 16242, 16122, 16211, 118
06/19/15, 16066, 16066, 16040, 15996, 340
06/18/15, 15982, 15982, 15914, 15974, 186
06/17/15, 16005, 16005, 15968, 15937, 148
06/16/15, 15987, 16013, 15987, 16006, 708
06/15/15, 16057, 16077, 16020, 16006, 254
06/12/15, 16191, 16211, 16191, 16158, 1518
06/11/15, 16286, 16366, 16286, 16302, 174
06/10/15, 16269, 16269, 16199, 16239, 162
06/09/15, 16132, 16170, 16132, 16068, 124
06/08/15, 16225, 16225, 16107, 16166, 276
06/05/15, 16146, 16146, 16138, 16190, 6
06/04/15, 16409, 16409, 16391, 16334, 18
06/03/15, 16585, 16585, 16557, 16500, 136
06/02/15, 16456, 16456, 16400, 16437, 22
06/01/15, 16637, 16662, 16562, 16537, 218
05/29/15, 16750, 16769, 16750, 16545, 392
05/28/15, 16700, 16729, 16617, 16682, 512
05/27/15, 16720, 16720, 16639, 16675, 400
05/26/15, 16640, 16683, 16526, 16484, 1010
05/22/15, 16726, 16760, 16690, 16691, 1633
05/21/15, 16665, 16665, 16554, 16620, 1633
05/20/15, 16673, 16673, 16554, 16625, 926
05/19/15, 16712, 16712, 16659, 16680, 190
05/18/15, 16613, 16613, 16499, 16562, 80
05/15/15, 16545, 16566, 16528, 16522, 60
05/14/15, 16543, 16543, 16441, 16503, 386
05/13/15, 16384, 16462, 16343, 16366, 228
05/12/15, 16288, 16303, 16211, 16308, 568
05/11/15, 16600, 16600, 16560, 16499, 352
05/08/15, 16545, 16545, 16459, 16529, 136
05/07/15, 16102, 16123, 16069, 16113, 164
05/06/15, 16139, 16246, 16139, 16192, 624
05/05/15, 16300, 16401, 16235, 16166, 582
05/01/15, 16299, 16299, 16174, 16299, 2106
04/30/15, 16249, 16276, 16249, 16228, 2106
04/29/15, 16318, 16363, 16252, 16221, 374
04/28/15, 16392, 16413, 16392, 16368, 74
04/27/15, 16527, 16608, 16486, 16511, 202
04/24/15, 16472, 16582, 16472, 16529, 302
04/23/15, 16519, 16519, 16487, 16477, 332
04/22/15, 16448, 16483, 16369, 16428, 132
04/21/15, 16595, 16595, 16584, 16528, 58
04/20/15, 16454, 16454, 16437, 16440, 44
04/17/15, 16410, 16413, 16401, 16364, 298
04/16/15, 16553, 16593, 16469, 16527, 262
04/15/15, 16657, 16657, 16533, 16594, 48
04/14/15, 16552, 16556, 16552, 16531, 396
04/13/15, 16545, 16628, 16454, 16501, 462
04/10/15, 16455, 16552, 16428, 16596, 66
04/09/15, 16445, 16445, 16417, 16410, 172
04/08/15, 16292, 16377, 16292, 16240, 418
04/07/15, 16303, 16303, 16266, 16304, 162
04/02/15, 16055, 16078, 16031, 15974, 206
04/01/15, 16013, 16013, 15896, 15932, 206
03/31/15, 15968, 15968, 15950, 15883, 324
03/30/15, 16156, 16176, 16000, 16102, 274
03/27/15, 15976, 16084, 15969, 16028, 54
03/26/15, 16141, 16152, 16130, 16080, 358
03/25/15, 16336, 16385, 16336, 16360, 9091
03/24/15, 16469, 16485, 16468, 16436, 94
03/23/15, 16420, 16420, 16300, 16366, 36
03/20/15, 16396, 16401, 16349, 16361, 210
03/19/15, 16219, 16319, 16215, 16307, 358
03/18/15, 16240, 16264, 16189, 16264, 5747
03/17/15, 15993, 15993, 15872, 15959, 188
03/16/15, 15951, 15951, 15948, 15897, 48
03/13/15, 15642, 15713, 15642, 15731, 34
03/12/15, 15855, 15855, 15835, 15771, 900
03/11/15, 15695, 15703, 15679, 15670, 417
03/10/15, 15736, 15829, 15736, 15645, 172
03/09/15, 16032, 16045, 16032, 16007, 142
03/06/15, 16150, 16164, 16150, 16091, 94
03/05/15, 16243, 16271, 16232, 16232, 530
03/04/15, 16021, 16033, 15923, 16014, 1844
03/03/15, 16140, 16140, 16135, 16030, 354
03/02/15, 16171, 16171, 16167, 16131, 220
02/27/15, 16216, 16216, 16146, 16208, 548
02/26/15, 16092, 16092, 16048, 16094, 974
02/25/15, 16120, 16120, 16101, 16113, 152
02/24/15, 16173, 16173, 16021, 16121, 72
02/23/15, 16055, 16055, 16043, 16036, 72
02/20/15, 15908, 16002, 15908, 15990, 106
02/19/15, 15980, 15980, 15948, 15979, 144
02/18/15, 15911, 15914, 15869, 15922, 16
02/17/15, 15902, 15902, 15874, 15898, 432
02/16/15, 15874, 15877, 15818, 15843, 370
02/13/15, 15983, 15988, 15966, 15958, 154
02/12/15, 15975, 15975, 15956, 15925, 290
02/11/15, 15911, 15941, 15911, 15917, 796
02/10/15, 15484, 15961, 15484, 15939, 190
02/09/15, 15876, 15876, 15855, 15932, 384
02/06/15, 16035, 16035, 16035, 16009, 100
02/05/15, 16058, 16058, 15972, 16040, 42
02/04/15, 15996, 15996, 15983, 16014, 176
02/03/15, 16041, 16068, 16041, 16022, 174
02/02/15, 15829, 15937, 15829, 15910, 98
01/30/15, 15970, 15970, 15970, 15970, 0
01/29/15, 16032, 16046, 16026, 16043, 170
01/28/15, 16003, 16053, 16003, 16013, 10
01/27/15, 15925, 16015, 15913, 16017, 760
01/26/15, 15992, 16031, 15910, 16029, 1442
01/23/15, 15989, 15989, 15985, 15980, 104
01/22/15, 15809, 15946, 15809, 15916, 254
01/21/15, 15780, 15780, 15712, 15764, 26
01/20/15, 15596, 15596, 15596, 15596, 0
01/19/15, 15592, 15618, 15592, 15553, 122
01/16/15, 15450, 15450, 15395, 15466, 340
01/15/15, 15273, 15273, 15273, 15273, 0
01/14/15, 15142, 15237, 15056, 15057, 22
01/13/15, 15297, 15301, 15249, 15341, 42
01/12/15, 15140, 15248, 15140, 15168, 3064
01/09/15, 15205, 15282, 15205, 15139, 40
01/08/15, 15204, 15300, 15204, 15259, 1024
