Date, Open, High, Low, Close, Volume
03/31/16, 27.50, 27.50, 27.50, 27.50, 0
03/30/16, 27.70, 27.70, 27.70, 27.70, 100
03/29/16, 27.70, 27.70, 27.70, 27.70, 0
03/28/16, 28.40, 28.40, 28.00, 28.00, 300
03/25/16, 26.90, 30.00, 26.90, 28.80, 1700
03/24/16, 26.50, 26.50, 26.50, 26.50, 0
03/23/16, 26.00, 26.00, 26.00, 26.00, 0
03/22/16, 26.10, 26.10, 26.10, 26.10, 0
03/21/16, 26.10, 26.10, 26.10, 26.10, 0
03/18/16, 25.90, 25.90, 25.90, 25.90, 0
03/17/16, 27.00, 27.00, 26.20, 26.20, 700
03/16/16, 27.00, 27.00, 27.00, 27.00, 0
03/15/16, 27.00, 27.00, 27.00, 27.00, 0
03/14/16, 27.00, 27.00, 27.00, 27.00, 0
03/11/16, 27.60, 27.70, 27.50, 27.70, 2600
03/10/16, 27.60, 27.60, 27.60, 27.60, 100
03/09/16, 27.60, 27.60, 27.60, 27.60, 1100
03/07/16, 27.60, 27.60, 27.60, 27.60, 400
03/04/16, 28.20, 28.20, 28.20, 28.20, 200
03/03/16, 28.10, 28.20, 28.10, 28.20, 300
03/02/16, 28.20, 28.20, 28.20, 28.20, 200
03/01/16, 28.20, 28.20, 28.20, 28.20, 200
02/29/16, 29.00, 29.00, 29.00, 29.00, 300
02/26/16, 28.20, 28.20, 28.20, 28.20, 0
02/25/16, 28.20, 28.20, 28.20, 28.20, 0
02/24/16, 28.60, 28.60, 28.60, 28.60, 0
02/22/16, 28.60, 28.60, 28.60, 28.60, 0
02/19/16, 27.60, 27.60, 27.60, 27.60, 0
02/18/16, 28.90, 29.00, 28.90, 29.00, 200
02/17/16, 28.50, 28.50, 28.50, 28.50, 100
02/16/16, 28.50, 28.50, 28.50, 28.50, 0
02/15/16, 28.50, 28.50, 28.50, 28.50, 0
02/12/16, 28.50, 28.50, 28.50, 28.50, 0
02/11/16, 28.50, 28.80, 28.50, 28.80, 300
02/10/16, 28.50, 28.50, 28.50, 28.50, 0
02/09/16, 28.50, 28.50, 28.50, 28.50, 0
02/08/16, 28.90, 29.90, 28.00, 28.40, 4000
02/05/16, 27.40, 28.80, 27.40, 28.70, 1500
02/04/16, 27.30, 27.30, 27.30, 27.30, 100
02/03/16, 26.70, 26.70, 26.70, 26.70, 0
02/02/16, 26.50, 26.50, 26.50, 26.50, 0
02/01/16, 27.30, 27.30, 26.50, 26.50, 300
01/29/16, 26.10, 26.10, 26.10, 26.10, 0
01/28/16, 26.00, 26.00, 26.00, 26.00, 100
01/27/16, 25.80, 25.80, 25.80, 25.80, 100
01/26/16, 26.30, 26.30, 26.30, 26.30, 1300
01/25/16, 26.50, 26.50, 26.50, 26.50, 100
01/22/16, 26.50, 26.50, 26.50, 26.50, 1600
01/21/16, 26.30, 27.40, 26.30, 26.60, 400
01/20/16, 24.70, 24.70, 24.70, 24.70, 0
01/19/16, 25.30, 25.30, 25.30, 25.30, 0
01/18/16, 25.50, 26.00, 25.00, 26.00, 800
01/15/16, 26.00, 26.70, 25.50, 25.70, 2100
01/14/16, 24.70, 24.70, 24.70, 24.70, 0
01/13/16, 25.20, 25.80, 24.90, 25.80, 1500
01/12/16, 24.80, 25.20, 24.80, 24.90, 1000
01/11/16, 24.40, 25.40, 24.40, 25.20, 5500
01/06/16, 23.30, 23.30, 23.30, 23.30, 0
01/05/16, 24.40, 24.90, 24.40, 24.40, 2100
01/04/16, 23.20, 23.20, 23.20, 23.20, 0
12/30/15, 24.00, 24.00, 24.00, 24.00, 0
12/29/15, 24.00, 24.00, 24.00, 24.00, 500
12/28/15, 24.00, 24.00, 24.00, 24.00, 0
12/25/15, 24.00, 24.00, 24.00, 24.00, 0
12/24/15, 23.70, 23.70, 23.70, 23.70, 0
12/23/15, 24.50, 24.50, 23.70, 23.90, 1700
12/22/15, 24.50, 24.50, 24.50, 24.50, 0
12/21/15, 24.50, 24.50, 24.50, 24.50, 0
12/18/15, 24.50, 24.50, 24.50, 24.50, 0
12/17/15, 24.50, 24.50, 24.50, 24.50, 0
12/16/15, 24.50, 24.50, 24.50, 24.50, 700
12/15/15, 24.50, 24.50, 24.50, 24.50, 100
12/14/15, 24.60, 24.60, 24.60, 24.60, 0
