Date, Open, High, Low, Close
03/31/16, 70.95, 71.34, 69.48, 69.51
03/30/16, 70.55, 71.11, 68.72, 70.32
03/29/16, 67.09, 71.22, 66.71, 70.75
03/28/16, 67.82, 67.92, 65.93, 67.22
03/24/16, 66.14, 67.79, 65.45, 67.48
03/23/16, 70.03, 70.03, 66.07, 66.10
03/22/16, 72.09, 72.62, 70.78, 71.32
03/21/16, 70.58, 72.32, 70.27, 71.43
03/18/16, 70.97, 72.52, 70.71, 71.18
03/17/16, 72.12, 73.81, 70.70, 70.92
03/16/16, 66.13, 71.51, 65.15, 71.39
03/15/16, 65.85, 66.84, 64.47, 66.75
03/14/16, 68.72, 69.16, 66.17, 66.37
03/11/16, 69.19, 70.12, 67.81, 68.09
03/10/16, 67.29, 69.81, 67.02, 69.28
03/09/16, 64.55, 67.17, 63.36, 66.60
03/08/16, 69.33, 70.03, 65.46, 65.88
03/07/16, 67.51, 70.46, 67.51, 68.94
03/04/16, 67.34, 70.80, 66.15, 66.75
03/03/16, 64.15, 67.34, 64.04, 66.89
03/02/16, 61.86, 64.30, 61.46, 64.02
03/01/16, 64.36, 64.62, 61.16, 61.61
02/29/16, 62.55, 64.03, 62.55, 63.92
02/26/16, 63.24, 63.66, 61.43, 61.90
02/25/16, 62.53, 63.71, 62.00, 63.53
02/24/16, 63.10, 65.06, 62.00, 62.89
02/23/16, 61.97, 63.19, 61.71, 62.39
02/22/16, 59.74, 62.08, 59.37, 61.47
02/19/16, 61.21, 62.27, 60.38, 60.53
02/18/16, 57.97, 61.88, 57.61, 61.55
02/17/16, 57.55, 59.36, 57.20, 58.71
02/16/16, 60.04, 60.04, 56.67, 57.24
02/12/16, 58.01, 60.76, 57.42, 60.64
02/11/16, 56.21, 60.13, 56.21, 58.76
02/10/16, 53.90, 55.46, 51.85, 55.40
02/09/16, 57.10, 57.63, 54.08, 54.34
02/08/16, 55.80, 58.72, 55.78, 56.78
02/05/16, 51.94, 55.35, 50.70, 55.30
02/04/16, 50.71, 53.67, 50.69, 52.62
02/03/16, 46.66, 50.07, 46.66, 50.02
02/02/16, 46.90, 47.13, 45.56, 46.25
02/01/16, 46.46, 47.67, 46.46, 47.36
01/29/16, 44.54, 46.04, 44.52, 45.96
01/28/16, 45.15, 45.68, 43.94, 44.71
01/27/16, 44.25, 45.72, 43.85, 45.66
01/26/16, 42.63, 44.78, 42.63, 44.44
01/25/16, 41.25, 42.45, 41.23, 42.09
01/22/16, 40.24, 41.59, 39.89, 40.92
01/21/16, 39.74, 40.73, 38.97, 40.62
01/20/16, 39.52, 40.43, 38.62, 40.10
01/19/16, 41.58, 41.69, 38.36, 38.84
01/15/16, 42.22, 42.59, 41.15, 41.42
01/14/16, 42.64, 43.02, 40.83, 41.52
01/13/16, 42.73, 43.72, 42.19, 43.05
01/12/16, 44.06, 44.10, 41.84, 42.85
01/11/16, 47.23, 47.54, 43.94, 44.38
01/08/16, 47.53, 47.74, 46.35, 47.10
01/07/16, 47.31, 48.98, 46.92, 48.46
01/06/16, 46.67, 47.42, 46.66, 46.81
01/05/16, 46.60, 46.73, 45.78, 46.18
01/04/16, 45.78, 47.11, 45.54, 46.40
12/31/15, 45.09, 45.49, 44.82, 45.30
12/30/15, 45.56, 45.57, 44.91, 45.20
12/29/15, 46.43, 46.70, 45.60, 46.15
12/28/15, 47.23, 47.23, 45.60, 45.78
12/24/15, 47.01, 48.00, 47.01, 47.81
12/23/15, 45.65, 46.76, 45.65, 46.71
12/22/15, 45.13, 46.01, 45.10, 45.36
12/21/15, 45.13, 46.04, 45.11, 45.33
12/18/15, 43.59, 45.40, 43.59, 44.54
12/17/15, 46.11, 46.11, 43.18, 43.21
12/16/15, 45.31, 46.91, 45.31, 46.70
12/15/15, 44.91, 45.33, 44.18, 44.68
12/14/15, 47.05, 47.11, 44.54, 44.57
12/11/15, 46.83, 48.20, 46.50, 47.41
12/10/15, 47.02, 48.24, 46.92, 47.37
12/09/15, 47.16, 48.28, 46.74, 47.21
12/08/15, 47.21, 47.30, 45.98, 46.47
12/07/15, 49.38, 49.38, 46.93, 47.30
12/04/15, 47.56, 49.96, 47.56, 49.95
12/03/15, 46.89, 47.89, 46.64, 47.17
12/02/15, 47.06, 47.35, 45.76, 46.54
12/01/15, 46.33, 47.77, 45.93, 47.69
11/30/15, 45.17, 46.24, 45.15, 46.15
11/27/15, 45.19, 45.48, 44.75, 44.92
11/25/15, 45.61, 46.72, 45.33, 45.96
11/24/15, 44.86, 46.36, 44.86, 46.15
11/23/15, 44.39, 44.91, 44.09, 44.42
11/20/15, 46.72, 47.08, 44.54, 44.77
11/19/15, 45.90, 46.99, 45.67, 46.52
11/18/15, 43.83, 45.58, 43.35, 45.48
11/17/15, 45.79, 45.80, 43.44, 43.63
11/16/15, 45.80, 46.60, 45.80, 46.11
11/13/15, 45.01, 45.92, 44.87, 45.56
11/12/15, 45.21, 46.42, 44.50, 45.23
11/11/15, 45.65, 46.12, 45.24, 45.94
11/10/15, 46.29, 46.57, 45.60, 45.68
11/09/15, 46.00, 47.17, 45.22, 47.05
11/06/15, 47.49, 47.49, 45.69, 46.01
11/05/15, 50.39, 50.39, 47.91, 48.24
11/04/15, 52.33, 52.67, 50.36, 50.49
11/03/15, 51.38, 52.33, 50.96, 51.85
11/02/15, 51.06, 52.40, 50.38, 51.92
10/30/15, 52.19, 53.08, 51.45, 51.45
10/29/15, 53.71, 54.44, 51.88, 52.25
10/28/15, 55.14, 57.30, 53.21, 54.09
10/27/15, 54.29, 55.26, 53.59, 54.57
10/26/15, 56.19, 56.22, 54.54, 54.54
10/23/15, 55.27, 56.69, 54.35, 56.30
10/22/15, 53.63, 55.49, 53.59, 54.89
10/21/15, 55.16, 55.16, 53.39, 53.65
10/20/15, 53.99, 56.17, 53.94, 55.64
10/19/15, 55.70, 56.13, 53.36, 53.59
10/16/15, 57.83, 58.14, 55.97, 56.03
10/15/15, 57.32, 58.12, 56.39, 57.96
10/14/15, 54.79, 57.93, 54.79, 57.78
10/13/15, 53.83, 55.16, 53.24, 54.06
10/12/15, 56.72, 57.07, 53.43, 53.95
10/09/15, 54.57, 56.26, 54.57, 56.04
10/08/15, 53.35, 55.91, 52.95, 53.65
10/07/15, 53.65, 54.49, 52.92, 53.98
10/06/15, 51.89, 54.10, 51.87, 53.38
10/05/15, 49.20, 51.37, 49.18, 51.28
10/02/15, 46.14, 49.05, 46.11, 49.02
10/01/15, 46.76, 47.36, 44.97, 45.20
09/30/15, 44.52, 46.25, 44.32, 46.25
09/29/15, 44.90, 45.93, 44.62, 44.84
09/28/15, 46.34, 46.34, 44.54, 44.63
09/25/15, 47.28, 47.62, 46.84, 47.27
09/24/15, 45.35, 48.01, 45.32, 47.89
09/23/15, 45.78, 45.99, 44.48, 44.61
09/22/15, 46.47, 46.47, 44.95, 45.23
09/21/15, 48.33, 48.54, 47.36, 47.45
09/18/15, 48.84, 49.77, 47.66, 48.67
09/17/15, 46.95, 49.04, 46.39, 48.47
09/16/15, 44.78, 47.37, 44.78, 47.31
09/15/15, 44.23, 45.34, 44.01, 44.27
09/14/15, 44.62, 45.13, 43.55, 44.27
09/11/15, 44.04, 45.15, 42.72, 45.03
09/10/15, 44.87, 45.42, 44.16, 44.44
09/09/15, 45.52, 46.01, 44.22, 44.48
09/08/15, 45.45, 46.39, 45.08, 45.77
09/04/15, 45.29, 45.47, 44.26, 45.33
09/03/15, 45.66, 47.88, 45.59, 45.62
09/02/15, 46.71, 47.37, 45.26, 46.23
09/01/15, 48.47, 49.45, 46.69, 46.81
08/31/15, 48.17, 48.63, 46.64, 48.43
08/28/15, 46.88, 49.32, 46.87, 48.82
08/27/15, 44.18, 47.49, 44.00, 46.84
08/26/15, 45.90, 45.90, 43.59, 43.97
08/25/15, 48.59, 48.76, 46.05, 46.19
08/24/15, 51.75, 52.81, 47.77, 48.09
08/21/15, 54.14, 54.74, 51.87, 52.17
08/20/15, 52.51, 54.65, 52.51, 53.75
08/19/15, 50.89, 52.25, 50.89, 51.96
08/18/15, 50.86, 51.15, 49.87, 50.56
08/17/15, 50.13, 51.75, 50.13, 51.56
08/14/15, 50.78, 51.29, 49.34, 49.71
08/13/15, 52.17, 52.17, 49.79, 50.09
08/12/15, 50.31, 52.91, 50.31, 52.86
08/11/15, 49.44, 49.62, 47.65, 49.47
08/10/15, 45.97, 49.26, 45.40, 49.24
08/07/15, 45.95, 47.51, 45.46, 45.70
08/06/15, 44.78, 46.69, 44.45, 45.86
08/05/15, 45.99, 46.69, 44.46, 44.51
08/04/15, 45.95, 46.54, 45.14, 45.67
08/03/15, 47.34, 47.34, 45.39, 45.54
07/31/15, 47.21, 48.00, 46.90, 47.57
07/30/15, 48.05, 48.05, 46.36, 46.64
07/29/15, 47.41, 48.82, 47.11, 48.37
07/28/15, 47.00, 47.98, 46.87, 47.47
07/27/15, 48.20, 49.77, 46.34, 46.66
07/24/15, 46.85, 48.80, 45.74, 48.52
07/23/15, 50.04, 50.15, 47.04, 47.29
07/22/15, 49.46, 50.31, 48.24, 49.65
07/21/15, 48.87, 51.25, 48.87, 50.01
07/20/15, 53.43, 53.43, 48.53, 48.63
07/17/15, 56.42, 56.42, 54.11, 54.20
07/16/15, 57.30, 57.33, 56.60, 56.90
07/15/15, 58.63, 58.63, 57.25, 57.35
07/14/15, 59.36, 59.99, 59.00, 59.00
07/13/15, 58.55, 59.48, 57.58, 59.48
07/10/15, 59.95, 60.19, 58.70, 59.01
07/09/15, 60.83, 60.93, 59.42, 59.69
07/08/15, 60.74, 61.41, 59.87, 59.95
07/07/15, 62.46, 62.46, 59.94, 60.41
07/06/15, 62.34, 64.04, 61.90, 63.50
07/02/15, 61.61, 62.69, 61.61, 62.65
07/01/15, 63.05, 63.05, 61.09, 61.37
06/30/15, 63.50, 64.16, 62.77, 63.14
06/29/15, 64.77, 64.98, 63.83, 63.91
06/26/15, 64.88, 65.34, 64.64, 64.68
06/25/15, 65.80, 66.13, 64.95, 65.10
06/24/15, 65.66, 66.43, 65.56, 65.85
06/23/15, 65.27, 66.20, 65.21, 65.74
06/22/15, 66.17, 66.36, 65.55, 65.60
06/19/15, 68.12, 68.27, 66.31, 66.65
06/18/15, 68.16, 68.94, 68.07, 68.37
06/17/15, 65.89, 67.54, 65.43, 67.45
06/16/15, 66.62, 66.62, 65.89, 65.99
06/15/15, 66.32, 67.74, 65.97, 66.95
06/12/15, 66.94, 67.27, 66.27, 66.55
06/11/15, 68.16, 68.16, 66.95, 67.13
06/10/15, 68.44, 68.96, 68.07, 68.47
06/09/15, 68.41, 69.06, 67.47, 67.56
06/08/15, 67.91, 68.13, 67.00, 68.13
06/05/15, 68.21, 68.22, 66.99, 67.72
06/04/15, 68.55, 68.74, 68.03, 68.63
06/03/15, 70.18, 70.56, 68.97, 69.25
06/02/15, 69.63, 70.92, 69.62, 70.53
06/01/15, 70.10, 70.66, 69.13, 69.29
05/29/15, 69.86, 70.38, 69.27, 69.70
05/28/15, 68.70, 69.90, 68.17, 69.83
05/27/15, 68.62, 68.93, 67.93, 68.76
05/26/15, 70.05, 70.06, 68.28, 68.69
05/22/15, 71.77, 71.98, 71.11, 71.25
05/21/15, 71.99, 72.22, 71.60, 71.85
05/20/15, 72.19, 72.86, 72.04, 72.07
05/19/15, 73.80, 73.82, 71.95, 71.98
05/18/15, 75.35, 75.81, 74.71, 74.87
05/15/15, 74.75, 75.92, 74.45, 75.12
05/14/15, 75.95, 77.06, 75.11, 75.36
05/13/15, 74.38, 75.88, 74.38, 75.24
05/12/15, 73.07, 73.83, 72.85, 73.53
