Date, Open, High, Low, Close, Volume
03/31/16, 105.39, 105.56, 105.218, 105.47, 122346
03/30/16, 105.20, 105.50, 105.19, 105.44, 258482
03/29/16, 104.97, 105.36, 104.9292, 105.20, 274985
03/28/16, 104.86, 105.0999, 104.86, 104.87, 143139
03/24/16, 104.88, 105.0699, 104.634, 104.87, 147045
03/23/16, 104.50, 104.86, 104.50, 104.72, 219150
03/22/16, 104.99, 105.085, 104.62, 104.62, 123313
03/21/16, 104.90, 104.91, 104.6001, 104.81, 266986
03/18/16, 104.75, 105.00, 104.61, 104.93, 239711
03/17/16, 104.63, 104.76, 104.3601, 104.64, 132656
03/16/16, 104.02, 104.65, 104.0101, 104.65, 208746
03/15/16, 104.29, 104.30, 104.07, 104.11, 193516
03/14/16, 104.15, 104.25, 104.0714, 104.17, 54765
03/11/16, 104.04, 104.1999, 103.9011, 104.05, 360660
03/10/16, 104.12, 104.225, 103.9101, 104.03, 147241
03/09/16, 103.91, 104.10, 103.865, 104.09, 147659
03/08/16, 104.09, 104.28, 103.9911, 104.23, 135770
03/07/16, 104.00, 104.12, 103.91, 104.03, 131470
03/04/16, 103.99, 104.0699, 103.7901, 104.03, 107602
03/03/16, 103.78, 104.14, 103.74, 104.07, 79877
03/02/16, 103.55, 103.75, 103.55, 103.72, 84054
03/01/16, 104.17, 104.1919, 103.65, 103.7556, 108622
02/29/16, 104.05, 104.409, 104.03, 104.19, 291544
02/26/16, 104.15, 104.3499, 104.14, 104.25, 69315
02/25/16, 104.42, 104.65, 104.3202, 104.61, 80874
02/24/16, 104.37, 104.7058, 104.265, 104.36, 73692
02/23/16, 103.88, 104.35, 103.83, 104.29, 100453
02/22/16, 103.81, 104.11, 103.81, 104.02, 74987
02/19/16, 104.02, 104.20, 104.00, 104.07, 80325
02/18/16, 103.76, 104.17, 103.76, 104.15, 169326
02/17/16, 103.42, 103.815, 103.42, 103.67, 317412
02/16/16, 103.62, 103.9999, 103.62, 103.71, 147580
02/12/16, 104.10, 104.3799, 103.91, 103.91, 144435
02/11/16, 104.66, 104.89, 104.5001, 104.56, 174460
02/10/16, 104.26, 104.6399, 104.23, 104.39, 130032
02/09/16, 104.43, 104.78, 104.34, 104.49, 164104
02/08/16, 104.70, 104.9099, 104.436, 104.73, 106386
02/05/16, 104.36, 104.6999, 104.30, 104.34, 95080
02/04/16, 104.54, 104.59, 104.3515, 104.52, 87658
02/03/16, 104.37, 104.92, 104.28, 104.4501, 148060
02/02/16, 104.61, 104.95, 104.61, 104.81, 187822
02/01/16, 104.91, 104.915, 104.35, 104.61, 307317
01/29/16, 104.56, 105.00, 104.504, 104.99, 1598332
01/28/16, 104.14, 104.41, 104.14, 104.34, 118745
01/27/16, 104.04, 104.1737, 103.9434, 104.14, 143838
01/26/16, 103.94, 104.26, 103.81, 104.19, 278802
01/25/16, 103.92, 104.06, 103.8209, 104.04, 97661
01/22/16, 103.38, 103.82, 103.38, 103.82, 101100
01/21/16, 104.25, 104.25, 103.41, 103.47, 373329
01/20/16, 104.05, 104.1389, 103.61, 103.62, 398060
01/19/16, 104.45, 104.45, 103.78, 103.88, 397304
01/15/16, 104.66, 104.66, 104.39, 104.53, 514499
01/14/16, 104.32, 104.489, 104.1845, 104.31, 1606973
01/13/16, 103.96, 104.4799, 103.96, 104.24, 125700
01/12/16, 103.86, 104.40, 103.78, 104.22, 233391
01/11/16, 104.15, 104.3858, 104.05, 104.26, 284355
01/08/16, 104.21, 104.63, 104.20, 104.43, 98741
01/07/16, 104.32, 104.57, 104.25, 104.31, 105608
01/06/16, 104.27, 104.5599, 104.23, 104.54, 152226
01/05/16, 104.05, 104.31, 103.9201, 104.25, 107089
01/04/16, 104.15, 104.33, 103.929, 104.06, 171602
12/31/15, 103.87, 104.23, 103.83, 104.22, 204004
12/30/15, 104.06, 104.16, 103.9501, 104.04, 279828
12/29/15, 104.33, 104.45, 103.88, 103.88, 326288
12/28/15, 105.13, 105.49, 105.13, 105.43, 194399
12/24/15, 105.31, 105.59, 105.2635, 105.58, 71855
12/23/15, 105.08, 105.42, 104.95, 105.4099, 213483
12/22/15, 105.25, 105.49, 105.13, 105.35, 393854
12/21/15, 105.40, 105.49, 105.30, 105.43, 143498
12/18/15, 105.20, 105.46, 105.1606, 105.40, 127642
12/17/15, 104.73, 105.26, 104.73, 105.16, 111046
12/16/15, 104.99, 104.9999, 104.62, 104.79, 235189
12/15/15, 105.08, 105.30, 104.88, 104.91, 228820
12/14/15, 105.69, 105.839, 105.30, 105.32, 343305
12/11/15, 105.80, 106.18, 105.61, 106.04, 251806
12/10/15, 105.58, 105.74, 105.3301, 105.68, 308335
12/09/15, 105.34, 105.6171, 105.30, 105.546, 150822
12/08/15, 105.75, 105.797, 105.51, 105.60, 69702
12/07/15, 105.48, 105.787, 105.34, 105.47, 263841
12/04/15, 105.15, 105.45, 105.15, 105.44, 206144
12/03/15, 105.12, 105.41, 105.00, 105.05, 273303
12/02/15, 105.53, 105.83, 105.49, 105.66, 183092
12/01/15, 105.34, 105.65, 105.34, 105.65, 185215
11/30/15, 105.89, 105.9899, 105.465, 105.75, 83188
11/27/15, 105.68, 105.89, 105.501, 105.56, 70742
11/25/15, 105.68, 105.8798, 105.4501, 105.49, 62971
11/24/15, 105.50, 105.65, 105.3801, 105.50, 53826
11/23/15, 105.53, 105.69, 105.38, 105.59, 217199
11/20/15, 105.57, 105.59, 105.3801, 105.48, 84060
11/19/15, 105.55, 105.5787, 105.31, 105.435, 51687
11/18/15, 105.37, 105.5599, 105.30, 105.41, 125293
11/17/15, 105.24, 105.52, 105.1001, 105.49, 64125
11/16/15, 105.40, 105.50, 105.14, 105.35, 259946
11/13/15, 105.28, 105.43, 104.95, 105.4167, 213215
11/12/15, 105.06, 105.2799, 104.9114, 104.97, 115565
11/11/15, 105.30, 105.32, 104.92, 104.92, 128616
11/10/15, 105.07, 105.302, 105.07, 105.24, 154948
11/09/15, 105.19, 105.3958, 105.1501, 105.32, 302744
11/06/15, 105.50, 105.5199, 105.12, 105.14, 219020
11/05/15, 105.81, 105.8999, 105.61, 105.62, 87797
11/04/15, 106.00, 106.03, 105.7001, 105.87, 131060
11/03/15, 105.87, 105.98, 105.66, 105.70, 209022
11/02/15, 105.96, 106.03, 105.735, 105.83, 217184
10/30/15, 106.59, 106.94, 106.215, 106.26, 455994
10/29/15, 106.76, 106.76, 106.29, 106.29, 214848
10/28/15, 107.20, 107.20, 106.64, 106.84, 272543
10/27/15, 107.23, 107.23, 106.984, 107.19, 175972
10/26/15, 107.05, 107.14, 106.95, 107.09, 115503
10/23/15, 106.79, 107.03, 106.78, 106.93, 114303
10/22/15, 106.88, 107.12, 106.7774, 106.87, 136679
10/21/15, 106.93, 106.96, 106.73, 106.93, 510016
10/20/15, 106.65, 106.78, 106.40, 106.64, 97045
10/19/15, 106.81, 106.95, 106.6055, 106.89, 168327
10/16/15, 106.83, 106.85, 106.50, 106.76, 177031
10/15/15, 106.80, 106.8453, 106.40, 106.47, 81648
10/14/15, 106.77, 106.94, 106.615, 106.66, 155762
10/13/15, 107.18, 107.18, 106.59, 106.737, 297800
10/12/15, 106.61, 106.77, 106.31, 106.73, 261937
10/09/15, 106.60, 106.8228, 106.23, 106.25, 146258
10/08/15, 106.89, 106.89, 106.1401, 106.22, 321820
10/07/15, 106.44, 106.7099, 106.3027, 106.67, 98987
10/06/15, 106.57, 106.74, 106.2301, 106.55, 201766
10/05/15, 106.26, 106.3692, 106.115, 106.16, 232931
10/02/15, 106.39, 106.65, 106.13, 106.29, 327599
10/01/15, 105.99, 105.991, 105.65, 105.69, 205214
09/30/15, 105.48, 105.62, 105.40, 105.46, 319952
09/29/15, 106.38, 106.4499, 106.09, 106.09, 145615
09/28/15, 106.28, 106.61, 106.1889, 106.61, 341369
