Date, Open, High, Low, Close, Volume
03/31/16, 3.20, 3.21, 3.14, 3.16, 77595423
03/30/16, 3.11, 3.22, 3.10, 3.20, 98339523
03/29/16, 3.14, 3.16, 3.06, 3.09, 86363220
03/28/16, 3.26, 3.27, 3.15, 3.16, 93605740
03/25/16, 3.18, 3.24, 3.16, 3.24, 74304365
03/24/16, 3.31, 3.31, 3.21, 3.21, 124729739
03/23/16, 3.33, 3.37, 3.27, 3.32, 127647929
03/22/16, 3.39, 3.40, 3.33, 3.34, 139013398
03/21/16, 3.31, 3.48, 3.28, 3.42, 246520867
03/18/16, 3.18, 3.36, 3.18, 3.30, 219770352
03/17/16, 3.12, 3.18, 3.07, 3.16, 134776933
03/16/16, 3.12, 3.16, 3.06, 3.09, 100929852
03/15/16, 3.23, 3.24, 3.09, 3.13, 130194520
03/14/16, 3.22, 3.32, 3.17, 3.24, 170753985
03/11/16, 3.09, 3.22, 3.05, 3.18, 145155598
03/10/16, 3.32, 3.36, 3.12, 3.15, 154663112
03/09/16, 3.35, 3.41, 3.26, 3.29, 268186616
03/08/16, 3.69, 3.79, 3.50, 3.58, 385250801
03/07/16, 3.48, 3.58, 3.39, 3.45, 226414380
03/04/16, 3.42, 3.59, 3.31, 3.38, 313576180
03/03/16, 3.47, 3.58, 3.41, 3.43, 323290579
03/02/16, 3.35, 3.75, 3.33, 3.54, 457638169
03/01/16, 3.20, 3.63, 3.12, 3.47, 595064385
02/29/16, 3.30, 3.30, 3.19, 3.30, 456008371
02/26/16, 3.00, 3.00, 3.00, 3.00, 86717413
02/25/16, 2.98, 3.00, 2.70, 2.73, 149586645
02/24/16, 2.97, 3.01, 2.88, 3.00, 121343900
02/23/16, 2.93, 3.06, 2.91, 3.00, 173573716
02/22/16, 2.84, 3.03, 2.84, 2.95, 181247611
02/19/16, 2.81, 2.82, 2.76, 2.80, 81886017
02/18/16, 2.85, 2.96, 2.83, 2.83, 125480260
02/17/16, 2.82, 2.92, 2.80, 2.86, 115508842
02/16/16, 2.77, 2.85, 2.76, 2.83, 120451830
02/15/16, 2.58, 2.85, 2.56, 2.78, 116493225
02/05/16, 2.70, 2.75, 2.66, 2.70, 90864254
02/04/16, 2.60, 2.71, 2.60, 2.69, 100470463
02/03/16, 2.58, 2.62, 2.52, 2.61, 69226720
02/02/16, 2.53, 2.65, 2.53, 2.62, 88245765
02/01/16, 2.66, 2.67, 2.52, 2.57, 104418910
01/29/16, 2.61, 2.75, 2.57, 2.69, 111330289
01/28/16, 2.81, 2.85, 2.61, 2.62, 113662665
