Date, Open, High, Low, Close, Volume
03/31/16, 5.35, 5.45, 5.35, 5.45, 2584100
03/30/16, 5.30, 5.40, 5.30, 5.35, 546300
03/29/16, 5.25, 5.35, 5.25, 5.30, 783300
03/28/16, 5.35, 5.35, 5.25, 5.25, 1193400
03/25/16, 5.30, 5.35, 5.30, 5.35, 951500
03/24/16, 5.35, 5.40, 5.30, 5.30, 2384100
03/23/16, 5.35, 5.45, 5.35, 5.40, 687200
03/22/16, 5.35, 5.45, 5.35, 5.35, 858100
03/21/16, 5.45, 5.45, 5.30, 5.40, 394600
03/18/16, 5.45, 5.45, 5.30, 5.40, 1332600
03/17/16, 5.35, 5.45, 5.35, 5.45, 684900
03/16/16, 5.45, 5.50, 5.30, 5.35, 1780500
03/15/16, 5.50, 5.50, 5.40, 5.45, 680200
03/14/16, 5.60, 5.60, 5.45, 5.45, 1570100
03/11/16, 5.45, 5.50, 5.45, 5.50, 1290200
03/10/16, 5.55, 5.55, 5.40, 5.45, 1421600
03/09/16, 5.35, 5.65, 5.35, 5.55, 2500300
03/08/16, 5.60, 5.60, 5.40, 5.40, 2388000
03/07/16, 5.60, 5.70, 5.55, 5.60, 4405800
03/04/16, 5.40, 5.60, 5.35, 5.60, 8204200
03/03/16, 5.25, 5.40, 5.25, 5.35, 2830100
03/02/16, 5.25, 5.35, 5.25, 5.30, 2798900
03/01/16, 5.25, 5.30, 5.20, 5.25, 1253800
02/29/16, 5.35, 5.40, 5.25, 5.25, 1735600
02/26/16, 5.45, 5.50, 5.35, 5.35, 2778900
02/25/16, 5.45, 5.50, 5.35, 5.50, 6633800
02/24/16, 5.30, 5.45, 5.30, 5.40, 9062400
02/23/16, 5.10, 5.25, 5.05, 5.25, 6847000
02/19/16, 5.00, 5.05, 5.00, 5.05, 875700
02/18/16, 5.05, 5.10, 5.00, 5.00, 1098400
02/17/16, 5.00, 5.05, 4.98, 5.00, 2533400
02/16/16, 4.98, 5.05, 4.96, 4.96, 1157400
02/15/16, 4.94, 4.98, 4.94, 4.96, 650300
02/12/16, 4.96, 4.98, 4.94, 4.94, 1564100
02/11/16, 5.05, 5.10, 4.96, 4.96, 3022900
02/10/16, 5.05, 5.05, 5.00, 5.00, 479700
02/09/16, 5.05, 5.05, 5.00, 5.00, 276100
02/08/16, 5.00, 5.05, 5.00, 5.05, 478300
02/05/16, 5.00, 5.05, 5.00, 5.00, 1284600
02/04/16, 5.10, 5.10, 5.00, 5.00, 919900
02/03/16, 5.00, 5.05, 5.00, 5.05, 964300
02/02/16, 5.00, 5.15, 5.00, 5.05, 2362200
02/01/16, 5.00, 5.10, 5.00, 5.00, 1148800
01/29/16, 5.00, 5.05, 5.00, 5.00, 911500
01/28/16, 5.05, 5.05, 5.00, 5.00, 890400
01/27/16, 5.05, 5.10, 5.00, 5.00, 532000
01/26/16, 5.05, 5.10, 5.00, 5.05, 703200
01/25/16, 5.20, 5.20, 5.05, 5.05, 2527700
01/22/16, 5.00, 5.20, 4.98, 5.20, 5417900
01/21/16, 4.96, 4.98, 4.92, 4.96, 1020200
01/20/16, 4.94, 5.05, 4.94, 4.96, 2290600
01/19/16, 4.90, 5.00, 4.90, 4.94, 1941600
01/18/16, 4.92, 4.92, 4.88, 4.90, 1092700
01/15/16, 4.96, 5.05, 4.92, 4.92, 1942100
01/14/16, 4.96, 4.98, 4.94, 4.94, 1897000
01/13/16, 4.92, 5.10, 4.90, 5.00, 2149600
01/12/16, 4.92, 4.92, 4.88, 4.90, 475200
01/11/16, 4.92, 4.94, 4.86, 4.92, 803600
01/08/16, 4.90, 4.92, 4.88, 4.92, 887200
01/07/16, 4.90, 4.96, 4.90, 4.90, 1392200
01/06/16, 4.94, 4.96, 4.92, 4.96, 691400
01/05/16, 4.94, 4.96, 4.90, 4.94, 4835500
01/04/16, 4.98, 4.98, 4.92, 4.96, 736900
12/30/15, 4.98, 5.05, 4.96, 5.00, 3148700
12/29/15, 5.00, 5.00, 4.96, 4.96, 1621500
12/28/15, 4.98, 5.00, 4.96, 5.00, 901900
12/25/15, 4.96, 4.98, 4.94, 4.94, 326200
12/24/15, 5.00, 5.05, 4.94, 4.96, 2061400
12/23/15, 4.98, 5.05, 4.94, 4.96, 1195300
12/22/15, 5.00, 5.00, 4.94, 4.94, 2036700
12/21/15, 5.05, 5.10, 5.00, 5.00, 1398600
12/18/15, 5.10, 5.15, 5.00, 5.10, 1567000
12/17/15, 5.10, 5.15, 5.05, 5.15, 1624200
12/16/15, 5.20, 5.20, 5.05, 5.15, 1430100
12/15/15, 5.00, 5.25, 5.00, 5.25, 4424200
12/14/15, 4.90, 5.05, 4.88, 4.96, 2660700
12/11/15, 5.05, 5.05, 4.96, 4.96, 2301400
12/09/15, 5.10, 5.15, 5.00, 5.05, 2545900
12/08/15, 5.10, 5.20, 5.05, 5.05, 2311600
12/04/15, 5.15, 5.20, 5.10, 5.10, 716800
12/03/15, 5.10, 5.20, 5.05, 5.15, 3345800
12/02/15, 5.30, 5.30, 5.05, 5.10, 5566900
12/01/15, 5.35, 5.40, 5.20, 5.20, 5210200
11/30/15, 5.45, 5.50, 5.30, 5.30, 8131100
11/27/15, 5.30, 5.45, 5.30, 5.40, 2794200
11/26/15, 5.50, 5.55, 5.30, 5.40, 4785800
11/25/15, 5.40, 5.50, 5.35, 5.50, 6245400
11/24/15, 5.55, 5.75, 5.35, 5.35, 17492300
11/23/15, 5.55, 5.70, 5.50, 5.55, 17589700
11/20/15, 5.60, 5.65, 5.50, 5.50, 16159300
11/19/15, 5.55, 5.85, 5.50, 5.60, 33762000
11/18/15, 5.45, 5.60, 5.40, 5.45, 11417800
11/17/15, 5.50, 5.55, 5.40, 5.45, 9285400
11/16/15, 5.25, 5.50, 5.20, 5.50, 26265200
11/13/15, 5.10, 5.35, 5.10, 5.25, 9169600
11/12/15, 5.20, 5.20, 5.10, 5.10, 1083500
11/11/15, 5.15, 5.20, 5.15, 5.15, 1459000
11/10/15, 5.15, 5.15, 5.10, 5.10, 537100
11/09/15, 5.15, 5.20, 5.10, 5.10, 404900
11/06/15, 5.15, 5.20, 5.15, 5.20, 442500
11/05/15, 5.20, 5.30, 5.15, 5.15, 2370900
11/04/15, 5.15, 5.30, 5.10, 5.15, 2201800
11/03/15, 5.15, 5.15, 5.15, 5.15, 400800
11/02/15, 5.15, 5.15, 5.10, 5.15, 417300
10/30/15, 5.15, 5.15, 5.05, 5.10, 259200
10/29/15, 5.15, 5.15, 5.05, 5.10, 3649400
10/28/15, 5.25, 5.25, 5.15, 5.15, 2399500
10/27/15, 5.20, 5.25, 5.20, 5.25, 1337100
10/26/15, 5.25, 5.30, 5.20, 5.25, 1304200
10/22/15, 5.25, 5.25, 5.20, 5.25, 589000
10/21/15, 5.30, 5.35, 5.25, 5.25, 2859800
10/20/15, 5.30, 5.30, 5.25, 5.30, 806800
10/19/15, 5.30, 5.30, 5.25, 5.30, 738300
10/16/15, 5.30, 5.30, 5.20, 5.25, 1937400
10/15/15, 5.25, 5.30, 5.25, 5.25, 2405000
10/14/15, 5.25, 5.30, 5.20, 5.25, 2469000
