Date, Open, High, Low, Close, Volume
03/31/16, 0.042, 0.042, 0.042, 0.042, 49000
03/30/16, 0.042, 0.045, 0.042, 0.042, 700000
03/29/16, 0.042, 0.044, 0.042, 0.043, 660000
03/24/16, 0.042, 0.043, 0.042, 0.043, 200000
03/23/16, 0.042, 0.042, 0.041, 0.041, 599693
03/22/16, 0.041, 0.042, 0.04, 0.041, 523840
03/21/16, 0.04, 0.042, 0.04, 0.042, 950000
03/18/16, 0.04, 0.04, 0.04, 0.04, 274626
03/17/16, 0.04, 0.04, 0.04, 0.04, 317000
03/16/16, 0.035, 0.041, 0.034, 0.041, 391000
03/15/16, 0.032, 0.032, 0.032, 0.032, 0
03/14/16, 0.035, 0.038, 0.035, 0.038, 65000
03/11/16, 0.034, 0.038, 0.034, 0.038, 290000
03/10/16, 0.042, 0.042, 0.035, 0.035, 725568
03/09/16, 0.048, 0.048, 0.042, 0.042, 959953
03/08/16, 0.036, 0.048, 0.036, 0.048, 854793
03/07/16, 0.035, 0.035, 0.035, 0.035, 0
03/04/16, 0.035, 0.035, 0.035, 0.035, 0
03/03/16, 0.03, 0.035, 0.03, 0.035, 419900
03/02/16, 0.025, 0.029, 0.025, 0.029, 450000
03/01/16, 0.022, 0.022, 0.022, 0.022, 678325
02/29/16, 0.017, 0.017, 0.017, 0.017, 0
02/26/16, 0.017, 0.017, 0.017, 0.017, 0
02/25/16, 0.02, 0.02, 0.02, 0.02, 300000
02/24/16, 0.017, 0.017, 0.017, 0.017, 0
02/23/16, 0.017, 0.017, 0.017, 0.017, 42436
02/22/16, 0.017, 0.017, 0.017, 0.017, 1000000
02/19/16, 0.015, 0.015, 0.015, 0.015, 0
02/18/16, 0.015, 0.015, 0.015, 0.015, 0
02/17/16, 0.018, 0.019, 0.017, 0.019, 1229444
02/16/16, 0.018, 0.018, 0.018, 0.018, 50000
02/15/16, 0.018, 0.018, 0.018, 0.018, 0
02/12/16, 0.02, 0.023, 0.018, 0.022, 842000
02/11/16, 0.019, 0.019, 0.019, 0.019, 377000
02/10/16, 0.019, 0.019, 0.019, 0.019, 200000
02/09/16, 0.018, 0.018, 0.018, 0.018, 250000
02/08/16, 0.019, 0.019, 0.019, 0.019, 380000
02/05/16, 0.01, 0.01, 0.01, 0.01, 0
02/04/16, 0.01, 0.01, 0.01, 0.01, 0
02/03/16, 0.01, 0.01, 0.01, 0.01, 0
02/02/16, 0.01, 0.01, 0.01, 0.01, 0
02/01/16, 0.01, 0.01, 0.01, 0.01, 0
01/29/16, 0.008, 0.008, 0.008, 0.008, 0
01/28/16, 0.008, 0.008, 0.008, 0.008, 0
01/27/16, 0.007, 0.007, 0.007, 0.007, 0
01/25/16, 0.007, 0.007, 0.007, 0.007, 0
01/22/16, 0.006, 0.006, 0.006, 0.006, 0
01/21/16, 0.006, 0.006, 0.006, 0.006, 0
01/20/16, 0.018, 0.018, 0.018, 0.018, 0
01/19/16, 0.016, 0.016, 0.016, 0.016, 0
01/18/16, 0.017, 0.017, 0.017, 0.017, 20000
01/15/16, 0.014, 0.014, 0.014, 0.014, 0
01/14/16, 0.014, 0.014, 0.014, 0.014, 0
01/13/16, 0.014, 0.014, 0.014, 0.014, 0
01/12/16, 0.014, 0.014, 0.014, 0.014, 0
01/11/16, 0.014, 0.014, 0.014, 0.014, 0
01/08/16, 0.022, 0.022, 0.022, 0.022, 39694
01/07/16, 0.014, 0.014, 0.014, 0.014, 0
01/06/16, 0.014, 0.014, 0.014, 0.014, 0
01/05/16, 0.014, 0.014, 0.014, 0.014, 0
01/04/16, 0.014, 0.014, 0.014, 0.014, 0
12/31/15, 0.014, 0.014, 0.014, 0.014, 0
12/30/15, 0.014, 0.014, 0.014, 0.014, 0
12/29/15, 0.014, 0.014, 0.014, 0.014, 0
12/24/15, 0.014, 0.014, 0.014, 0.014, 0
12/23/15, 0.014, 0.014, 0.014, 0.014, 0
12/22/15, 0.014, 0.014, 0.014, 0.014, 0
12/21/15, 0.014, 0.014, 0.014, 0.014, 0
