Date, Open, High, Low, Close, Volume
03/31/16, 91.86, 92.08, 90.69, 90.81, 511044
03/30/16, 91.48, 91.65, 89.82, 90.94, 810514
03/29/16, 89.69, 93.6166, 89.05, 93.10, 1033518
03/28/16, 90.63, 90.78, 88.61, 89.81, 383959
03/24/16, 89.66, 90.6108, 89.04, 90.10, 657911
03/23/16, 89.51, 90.34, 87.85, 88.50, 1329706
03/22/16, 93.81, 94.51, 92.17, 92.75, 722341
03/21/16, 92.48, 92.97, 91.25, 92.10, 765018
03/18/16, 94.17, 95.04, 93.24, 93.46, 1164606
03/17/16, 94.46, 96.50, 93.06, 93.55, 1544280
03/16/16, 88.95, 92.51, 86.61, 92.46, 1353893
03/15/16, 88.57, 89.84, 87.66, 89.76, 651498
03/14/16, 90.00, 90.30, 88.06, 88.08, 821582
03/11/16, 91.22, 92.07, 89.73, 90.13, 778390
03/10/16, 89.83, 92.61, 89.68, 91.66, 947656
03/09/16, 87.11, 90.28, 86.87, 89.33, 858244
03/08/16, 90.93, 91.03, 88.48, 88.74, 837010
03/07/16, 89.99, 92.29, 89.901, 91.25, 1163772
03/04/16, 92.27, 94.77, 90.55, 91.01, 1498900
03/03/16, 89.21, 90.49, 88.81, 89.92, 954561
03/02/16, 87.44, 89.05, 87.33, 88.61, 782244
03/01/16, 89.89, 90.16, 87.40, 87.76, 1072765
02/29/16, 89.97, 91.36, 89.97, 91.25, 510519
02/26/16, 89.32, 90.68, 88.41, 89.38, 971358
02/25/16, 90.20, 90.78, 89.29, 90.53, 1075610
02/24/16, 92.49, 93.67, 89.95, 91.03, 1627558
02/23/16, 90.78, 92.17, 90.46, 91.77, 780476
02/22/16, 88.83, 91.40, 88.83, 90.84, 821523
02/19/16, 90.18, 91.78, 89.82, 90.85, 1256105
02/18/16, 87.33, 90.48, 86.81, 90.26, 1432608
02/17/16, 85.14, 88.23, 84.81, 87.15, 1149727
02/16/16, 85.51, 86.19, 83.85, 84.41, 1674660
02/12/16, 86.77, 90.28, 86.47, 90.28, 1580336
02/11/16, 88.59, 88.78, 86.23, 87.86, 1689994
02/10/16, 82.84, 84.75, 81.47, 84.66, 1252833
02/09/16, 86.46, 87.75, 83.16, 84.05, 2296486
02/08/16, 80.79, 87.00, 80.46, 85.12, 3036478
02/05/16, 74.40, 78.37, 74.36, 78.30, 1054028
02/04/16, 75.79, 77.48, 75.48, 76.80, 1180449
02/03/16, 72.77, 75.24, 72.70, 75.20, 942056
02/02/16, 72.51, 72.98, 71.79, 72.53, 685872
02/01/16, 72.00, 72.76, 71.59, 72.57, 791521
01/29/16, 68.80, 70.78, 68.80, 70.72, 764236
01/28/16, 68.90, 70.30, 68.45, 69.49, 654895
01/27/16, 68.11, 69.43, 67.4969, 69.12, 757287
01/26/16, 67.27, 69.57, 67.27, 68.97, 1333736
01/25/16, 65.95, 66.33, 65.1396, 65.61, 738627
01/22/16, 64.76, 65.94, 64.34, 65.67, 780325
01/21/16, 63.90, 65.585, 63.35, 65.12, 1009654
01/20/16, 62.45, 63.86, 62.07, 63.33, 927409
01/19/16, 62.02, 62.21, 60.14, 60.88, 719678
01/15/16, 62.33, 63.49, 61.84, 62.12, 1196438
01/14/16, 61.17, 62.06, 60.57, 61.03, 668325
01/13/16, 61.23, 62.14, 60.57, 61.72, 632821
01/12/16, 62.67, 62.77, 59.96, 60.99, 704398
01/11/16, 64.30, 64.47, 62.31, 62.68, 602210
01/08/16, 64.17, 64.36, 63.01, 63.78, 662246
01/07/16, 64.39, 66.13, 64.00, 65.74, 1063828
01/06/16, 63.30, 63.47, 62.68, 63.08, 810905
01/05/16, 62.82, 62.89, 62.1301, 62.58, 407919
01/04/16, 63.03, 63.66, 61.66, 62.48, 888070
12/31/15, 61.72, 62.03, 61.43, 61.93, 275704
12/30/15, 61.79, 62.34, 61.52, 62.05, 321186
12/29/15, 62.94, 63.11, 62.00, 62.40, 331637
12/28/15, 62.37, 62.475, 61.53, 62.08, 252777
12/24/15, 63.42, 63.50, 62.94, 63.18, 206810
12/23/15, 62.97, 63.66, 62.1871, 62.86, 1098015
12/22/15, 60.69, 61.45, 60.67, 60.87, 611067
12/21/15, 60.50, 60.97, 59.77, 60.08, 535992
12/18/15, 59.45, 60.50, 59.18, 59.52, 892331
12/17/15, 60.43, 60.69, 59.08, 59.24, 1111505
12/16/15, 61.29, 62.56, 60.66, 62.19, 651590
12/15/15, 61.18, 61.39, 60.08, 60.35, 687150
12/14/15, 61.93, 62.14, 59.96, 60.05, 792026
12/11/15, 61.69, 63.06, 61.66, 62.40, 499671
12/10/15, 62.84, 63.51, 62.62, 62.65, 344616
12/09/15, 62.04, 63.86, 62.03, 62.90, 614233
12/08/15, 61.77, 61.93, 60.73, 61.34, 658602
12/07/15, 63.51, 63.88, 62.28, 62.67, 609947
12/04/15, 63.11, 65.35, 63.07, 65.18, 833582
12/03/15, 63.68, 64.07, 62.75, 63.03, 679485
12/02/15, 62.77, 63.51, 62.07, 62.71, 759411
12/01/15, 61.68, 63.55, 61.45, 63.45, 1033163
11/30/15, 60.18, 60.93, 60.08, 60.60, 507017
11/27/15, 60.54, 60.96, 59.87, 60.18, 332499
11/25/15, 61.05, 61.30, 60.01, 60.38, 552794
11/24/15, 60.83, 61.76, 60.67, 61.51, 683205
11/23/15, 59.46, 60.17, 59.32, 59.52, 649318
11/20/15, 61.45, 61.57, 59.51, 59.82, 716297
11/19/15, 62.00, 62.24, 61.11, 61.50, 641178
11/18/15, 59.99, 61.57, 59.49, 61.45, 732582
11/17/15, 60.53, 60.56, 58.9501, 59.40, 1014570
11/16/15, 60.62, 61.51, 60.54, 60.99, 859064
11/13/15, 59.75, 60.60, 59.63, 60.08, 810041
11/12/15, 58.88, 60.79, 58.80, 59.94, 884016
11/11/15, 59.51, 60.42, 59.45, 60.25, 953012
11/10/15, 59.22, 60.13, 58.7701, 59.62, 1206815
11/09/15, 59.81, 61.10, 59.28, 60.94, 1261118
11/06/15, 59.65, 60.4095, 59.3301, 59.74, 1659365
11/05/15, 63.68, 63.99, 62.01, 62.46, 1144222
11/04/15, 66.86, 67.20, 64.84, 64.92, 912567
11/03/15, 65.99, 66.76, 65.30, 66.13, 819524
11/02/15, 66.12, 67.10, 65.78, 66.67, 768136
10/30/15, 67.32, 68.05, 66.79, 66.87, 776552
10/29/15, 68.35, 69.28, 66.797, 67.00, 1136469
10/28/15, 70.57, 72.07, 68.16, 69.33, 1159595
10/27/15, 68.55, 69.74, 68.29, 69.16, 499701
10/26/15, 70.14, 70.40, 68.83, 68.84, 814926
10/23/15, 70.36, 71.66, 69.42, 71.19, 792569
10/22/15, 68.22, 69.70, 68.02, 69.23, 591316
10/21/15, 69.71, 69.99, 68.62, 69.14, 702740
10/20/15, 69.46, 70.87, 69.45, 70.23, 949322
10/19/15, 69.48, 69.99, 67.99, 68.23, 1114764
10/16/15, 69.90, 70.96, 69.07, 69.29, 1024692
10/15/15, 69.15, 70.39, 68.84, 69.75, 1030261
10/14/15, 68.49, 70.54, 68.35, 69.96, 1205706
10/13/15, 66.09, 67.65, 65.79, 66.74, 618180
10/12/15, 68.87, 68.90, 66.11, 66.73, 905792
10/09/15, 67.32, 68.12, 66.83, 67.86, 1388706
10/08/15, 65.22, 67.50, 65.17, 65.55, 1084510
10/07/15, 66.56, 66.63, 64.90, 65.62, 1032172
10/06/15, 64.86, 65.86, 63.58, 64.74, 931815
10/05/15, 63.26, 64.21, 63.17, 63.91, 952804
10/02/15, 60.72, 63.50, 60.64, 63.35, 1398853
10/01/15, 60.27, 60.79, 58.34, 58.73, 926019
09/30/15, 57.86, 59.22, 57.51, 59.09, 750036
09/29/15, 57.93, 58.85, 57.37, 57.72, 778734
09/28/15, 59.11, 59.22, 57.47, 57.80, 716989
09/25/15, 59.04, 59.81, 58.94, 59.59, 760626
09/24/15, 57.81, 60.95, 57.64, 60.80, 1332270
09/23/15, 57.84, 57.90, 56.57, 56.75, 430953
09/22/15, 57.51, 58.01, 56.58, 56.89, 717723
09/21/15, 59.53, 60.19, 58.47, 58.83, 1168673
09/18/15, 60.52, 60.98, 59.63, 60.44, 2912171
09/17/15, 57.96, 60.31, 57.15, 59.28, 1311471
09/16/15, 56.95, 58.82, 56.73, 58.73, 897221
09/15/15, 55.34, 56.12, 55.14, 55.55, 734218
09/14/15, 56.14, 56.36, 54.88, 55.52, 1219149
09/11/15, 57.11, 58.10, 55.82, 57.84, 1106058
09/10/15, 56.99, 57.62, 56.10, 56.49, 695443
09/09/15, 57.45, 57.98, 56.05, 56.29, 854537
09/08/15, 57.17, 57.85, 56.52, 56.97, 729231
09/04/15, 57.12, 57.68, 55.66, 57.15, 1196123
09/03/15, 58.75, 60.58, 58.32, 58.56, 811669
09/02/15, 59.79, 60.03, 58.17, 59.19, 689667
09/01/15, 60.28, 61.20, 59.13, 59.31, 803912
08/31/15, 60.13, 60.55, 59.00, 60.29, 516454
08/28/15, 59.88, 61.95, 59.83, 61.24, 901843
08/27/15, 58.90, 61.34, 58.68, 60.73, 1038644
08/26/15, 60.78, 60.85, 58.28, 58.75, 1169394
08/25/15, 64.94, 65.08, 61.61, 61.83, 1300732
08/24/15, 65.02, 66.95, 62.20, 62.45, 1463374
08/21/15, 67.50, 68.12, 65.37, 65.75, 1437164
08/20/15, 66.04, 67.375, 65.42, 66.66, 1409596
08/19/15, 62.07, 63.87, 62.07, 63.19, 827666
08/18/15, 62.05, 62.71, 61.42, 62.41, 497685
08/17/15, 62.60, 63.15, 61.71, 62.87, 552857
08/14/15, 62.65, 63.42, 61.55, 62.02, 606838
08/13/15, 63.39, 63.54, 61.57, 61.95, 922355
08/12/15, 63.74, 65.43, 63.15, 65.25, 1346280
08/11/15, 62.70, 62.98, 61.03, 62.25, 936285
08/10/15, 59.70, 62.00, 59.27, 61.90, 1038198
08/07/15, 59.62, 61.16, 59.61, 60.26, 752124
08/06/15, 59.55, 61.27, 58.99, 60.05, 789254
08/05/15, 60.55, 60.8103, 58.93, 59.11, 785763
08/04/15, 59.64, 60.23, 58.1001, 58.62, 645407
08/03/15, 59.09, 59.20, 57.85, 58.42, 597806
07/31/15, 60.29, 60.84, 59.78, 60.37, 496792
07/30/15, 59.23, 59.75, 58.37, 59.02, 654414
07/29/15, 59.09, 60.9299, 58.80, 60.54, 924515
07/28/15, 58.20, 59.52, 58.20, 58.98, 669135
07/27/15, 58.90, 59.67, 57.06, 57.59, 1204516
07/24/15, 58.99, 61.13, 57.63, 60.45, 1352058
07/23/15, 60.70, 60.94, 57.85, 58.31, 998948
07/22/15, 58.94, 60.63, 58.61, 60.23, 903538
07/21/15, 59.99, 61.41, 59.24, 59.89, 1047891
07/20/15, 59.99, 60.05, 58.30, 58.56, 1457358
07/17/15, 63.13, 63.15, 61.70, 61.88, 627475
07/16/15, 63.90, 63.90, 63.35, 63.48, 358034
07/15/15, 64.13, 64.45, 63.35, 63.53, 510635
07/14/15, 64.97, 65.6495, 64.58, 64.64, 357291
07/13/15, 63.98, 65.17, 63.78, 65.08, 611127
07/10/15, 64.83, 64.90, 63.81, 64.16, 557968
07/09/15, 65.20, 65.35, 64.04, 64.41, 462677
07/08/15, 65.00, 65.36, 64.081, 64.17, 434314
07/07/15, 65.09, 65.15, 63.82, 64.15, 647866
07/06/15, 66.04, 67.62, 65.835, 67.00, 485011
07/02/15, 65.81, 66.67, 65.54, 66.55, 433839
07/01/15, 66.04, 66.22, 64.55, 65.03, 550367
06/30/15, 67.85, 68.094, 66.90, 66.95, 697537
06/29/15, 69.46, 69.93, 68.66, 68.69, 346456
06/26/15, 69.25, 69.45, 68.78, 68.91, 366532
06/25/15, 70.10, 70.60, 69.71, 69.74, 300789
06/24/15, 70.00, 70.70, 69.80, 70.50, 392321
06/23/15, 69.36, 70.19, 69.22, 69.58, 294279
06/22/15, 69.82, 70.54, 69.64, 70.09, 490314
06/19/15, 71.53, 71.87, 70.23, 70.32, 609711
06/18/15, 72.29, 72.67, 71.63, 72.16, 590328
06/17/15, 70.22, 71.55, 69.43, 71.28, 511010
06/16/15, 70.61, 70.89, 70.15, 70.42, 419758
06/15/15, 71.36, 72.43, 71.23, 71.51, 372883
06/12/15, 71.15, 72.00, 70.70, 71.47, 323639
06/11/15, 72.46, 72.48, 71.77, 72.24, 612773
06/10/15, 72.86, 72.91, 72.02, 72.42, 588920
06/09/15, 71.35, 71.59, 70.37, 70.58, 525783
06/08/15, 70.40, 70.78, 70.01, 70.70, 390636
06/05/15, 69.22, 70.26, 68.83, 69.89, 469337
06/04/15, 70.95, 71.26, 70.42, 71.00, 431527
06/03/15, 72.79, 73.44, 71.32, 71.44, 638785
06/02/15, 72.21, 73.69, 72.14, 73.14, 448212
06/01/15, 72.25, 73.16, 71.62, 72.25, 457272
05/29/15, 72.59, 73.20, 71.96, 72.23, 357607
05/28/15, 71.20, 72.28, 70.95, 72.17, 323334
05/27/15, 70.84, 71.75, 70.57, 71.57, 345525
05/26/15, 71.73, 71.80, 70.56, 70.96, 599051
05/22/15, 74.27, 74.54, 73.3867, 73.57, 377451
05/21/15, 74.13, 74.22, 73.51, 73.95, 303026
05/20/15, 74.38, 74.91, 73.98, 74.13, 341986
05/19/15, 75.05, 75.53, 73.63, 73.77, 607535
05/18/15, 77.36, 77.49, 75.98, 76.35, 436634
05/15/15, 76.01, 76.92, 75.77, 76.17, 507806
05/14/15, 77.44, 77.79, 76.15, 76.59, 584473
05/13/15, 75.94, 76.83, 75.83, 76.44, 921394
05/12/15, 73.91, 74.59, 73.51, 74.00, 498066
05/11/15, 73.28, 73.83, 72.89, 73.42, 401363
05/08/15, 74.24, 74.24, 72.79, 73.35, 455305
05/07/15, 73.15, 73.80, 72.09, 73.74, 655940
05/06/15, 75.32, 75.32, 73.74, 73.99, 770521
