Date, Open, High, Low, Close, Volume
03/31/16, 24.40, 24.40, 24.30, 24.30, 3450
03/30/16, 24.36, 24.5318, 24.3401, 24.44, 2387
03/29/16, 23.7466, 23.7466, 23.7466, 23.7466, 183
03/28/16, 23.6035, 23.69, 23.6035, 23.69, 2100
03/24/16, 23.73, 23.73, 23.65, 23.65, 1218
03/23/16, 24.091, 24.097, 24.091, 24.097, 1084
03/22/16, 23.79, 24.0899, 23.79, 23.99, 6508
03/21/16, 24.05, 24.05, 23.99, 23.99, 1802
03/18/16, 24.10, 24.10, 24.053, 24.053, 2150
03/17/16, 23.99, 24.09, 23.81, 24.09, 3040
03/16/16, 23.60, 24.05, 23.60, 23.97, 2784
03/15/16, 23.52, 23.6958, 23.52, 23.6958, 1924
03/14/16, 23.70, 23.8099, 23.70, 23.8099, 2338
03/11/16, 23.45, 23.72, 23.45, 23.72, 3617
03/10/16, 23.275, 23.40, 22.8554, 22.88, 3579
03/09/16, 23.00, 23.04, 22.9899, 22.9899, 2102
03/08/16, 23.0783, 23.0783, 22.92, 22.92, 5131
03/07/16, 23.00, 23.05, 22.9799, 23.05, 2512
03/04/16, 23.25, 23.28, 23.16, 23.22, 941
03/03/16, 22.875, 23.04, 22.85, 23.04, 600
03/02/16, 22.63, 22.65, 22.61, 22.61, 2866
03/01/16, 22.69, 22.79, 22.69, 22.79, 3428
02/29/16, 22.41, 22.41, 22.08, 22.14, 1043
02/26/16, 22.46, 22.46, 22.35, 22.35, 2894
02/24/16, 21.86, 22.02, 21.7148, 22.02, 471
02/23/16, 22.46, 22.46, 22.45, 22.45, 5004
02/22/16, 22.63, 22.716, 22.63, 22.67, 4308
02/19/16, 22.51, 22.51, 22.32, 22.4292, 930
02/18/16, 22.77, 22.77, 22.56, 22.64, 1565
02/17/16, 22.37, 22.506, 22.37, 22.48, 2327
02/12/16, 21.6835, 21.72, 21.6835, 21.72, 995
02/11/16, 21.51, 21.525, 21.40, 21.4626, 3185
02/10/16, 21.77, 21.882, 21.77, 21.882, 927
02/09/16, 21.29, 21.75, 21.29, 21.63, 8538
02/08/16, 21.81, 21.81, 21.4709, 21.5599, 3876
02/05/16, 22.3694, 22.3694, 22.20, 22.20, 506
02/04/16, 22.38, 22.608, 22.38, 22.608, 977
02/03/16, 22.52, 22.52, 22.392, 22.47, 751
02/02/16, 22.53, 22.5511, 22.524, 22.524, 425
02/01/16, 22.81, 22.95, 22.7299, 22.85, 14039
01/29/16, 22.8401, 22.8401, 22.8401, 22.8401, 503
01/28/16, 22.70, 22.79, 22.6299, 22.75, 5426
01/27/16, 23.09, 23.09, 23.084, 23.084, 746
01/26/16, 22.9699, 23.04, 22.9384, 22.959, 2355
01/25/16, 22.82, 22.82, 22.60, 22.60, 1017
01/22/16, 22.8012, 22.818, 22.8012, 22.818, 575
01/21/16, 22.34, 22.5101, 22.07, 22.42, 867
01/20/16, 22.15, 22.1952, 22.03, 22.17, 2826
01/19/16, 22.72, 22.72, 22.4408, 22.58, 3159
01/15/16, 22.51, 22.554, 22.10, 22.26, 2581
01/14/16, 22.8685, 23.21, 22.8299, 23.07, 6437
01/13/16, 23.49, 23.49, 22.85, 22.913, 7928
01/12/16, 23.38, 23.44, 23.3201, 23.40, 1752
01/11/16, 23.19, 23.278, 22.9658, 23.12, 10065
01/08/16, 23.2499, 23.2499, 22.92, 22.94, 4571
01/07/16, 23.31, 23.395, 23.16, 23.16, 4151
01/06/16, 23.48, 23.6307, 23.42, 23.58, 2389
01/05/16, 23.97, 23.97, 23.69, 23.8501, 5146
01/04/16, 24.43, 24.43, 23.7837, 23.9895, 5565
12/31/15, 25.02, 25.02, 24.7201, 24.8901, 5628
12/30/15, 25.43, 25.43, 25.07, 25.07, 810
12/29/15, 25.40, 25.5369, 25.40, 25.5369, 2676
12/28/15, 25.02, 25.19, 25.02, 25.19, 11556
12/24/15, 25.13, 25.19, 25.1201, 25.17, 1142
12/23/15, 25.15, 25.20, 25.0598, 25.20, 3520
12/22/15, 24.8548, 24.8548, 24.81, 24.8401, 1280
12/21/15, 24.76, 25.175, 24.70, 24.70, 2523
12/18/15, 24.71, 24.71, 24.71, 24.71, 106
12/17/15, 25.17, 25.17, 24.9701, 24.9701, 1198
12/16/15, 24.80, 25.02, 24.80, 25.02, 12102
12/15/15, 24.652, 24.652, 24.652, 24.652, 175
12/14/15, 24.40, 24.41, 24.22, 24.22, 12745
12/11/15, 24.65, 24.65, 24.50, 24.50, 1519
12/09/15, 25.02, 25.16, 24.8652, 24.97, 3867
12/08/15, 25.14, 25.14, 25.07, 25.07, 2070
12/07/15, 25.56, 25.56, 25.40, 25.4301, 1731
12/04/15, 25.30, 25.441, 25.14, 25.441, 1366
12/03/15, 25.58, 25.58, 25.196, 25.196, 39991
12/02/15, 25.76, 25.76, 25.50, 25.50, 2812
12/01/15, 25.97, 25.97, 25.75, 25.85, 4718
11/30/15, 25.91, 25.91, 25.91, 25.91, 157
11/27/15, 25.90, 25.90, 25.74, 25.83, 4129
11/25/15, 25.52, 25.56, 25.52, 25.56, 1429
11/24/15, 25.14, 25.14, 25.14, 25.14, 239
11/23/15, 25.37, 25.37, 25.3028, 25.3028, 1063
11/20/15, 25.78, 25.78, 25.462, 25.462, 1186
11/19/15, 25.43, 25.6126, 25.43, 25.60, 1032
11/18/15, 25.04, 25.23, 25.04, 25.23, 4667
11/17/15, 25.123, 25.123, 24.9301, 24.9301, 1213
11/16/15, 24.77, 24.8301, 24.77, 24.8301, 2955
11/13/15, 24.7001, 24.7694, 24.7001, 24.7694, 819
11/12/15, 25.07, 25.08, 24.96, 24.96, 2500
11/11/15, 25.41, 25.41, 25.1801, 25.1801, 2485
11/10/15, 25.00, 25.11, 24.96, 25.11, 1598
11/09/15, 25.42, 25.42, 25.066, 25.162, 2921
11/06/15, 25.5599, 25.5599, 25.4736, 25.49, 1297
11/05/15, 25.62, 25.62, 25.42, 25.52, 2650
11/04/15, 25.78, 25.78, 25.35, 25.36, 8196
11/03/15, 25.89, 25.9001, 25.7301, 25.81, 2609
11/02/15, 25.96, 26.033, 25.96, 25.9942, 915
10/30/15, 25.804, 25.804, 25.641, 25.641, 1894
10/29/15, 25.59, 25.59, 25.4201, 25.4483, 1157
10/28/15, 25.59, 25.92, 25.5767, 25.60, 3497
10/27/15, 25.66, 25.66, 25.4201, 25.4201, 1502
10/26/15, 25.84, 25.84, 25.7001, 25.7001, 2528
10/23/15, 25.70, 25.7799, 25.6299, 25.7399, 21223
10/22/15, 25.20, 25.311, 25.20, 25.311, 2471
10/21/15, 25.10, 25.10, 24.88, 24.8811, 5562
10/20/15, 24.874, 24.8789, 24.807, 24.81, 1422
10/19/15, 24.88, 24.88, 24.72, 24.83, 1681
10/16/15, 24.77, 24.77, 24.65, 24.7633, 854
10/15/15, 24.57, 24.6991, 24.57, 24.6991, 1614
10/14/15, 24.70, 24.70, 24.43, 24.4935, 677
10/13/15, 24.52, 24.6583, 24.52, 24.65, 1642
10/12/15, 24.70, 24.7805, 24.70, 24.7805, 832
10/09/15, 24.74, 24.76, 24.62, 24.69, 6567
10/08/15, 24.2472, 24.52, 24.2406, 24.467, 10404
10/07/15, 24.36, 24.38, 24.206, 24.23, 2778
10/06/15, 23.84, 24.09, 23.84, 24.079, 4179
10/05/15, 23.796, 23.87, 23.67, 23.8499, 5818
10/02/15, 22.94, 23.43, 22.93, 23.43, 1066
10/01/15, 23.36, 23.36, 22.79, 23.01, 46047
09/30/15, 23.33, 23.4299, 23.21, 23.267, 1113
09/29/15, 22.77, 23.03, 22.77, 22.994, 1969
09/28/15, 23.01, 23.06, 22.8301, 22.89, 4510
09/25/15, 23.48, 23.48, 23.20, 23.2278, 9162
09/24/15, 22.87, 23.16, 22.814, 23.0501, 12674
09/23/15, 23.42, 23.42, 23.0606, 23.23, 3673
09/22/15, 23.35, 23.35, 22.981, 23.15, 19238
09/21/15, 24.11, 24.1402, 23.9524, 23.9524, 4071
09/18/15, 24.40, 24.43, 24.15, 24.15, 3122
09/17/15, 25.15, 25.4299, 24.95, 25.4299, 1863
09/16/15, 25.01, 25.01, 24.94, 24.95, 1501
09/15/15, 24.76, 24.902, 24.76, 24.902, 1203
09/14/15, 24.77, 24.8408, 24.68, 24.8408, 1615
09/11/15, 24.754, 24.817, 24.754, 24.817, 354
09/10/15, 24.84, 24.90, 24.695, 24.90, 1026
09/09/15, 25.32, 25.32, 24.8423, 24.8423, 3068
09/08/15, 24.66, 24.932, 24.66, 24.93, 4576
09/04/15, 24.1275, 24.1491, 24.01, 24.13, 8514
09/03/15, 24.8001, 24.8001, 24.59, 24.59, 2573
09/02/15, 24.4401, 24.4762, 24.4401, 24.47, 1440
09/01/15, 24.40, 24.40, 24.12, 24.24, 17209
08/31/15, 24.67, 24.8743, 24.61, 24.8743, 1917
08/28/15, 24.95, 24.95, 24.717, 24.88, 13997
08/27/15, 25.04, 25.19, 24.966, 25.0826, 2145
08/26/15, 24.826, 24.8799, 24.45, 24.84, 9469
08/25/15, 24.78, 25.116, 24.32, 24.36, 36581
08/24/15, 23.35, 24.61, 22.85, 24.22, 18918
08/21/15, 24.86, 25.2343, 24.4985, 24.552, 6181
08/20/15, 25.37, 25.52, 24.99, 25.00, 31807
