Date, Open, High, Low, Close, Volume
03/31/16, 70.01, 70.08, 69.96, 69.96, 1035
03/30/16, 68.80, 70.02, 68.80, 69.74, 860
03/29/16, 68.62, 68.79, 68.42, 68.42, 316
03/24/16, 67.59, 69.16, 67.59, 68.87, 420
03/23/16, 66.59, 68.40, 66.59, 68.40, 413
03/22/16, 65.73, 67.45, 65.28, 66.69, 577
03/21/16, 68.70, 68.70, 66.75, 66.75, 598
03/18/16, 68.50, 68.72, 68.50, 68.72, 188
03/17/16, 68.51, 69.11, 66.50, 68.32, 1615
03/16/16, 68.03, 68.82, 68.03, 68.63, 514
03/15/16, 68.27, 68.27, 67.50, 68.00, 442
03/14/16, 68.39, 68.80, 68.16, 68.49, 849
03/11/16, 67.44, 67.44, 66.35, 66.35, 185
03/10/16, 67.09, 68.50, 65.50, 66.27, 734
03/09/16, 66.42, 67.39, 66.42, 67.39, 60
03/08/16, 67.00, 67.00, 66.67, 66.67, 111
03/07/16, 68.99, 68.99, 66.80, 67.96, 1128
03/04/16, 68.70, 69.35, 68.23, 69.35, 1873
03/03/16, 68.16, 68.42, 68.10, 68.27, 1176
03/02/16, 70.30, 70.30, 67.67, 68.30, 1162
03/01/16, 65.04, 70.00, 65.04, 69.60, 2432
02/29/16, 64.50, 65.56, 64.50, 65.56, 513
02/26/16, 63.55, 66.05, 63.55, 64.16, 1826
02/25/16, 60.54, 63.12, 60.54, 63.12, 90
02/24/16, 62.39, 62.39, 61.25, 61.25, 96
02/23/16, 62.50, 63.64, 62.50, 63.35, 1255
02/22/16, 62.45, 63.68, 62.45, 63.20, 811
02/19/16, 62.91, 63.08, 61.78, 61.86, 302
02/18/16, 63.57, 64.41, 62.79, 63.54, 600
02/17/16, 61.00, 62.00, 61.00, 62.00, 101
02/16/16, 60.20, 61.50, 60.20, 60.95, 560
02/15/16, 57.95, 59.37, 57.95, 59.37, 0
02/12/16, 56.29, 57.33, 56.00, 56.53, 563
02/11/16, 57.20, 57.20, 56.22, 56.40, 845
02/10/16, 56.46, 59.04, 56.46, 58.46, 2995
02/09/16, 56.20, 56.31, 54.19, 56.31, 3614
02/08/16, 60.81, 60.81, 56.65, 57.04, 1215
02/05/16, 61.63, 61.63, 61.00, 61.10, 178
02/04/16, 65.80, 66.29, 61.80, 62.25, 2940
02/03/16, 64.42, 66.60, 64.42, 65.00, 1526
02/02/16, 64.30, 66.53, 64.30, 65.00, 3450
02/01/16, 65.29, 65.29, 63.74, 64.57, 2291
01/29/16, 62.61, 65.69, 62.61, 65.61, 2269
01/28/16, 62.05, 63.49, 61.89, 61.89, 3495
01/27/16, 62.29, 63.17, 61.40, 62.70, 4859
01/26/16, 58.95, 62.12, 58.95, 62.12, 2299
01/25/16, 59.93, 60.18, 59.10, 59.89, 357
01/22/16, 57.09, 60.20, 57.09, 58.80, 2170
01/21/16, 55.87, 56.74, 55.87, 56.74, 1135
01/20/16, 56.53, 56.81, 55.06, 55.59, 430
01/19/16, 56.15, 57.90, 56.15, 57.90, 621
01/18/16, 55.80, 55.91, 55.42, 55.42, 2997
01/15/16, 56.26, 56.85, 54.20, 54.20, 1168
01/14/16, 58.53, 59.04, 56.00, 56.87, 696
01/13/16, 59.35, 60.02, 59.35, 59.66, 283
01/12/16, 58.20, 59.45, 58.03, 59.45, 820
01/11/16, 58.17, 59.19, 57.92, 58.11, 1894
01/08/16, 57.53, 59.25, 57.53, 59.25, 336
01/07/16, 59.08, 59.10, 56.44, 57.56, 4366
01/06/16, 60.77, 61.41, 60.50, 60.68, 180
01/05/16, 60.60, 61.66, 60.30, 61.54, 1922
01/04/16, 60.59, 60.71, 60.20, 60.71, 790
12/30/15, 61.10, 61.39, 60.93, 61.39, 1275
12/29/15, 60.47, 61.64, 60.47, 61.59, 174
12/28/15, 60.94, 60.94, 60.36, 60.76, 426
12/23/15, 60.86, 61.35, 60.62, 61.04, 360
12/22/15, 60.87, 60.89, 60.29, 60.89, 392
12/21/15, 61.77, 62.68, 60.71, 60.71, 608
12/18/15, 62.36, 62.93, 61.84, 61.84, 320
12/17/15, 61.75, 63.81, 61.75, 62.78, 5892
12/16/15, 61.14, 62.01, 61.14, 61.50, 670
12/15/15, 60.38, 61.45, 60.38, 61.45, 290
12/14/15, 60.70, 61.00, 60.40, 60.55, 801
12/11/15, 61.10, 61.10, 60.04, 60.04, 1928
12/10/15, 61.00, 61.66, 60.89, 61.49, 320
12/09/15, 61.27, 62.04, 61.27, 61.29, 370
12/08/15, 61.90, 62.00, 61.24, 61.24, 753
12/07/15, 60.50, 61.75, 60.50, 61.45, 1092
12/04/15, 58.60, 59.37, 58.60, 59.10, 990
12/03/15, 59.49, 60.81, 58.76, 58.76, 1328
12/02/15, 60.00, 60.00, 60.00, 60.00, 183
12/01/15, 59.80, 60.77, 58.88, 59.59, 726
11/30/15, 60.29, 60.29, 59.50, 59.85, 836
11/27/15, 59.61, 60.00, 59.61, 60.00, 262
11/26/15, 59.99, 60.10, 59.83, 60.04, 1598
11/25/15, 58.31, 60.00, 58.31, 60.00, 545
11/24/15, 59.05, 59.05, 58.36, 58.36, 175
11/23/15, 58.80, 59.45, 58.60, 59.45, 2256
11/20/15, 59.00, 59.00, 58.57, 58.62, 742
11/19/15, 58.49, 58.70, 58.49, 58.68, 438
11/18/15, 57.84, 58.07, 57.68, 58.04, 1334
11/17/15, 56.70, 58.01, 56.70, 58.01, 1005
11/16/15, 53.79, 57.06, 53.79, 56.92, 4504
11/13/15, 54.25, 55.28, 53.03, 53.03, 2625
11/12/15, 56.81, 57.02, 54.37, 54.76, 1740
11/11/15, 58.48, 58.71, 56.55, 57.38, 5367
11/10/15, 61.61, 61.91, 58.50, 59.00, 4553
11/09/15, 61.81, 62.50, 60.80, 61.01, 3698
11/06/15, 59.71, 63.88, 59.50, 62.32, 5136
11/05/15, 58.21, 60.63, 57.50, 59.62, 5631
11/04/15, 57.79, 57.79, 57.79, 57.79, 0
11/03/15, 58.23, 58.55, 57.84, 57.84, 992
11/02/15, 56.72, 58.84, 56.72, 58.23, 1134
10/30/15, 56.18, 57.50, 56.18, 56.98, 1345
10/29/15, 55.60, 56.40, 55.60, 56.40, 405
10/28/15, 54.38, 55.65, 54.38, 55.65, 360
10/27/15, 54.94, 54.94, 54.94, 54.94, 0
10/26/15, 55.25, 55.25, 55.16, 55.16, 337
10/23/15, 54.43, 55.28, 54.43, 55.10, 280
10/22/15, 54.33, 54.33, 54.33, 54.33, 0
10/21/15, 53.92, 54.20, 53.92, 54.20, 537
10/20/15, 52.69, 52.69, 52.33, 52.69, 1382
10/19/15, 53.25, 53.25, 53.00, 53.00, 209
10/16/15, 52.54, 53.27, 52.54, 53.27, 501
10/15/15, 52.96, 52.96, 52.27, 52.27, 13
10/14/15, 52.86, 52.86, 52.80, 52.84, 309
10/13/15, 55.60, 55.60, 53.00, 53.00, 942
10/12/15, 56.29, 56.85, 55.47, 55.60, 197
10/09/15, 56.74, 56.74, 56.74, 56.74, 0
10/08/15, 57.26, 57.97, 57.00, 57.00, 230
10/07/15, 56.05, 57.50, 56.05, 57.50, 439
10/06/15, 56.00, 56.32, 55.59, 56.06, 889
10/05/15, 57.95, 57.95, 55.84, 55.97, 2190
10/02/15, 56.30, 57.19, 56.22, 56.22, 270
10/01/15, 55.00, 56.65, 55.00, 55.97, 2480
09/30/15, 52.84, 54.96, 52.84, 54.44, 591
09/29/15, 50.99, 53.10, 50.99, 52.20, 651
09/28/15, 53.76, 53.76, 51.30, 51.30, 50
09/25/15, 52.59, 54.10, 52.59, 54.10, 136
09/24/15, 53.00, 53.00, 51.91, 51.91, 125
09/23/15, 51.02, 53.35, 51.02, 53.30, 704
09/22/15, 56.33, 56.33, 51.73, 51.73, 2256
09/21/15, 56.69, 56.69, 55.65, 56.13, 129
09/18/15, 57.39, 57.59, 56.82, 56.82, 928
09/17/15, 57.49, 57.89, 57.49, 57.89, 75
09/16/15, 56.95, 58.09, 56.93, 57.47, 911
09/15/15, 56.00, 57.15, 55.97, 56.85, 1680
09/14/15, 55.71, 55.71, 55.70, 55.70, 25
09/11/15, 56.55, 57.40, 55.65, 55.74, 944
09/10/15, 55.62, 57.06, 55.62, 56.88, 228
09/09/15, 55.52, 57.03, 55.52, 56.46, 1420
09/08/15, 53.92, 55.16, 53.92, 55.16, 400
09/07/15, 54.07, 54.07, 53.83, 53.83, 20
09/04/15, 55.79, 55.79, 53.94, 54.34, 1200
09/03/15, 53.81, 56.39, 53.81, 56.09, 1591
09/02/15, 53.51, 54.14, 53.51, 53.65, 429
09/01/15, 54.00, 54.00, 53.00, 53.25, 1778
08/31/15, 54.45, 55.00, 54.45, 55.00, 2335
08/28/15, 54.90, 55.10, 54.58, 55.10, 1887
08/27/15, 54.99, 55.52, 54.46, 55.20, 2760
08/26/15, 52.26, 54.32, 52.26, 53.17, 1687
08/25/15, 50.55, 53.80, 50.55, 51.89, 3900
08/24/15, 49.76, 51.56, 49.12, 51.00, 3120
08/21/15, 50.00, 52.98, 50.00, 51.33, 2702
08/20/15, 54.10, 54.10, 51.60, 51.60, 570
08/19/15, 55.26, 55.48, 54.33, 54.40, 1878
08/18/15, 55.50, 55.89, 55.14, 55.89, 1014
08/17/15, 56.27, 56.50, 55.59, 55.87, 925
08/14/15, 54.41, 56.13, 54.41, 55.94, 1253
08/13/15, 54.67, 55.39, 54.67, 55.18, 1220
08/12/15, 55.03, 55.03, 53.74, 54.44, 2071
08/11/15, 55.66, 56.17, 55.59, 55.59, 2395
08/10/15, 55.10, 56.34, 54.85, 55.95, 3082
08/07/15, 54.60, 55.38, 53.50, 54.97, 2457
08/06/15, 52.30, 57.04, 52.30, 55.08, 5397
08/05/15, 52.09, 53.00, 52.09, 52.23, 2949
08/04/15, 50.35, 52.28, 50.35, 52.28, 4185
08/03/15, 49.28, 50.65, 49.28, 50.65, 1056
07/31/15, 48.97, 49.65, 48.97, 49.39, 1060
