Date, Open, High, Low, Close, Volume
03/31/16, 69.34, 69.83, 69.34, 69.83, 100
03/30/16, 68.79, 70.01, 68.79, 69.67, 550
03/29/16, 68.51, 68.51, 68.51, 68.51, 0
03/24/16, 67.59, 67.59, 67.59, 67.59, 0
03/23/16, 66.57, 66.57, 66.57, 66.57, 0
03/22/16, 65.72, 65.72, 65.72, 65.72, 0
03/21/16, 68.09, 68.09, 66.53, 66.53, 108
03/18/16, 67.89, 67.89, 67.89, 67.89, 0
03/17/16, 68.48, 68.48, 68.48, 68.48, 0
03/16/16, 67.92, 67.92, 67.92, 67.92, 0
03/15/16, 67.78, 67.78, 67.78, 67.78, 0
03/14/16, 67.96, 67.96, 67.96, 67.96, 0
03/11/16, 66.49, 66.49, 66.49, 66.49, 0
03/10/16, 67.12, 67.12, 67.12, 67.12, 0
03/09/16, 66.42, 66.42, 66.42, 66.42, 0
03/08/16, 66.55, 66.55, 66.55, 66.55, 0
03/07/16, 68.39, 68.39, 68.00, 68.00, 100
03/04/16, 68.39, 68.39, 68.39, 68.39, 0
03/03/16, 68.00, 68.68, 68.00, 68.68, 254
03/02/16, 69.80, 69.80, 69.73, 69.73, 450
03/01/16, 65.14, 70.04, 65.14, 70.04, 130
02/29/16, 63.90, 63.90, 63.90, 63.90, 12
02/26/16, 63.37, 65.64, 63.37, 65.64, 100
02/25/16, 60.71, 60.71, 60.71, 60.71, 0
02/24/16, 62.43, 62.43, 61.00, 61.00, 3
02/23/16, 62.49, 62.49, 62.49, 62.49, 0
02/22/16, 62.85, 62.85, 62.85, 62.85, 15
02/19/16, 62.91, 62.91, 62.82, 62.82, 151
02/18/16, 62.69, 64.35, 62.67, 64.35, 75
02/17/16, 60.50, 60.50, 60.50, 60.50, 0
02/16/16, 59.91, 60.42, 59.91, 60.42, 100
02/15/16, 58.02, 58.02, 58.02, 58.02, 0
02/12/16, 56.25, 56.25, 56.25, 56.25, 0
02/11/16, 56.93, 56.93, 56.93, 56.93, 0
02/10/16, 56.49, 56.49, 56.49, 56.49, 0
02/09/16, 56.19, 56.19, 55.00, 55.00, 93
02/08/16, 60.77, 60.77, 56.91, 56.91, 350
02/05/16, 61.54, 61.54, 61.54, 61.54, 0
02/04/16, 65.62, 65.62, 65.62, 65.62, 0
02/03/16, 64.40, 64.40, 64.40, 64.40, 0
02/02/16, 64.39, 65.95, 64.39, 65.34, 150
02/01/16, 65.14, 65.14, 65.14, 65.14, 0
01/29/16, 62.53, 62.53, 62.53, 62.53, 0
01/28/16, 62.07, 63.58, 62.07, 63.58, 200
01/27/16, 62.33, 62.33, 62.20, 62.20, 227
01/26/16, 59.01, 62.01, 59.01, 62.01, 25
01/25/16, 59.30, 59.30, 59.30, 59.30, 0
01/22/16, 57.11, 57.11, 57.11, 57.11, 0
01/21/16, 55.94, 56.00, 55.94, 56.00, 25
01/20/16, 56.50, 56.50, 56.50, 56.50, 0
01/19/16, 56.21, 56.21, 56.21, 56.21, 0
01/18/16, 55.29, 55.29, 55.29, 55.29, 0
01/15/16, 55.95, 55.95, 55.84, 55.84, 100
01/14/16, 58.51, 58.51, 57.14, 57.14, 250
01/13/16, 59.50, 60.00, 59.50, 60.00, 9
01/12/16, 57.86, 57.86, 57.86, 57.86, 0
01/11/16, 57.90, 58.47, 57.90, 58.47, 110
01/08/16, 57.53, 58.88, 57.53, 58.88, 170
01/07/16, 59.19, 59.19, 59.19, 59.19, 0
01/06/16, 60.76, 60.76, 60.66, 60.66, 100
01/05/16, 60.62, 60.62, 60.62, 60.62, 0
01/04/16, 60.39, 60.39, 60.00, 60.00, 25
12/30/15, 61.72, 61.72, 61.39, 61.39, 57
12/29/15, 60.50, 60.50, 60.50, 60.50, 0
12/28/15, 60.88, 60.88, 60.88, 60.88, 0
12/23/15, 60.88, 60.88, 60.78, 60.78, 100
12/22/15, 60.96, 60.96, 60.96, 60.96, 0
12/21/15, 61.78, 61.83, 61.78, 61.83, 1200
12/18/15, 62.46, 62.46, 62.46, 62.46, 0
12/17/15, 61.75, 62.54, 61.75, 62.54, 86
12/16/15, 61.09, 61.09, 61.09, 61.09, 0
12/15/15, 60.38, 60.38, 60.38, 60.38, 0
12/14/15, 60.00, 60.81, 60.00, 60.81, 100
12/11/15, 61.04, 61.04, 61.04, 61.04, 0
