Date, Open, High, Low, Close, Volume
03/31/16, 70.03, 70.03, 69.45, 69.78, 121
03/30/16, 69.30, 69.97, 69.30, 69.97, 130
03/29/16, 69.03, 69.03, 69.03, 69.03, 0
03/24/16, 67.94, 68.83, 67.94, 68.83, 15
03/23/16, 66.80, 67.61, 66.80, 67.61, 130
03/22/16, 66.24, 66.24, 66.24, 66.24, 0
03/21/16, 68.64, 68.64, 66.20, 66.20, 189
03/18/16, 68.50, 68.50, 68.50, 68.50, 0
03/17/16, 68.82, 69.39, 68.82, 69.39, 50
03/16/16, 68.42, 68.42, 68.42, 68.42, 0
03/15/16, 68.33, 68.33, 68.33, 68.33, 0
03/14/16, 68.31, 68.31, 68.31, 68.31, 0
03/11/16, 66.99, 66.99, 66.62, 66.62, 130
03/10/16, 67.62, 67.62, 65.28, 66.26, 342
03/09/16, 67.03, 67.45, 67.03, 67.45, 300
03/08/16, 67.00, 67.00, 67.00, 67.00, 0
03/07/16, 68.94, 68.94, 68.94, 68.94, 0
03/04/16, 68.55, 69.33, 67.92, 68.88, 903
03/03/16, 68.27, 68.27, 68.27, 68.27, 0
03/02/16, 70.12, 70.12, 68.24, 68.24, 100
03/01/16, 65.39, 69.06, 65.39, 69.06, 50
02/29/16, 64.50, 65.42, 64.50, 65.22, 550
02/26/16, 63.50, 65.10, 63.50, 65.10, 165
02/25/16, 61.21, 61.21, 61.21, 61.21, 0
02/24/16, 62.89, 62.89, 61.68, 61.68, 300
02/23/16, 63.08, 63.08, 63.08, 63.08, 0
02/22/16, 62.89, 63.30, 62.89, 63.30, 200
02/19/16, 63.47, 63.47, 63.47, 63.47, 0
02/18/16, 63.40, 63.40, 63.40, 63.40, 0
02/17/16, 60.89, 60.89, 60.89, 60.89, 0
02/16/16, 60.25, 60.42, 60.25, 60.42, 10
02/15/16, 58.12, 58.45, 58.12, 58.45, 100
02/12/16, 56.76, 56.76, 56.76, 56.76, 0
02/11/16, 57.30, 57.30, 57.30, 57.30, 0
02/10/16, 56.75, 58.50, 56.75, 58.35, 550
02/09/16, 57.00, 57.00, 54.44, 54.44, 600
02/08/16, 61.28, 61.28, 59.00, 59.00, 70
02/05/16, 62.08, 62.38, 62.08, 62.38, 55
02/04/16, 66.12, 66.12, 62.52, 62.52, 137
02/03/16, 65.00, 65.05, 65.00, 65.05, 100
02/02/16, 64.69, 65.54, 64.69, 65.54, 4
02/01/16, 65.62, 65.62, 64.46, 64.46, 156
01/29/16, 62.97, 63.15, 62.97, 63.15, 30
01/28/16, 62.60, 63.58, 62.16, 62.16, 488
01/27/16, 62.02, 63.02, 62.02, 62.86, 201
01/26/16, 59.00, 59.00, 58.95, 58.95, 70
01/25/16, 59.59, 59.59, 59.59, 59.59, 0
01/22/16, 57.30, 57.30, 57.30, 57.30, 0
01/21/16, 55.92, 55.92, 55.92, 55.92, 0
01/20/16, 56.82, 56.82, 55.45, 55.45, 90
01/19/16, 56.38, 56.38, 56.38, 56.38, 0
01/18/16, 55.80, 55.80, 55.80, 55.80, 0
01/15/16, 56.51, 56.51, 56.51, 56.51, 0
01/14/16, 59.09, 59.09, 56.90, 56.90, 200
01/13/16, 59.39, 59.39, 59.15, 59.15, 1
01/12/16, 57.96, 57.96, 57.96, 57.96, 0
01/11/16, 57.89, 57.89, 57.89, 57.89, 0
01/08/16, 57.50, 57.50, 57.50, 57.50, 0
01/07/16, 59.90, 59.90, 57.12, 57.12, 49
01/06/16, 61.22, 61.22, 60.74, 60.74, 120
01/05/16, 60.79, 61.22, 60.79, 61.22, 20
01/04/16, 60.79, 60.79, 60.79, 60.79, 0
12/30/15, 61.14, 61.44, 61.14, 61.44, 0
12/29/15, 61.00, 61.65, 61.00, 61.12, 69
12/28/15, 61.00, 61.00, 61.00, 61.00, 500
12/23/15, 61.34, 61.34, 61.00, 61.00, 500
12/22/15, 61.51, 61.51, 61.51, 61.51, 0
12/21/15, 62.39, 62.39, 62.39, 62.39, 0
12/18/15, 62.70, 62.70, 62.70, 62.70, 0
12/17/15, 61.75, 62.80, 61.75, 62.80, 150
12/16/15, 61.10, 61.10, 61.10, 61.10, 0
