Date, Open, High, Low, Close, Volume
03/31/16, 69.80, 70.33, 69.35, 70.22, 130951
03/30/16, 69.23, 70.32, 69.23, 69.90, 171491
03/29/16, 68.97, 69.65, 67.88, 68.85, 176265
03/24/16, 68.02, 69.68, 67.67, 68.64, 186345
03/23/16, 67.65, 68.59, 67.24, 68.12, 161273
03/22/16, 65.77, 67.53, 64.78, 66.89, 215129
03/21/16, 66.97, 67.60, 65.66, 66.05, 226213
03/18/16, 68.23, 69.15, 67.66, 68.33, 196517
03/17/16, 69.50, 70.00, 66.24, 68.11, 225828
03/16/16, 68.32, 69.00, 68.17, 68.44, 169811
03/15/16, 67.83, 68.41, 67.35, 68.17, 92552
03/14/16, 68.10, 69.36, 67.81, 68.19, 140395
03/11/16, 66.24, 67.64, 66.06, 67.51, 108532
03/10/16, 67.12, 68.84, 65.27, 65.27, 201707
03/09/16, 66.42, 67.80, 66.35, 67.38, 129077
03/08/16, 66.85, 67.36, 65.89, 66.40, 188006
03/07/16, 68.34, 68.85, 66.83, 67.66, 121049
03/04/16, 68.69, 69.55, 67.62, 68.72, 118994
03/03/16, 68.70, 68.70, 67.60, 68.50, 103715
03/02/16, 69.50, 70.24, 67.36, 68.17, 231331
03/01/16, 66.00, 70.08, 65.88, 69.92, 284624
02/29/16, 64.53, 65.93, 64.33, 65.78, 217188
02/26/16, 64.99, 66.38, 63.94, 64.90, 359371
02/25/16, 61.25, 63.24, 61.00, 62.56, 199086
02/24/16, 62.62, 63.35, 60.00, 60.42, 233694
02/23/16, 62.88, 63.90, 62.46, 62.85, 108277
02/22/16, 62.91, 63.90, 62.73, 63.44, 154990
02/19/16, 63.30, 63.68, 61.57, 62.28, 156978
02/18/16, 63.40, 64.63, 62.53, 63.57, 191481
02/17/16, 60.87, 63.00, 60.52, 62.62, 172214
02/16/16, 62.00, 62.07, 60.20, 60.60, 205260
02/15/16, 58.30, 60.56, 58.21, 60.24, 291648
02/12/16, 56.86, 57.12, 55.61, 57.12, 200502
02/11/16, 57.52, 57.52, 55.55, 55.94, 244939
02/10/16, 56.71, 59.46, 56.71, 58.21, 328749
02/09/16, 56.50, 57.08, 53.84, 56.47, 372999
02/08/16, 60.78, 60.97, 56.73, 56.87, 447144
02/05/16, 61.99, 62.81, 60.77, 60.89, 251864
02/04/16, 65.65, 65.65, 61.18, 62.00, 305899
02/03/16, 64.98, 66.95, 64.58, 65.34, 350761
02/02/16, 64.92, 66.67, 64.71, 65.26, 301870
02/01/16, 65.20, 65.44, 63.46, 64.87, 332239
01/29/16, 62.80, 65.75, 62.64, 65.60, 291180
01/28/16, 62.79, 63.61, 61.55, 62.10, 255710
01/27/16, 61.55, 63.74, 61.30, 63.26, 241050
01/26/16, 59.19, 62.09, 59.14, 61.50, 263169
01/25/16, 59.38, 60.37, 58.73, 60.14, 229811
01/22/16, 57.32, 60.43, 56.92, 59.20, 296201
01/21/16, 55.95, 56.87, 55.34, 56.46, 192327
01/20/16, 56.67, 57.52, 55.80, 56.07, 283804
01/19/16, 56.81, 58.07, 56.00, 57.96, 263690
01/18/16, 55.50, 56.38, 54.92, 55.54, 136531
01/15/16, 56.85, 57.09, 55.20, 55.72, 265345
01/14/16, 58.43, 58.43, 55.95, 56.58, 340563
01/13/16, 59.65, 60.35, 59.40, 59.54, 292175
01/12/16, 58.71, 59.61, 58.36, 59.03, 210691
01/11/16, 58.41, 59.57, 57.86, 58.61, 249652
01/08/16, 58.07, 59.74, 57.60, 58.73, 346011
01/07/16, 58.26, 58.50, 56.42, 57.71, 510352
01/06/16, 61.07, 61.92, 60.11, 60.92, 381770
01/05/16, 60.86, 61.78, 60.26, 61.45, 274636
01/04/16, 60.86, 60.97, 59.50, 60.52, 197253
12/30/15, 61.50, 61.62, 60.76, 61.48, 58683
12/29/15, 60.77, 61.65, 60.56, 61.37, 126366
12/28/15, 61.40, 61.40, 60.23, 60.26, 64957
12/23/15, 61.21, 61.40, 60.59, 61.17, 75821
12/22/15, 61.28, 61.60, 60.20, 60.42, 88510
12/21/15, 62.00, 62.82, 60.84, 60.84, 93627
12/18/15, 62.74, 62.94, 61.61, 61.94, 339266
12/17/15, 62.30, 63.97, 62.18, 63.19, 234361
12/16/15, 61.40, 62.10, 61.11, 61.40, 158811
12/15/15, 60.89, 61.52, 60.04, 61.30, 247006
12/14/15, 60.58, 61.33, 60.13, 60.31, 243811
12/11/15, 61.16, 61.31, 60.22, 60.46, 274249
12/10/15, 61.26, 61.80, 60.71, 61.36, 121350
12/09/15, 61.56, 62.17, 61.28, 61.51, 175058
12/08/15, 61.64, 62.12, 61.21, 61.50, 233024
12/07/15, 60.01, 61.84, 59.83, 61.84, 525710
12/04/15, 59.13, 59.96, 58.75, 59.60, 311349
12/03/15, 59.87, 60.94, 58.78, 59.22, 420696
12/02/15, 59.80, 60.16, 59.34, 59.83, 214471
12/01/15, 60.30, 60.88, 59.35, 59.44, 262604
11/30/15, 59.94, 60.07, 59.37, 60.07, 277913
11/27/15, 60.00, 60.10, 59.50, 59.88, 122861
11/26/15, 59.92, 60.12, 59.69, 59.92, 185496
11/25/15, 58.55, 59.91, 58.34, 59.80, 247928
11/24/15, 58.78, 59.10, 57.80, 58.50, 196344
11/23/15, 58.30, 59.26, 58.13, 59.26, 339053
11/20/15, 58.71, 58.88, 58.20, 58.40, 144880
11/19/15, 58.25, 58.88, 57.97, 58.42, 180856
11/18/15, 57.75, 58.07, 57.35, 57.77, 240018
11/17/15, 56.80, 57.90, 56.38, 57.75, 306050
11/16/15, 53.90, 56.56, 53.90, 56.44, 554640
11/13/15, 54.78, 55.46, 52.60, 53.84, 497659
11/12/15, 57.09, 57.21, 54.06, 54.53, 523354
11/11/15, 57.70, 58.10, 56.53, 57.04, 807299
11/10/15, 61.58, 62.20, 61.26, 61.70, 192208
11/09/15, 61.87, 62.94, 61.30, 61.55, 291894
11/06/15, 58.75, 64.22, 58.75, 62.45, 627244
11/05/15, 58.10, 60.84, 57.68, 60.16, 535973
11/04/15, 56.40, 57.89, 55.69, 56.29, 262237
11/03/15, 58.84, 58.84, 57.53, 58.09, 164046
11/02/15, 56.85, 58.93, 56.85, 58.44, 206249
10/30/15, 56.63, 57.98, 56.59, 57.26, 277840
10/29/15, 55.90, 56.59, 55.75, 56.31, 156278
10/28/15, 54.54, 55.50, 54.52, 55.48, 128883
10/27/15, 54.96, 55.36, 54.41, 54.53, 110678
10/26/15, 55.05, 55.81, 54.92, 55.30, 139443
10/23/15, 54.69, 55.66, 54.52, 55.00, 176563
10/22/15, 54.63, 54.86, 53.45, 54.29, 219790
10/21/15, 53.61, 55.03, 53.51, 54.74, 203699
10/20/15, 52.92, 53.61, 52.18, 53.30, 184771
10/19/15, 53.25, 53.89, 52.75, 53.04, 189553
10/16/15, 53.00, 53.54, 52.68, 53.14, 144938
10/15/15, 53.09, 53.31, 52.20, 52.50, 202348
10/14/15, 53.26, 53.63, 52.53, 52.91, 188052
10/13/15, 55.69, 55.69, 53.20, 53.69, 239616
10/12/15, 56.73, 57.12, 55.60, 55.79, 148459
10/09/15, 56.92, 57.49, 56.27, 56.56, 179324
10/08/15, 57.48, 58.15, 56.14, 56.50, 179903
10/07/15, 56.50, 57.99, 56.50, 57.54, 238772
10/06/15, 56.05, 56.64, 55.91, 56.28, 238509
10/05/15, 57.65, 57.65, 55.96, 56.13, 297954
10/02/15, 56.89, 57.36, 56.06, 56.79, 236862
10/01/15, 55.29, 56.87, 55.23, 56.34, 347195
09/30/15, 54.00, 55.22, 53.53, 54.78, 259530
09/29/15, 50.61, 53.15, 50.52, 52.35, 261246
09/28/15, 53.60, 53.70, 51.41, 51.55, 231030
09/25/15, 53.50, 54.31, 53.13, 53.93, 198331
09/24/15, 53.51, 54.39, 51.73, 52.14, 340495
09/23/15, 51.76, 54.03, 51.08, 53.40, 321173
09/22/15, 56.45, 56.67, 51.68, 51.87, 456764
09/21/15, 56.35, 57.34, 55.56, 56.42, 282496
09/18/15, 57.50, 57.51, 56.14, 57.02, 185708
09/17/15, 58.00, 58.00, 57.26, 57.70, 153344
09/16/15, 57.18, 58.79, 57.09, 57.70, 270192
09/15/15, 56.39, 57.22, 55.83, 56.79, 126291
09/14/15, 55.80, 56.50, 55.51, 56.00, 180577
09/11/15, 56.68, 57.49, 55.06, 55.65, 378009
09/10/15, 55.83, 57.25, 55.75, 56.65, 122667
09/09/15, 55.50, 57.15, 55.40, 56.46, 251238
09/08/15, 54.60, 55.46, 54.59, 55.05, 209099
09/07/15, 54.47, 54.75, 53.61, 54.07, 111503
09/04/15, 55.64, 55.64, 53.37, 53.88, 220387
09/03/15, 54.23, 56.88, 54.03, 56.38, 229832
09/02/15, 53.71, 54.57, 53.58, 53.59, 181932
09/01/15, 54.05, 54.40, 52.94, 53.71, 181614
08/31/15, 54.80, 55.04, 54.11, 55.02, 98724
08/28/15, 54.91, 55.37, 54.45, 55.02, 165913
08/27/15, 54.79, 55.54, 53.89, 55.05, 241048
08/26/15, 51.88, 54.51, 51.50, 52.94, 288314
08/25/15, 50.71, 53.97, 50.46, 52.80, 427276
08/24/15, 50.00, 50.80, 48.45, 50.07, 337333
08/21/15, 51.05, 53.42, 50.65, 51.75, 274030
08/20/15, 54.00, 54.27, 51.88, 52.10, 300070
08/19/15, 55.54, 55.78, 54.55, 54.55, 151235
08/18/15, 55.31, 56.41, 55.03, 56.05, 162094
08/17/15, 56.30, 56.75, 55.21, 55.57, 143095
08/14/15, 54.96, 56.15, 54.65, 55.85, 178894
08/13/15, 54.74, 55.47, 54.60, 54.80, 127966
08/12/15, 54.92, 55.00, 53.67, 54.03, 213307
08/11/15, 56.07, 56.49, 55.65, 55.83, 268506
08/10/15, 55.24, 56.30, 54.96, 56.16, 180569
08/07/15, 54.55, 55.64, 53.26, 55.12, 219010
08/06/15, 54.00, 57.50, 53.85, 54.78, 575405
08/05/15, 52.40, 53.40, 52.01, 52.49, 236115
08/04/15, 51.09, 52.34, 51.03, 52.22, 238485
08/03/15, 49.82, 50.80, 49.41, 50.65, 139971
07/31/15, 49.29, 49.74, 48.94, 49.58, 114454
07/30/15, 48.99, 49.21, 48.28, 49.15, 152236
07/29/15, 49.30, 49.58, 48.22, 48.62, 161497
07/28/15, 48.17, 49.15, 48.10, 49.09, 203460
07/27/15, 50.01, 50.05, 47.86, 47.97, 189777
07/24/15, 49.90, 51.26, 49.83, 50.07, 277747
07/23/15, 49.53, 49.53, 48.74, 49.19, 87510
07/22/15, 48.90, 49.23, 48.61, 49.03, 71849
07/21/15, 49.36, 49.60, 49.15, 49.34, 212300
07/20/15, 48.85, 49.74, 48.64, 49.44, 82180
07/17/15, 49.10, 49.69, 48.91, 49.17, 144882
07/16/15, 47.82, 49.21, 47.62, 49.06, 207194
07/15/15, 46.83, 47.39, 46.58, 47.30, 95419
07/14/15, 47.27, 47.27, 46.35, 47.01, 112678
07/13/15, 47.68, 48.13, 47.20, 47.60, 111584
07/10/15, 46.60, 47.38, 46.31, 47.28, 147062
07/09/15, 44.71, 45.76, 44.71, 45.66, 152398
07/08/15, 45.27, 45.49, 44.74, 44.74, 179331
07/07/15, 46.44, 46.54, 45.28, 45.44, 290284
07/06/15, 46.31, 47.09, 46.31, 46.48, 170360
07/03/15, 46.90, 47.77, 46.88, 47.43, 203585
07/02/15, 46.88, 47.23, 46.77, 47.00, 149884
07/01/15, 46.24, 47.74, 46.20, 47.00, 184454
06/30/15, 45.78, 46.40, 44.88, 45.49, 204619
06/29/15, 44.60, 45.96, 44.50, 45.65, 313239
06/26/15, 46.49, 47.18, 46.32, 46.86, 122975
06/25/15, 46.77, 47.43, 46.39, 46.59, 140897
06/24/15, 48.24, 48.24, 46.90, 47.09, 190437
06/23/15, 48.50, 48.50, 47.84, 47.93, 125082
06/22/15, 47.30, 48.16, 47.10, 47.70, 142072
06/19/15, 45.97, 46.99, 45.92, 46.26, 238116
06/18/15, 45.55, 45.87, 44.39, 45.77, 194704
06/17/15, 46.96, 47.18, 45.95, 45.95, 139050
06/16/15, 45.83, 47.29, 45.11, 47.05, 170629
06/15/15, 46.82, 46.84, 45.55, 46.04, 143847
06/12/15, 48.15, 48.40, 46.81, 47.42, 114478
06/11/15, 48.52, 49.26, 48.34, 48.47, 144625
06/10/15, 46.88, 48.95, 46.55, 48.80, 161291
06/09/15, 46.27, 46.94, 45.31, 46.84, 216582
06/08/15, 47.21, 47.32, 46.34, 46.49, 154830
06/05/15, 47.35, 47.60, 46.78, 47.09, 119539
06/04/15, 48.31, 48.50, 47.39, 47.55, 115582
06/03/15, 48.50, 48.89, 48.04, 48.63, 122108
06/02/15, 47.75, 48.45, 47.27, 48.21, 171938
06/01/15, 48.05, 48.39, 47.40, 47.62, 152735
05/29/15, 49.14, 49.14, 47.87, 47.87, 152975
05/28/15, 49.99, 50.03, 48.91, 49.16, 150705
05/27/15, 49.30, 50.12, 48.93, 50.00, 180171
05/26/15, 49.94, 50.07, 48.48, 48.66, 199055
05/22/15, 50.40, 50.40, 49.38, 49.42, 172316
05/21/15, 49.61, 50.41, 49.61, 50.31, 91607
05/20/15, 50.39, 50.58, 49.37, 49.92, 130050
05/19/15, 49.37, 50.87, 49.37, 50.51, 254528
05/18/15, 49.29, 49.78, 48.73, 49.29, 117329
05/15/15, 48.90, 50.70, 48.50, 49.09, 301603
05/14/15, 47.45, 48.68, 47.01, 48.62, 173183
05/13/15, 49.33, 49.50, 47.57, 47.74, 272485
