Date, Open, High, Low, Close, Volume
03/31/16, 75.65, 75.65, 75.65, 75.65, 0
03/30/16, 76.05, 76.05, 76.05, 76.05, 0
03/29/16, 74.25, 74.25, 74.25, 74.25, 0
03/24/16, 74.05, 74.05, 74.05, 74.05, 0
03/23/16, 73.85, 73.85, 73.85, 73.85, 0
03/22/16, 72.05, 72.05, 72.05, 72.05, 0
03/21/16, 71.55, 71.55, 71.55, 71.55, 0
03/18/16, 74.10, 74.10, 74.10, 74.10, 0
03/17/16, 74.00, 74.00, 74.00, 74.00, 0
03/16/16, 74.15, 74.15, 74.15, 74.15, 0
03/15/16, 74.20, 74.20, 74.20, 74.20, 0
03/14/16, 73.75, 73.75, 73.75, 73.75, 0
03/11/16, 73.60, 73.60, 73.60, 73.60, 0
03/10/16, 71.70, 71.70, 71.70, 71.70, 0
03/09/16, 73.65, 73.65, 73.65, 73.65, 0
03/08/16, 72.30, 72.30, 72.30, 72.30, 0
03/07/16, 73.15, 73.15, 73.15, 73.15, 0
03/04/16, 74.15, 74.15, 74.15, 74.15, 0
03/03/16, 73.80, 73.80, 73.80, 73.80, 0
03/02/16, 73.30, 73.30, 73.30, 73.30, 187
03/01/16, 74.70, 74.70, 74.70, 74.70, 0
02/29/16, 70.30, 70.30, 70.30, 70.30, 0
02/26/16, 69.95, 69.95, 69.95, 69.95, 0
02/25/16, 67.60, 67.60, 67.60, 67.60, 0
02/24/16, 64.95, 64.95, 64.95, 64.95, 0
02/23/16, 68.00, 68.00, 68.00, 68.00, 0
02/22/16, 69.00, 69.00, 69.00, 69.00, 0
02/19/16, 67.75, 67.75, 67.75, 67.75, 0
02/18/16, 69.25, 69.25, 69.25, 69.25, 0
02/17/16, 68.40, 68.40, 68.40, 68.40, 0
02/16/16, 65.75, 65.75, 65.75, 65.75, 0
02/15/16, 65.65, 65.65, 65.65, 65.65, 0
02/12/16, 61.85, 61.85, 61.85, 61.85, 0
02/11/16, 61.25, 61.25, 61.25, 61.25, 0
02/10/16, 63.15, 63.15, 63.15, 63.15, 0
02/09/16, 61.50, 61.50, 61.50, 61.50, 0
02/08/16, 62.10, 62.10, 62.10, 62.10, 0
02/05/16, 67.20, 67.20, 67.20, 67.20, 0
02/04/16, 68.35, 68.35, 68.35, 68.35, 0
02/03/16, 73.45, 73.45, 73.45, 73.45, 205
02/02/16, 71.50, 71.50, 71.50, 71.50, 0
02/01/16, 71.00, 71.00, 71.00, 71.00, 0
01/29/16, 71.70, 71.70, 71.70, 71.70, 0
01/28/16, 68.40, 68.40, 68.40, 68.40, 0
01/27/16, 69.45, 69.45, 69.45, 69.45, 0
01/26/16, 67.50, 67.50, 67.50, 67.50, 0
01/25/16, 65.75, 65.75, 65.75, 65.75, 0
01/22/16, 64.25, 64.25, 64.25, 64.25, 0
01/21/16, 61.50, 61.50, 61.50, 61.50, 0
01/20/16, 60.50, 60.50, 60.50, 60.50, 0
01/19/16, 63.00, 63.00, 63.00, 63.00, 0
01/18/16, 60.15, 60.15, 60.15, 60.15, 0
01/15/16, 62.80, 62.80, 62.80, 62.80, 11
01/14/16, 61.30, 61.30, 61.30, 61.30, 0
01/13/16, 64.35, 64.35, 64.35, 64.35, 0
01/12/16, 63.60, 63.60, 63.60, 63.60, 0
01/11/16, 63.25, 63.25, 63.25, 63.25, 0
01/08/16, 63.50, 63.50, 63.50, 63.50, 0
01/07/16, 62.35, 62.35, 62.35, 62.35, 0
01/06/16, 65.70, 65.70, 65.70, 65.70, 0
01/05/16, 65.80, 65.80, 65.80, 65.80, 0
01/04/16, 65.15, 65.15, 65.15, 65.15, 0
12/30/15, 65.65, 65.65, 65.65, 65.65, 0
12/29/15, 65.55, 65.55, 65.55, 65.55, 0
12/28/15, 65.05, 65.05, 65.05, 65.05, 0
12/23/15, 66.95, 66.95, 65.50, 65.50, 42
12/22/15, 65.10, 65.10, 65.10, 65.10, 0
12/21/15, 65.40, 65.40, 65.40, 65.40, 0
12/18/15, 66.25, 66.25, 66.25, 66.25, 0
12/17/15, 67.50, 67.50, 67.50, 67.50, 0
12/16/15, 65.45, 65.45, 65.45, 65.45, 0
12/15/15, 65.75, 65.75, 65.75, 65.75, 0
12/14/15, 64.45, 64.45, 64.45, 64.45, 0
12/11/15, 64.65, 64.65, 64.65, 64.65, 0
12/10/15, 65.75, 65.75, 65.75, 65.75, 0
12/09/15, 65.90, 65.90, 65.90, 65.90, 0
12/08/15, 66.25, 66.25, 66.25, 66.25, 0
12/07/15, 66.60, 66.60, 66.60, 66.60, 0
12/04/15, 64.10, 64.10, 64.10, 64.10, 0
12/03/15, 64.10, 64.10, 64.10, 64.10, 0
12/02/15, 64.25, 64.25, 64.25, 64.25, 0
12/01/15, 64.10, 64.10, 64.10, 64.10, 0
11/30/15, 64.85, 64.85, 64.85, 64.85, 0
11/27/15, 65.00, 65.00, 65.00, 65.00, 0
11/26/15, 64.90, 64.90, 64.90, 64.90, 0
11/25/15, 64.65, 64.65, 64.65, 64.65, 0
11/24/15, 62.95, 62.95, 62.95, 62.95, 0
11/23/15, 63.55, 63.55, 63.55, 63.55, 0
11/20/15, 62.55, 62.55, 62.55, 62.55, 0
11/19/15, 62.95, 62.95, 62.95, 62.95, 0
11/18/15, 62.20, 62.20, 62.20, 62.20, 0
