Date, Open, High, Low, Close, Volume
03/31/16, 701, 710, 685, 686, 105500
03/30/16, 701, 713, 699, 701, 102300
03/29/16, 700, 710, 692, 703, 81900
03/28/16, 712, 717, 701, 715, 107300
03/25/16, 717, 717, 700, 705, 117400
03/24/16, 718, 721, 710, 717, 92300
03/23/16, 721, 727, 716, 724, 101500
03/22/16, 712, 722, 708, 720, 160600
03/18/16, 708, 731, 686, 691, 391600
03/17/16, 693, 714, 692, 703, 175800
03/16/16, 698, 698, 675, 683, 118900
03/15/16, 676, 707, 674, 693, 184300
03/14/16, 690, 702, 681, 686, 137100
03/11/16, 658, 675, 653, 673, 271900
03/10/16, 631, 651, 622, 648, 170500
03/09/16, 627, 630, 609, 617, 95200
03/08/16, 617, 625, 600, 617, 106700
03/07/16, 621, 630, 611, 616, 72900
03/04/16, 612, 623, 603, 617, 76900
03/03/16, 603, 607, 597, 607, 63100
03/02/16, 598, 614, 589, 595, 133200
03/01/16, 598, 598, 571, 581, 115500
02/29/16, 601, 612, 592, 592, 71400
02/26/16, 594, 604, 589, 592, 88500
02/25/16, 592, 607, 589, 594, 136600
02/24/16, 595, 607, 578, 582, 145900
02/23/16, 617, 638, 601, 601, 174100
02/22/16, 594, 620, 593, 605, 98000
02/19/16, 606, 606, 583, 598, 107200
02/18/16, 600, 616, 600, 609, 173300
02/17/16, 575, 612, 575, 586, 149400
02/16/16, 589, 597, 568, 575, 179000
02/15/16, 567, 583, 563, 579, 147100
02/12/16, 565, 573, 545, 547, 141400
02/10/16, 596, 597, 568, 575, 262500
02/09/16, 590, 611, 575, 585, 251400
02/08/16, 666, 680, 609, 615, 563900
02/05/16, 737, 760, 733, 756, 82300
02/04/16, 743, 751, 738, 746, 54100
02/03/16, 733, 750, 703, 749, 128300
02/02/16, 756, 756, 742, 746, 49300
02/01/16, 765, 767, 749, 759, 92300
01/29/16, 750, 768, 733, 759, 86100
01/28/16, 754, 765, 743, 757, 36500
01/27/16, 766, 768, 744, 755, 45200
01/26/16, 762, 768, 748, 750, 61800
01/25/16, 803, 805, 760, 785, 120100
01/22/16, 688, 766, 688, 758, 152800
01/21/16, 699, 722, 675, 676, 137900
01/20/16, 738, 744, 700, 701, 88200
01/19/16, 735, 740, 720, 733, 48900
01/18/16, 737, 748, 722, 731, 125300
01/15/16, 770, 787, 753, 758, 73900
01/14/16, 760, 764, 742, 759, 140000
01/13/16, 765, 790, 765, 785, 86400
01/12/16, 769, 797, 760, 760, 111400
01/08/16, 783, 803, 775, 784, 106700
01/07/16, 800, 804, 784, 798, 113300
01/06/16, 813, 819, 793, 806, 107300
01/05/16, 780, 827, 780, 813, 195500
01/04/16, 814, 817, 774, 776, 133500
12/30/15, 812, 837, 808, 823, 146300
12/29/15, 770, 807, 762, 806, 124500
12/28/15, 790, 793, 765, 775, 186000
12/25/15, 809, 814, 790, 794, 79000
12/24/15, 832, 840, 799, 801, 95300
12/22/15, 829, 837, 813, 829, 59500
12/21/15, 826, 830, 810, 828, 82300
12/18/15, 828, 851, 817, 828, 99000
12/17/15, 843, 843, 816, 827, 126200
12/16/15, 825, 834, 820, 828, 85300
12/15/15, 830, 842, 815, 817, 98400
12/14/15, 818, 827, 792, 824, 141600
12/11/15, 801, 835, 800, 833, 204900
12/10/15, 845, 845, 797, 800, 220400
12/09/15, 831, 853, 814, 832, 261800
12/08/15, 872, 877, 832, 838, 327800
12/07/15, 873, 890, 870, 872, 236300
12/04/15, 870, 892, 855, 868, 407700
12/03/15, 834, 877, 825, 873, 362600
12/02/15, 826, 855, 820, 820, 339400
12/01/15, 850, 858, 826, 834, 437800
11/30/15, 784, 838, 784, 834, 426300
11/27/15, 758, 778, 757, 774, 130600
11/26/15, 796, 796, 763, 767, 176400
11/25/15, 798, 800, 791, 796, 97400
11/24/15, 779, 797, 779, 794, 160600
11/20/15, 784, 790, 767, 776, 201300
11/19/15, 760, 792, 755, 792, 218900
11/18/15, 720, 756, 720, 755, 200200
11/17/15, 718, 729, 712, 717, 133600
11/16/15, 710, 720, 710, 717, 105300
11/13/15, 696, 720, 691, 720, 169800
11/12/15, 700, 706, 694, 698, 81900
11/11/15, 702, 710, 699, 702, 108100
11/10/15, 697, 708, 691, 706, 165800
11/09/15, 670, 689, 668, 689, 185200
11/06/15, 653, 664, 649, 657, 92600
11/05/15, 650, 665, 650, 656, 138300
11/04/15, 640, 661, 636, 654, 355000
11/02/15, 625, 640, 613, 634, 512100
10/30/15, 580, 593, 578, 585, 75200
10/29/15, 580, 590, 575, 580, 93100
10/28/15, 573, 585, 573, 577, 36400
10/27/15, 584, 584, 567, 573, 28400
10/26/15, 598, 598, 581, 583, 39500
10/23/15, 590, 593, 581, 591, 35500
10/22/15, 585, 588, 579, 584, 11900
10/21/15, 576, 585, 574, 585, 23500
10/20/15, 579, 580, 572, 577, 10300
10/19/15, 578, 582, 568, 572, 19300
10/16/15, 580, 583, 572, 576, 15200
10/15/15, 564, 590, 564, 572, 47700
10/14/15, 578, 578, 570, 573, 17400
10/13/15, 583, 592, 574, 583, 36800
