Date, Open, High, Low, Close, Volume
03/31/16, 15.98, 15.98, 15.98, 15.98, 0
03/30/16, 16.04, 16.04, 16.04, 16.04, 0
03/29/16, 15.89, 15.89, 15.89, 15.89, 0
03/24/16, 15.55, 15.55, 15.55, 15.55, 0
03/23/16, 15.63, 15.63, 15.63, 15.63, 0
03/22/16, 15.64, 15.64, 15.64, 15.64, 0
03/21/16, 15.62, 15.62, 15.62, 15.62, 0
03/18/16, 15.72, 15.72, 15.72, 15.72, 0
03/17/16, 15.58, 15.58, 15.58, 15.58, 0
03/16/16, 15.35, 15.35, 15.35, 15.35, 0
03/15/16, 15.05, 15.05, 15.05, 15.05, 0
03/14/16, 15.34, 15.34, 15.34, 15.34, 0
03/11/16, 15.29, 15.29, 15.29, 15.29, 0
03/10/16, 15.74, 15.74, 15.74, 15.74, 0
03/09/16, 15.95, 15.95, 15.95, 15.95, 0
03/08/16, 15.76, 15.76, 15.76, 15.76, 0
03/07/16, 15.80, 15.80, 15.80, 15.80, 0
03/04/16, 15.89, 15.89, 15.89, 15.89, 0
03/03/16, 15.94, 15.94, 15.94, 15.94, 0
03/02/16, 16.07, 16.07, 16.07, 16.07, 0
03/01/16, 16.01, 16.01, 16.01, 16.01, 0
02/29/16, 15.19, 15.19, 15.19, 15.19, 0
02/26/16, 15.10, 15.10, 15.10, 15.10, 0
02/25/16, 15.18, 15.18, 15.18, 15.18, 0
02/24/16, 15.27, 15.27, 15.27, 15.27, 0
02/23/16, 15.12, 15.12, 15.12, 15.12, 0
02/22/16, 15.24, 15.24, 15.24, 15.24, 0
02/19/16, 15.07, 15.07, 15.07, 15.07, 0
02/18/16, 15.18, 15.18, 15.18, 15.18, 0
02/17/16, 14.84, 14.84, 14.84, 14.84, 0
02/16/16, 14.35, 14.35, 14.35, 14.35, 0
02/15/16, 14.27, 14.27, 14.27, 14.27, 0
02/12/16, 13.49, 13.49, 13.49, 13.49, 0
02/11/16, 13.48, 13.48, 13.48, 13.48, 0
02/10/16, 13.42, 13.42, 13.42, 13.42, 0
02/09/16, 13.62, 13.62, 13.62, 13.62, 0
02/08/16, 13.92, 13.92, 13.92, 13.92, 0
02/05/16, 14.26, 14.26, 14.26, 14.26, 0
02/04/16, 14.35, 14.35, 14.35, 14.35, 0
02/03/16, 14.72, 14.72, 14.72, 14.72, 0
02/02/16, 14.94, 14.94, 14.94, 14.94, 0
02/01/16, 14.83, 14.83, 14.83, 14.83, 0
01/29/16, 14.50, 14.50, 14.50, 14.50, 0
01/28/16, 14.60, 14.60, 14.60, 14.60, 0
01/27/16, 14.91, 14.91, 14.91, 14.91, 0
01/26/16, 14.88, 14.88, 14.88, 14.88, 0
01/25/16, 14.93, 14.93, 14.93, 14.93, 0
01/22/16, 14.52, 14.52, 14.52, 14.52, 0
01/21/16, 14.42, 14.42, 14.42, 14.42, 0
01/20/16, 14.54, 14.54, 14.54, 14.54, 0
01/19/16, 14.46, 14.46, 14.46, 14.46, 0
01/18/16, 14.44, 14.44, 14.44, 14.44, 0
01/15/16, 14.62, 14.62, 14.62, 14.62, 0
01/14/16, 14.62, 14.62, 14.62, 14.62, 0
01/13/16, 14.98, 14.98, 14.98, 14.98, 0
01/12/16, 14.68, 14.68, 14.68, 14.68, 0
01/11/16, 14.35, 14.35, 14.35, 14.35, 0
01/08/16, 14.50, 14.50, 14.50, 14.50, 0
01/07/16, 14.56, 14.56, 14.56, 14.56, 0
01/06/16, 14.74, 14.74, 14.74, 14.74, 0
01/05/16, 14.11, 14.11, 14.11, 14.11, 0
01/04/16, 14.47, 14.47, 14.47, 14.47, 0
12/30/15, 14.68, 14.68, 14.68, 14.68, 0
12/29/15, 14.57, 14.57, 14.57, 14.57, 0
12/28/15, 14.48, 14.48, 14.48, 14.48, 0
12/23/15, 14.48, 14.48, 14.48, 14.48, 0
12/22/15, 14.67, 14.67, 14.67, 14.67, 0
12/21/15, 14.59, 14.59, 14.59, 14.59, 0
12/18/15, 14.69, 14.69, 14.69, 14.69, 0
12/17/15, 14.80, 14.80, 14.80, 14.80, 0
12/16/15, 14.73, 14.73, 14.73, 14.73, 0
12/15/15, 14.48, 14.48, 14.48, 14.48, 0
12/14/15, 14.54, 14.54, 14.54, 14.54, 0
12/11/15, 15.06, 15.06, 15.06, 15.06, 0
12/10/15, 15.10, 15.10, 15.10, 15.10, 0
12/09/15, 15.52, 15.52, 15.52, 15.52, 0
12/08/15, 15.54, 15.54, 15.54, 15.54, 0
12/07/15, 15.50, 15.50, 15.50, 15.50, 0
12/04/15, 15.31, 15.31, 15.31, 15.31, 0
12/03/15, 16.12, 16.12, 16.12, 16.12, 0
12/02/15, 15.98, 15.98, 15.98, 15.98, 0
12/01/15, 16.15, 16.15, 16.15, 16.15, 0
11/30/15, 16.29, 16.29, 16.29, 16.29, 0
11/27/15, 16.21, 16.21, 16.21, 16.21, 0
11/26/15, 16.23, 16.23, 16.23, 16.23, 0
11/25/15, 16.00, 16.00, 16.00, 16.00, 0
11/24/15, 16.11, 16.11, 16.11, 16.11, 0
11/23/15, 16.08, 16.08, 16.08, 16.08, 0
11/20/15, 15.77, 15.77, 15.77, 15.77, 0
11/19/15, 15.63, 15.63, 15.63, 15.63, 0
11/18/15, 15.71, 15.71, 15.71, 15.71, 0
11/17/15, 15.58, 15.58, 15.58, 15.58, 0
11/16/15, 15.19, 15.19, 15.19, 15.19, 0
11/13/15, 15.41, 15.41, 15.41, 15.41, 0
11/12/15, 15.69, 15.69, 15.69, 15.69, 0
11/11/15, 15.59, 16.08, 15.59, 16.08, 110
11/10/15, 15.28, 15.28, 15.28, 15.28, 0
11/09/15, 15.38, 15.38, 15.38, 15.38, 0
11/06/15, 15.02, 15.02, 15.02, 15.02, 0
11/05/15, 14.55, 14.55, 14.55, 14.55, 0
11/04/15, 14.63, 14.63, 14.63, 14.63, 0
11/03/15, 14.70, 14.70, 14.70, 14.70, 0
11/02/15, 13.92, 13.92, 13.92, 13.92, 0
10/30/15, 13.91, 13.91, 13.91, 13.91, 0
10/29/15, 14.39, 14.39, 14.39, 14.39, 0
10/28/15, 13.76, 13.76, 13.76, 13.76, 0
10/27/15, 14.17, 14.17, 14.17, 14.17, 0
10/26/15, 14.02, 14.02, 14.02, 14.02, 0
10/23/15, 13.79, 13.79, 13.79, 13.79, 0
10/22/15, 13.30, 13.30, 13.30, 13.30, 0
10/21/15, 13.60, 13.60, 13.60, 13.60, 0
10/20/15, 13.69, 13.69, 13.69, 13.69, 0
10/19/15, 13.48, 13.48, 13.48, 13.48, 0
10/16/15, 13.42, 13.42, 13.42, 13.42, 0
10/15/15, 12.97, 12.97, 12.97, 12.97, 0
10/14/15, 13.38, 13.38, 13.38, 13.38, 0
10/13/15, 13.55, 13.55, 13.55, 13.55, 0
10/12/15, 13.92, 13.92, 13.92, 13.92, 0
10/09/15, 14.27, 14.27, 14.27, 14.27, 0
10/08/15, 14.38, 14.38, 14.38, 14.38, 0
10/07/15, 14.31, 14.31, 14.31, 14.31, 0
10/06/15, 14.58, 14.58, 14.58, 14.58, 0
10/05/15, 14.24, 14.24, 14.24, 14.24, 0
10/02/15, 14.14, 14.14, 14.14, 14.14, 0
10/01/15, 14.42, 14.42, 14.42, 14.42, 0
09/30/15, 14.28, 14.28, 14.28, 14.28, 0
09/29/15, 14.16, 14.16, 14.16, 14.16, 0
09/28/15, 14.32, 14.32, 14.32, 14.32, 0
09/25/15, 14.40, 14.40, 14.40, 14.40, 0
09/24/15, 14.50, 14.50, 14.41, 14.41, 0
09/23/15, 14.56, 14.56, 14.56, 14.56, 0
09/22/15, 14.57, 14.57, 14.57, 14.57, 0
09/21/15, 14.59, 14.59, 14.59, 14.59, 0
09/18/15, 14.40, 14.40, 14.40, 14.40, 0
09/17/15, 14.52, 14.52, 14.52, 14.52, 0
09/16/15, 14.48, 14.48, 14.48, 14.48, 0
09/15/15, 14.38, 14.38, 14.38, 14.38, 0
09/14/15, 14.29, 14.29, 14.29, 14.29, 0
09/11/15, 14.16, 14.16, 14.16, 14.16, 0
09/10/15, 14.30, 14.30, 14.30, 14.30, 0
09/09/15, 14.67, 14.67, 14.67, 14.67, 0
09/08/15, 14.42, 14.42, 14.42, 14.42, 0
09/07/15, 14.52, 14.52, 14.52, 14.52, 0
09/04/15, 14.60, 14.60, 14.60, 14.60, 0
09/03/15, 14.48, 14.48, 14.48, 14.48, 0
09/02/15, 14.06, 14.06, 14.06, 14.06, 0
09/01/15, 14.10, 14.10, 14.10, 14.10, 0
08/31/15, 14.31, 14.31, 14.31, 14.31, 0
08/28/15, 14.35, 14.35, 14.35, 14.35, 0
08/27/15, 14.12, 14.12, 14.12, 14.12, 0
08/26/15, 13.66, 13.66, 13.66, 13.66, 0
08/25/15, 13.42, 13.42, 13.42, 13.42, 0
08/24/15, 14.07, 14.07, 14.07, 14.07, 0
08/21/15, 14.34, 14.34, 14.34, 14.34, 0
08/20/15, 14.75, 14.75, 14.63, 14.63, 0
08/19/15, 14.83, 14.83, 14.83, 14.83, 0
08/18/15, 15.12, 15.12, 15.12, 15.12, 0
08/17/15, 14.91, 14.91, 14.91, 14.91, 0
08/14/15, 14.82, 14.82, 14.82, 14.82, 0
08/13/15, 14.76, 14.76, 14.76, 14.76, 0
08/12/15, 14.90, 14.90, 14.69, 14.69, 0
08/11/15, 15.12, 15.12, 15.12, 15.12, 0
08/10/15, 15.16, 15.16, 15.16, 15.16, 0
08/07/15, 15.12, 15.12, 15.12, 15.12, 0
08/06/15, 15.60, 15.60, 15.60, 15.60, 0
08/05/15, 15.77, 15.77, 15.77, 15.77, 0
08/04/15, 15.59, 15.59, 15.59, 15.59, 0
08/03/15, 15.82, 15.82, 15.82, 15.82, 0
07/31/15, 14.78, 14.78, 14.78, 14.78, 0
07/30/15, 14.72, 14.72, 14.72, 14.72, 0
07/29/15, 14.45, 14.45, 14.45, 14.45, 0
07/28/15, 14.25, 14.25, 14.25, 14.25, 0
07/27/15, 14.26, 14.27, 14.26, 14.27, 0
07/24/15, 14.39, 14.39, 14.39, 14.39, 0
07/23/15, 14.78, 14.78, 14.46, 14.46, 0
07/22/15, 14.56, 14.56, 14.56, 14.56, 0
07/21/15, 14.70, 14.70, 14.70, 14.70, 0
07/20/15, 14.80, 14.80, 14.80, 14.80, 0
07/17/15, 14.84, 14.84, 14.84, 14.84, 0
07/16/15, 14.73, 14.73, 14.73, 14.73, 0
07/15/15, 14.94, 14.94, 14.94, 14.94, 0
07/14/15, 14.86, 14.86, 14.86, 14.86, 0
07/13/15, 14.48, 14.48, 14.48, 14.48, 0
07/10/15, 14.27, 14.27, 14.27, 14.27, 0
07/09/15, 14.24, 14.24, 14.24, 14.24, 0
07/08/15, 14.47, 14.47, 14.47, 14.47, 0
07/07/15, 14.37, 14.37, 14.37, 14.37, 0
07/06/15, 14.37, 14.37, 14.37, 14.37, 0
07/03/15, 14.34, 14.34, 14.34, 14.34, 0
