Date, Open, High, Low, Close, Volume
03/31/16, 18.50, 18.66, 18.28, 18.41, 701839
03/30/16, 18.47, 18.78, 18.34, 18.45, 370960
03/29/16, 17.90, 18.58, 17.692, 18.48, 554023
03/28/16, 17.65, 18.07, 17.535, 17.94, 888552
03/24/16, 17.41, 17.66, 17.3428, 17.53, 301903
03/23/16, 17.56, 17.72, 17.42, 17.53, 243715
03/22/16, 17.62, 17.92, 17.48, 17.66, 241317
03/21/16, 17.67, 17.90, 17.43, 17.77, 292455
03/18/16, 17.99, 18.00, 17.72, 17.76, 499698
03/17/16, 17.61, 17.98, 17.47, 17.92, 327083
03/16/16, 17.13, 17.76, 16.93, 17.67, 744950
03/15/16, 16.87, 17.19, 16.87, 17.19, 1124883
03/14/16, 17.23, 17.34, 16.84, 16.87, 392333
03/11/16, 17.31, 17.4199, 17.06, 17.28, 239087
03/10/16, 17.60, 17.67, 17.23, 17.24, 244673
03/09/16, 17.85, 17.85, 17.36, 17.44, 324962
03/08/16, 17.48, 17.89, 17.46, 17.67, 380807
03/07/16, 17.34, 17.68, 17.305, 17.53, 229382
03/04/16, 17.48, 17.765, 16.521, 17.52, 336425
03/03/16, 17.51, 17.615, 17.31, 17.56, 182944
03/02/16, 17.62, 17.7683, 17.47, 17.48, 281880
03/01/16, 17.62, 17.8289, 17.49, 17.60, 645929
02/29/16, 16.98, 17.70, 16.97, 17.57, 749620
02/26/16, 16.95, 16.965, 16.625, 16.79, 242530
02/25/16, 16.97, 16.97, 16.63, 16.85, 249034
02/24/16, 16.88, 16.97, 16.775, 16.91, 159172
02/23/16, 16.78, 17.09, 16.64, 16.99, 384373
02/22/16, 17.23, 17.23, 16.8215, 16.85, 188013
02/19/16, 16.88, 17.23, 16.4328, 17.11, 422674
02/18/16, 17.06, 17.28, 16.84, 16.91, 227256
02/17/16, 16.76, 17.26, 16.69, 17.09, 424374
02/16/16, 16.15, 16.75, 16.13, 16.73, 348286
02/12/16, 16.17, 16.59, 15.62, 16.18, 468968
02/11/16, 15.21, 15.47, 14.90, 15.43, 330584
02/10/16, 15.40, 15.71, 15.36, 15.38, 235532
02/09/16, 15.34, 15.66, 14.96, 15.32, 365357
02/08/16, 15.50, 15.675, 15.00, 15.41, 787913
02/05/16, 16.13, 16.23, 15.66, 15.67, 487007
02/04/16, 15.98, 16.21, 15.91, 16.13, 291978
02/03/16, 16.30, 16.50, 15.87, 16.06, 252178
02/02/16, 16.37, 16.56, 16.20, 16.23, 282038
02/01/16, 16.18, 16.52, 16.14, 16.47, 266628
01/29/16, 15.97, 16.29, 15.86, 16.25, 387655
01/28/16, 16.16, 16.19, 15.95, 15.97, 218810
01/27/16, 16.35, 16.42, 16.00, 16.04, 198034
01/26/16, 16.35, 16.59, 16.21, 16.36, 569549
01/25/16, 16.33, 16.46, 16.14, 16.31, 345276
01/22/16, 16.01, 16.48, 15.985, 16.30, 171437
01/21/16, 15.86, 16.06, 15.685, 15.89, 335716
01/20/16, 15.92, 16.149, 15.419, 15.88, 450069
