Date, Open, High, Low, Close, Volume
03/31/16, 24.32, 24.44, 24.21, 24.415, 8213
03/30/16, 24.47, 24.47, 24.12, 24.35, 9300
03/29/16, 24.40, 24.47, 24.3892, 24.46, 5433
03/28/16, 24.43, 24.47, 24.384, 24.46, 2281
03/24/16, 24.1569, 24.37, 24.12, 24.3396, 24263
03/23/16, 24.27, 24.37, 24.11, 24.2739, 25816
03/22/16, 24.27, 24.30, 24.27, 24.299, 18884
03/21/16, 24.25, 24.32, 24.21, 24.30, 20014
03/18/16, 24.1971, 24.30, 24.19, 24.25, 8646
03/17/16, 24.25, 24.30, 24.0801, 24.30, 6062
03/16/16, 24.27, 24.35, 24.1486, 24.24, 8487
03/15/16, 24.21, 24.34, 24.1144, 24.2982, 10403
03/14/16, 24.05, 24.202, 24.05, 24.16, 1785
03/11/16, 24.02, 24.0214, 24.011, 24.02, 2408
03/10/16, 24.34, 24.34, 23.97, 24.02, 16038
03/09/16, 24.0208, 24.31, 24.00, 24.1893, 8060
03/08/16, 24.16, 24.16, 23.97, 24.1499, 11985
03/07/16, 24.16, 24.21, 24.00, 24.15, 12734
03/04/16, 23.87, 24.09, 23.87, 24.054, 15359
03/03/16, 23.8584, 23.90, 23.791, 23.90, 11128
03/02/16, 23.779, 23.8621, 23.76, 23.84, 9727
03/01/16, 23.80, 23.80, 23.72, 23.75, 17910
02/29/16, 23.91, 23.91, 23.73, 23.75, 9130
02/26/16, 23.72, 24.00, 23.70, 23.72, 42230
02/25/16, 23.75, 23.79, 23.6501, 23.75, 15616
02/24/16, 23.75, 23.80, 23.61, 23.7925, 15290
02/23/16, 23.64, 23.90, 23.64, 23.80, 6884
02/22/16, 23.80, 23.80, 23.64, 23.69, 4367
02/19/16, 23.76, 23.76, 23.60, 23.601, 10188
02/18/16, 23.78, 23.78, 23.71, 23.7635, 5460
02/17/16, 23.79, 23.80, 23.75, 23.7871, 6200
02/16/16, 23.80, 23.92, 23.5688, 23.70, 8087
02/12/16, 23.68, 23.95, 23.6142, 23.80, 7931
02/11/16, 23.42, 23.70, 23.25, 23.54, 34665
02/10/16, 23.67, 23.81, 23.60, 23.65, 6614
02/09/16, 23.65, 23.83, 23.53, 23.62, 19145
02/08/16, 23.65, 23.84, 23.65, 23.71, 11696
02/05/16, 23.76, 23.85, 23.68, 23.84, 12665
02/04/16, 23.85, 23.97, 23.76, 23.76, 9871
02/03/16, 23.86, 23.93, 23.76, 23.7801, 6748
02/02/16, 23.74, 23.8525, 23.70, 23.8525, 8086
02/01/16, 23.65, 23.95, 23.65, 23.92, 9483
01/29/16, 23.7183, 23.80, 23.70, 23.75, 7020
01/28/16, 23.78, 23.80, 23.59, 23.80, 8909
01/27/16, 23.58, 23.80, 23.501, 23.6925, 9366
01/26/16, 23.75, 23.76, 23.35, 23.56, 8835
01/25/16, 23.4836, 23.80, 23.4836, 23.62, 19452
01/22/16, 23.85, 23.85, 23.40, 23.80, 15893
01/21/16, 23.77, 23.8899, 23.51, 23.51, 15884
01/20/16, 23.64, 23.70, 22.95, 23.69, 35902
01/19/16, 23.89, 23.99, 23.69, 23.8432, 14760
01/15/16, 23.84, 23.99, 23.6001, 23.99, 25649
01/14/16, 23.832, 23.86, 23.75, 23.8543, 10171
01/13/16, 23.65, 23.8999, 23.46, 23.75, 10710
01/12/16, 23.301, 23.96, 23.301, 23.96, 16147
01/11/16, 23.25, 23.899, 23.25, 23.78, 8675
01/08/16, 23.75, 23.79, 23.59, 23.65, 7685
01/07/16, 23.56, 23.80, 23.41, 23.62, 6972
01/06/16, 23.63, 23.80, 23.61, 23.69, 13975
01/05/16, 23.88, 23.89, 23.59, 23.85, 14194
01/04/16, 23.63, 23.98, 23.48, 23.90, 27587
12/31/15, 23.46, 23.709, 23.35, 23.60, 6527
12/30/15, 23.5036, 23.5742, 23.13, 23.41, 10817
