Date, Open, High, Low, Close, Volume
03/31/16, 26.08, 26.09, 26.08, 26.09, 23
03/30/16, 26.06, 26.08, 26.01, 26.08, 5246
03/29/16, 26.17, 26.17, 26.15, 26.15, 3626
03/24/16, 26.14, 26.15, 26.12, 26.14, 1134
03/23/16, 26.04, 26.08, 26.03, 26.08, 733
03/22/16, 26.14, 26.16, 26.11, 26.15, 3501
03/21/16, 26.16, 26.16, 26.16, 26.16, 112
03/18/16, 26.15, 26.15, 26.15, 26.15, 439
03/17/16, 26.17, 26.17, 26.17, 26.17, 439
03/16/16, 26.02, 26.02, 26.02, 26.02, 115
03/15/16, 26.07, 26.07, 26.04, 26.06, 4429
03/14/16, 26.00, 26.00, 25.97, 25.97, 1941
03/11/16, 26.09, 26.11, 26.07, 26.07, 5436
03/10/16, 26.13, 26.17, 26.10, 26.15, 3074
03/09/16, 26.20, 26.20, 26.18, 26.19, 5490
03/08/16, 26.15, 26.20, 26.15, 26.20, 3703
03/07/16, 26.14, 26.14, 26.05, 26.13, 308
03/04/16, 26.19, 26.19, 26.16, 26.19, 3061
03/03/16, 26.21, 26.21, 26.14, 26.14, 3705
03/02/16, 26.29, 26.31, 26.29, 26.30, 6687
03/01/16, 26.40, 26.44, 26.40, 26.42, 1435
02/29/16, 26.38, 26.38, 26.38, 26.38, 3418
02/26/16, 26.33, 26.33, 26.29, 26.29, 7880
02/25/16, 26.28, 26.36, 26.28, 26.36, 346
02/24/16, 26.32, 26.32, 26.32, 26.32, 3661
02/23/16, 26.31, 26.31, 26.31, 26.31, 2392
02/22/16, 26.27, 26.27, 26.21, 26.22, 3746
02/19/16, 26.20, 26.29, 26.20, 26.29, 1793
02/18/16, 26.18, 26.20, 26.15, 26.15, 5552
02/17/16, 26.35, 26.35, 26.35, 26.35, 0
02/16/16, 26.20, 26.20, 26.18, 26.18, 10163
02/12/16, 26.45, 26.45, 26.32, 26.35, 2745
02/11/16, 26.34, 26.34, 26.32, 26.32, 1997
02/09/16, 26.26, 26.32, 26.26, 26.32, 16916
02/08/16, 26.15, 26.15, 26.12, 26.13, 13261
02/05/16, 26.18, 26.18, 26.14, 26.14, 3641
02/04/16, 26.14, 26.14, 26.14, 26.14, 5750
02/03/16, 26.11, 26.11, 26.11, 26.11, 43
02/02/16, 26.10, 26.11, 26.10, 26.11, 2611
02/01/16, 26.13, 26.13, 26.13, 26.13, 1132
01/29/16, 25.99, 26.10, 25.99, 26.04, 8768
01/27/16, 26.00, 26.00, 25.98, 25.99, 11381
01/25/16, 25.96, 25.96, 25.92, 25.93, 13225
01/22/16, 25.99, 25.99, 25.96, 25.97, 6651
01/21/16, 26.03, 26.03, 26.03, 26.03, 316
01/20/16, 25.96, 26.00, 25.96, 26.00, 2178
01/19/16, 25.00, 25.00, 25.00, 25.00, 0
01/18/16, 26.05, 26.05, 25.98, 25.98, 6029
01/15/16, 25.95, 25.95, 25.95, 25.95, 2360
01/14/16, 25.95, 25.98, 25.95, 25.97, 16461
01/11/16, 25.99, 26.00, 25.86, 25.88, 4190
01/08/16, 25.94, 25.94, 25.93, 25.93, 1087
01/07/16, 25.94, 25.94, 25.94, 25.94, 527
01/06/16, 25.80, 25.89, 25.80, 25.85, 6244
01/05/16, 25.86, 25.86, 25.85, 25.85, 2746
01/04/16, 25.86, 25.86, 25.76, 25.76, 4301
12/31/15, 25.80, 25.80, 25.80, 25.80, 2000
12/30/15, 25.81, 25.81, 25.81, 25.81, 5000
12/29/15, 25.78, 25.92, 25.78, 25.92, 5689
12/24/15, 25.95, 26.04, 25.95, 26.04, 10278
12/23/15, 25.84, 25.84, 25.84, 25.84, 0
12/22/15, 26.00, 26.02, 26.00, 26.01, 3426
12/21/15, 25.96, 26.01, 25.96, 26.01, 1598
12/18/15, 25.95, 25.97, 25.93, 25.97, 24208
12/17/15, 25.82, 25.84, 25.82, 25.84, 5683
12/16/15, 25.93, 25.93, 25.93, 25.93, 6559
12/15/15, 25.90, 25.90, 25.82, 25.90, 8017
12/14/15, 25.90, 25.90, 25.89, 25.90, 15193
12/11/15, 25.77, 25.92, 25.77, 25.84, 44790
12/10/15, 25.83, 25.84, 25.83, 25.84, 5080
12/09/15, 25.88, 25.90, 25.88, 25.90, 8804
12/08/15, 25.76, 25.85, 25.76, 25.85, 7260
12/07/15, 25.74, 25.79, 25.74, 25.75, 8330
12/04/15, 25.80, 25.80, 25.76, 25.79, 1925
12/03/15, 25.89, 25.89, 25.83, 25.83, 1923
12/02/15, 25.85, 25.85, 25.85, 25.85, 200
12/01/15, 25.89, 25.89, 25.89, 25.89, 4823
11/30/15, 25.95, 25.95, 25.88, 25.88, 17194
11/27/15, 25.90, 25.90, 25.87, 25.87, 6576
11/26/15, 25.75, 25.75, 25.75, 25.75, 0
