Date, Open, High, Low, Close
03/31/16, 4440.36, 4440.36, 4440.36, 4440.36
03/30/16, 4438.59, 4438.59, 4438.59, 4438.59
03/29/16, 4310.60, 4310.60, 4310.60, 4310.60
03/24/16, 4287.46, 4287.46, 4287.46, 4287.46
03/23/16, 4334.40, 4334.40, 4334.40, 4334.40
03/22/16, 4335.40, 4335.40, 4335.40, 4335.40
03/21/16, 4349.49, 4349.49, 4349.49, 4349.49
03/18/16, 4380.34, 4380.34, 4380.34, 4380.34
03/17/16, 4347.19, 4347.19, 4347.19, 4347.19
03/16/16, 4258.76, 4258.76, 4258.76, 4258.76
03/15/16, 4255.57, 4255.57, 4255.57, 4255.57
03/14/16, 4289.59, 4289.59, 4289.59, 4289.59
03/11/16, 4265.58, 4265.58, 4265.58, 4265.58
03/10/16, 4180.69, 4180.69, 4180.69, 4180.69
03/09/16, 4178.94, 4178.94, 4178.94, 4178.94
03/08/16, 4180.15, 4180.15, 4180.15, 4180.15
03/07/16, 4223.79, 4223.79, 4223.79, 4223.79
03/04/16, 4248.50, 4248.50, 4248.50, 4248.50
03/03/16, 4176.85, 4176.85, 4176.85, 4176.85
03/02/16, 4144.18, 4144.18, 4144.18, 4144.18
03/01/16, 4161.66, 4161.66, 4161.66, 4161.66
02/29/16, 4105.34, 4105.34, 4105.34, 4105.34
02/26/16, 4084.16, 4084.16, 4084.16, 4084.16
02/25/16, 4070.03, 4070.03, 4070.03, 4070.03
02/24/16, 3997.52, 3997.70, 3997.52, 3997.70
02/23/16, 4077.49, 4077.49, 4077.49, 4077.49
02/22/16, 4100.58, 4100.58, 4100.58, 4100.58
02/19/16, 4078.42, 4078.42, 4078.42, 4078.42
02/18/16, 4099.57, 4099.57, 4099.57, 4099.57
02/17/16, 4051.33, 4051.33, 4051.33, 4051.33
02/16/16, 3933.13, 3933.13, 3933.13, 3933.13
02/15/16, 3963.46, 3963.46, 3963.46, 3963.46
02/12/16, 3855.24, 3855.24, 3855.24, 3855.24
02/11/16, 3818.51, 3818.51, 3818.51, 3818.51
02/10/16, 3883.68, 3883.68, 3883.68, 3883.68
02/09/16, 3826.09, 3826.09, 3826.09, 3826.09
02/08/16, 3809.19, 3809.19, 3809.19, 3809.19
02/05/16, 4013.62, 4013.62, 4013.62, 4013.62
