Date, Open, High, Low, Close
03/31/16, 4002.32, 4002.32, 4002.32, 4002.32
03/30/16, 4010.51, 4010.51, 4010.51, 4010.51
03/29/16, 3902.71, 3902.71, 3902.71, 3902.71
03/24/16, 3847.92, 3847.92, 3847.92, 3847.92
03/23/16, 3885.14, 3885.14, 3885.14, 3885.14
03/22/16, 3865.64, 3865.64, 3865.64, 3865.64
03/21/16, 3913.52, 3913.52, 3913.52, 3913.52
03/18/16, 3946.33, 3946.33, 3946.33, 3946.33
03/17/16, 3992.00, 3992.00, 3992.00, 3992.00
03/16/16, 3851.55, 3851.55, 3851.55, 3851.55
03/15/16, 3865.12, 3865.12, 3865.12, 3865.12
03/14/16, 3888.88, 3888.88, 3888.88, 3888.88
03/11/16, 3892.75, 3892.75, 3892.75, 3892.75
03/10/16, 3794.37, 3794.37, 3794.37, 3794.37
03/09/16, 3808.35, 3808.35, 3808.35, 3808.35
03/08/16, 3776.11, 3776.11, 3776.11, 3776.11
03/07/16, 3769.23, 3769.23, 3769.23, 3769.23
03/04/16, 3798.68, 3798.68, 3798.68, 3798.68
03/03/16, 3736.06, 3736.06, 3736.06, 3736.06
03/02/16, 3742.09, 3742.09, 3742.09, 3742.09
03/01/16, 3740.21, 3740.21, 3740.21, 3740.21
02/29/16, 3670.00, 3670.00, 3670.00, 3670.00
02/26/16, 3660.39, 3660.39, 3660.39, 3660.39
02/25/16, 3665.42, 3665.42, 3665.42, 3665.42
02/24/16, 3610.45, 3610.45, 3610.45, 3610.45
02/23/16, 3666.90, 3666.90, 3666.90, 3666.90
02/22/16, 3681.27, 3681.27, 3681.27, 3681.27
02/19/16, 3698.82, 3698.82, 3698.82, 3698.82
02/18/16, 3741.26, 3741.26, 3741.26, 3741.26
02/17/16, 3757.32, 3757.32, 3757.32, 3757.32
02/16/16, 3712.30, 3712.30, 3712.30, 3712.30
02/15/16, 3684.42, 3684.42, 3684.42, 3684.42
02/12/16, 3617.06, 3617.06, 3617.06, 3617.06
02/11/16, 3609.06, 3609.06, 3609.06, 3609.06
02/10/16, 3598.94, 3598.94, 3598.94, 3598.94
02/09/16, 3631.15, 3631.15, 3631.15, 3631.15
02/08/16, 3603.16, 3603.16, 3603.16, 3603.16
02/05/16, 3620.10, 3620.10, 3620.10, 3620.10
02/04/16, 3697.98, 3697.98, 3697.98, 3697.98
02/03/16, 3761.30, 3761.30, 3761.30, 3761.30
02/02/16, 3756.48, 3756.48, 3756.46, 3756.46
02/01/16, 3768.54, 3768.54, 3768.54, 3768.54
01/29/16, 3734.71, 3734.71, 3734.71, 3734.71
01/28/16, 3660.76, 3660.76, 3660.76, 3660.76
01/27/16, 3629.19, 3629.19, 3629.19, 3629.19
01/26/16, 3568.62, 3568.62, 3568.62, 3568.62
01/25/16, 3536.22, 3536.22, 3536.22, 3536.22
01/22/16, 3524.38, 3524.38, 3524.38, 3524.38
01/21/16, 3415.85, 3415.85, 3415.85, 3415.85
01/20/16, 3423.00, 3423.00, 3423.00, 3423.00
01/19/16, 3493.15, 3493.15, 3493.15, 3493.15
01/18/16, 3502.81, 3502.81, 3502.81, 3502.81
01/15/16, 3485.23, 3485.23, 3485.23, 3485.23
01/14/16, 3540.94, 3540.94, 3540.94, 3540.94
01/13/16, 3633.22, 3633.22, 3633.22, 3633.22
01/12/16, 3592.37, 3592.37, 3592.37, 3592.37
01/11/16, 3575.26, 3575.26, 3575.26, 3575.26
01/08/16, 3563.54, 3563.54, 3563.54, 3563.54
01/07/16, 3593.05, 3593.05, 3593.05, 3593.05
01/06/16, 3665.76, 3665.76, 3665.76, 3665.76
01/05/16, 3642.91, 3642.91, 3642.91, 3642.91
01/04/16, 3639.61, 3639.61, 3639.61, 3639.61
12/31/15, 3729.11, 3729.11, 3729.11, 3729.11
12/30/15, 3764.33, 3764.33, 3764.33, 3764.33
12/29/15, 3774.36, 3774.36, 3774.36, 3774.36
12/28/15, 3758.46, 3758.46, 3758.46, 3758.46
12/24/15, 3768.19, 3768.19, 3768.19, 3768.19
12/23/15, 3726.97, 3726.97, 3726.97, 3726.97
12/22/15, 3642.41, 3642.41, 3642.41, 3642.41
12/21/15, 3648.71, 3648.71, 3648.71, 3648.71
12/18/15, 3652.07, 3652.07, 3652.07, 3652.07
12/17/15, 3709.63, 3709.63, 3709.63, 3709.63
12/16/15, 3724.27, 3724.27, 3724.27, 3724.27
12/15/15, 3710.99, 3710.99, 3710.99, 3710.99
12/14/15, 3634.36, 3634.36, 3634.36, 3634.36
12/11/15, 3661.61, 3661.61, 3661.61, 3661.61
12/10/15, 3726.63, 3726.63, 3726.63, 3726.63
12/09/15, 3773.92, 3773.92, 3773.92, 3773.92
12/08/15, 3778.38, 3778.38, 3778.38, 3778.38
12/07/15, 3840.16, 3840.16, 3840.16, 3840.16
12/04/15, 3808.46, 3808.46, 3808.46, 3808.46
12/03/15, 3819.91, 3819.91, 3819.91, 3819.91
12/02/15, 3864.03, 3864.03, 3864.03, 3864.03
12/01/15, 3885.51, 3885.51, 3885.51, 3885.51
11/30/15, 3863.44, 3863.44, 3863.44, 3863.44
11/27/15, 3889.31, 3889.31, 3889.31, 3889.31
11/26/15, 3889.14, 3889.14, 3889.14, 3889.14
11/25/15, 3856.01, 3856.01, 3856.01, 3856.01
11/24/15, 3831.00, 3831.00, 3831.00, 3831.00
11/23/15, 3868.68, 3868.68, 3868.68, 3868.68
11/20/15, 3890.70, 3890.70, 3890.70, 3890.70
11/19/15, 3880.33, 3880.33, 3880.33, 3880.33
11/18/15, 3833.68, 3833.68, 3833.68, 3833.68
11/17/15, 3847.42, 3847.42, 3847.42, 3847.42
11/16/15, 3791.94, 3791.94, 3791.94, 3791.94
11/13/15, 3720.29, 3720.29, 3720.29, 3720.29
11/12/15, 3743.77, 3743.77, 3743.77, 3743.77
11/11/15, 3791.51, 3791.51, 3791.51, 3791.51
