Date, Open, High, Low, Close
03/31/16, 4707.68, 4707.68, 4707.68, 4707.68
03/30/16, 4705.50, 4705.50, 4705.50, 4705.50
03/29/16, 4627.35, 4627.35, 4627.35, 4627.35
03/24/16, 4624.21, 4624.21, 4624.21, 4624.21
03/23/16, 4634.91, 4634.91, 4634.91, 4634.91
03/22/16, 4662.83, 4662.83, 4662.83, 4662.83
03/21/16, 4653.60, 4653.60, 4653.60, 4653.60
03/18/16, 4714.49, 4714.49, 4714.49, 4714.49
03/17/16, 4707.03, 4707.03, 4707.03, 4707.03
03/16/16, 4710.86, 4710.86, 4710.86, 4710.86
03/15/16, 4752.64, 4752.64, 4752.64, 4752.64
03/14/16, 4829.24, 4829.24, 4829.24, 4829.24
03/11/16, 4769.94, 4769.94, 4769.94, 4769.94
03/10/16, 4724.08, 4724.08, 4724.08, 4724.08
03/09/16, 4702.84, 4702.84, 4702.84, 4702.84
03/08/16, 4751.36, 4751.36, 4751.36, 4751.36
03/07/16, 4780.31, 4780.31, 4780.31, 4780.31
03/04/16, 4720.85, 4720.85, 4720.85, 4720.85
03/03/16, 4495.87, 4495.87, 4495.87, 4495.87
03/02/16, 4555.20, 4555.20, 4555.20, 4555.20
03/01/16, 4563.56, 4563.56, 4563.56, 4563.56
02/29/16, 4511.70, 4511.70, 4511.70, 4511.70
02/26/16, 4533.81, 4533.81, 4533.81, 4533.81
02/25/16, 4501.30, 4501.30, 4501.30, 4501.30
02/24/16, 4398.63, 4398.63, 4398.63, 4398.63
02/23/16, 4535.26, 4535.26, 4535.26, 4535.26
02/22/16, 4483.79, 4483.79, 4483.79, 4483.79
02/19/16, 4412.66, 4412.66, 4412.66, 4412.66
02/18/16, 4430.77, 4430.77, 4430.77, 4430.77
02/17/16, 4393.93, 4393.93, 4393.93, 4393.93
02/16/16, 4298.51, 4298.51, 4298.51, 4298.51
02/15/16, 4369.08, 4369.08, 4369.08, 4369.08
02/12/16, 4202.14, 4202.14, 4202.14, 4202.14
02/11/16, 4191.22, 4191.22, 4191.22, 4191.22
02/10/16, 4187.38, 4187.38, 4187.38, 4187.38
02/09/16, 4012.69, 4012.69, 4012.69, 4012.69
02/08/16, 4042.75, 4042.75, 4042.75, 4042.75
02/05/16, 4249.70, 4249.70, 4249.70, 4249.70
