Date, Open, High, Low, Close
03/31/16, 6393.79, 6393.79, 6393.79, 6393.79
03/30/16, 6389.02, 6389.02, 6389.02, 6389.02
03/29/16, 6282.91, 6282.91, 6282.91, 6282.91
03/24/16, 6278.64, 6278.64, 6278.64, 6278.64
03/23/16, 6293.16, 6293.16, 6293.16, 6293.16
03/22/16, 6325.67, 6325.67, 6325.67, 6325.67
03/21/16, 6313.15, 6313.15, 6313.15, 6313.15
03/18/16, 6343.70, 6343.70, 6343.70, 6343.70
03/17/16, 6333.65, 6333.65, 6333.65, 6333.65
03/16/16, 6338.80, 6338.80, 6338.80, 6338.80
03/15/16, 6395.03, 6395.03, 6395.03, 6395.03
03/14/16, 6497.64, 6497.64, 6497.64, 6497.64
03/11/16, 6417.86, 6417.86, 6417.86, 6417.86
03/10/16, 6355.52, 6355.52, 6355.52, 6355.52
03/09/16, 6326.94, 6326.94, 6326.94, 6326.94
03/08/16, 6392.21, 6392.21, 6392.21, 6392.21
03/07/16, 6431.17, 6431.17, 6431.17, 6431.17
03/04/16, 6351.17, 6351.17, 6351.17, 6351.17
03/03/16, 6048.49, 6048.49, 6048.49, 6048.49
03/02/16, 6128.31, 6128.31, 6128.31, 6128.31
03/01/16, 6139.56, 6139.56, 6139.56, 6139.56
02/29/16, 6069.79, 6069.79, 6069.79, 6069.79
02/26/16, 6099.54, 6099.54, 6099.54, 6099.54
02/25/16, 6055.80, 6055.80, 6055.80, 6055.80
02/24/16, 5914.66, 5914.66, 5914.66, 5914.66
02/23/16, 6098.38, 6098.38, 6098.38, 6098.38
02/22/16, 6029.17, 6029.17, 6029.17, 6029.17
02/19/16, 5933.52, 5933.52, 5933.52, 5933.52
02/18/16, 5957.88, 5957.88, 5957.88, 5957.88
02/17/16, 5908.33, 5908.33, 5908.33, 5908.33
02/16/16, 5780.03, 5780.03, 5780.03, 5780.03
02/15/16, 5874.93, 5874.93, 5874.93, 5874.93
02/12/16, 5650.44, 5650.44, 5650.44, 5650.44
02/11/16, 5635.76, 5635.76, 5635.76, 5635.76
02/10/16, 5630.61, 5630.61, 5630.61, 5630.61
02/09/16, 5395.70, 5395.70, 5395.70, 5395.70
02/08/16, 5436.12, 5436.12, 5436.12, 5436.12
02/05/16, 5714.40, 5714.40, 5714.40, 5714.40
02/04/16, 5808.93, 5808.93, 5808.93, 5808.93
02/03/16, 5931.38, 5931.38, 5931.38, 5931.38
02/02/16, 6204.69, 6204.69, 6204.69, 6204.69
