Date, Open, High, Low, Close, Volume
03/31/16, 464.00, 464.00, 464.00, 464.00, 1029
03/30/16, 464.00, 464.00, 464.00, 464.00, 97
03/29/16, 464.00, 464.00, 464.00, 464.00, 600
03/28/16, 464.00, 464.00, 464.00, 464.00, 18106
03/23/16, 464.00, 464.00, 464.00, 464.00, 462
03/22/16, 464.00, 464.00, 464.00, 464.00, 1078
03/21/16, 464.00, 464.00, 464.00, 464.00, 1051
03/18/16, 464.00, 464.00, 464.00, 464.00, 468
03/17/16, 464.00, 464.00, 464.00, 464.00, 235
03/16/16, 464.00, 464.00, 464.00, 464.00, 7195
03/15/16, 464.00, 464.00, 464.00, 464.00, 3052
03/14/16, 464.00, 464.00, 464.00, 464.00, 5788
03/11/16, 445.00, 464.00, 445.00, 464.00, 9766
03/10/16, 406.20, 446.30, 406.20, 444.90, 19083
03/09/16, 426.00, 426.00, 391.30, 405.80, 15832
03/08/16, 429.00, 432.00, 403.00, 420.30, 35254
03/04/16, 413.10, 413.10, 385.00, 399.40, 14734
03/03/16, 385.90, 432.40, 373.00, 408.70, 20438
03/02/16, 332.10, 383.90, 325.00, 369.50, 10489
03/01/16, 285.00, 325.90, 285.00, 322.90, 29169
02/29/16, 281.00, 290.00, 280.40, 290.00, 680
02/26/16, 280.00, 288.90, 280.00, 286.10, 1782
02/25/16, 285.00, 292.00, 285.00, 287.50, 2867
02/24/16, 290.00, 298.90, 283.10, 285.10, 2284
02/23/16, 295.00, 308.00, 291.00, 296.20, 3367
02/22/16, 296.00, 296.00, 287.20, 294.80, 4558
02/19/16, 300.00, 300.00, 284.00, 285.90, 5748
02/18/16, 282.00, 309.00, 282.00, 294.70, 2045
02/17/16, 288.30, 297.80, 283.00, 289.60, 3493
02/16/16, 293.20, 299.00, 286.60, 288.30, 9231
02/15/16, 322.00, 322.00, 285.00, 292.80, 12466
02/12/16, 325.00, 335.90, 296.10, 299.30, 7920
02/11/16, 322.20, 339.80, 320.00, 328.60, 5013
02/10/16, 348.40, 348.40, 326.10, 330.80, 935
02/09/16, 349.90, 349.90, 334.10, 337.40, 3540
02/08/16, 350.00, 350.10, 340.30, 346.20, 3181
02/05/16, 354.80, 357.00, 328.50, 340.10, 3538
02/04/16, 346.80, 366.00, 341.00, 347.70, 2280
02/03/16, 373.00, 374.90, 345.00, 353.90, 6965
02/02/16, 387.00, 387.00, 370.00, 376.40, 1377
02/01/16, 389.90, 390.00, 384.00, 385.40, 1775
01/29/16, 396.60, 397.00, 385.40, 391.20, 5963
01/28/16, 399.80, 400.00, 392.40, 397.60, 469
01/27/16, 393.00, 404.80, 391.30, 393.90, 495
01/25/16, 403.30, 408.90, 392.20, 400.50, 1709
01/22/16, 367.90, 404.00, 367.90, 395.50, 9109
01/21/16, 355.00, 376.10, 350.00, 371.70, 4409
01/20/16, 361.60, 370.50, 350.00, 358.60, 4480
01/19/16, 372.00, 391.00, 366.30, 369.20, 9964
01/18/16, 385.00, 390.00, 374.30, 375.20, 2755
01/15/16, 403.00, 425.00, 388.20, 396.20, 8215
01/14/16, 402.10, 414.00, 400.00, 406.80, 5425
01/13/16, 431.00, 442.80, 409.00, 412.90, 7590
01/12/16, 445.00, 447.00, 431.30, 435.10, 7494
01/11/16, 452.50, 456.00, 438.00, 440.80, 3277
01/08/16, 452.20, 465.20, 451.10, 452.50, 3692
01/07/16, 462.00, 470.00, 450.50, 454.40, 7009
01/06/16, 480.00, 485.00, 471.00, 472.50, 3388
01/05/16, 470.00, 488.00, 470.00, 484.80, 4427
01/04/16, 488.00, 488.00, 465.00, 469.80, 8551
01/01/16, 471.00, 488.70, 470.00, 479.70, 6715
12/31/15, 472.10, 486.90, 472.10, 474.40, 2742
12/30/15, 473.50, 488.00, 471.20, 473.10, 5069
12/29/15, 495.10, 495.10, 472.20, 477.30, 6001
12/28/15, 493.00, 500.00, 490.00, 492.90, 3692
12/24/15, 505.00, 508.00, 491.00, 497.00, 1535
12/23/15, 498.80, 505.00, 498.80, 500.20, 10719
12/22/15, 486.00, 515.00, 477.10, 486.90, 4450
12/21/15, 485.00, 491.90, 482.50, 485.00, 9173
12/18/15, 495.00, 495.00, 480.20, 484.10, 11350
12/17/15, 490.00, 498.00, 479.00, 493.40, 4429
12/16/15, 489.90, 499.00, 480.40, 481.90, 3319
12/15/15, 490.00, 494.80, 480.00, 481.00, 45782
12/14/15, 471.00, 500.00, 470.10, 483.60, 45284
12/11/15, 482.40, 489.80, 466.00, 473.10, 3098
12/10/15, 480.00, 491.50, 480.00, 487.50, 2491
12/09/15, 481.20, 493.80, 480.00, 482.10, 2968
12/08/15, 500.00, 520.70, 480.00, 485.10, 3681
12/07/15, 535.00, 538.50, 502.30, 507.10, 5545
12/04/15, 482.00, 575.00, 481.00, 523.00, 43416
12/03/15, 477.00, 489.00, 477.00, 485.40, 2022
12/02/15, 482.00, 489.70, 477.00, 482.30, 5426
12/01/15, 490.00, 499.00, 478.10, 480.10, 6492
11/30/15, 504.00, 510.00, 487.00, 491.50, 4376
11/27/15, 490.50, 506.75, 490.50, 504.00, 2469
11/26/15, 501.00, 501.00, 487.00, 491.50, 1324
11/24/15, 497.00, 497.00, 487.00, 489.75, 699
11/23/15, 488.50, 514.25, 488.50, 493.00, 5264
11/20/15, 468.50, 494.00, 468.50, 481.25, 3573
11/19/15, 474.00, 490.00, 474.00, 479.75, 1217
11/18/15, 478.50, 498.00, 472.75, 478.75, 2902
11/17/15, 480.00, 490.00, 480.00, 489.75, 1320
11/16/15, 465.00, 486.00, 465.00, 480.50, 2023
11/13/15, 495.00, 495.00, 482.25, 487.50, 1146
11/11/15, 506.00, 506.00, 490.00, 498.00, 117
11/10/15, 498.00, 498.00, 488.00, 494.25, 393
11/09/15, 465.00, 505.00, 465.00, 503.50, 1817
11/06/15, 482.50, 492.75, 477.00, 481.75, 3345
11/05/15, 497.50, 505.00, 481.25, 490.25, 4411
11/04/15, 513.00, 513.00, 500.00, 502.50, 3091
11/03/15, 508.00, 517.75, 501.00, 505.50, 2784
11/02/15, 512.25, 523.75, 486.00, 498.00, 6678
