Date, Open, High, Low, Close, Volume
03/31/16, 0.18, 0.19, 0.18, 0.19, 406610
03/30/16, 0.18, 0.19, 0.18, 0.19, 201950
03/29/16, 0.19, 0.19, 0.18, 0.18, 144500
03/28/16, 0.19, 0.19, 0.19, 0.19, 52500
03/24/16, 0.19, 0.19, 0.18, 0.19, 160500
03/23/16, 0.19, 0.19, 0.18, 0.19, 251500
03/22/16, 0.19, 0.19, 0.19, 0.19, 663770
03/21/16, 0.19, 0.19, 0.19, 0.19, 281605
03/18/16, 0.18, 0.19, 0.18, 0.19, 212500
03/17/16, 0.18, 0.18, 0.17, 0.18, 428107
03/16/16, 0.17, 0.18, 0.17, 0.18, 165995
03/15/16, 0.17, 0.17, 0.16, 0.16, 299625
03/14/16, 0.17, 0.18, 0.16, 0.17, 311505
03/11/16, 0.16, 0.17, 0.16, 0.17, 263600
03/10/16, 0.15, 0.17, 0.15, 0.16, 602300
03/09/16, 0.16, 0.16, 0.15, 0.15, 738070
03/08/16, 0.16, 0.18, 0.16, 0.16, 3432080
03/07/16, 0.12, 0.16, 0.12, 0.16, 2220773
03/04/16, 0.12, 0.12, 0.11, 0.11, 702206
03/03/16, 0.12, 0.12, 0.11, 0.12, 691183
03/02/16, 0.12, 0.12, 0.12, 0.12, 175975
03/01/16, 0.13, 0.13, 0.12, 0.12, 20500
02/29/16, 0.13, 0.13, 0.12, 0.12, 109608
02/26/16, 0.12, 0.12, 0.12, 0.12, 212500
02/25/16, 0.12, 0.13, 0.12, 0.13, 45893
02/24/16, 0.13, 0.13, 0.12, 0.12, 98000
02/23/16, 0.13, 0.13, 0.13, 0.13, 84400
02/22/16, 0.13, 0.13, 0.13, 0.13, 32500
02/19/16, 0.13, 0.13, 0.13, 0.13, 210300
02/18/16, 0.13, 0.13, 0.12, 0.13, 121000
02/17/16, 0.13, 0.13, 0.13, 0.13, 66000
02/16/16, 0.12, 0.13, 0.12, 0.13, 87500
02/12/16, 0.12, 0.13, 0.12, 0.12, 502000
02/11/16, 0.11, 0.12, 0.11, 0.11, 309000
02/10/16, 0.12, 0.12, 0.10, 0.10, 748328
