Date, Open, High, Low, Close, Volume
03/31/16, 0.1377, 0.1377, 0.1377, 0.1377, 100
03/30/16, 0.141, 0.141, 0.1405, 0.1409, 58000
03/29/16, 0.1335, 0.1335, 0.131, 0.131, 9300
03/28/16, 0.147, 0.147, 0.147, 0.147, 50000
03/22/16, 0.15, 0.15, 0.1368, 0.1368, 23333
03/21/16, 0.1465, 0.1465, 0.1465, 0.1465, 24500
03/18/16, 0.1427, 0.145, 0.1423, 0.1423, 58575
03/17/16, 0.1398, 0.1434, 0.1387, 0.1434, 74250
03/16/16, 0.134, 0.136, 0.1253, 0.1253, 25000
03/15/16, 0.1183, 0.1183, 0.1183, 0.1183, 10000
03/11/16, 0.127, 0.127, 0.12, 0.12, 83152
03/10/16, 0.1261, 0.1261, 0.1218, 0.1238, 440000
03/09/16, 0.1175, 0.123, 0.1175, 0.123, 15000
03/08/16, 0.1216, 0.132, 0.1107, 0.1319, 999532
03/07/16, 0.082, 0.117, 0.082, 0.116, 1230000
03/04/16, 0.0908, 0.0912, 0.085, 0.0882, 200250
03/03/16, 0.0908, 0.0908, 0.0908, 0.0908, 5000
03/02/16, 0.0931, 0.0931, 0.0931, 0.0931, 2975
03/01/16, 0.0977, 0.0977, 0.0977, 0.0977, 10000
02/29/16, 0.0906, 0.098, 0.087, 0.098, 30008
02/25/16, 0.0968, 0.1005, 0.0903, 0.0903, 41000
02/23/16, 0.097, 0.097, 0.0961, 0.0961, 19180
02/22/16, 0.0932, 0.0967, 0.0932, 0.0967, 17600
02/19/16, 0.099, 0.099, 0.0956, 0.0956, 33095
02/17/16, 0.0941, 0.0941, 0.0941, 0.0941, 10000
02/16/16, 0.0978, 0.0978, 0.0826, 0.0826, 1950
02/12/16, 0.077, 0.077, 0.077, 0.077, 500
02/09/16, 0.093, 0.093, 0.0887, 0.092, 27100
02/04/16, 0.0897, 0.093, 0.0897, 0.093, 74000
02/03/16, 0.089, 0.089, 0.089, 0.089, 8500
02/01/16, 0.095, 0.095, 0.0775, 0.0775, 29800
01/27/16, 0.0873, 0.0873, 0.08, 0.08, 34500
01/26/16, 0.097, 0.097, 0.097, 0.097, 5000
01/25/16, 0.10, 0.10, 0.09, 0.09, 21500
01/22/16, 0.0969, 0.0969, 0.0958, 0.0969, 30000
01/20/16, 0.084, 0.0874, 0.084, 0.0874, 20000
01/19/16, 0.0913, 0.0943, 0.0774, 0.0774, 6300
01/15/16, 0.09, 0.0914, 0.081, 0.0914, 50000
01/11/16, 0.1184, 0.1184, 0.1077, 0.1077, 5000
01/05/16, 0.1127, 0.12, 0.1127, 0.12, 40100
12/30/15, 0.0953, 0.0965, 0.0953, 0.0965, 2713
12/29/15, 0.0993, 0.0993, 0.0957, 0.0957, 1166
12/24/15, 0.0992, 0.0992, 0.0992, 0.0992, 3000
12/22/15, 0.0937, 0.0999, 0.0937, 0.0999, 12000
12/21/15, 0.0999, 0.1032, 0.0999, 0.1032, 200000
12/14/15, 0.1038, 0.107, 0.0907, 0.0907, 24000
12/11/15, 0.11, 0.11, 0.11, 0.11, 21000
12/10/15, 0.11, 0.11, 0.11, 0.11, 4000
12/04/15, 0.1268, 0.1268, 0.1155, 0.1227, 15783
12/03/15, 0.1292, 0.1292, 0.1292, 0.1292, 30000
12/02/15, 0.1349, 0.1349, 0.1349, 0.1349, 10500
11/30/15, 0.132, 0.1331, 0.1266, 0.1266, 21500
11/25/15, 0.1307, 0.1307, 0.1307, 0.1307, 5000
11/24/15, 0.1297, 0.1308, 0.1297, 0.1308, 2500
11/20/15, 0.1185, 0.125, 0.1185, 0.1239, 19718
11/19/15, 0.126, 0.126, 0.126, 0.126, 3000
11/18/15, 0.1277, 0.1277, 0.1277, 0.1277, 5000
11/16/15, 0.1268, 0.1269, 0.12, 0.1269, 9500
11/13/15, 0.1315, 0.1315, 0.1315, 0.1315, 5000
