Date, Open, High, Low, Close, Volume
03/31/16, 34.93, 36.58, 34.82, 35.66, 4925703
03/30/16, 33.31, 34.70, 33.20, 34.63, 2997685
03/29/16, 34.12, 34.78, 32.53, 32.79, 3121573
03/28/16, 34.84, 35.96, 34.11, 34.20, 3036925
03/25/16, 34.63, 34.98, 34.05, 34.62, 2766658
03/24/16, 36.00, 36.48, 34.31, 34.35, 4740612
03/23/16, 35.29, 37.29, 35.03, 36.53, 5477167
03/22/16, 34.26, 36.31, 33.62, 35.75, 5858259
03/21/16, 34.63, 34.98, 33.91, 34.74, 5151883
03/18/16, 32.09, 34.20, 31.93, 34.00, 5202531
03/17/16, 30.75, 32.20, 30.65, 32.00, 3707198
03/16/16, 32.01, 32.58, 30.70, 30.80, 3104731
03/15/16, 31.32, 32.25, 31.20, 31.46, 3352446
03/14/16, 30.43, 31.90, 30.43, 31.38, 3775952
03/11/16, 29.20, 30.11, 28.90, 29.88, 2250336
03/10/16, 30.17, 30.67, 29.55, 29.59, 2084254
03/09/16, 29.50, 31.29, 29.02, 30.12, 3333560
03/08/16, 30.66, 30.70, 28.52, 30.48, 3467910
03/07/16, 30.76, 31.72, 30.31, 30.76, 3158603
03/04/16, 32.00, 32.99, 29.80, 30.18, 4066824
03/03/16, 33.29, 33.98, 32.47, 32.50, 4467170
03/02/16, 31.00, 33.56, 30.88, 33.25, 5042299
03/01/16, 30.55, 31.94, 29.21, 31.48, 4980393
02/29/16, 33.56, 33.83, 30.46, 30.53, 4471270
02/26/16, 35.40, 35.79, 32.59, 33.84, 4390463
02/25/16, 38.35, 38.35, 34.88, 34.88, 5906561
02/24/16, 39.81, 40.27, 37.55, 38.75, 7388527
02/23/16, 38.70, 41.78, 38.19, 40.58, 9158263
02/22/16, 38.18, 39.19, 37.01, 38.89, 7338766
02/19/16, 36.80, 38.18, 36.30, 37.00, 7004458
02/18/16, 36.10, 39.09, 35.65, 37.96, 11272630
02/17/16, 35.01, 36.63, 34.78, 35.54, 6130812
02/16/16, 34.05, 35.83, 34.00, 35.25, 5121628
02/15/16, 32.03, 34.43, 32.03, 33.77, 4095164
02/05/16, 36.50, 36.85, 34.32, 34.60, 8332840
02/04/16, 33.49, 36.80, 33.40, 36.72, 11493166
02/03/16, 32.50, 33.75, 31.52, 33.45, 5205038
02/02/16, 32.11, 33.72, 31.75, 33.26, 6142209
02/01/16, 31.78, 34.99, 31.51, 32.60, 6670538
01/29/16, 30.06, 32.99, 30.01, 32.11, 6287264
01/28/16, 32.88, 33.25, 30.33, 30.34, 5353927
01/27/16, 33.33, 34.42, 31.01, 33.70, 6791837
01/26/16, 36.57, 36.60, 33.59, 33.59, 6620688
01/25/16, 37.60, 37.89, 36.52, 37.32, 6103863
01/22/16, 36.80, 38.36, 34.51, 37.10, 8358765
01/21/16, 38.80, 39.38, 36.54, 36.54, 10112041
01/20/16, 39.20, 43.55, 39.20, 40.60, 14567482
01/19/16, 37.60, 40.40, 37.60, 39.59, 10430416
01/18/16, 38.50, 40.90, 38.50, 38.51, 14260973
01/15/16, 47.33, 47.95, 42.78, 42.78, 9089294
01/14/16, 39.70, 47.53, 39.59, 47.53, 17675435
01/13/16, 43.50, 46.33, 43.21, 43.21, 11812725
01/12/16, 53.33, 53.33, 48.00, 48.01, 19668706
01/11/16, 48.48, 48.48, 48.48, 48.48, 263310
01/08/16, 44.07, 44.07, 44.07, 44.07, 114161
01/07/16, 40.06, 40.06, 40.06, 40.06, 50550
01/06/16, 36.42, 36.42, 36.42, 36.42, 36000
01/05/16, 33.11, 33.11, 33.11, 33.11, 83900
01/04/16, 30.10, 30.10, 30.10, 30.10, 40900
12/31/15, 27.36, 27.36, 27.36, 27.36, 8400
12/30/15, 24.87, 24.87, 24.87, 24.87, 5700
12/29/15, 22.61, 22.61, 22.61, 22.61, 3800
12/28/15, 20.55, 20.55, 20.55, 20.55, 3900
12/25/15, 18.68, 18.68, 18.68, 18.68, 2300
12/24/15, 16.98, 16.98, 16.98, 16.98, 3600
12/23/15, 13.49, 15.44, 13.49, 15.44, 14601
