Date, Open, High, Low, Close, Volume
03/31/16, 22.10, 22.30, 21.45, 21.55, 3470930
03/30/16, 23.08, 23.34, 22.61, 22.88, 2774010
03/29/16, 22.76, 23.38, 22.36, 23.24, 1144591
03/28/16, 22.93, 22.97, 22.33, 22.70, 1263079
03/24/16, 22.78, 23.30, 22.65, 22.82, 1368128
03/23/16, 22.88, 23.46, 22.21, 22.65, 2916603
03/22/16, 23.54, 23.92, 22.98, 23.29, 2354469
03/21/16, 23.10, 23.55, 22.87, 23.31, 1001903
03/18/16, 23.30, 23.85, 22.94, 23.26, 2959436
03/17/16, 23.50, 24.03, 22.83, 23.06, 2483961
03/16/16, 22.46, 23.48, 21.93, 23.38, 1706796
03/15/16, 22.25, 22.57, 21.86, 22.57, 1052372
03/14/16, 22.76, 23.07, 22.20, 22.27, 1378113
03/11/16, 22.97, 23.10, 22.37, 22.53, 1147559
03/10/16, 22.25, 23.18, 22.06, 22.95, 1721326
03/09/16, 21.49, 22.08, 21.27, 21.86, 1775290
03/08/16, 22.95, 23.05, 21.80, 22.04, 1540492
03/07/16, 22.38, 23.14, 22.24, 22.47, 2272331
03/04/16, 21.82, 23.65, 21.74, 21.95, 3352530
03/03/16, 20.92, 21.82, 20.85, 21.59, 1308410
03/02/16, 20.54, 20.95, 20.35, 20.80, 1197674
03/01/16, 21.49, 21.49, 20.10, 20.35, 1241276
02/29/16, 20.94, 21.47, 20.93, 21.34, 1518869
02/26/16, 21.12, 21.58, 20.63, 20.85, 1425399
02/25/16, 21.41, 21.60, 20.98, 21.47, 2002617
02/24/16, 22.37, 22.50, 21.40, 21.64, 2798582
02/23/16, 21.71, 22.13, 21.40, 21.65, 1432492
02/22/16, 20.93, 21.66, 20.84, 21.37, 1759101
02/19/16, 21.73, 22.40, 21.40, 21.43, 1677638
02/18/16, 20.42, 21.98, 20.36, 21.73, 2667264
02/17/16, 20.60, 21.00, 20.29, 20.64, 1694609
02/16/16, 20.44, 21.06, 20.13, 20.45, 2199920
02/12/16, 20.48, 21.26, 20.05, 21.15, 1780799
02/11/16, 21.00, 21.28, 20.19, 20.71, 4033254
02/10/16, 19.50, 19.89, 18.75, 19.68, 1645714
02/09/16, 20.55, 20.65, 19.26, 19.66, 2673960
02/08/16, 20.40, 20.98, 20.35, 20.48, 3101441
02/05/16, 18.20, 19.68, 17.92, 19.62, 4838128
02/04/16, 18.12, 18.80, 18.06, 18.46, 2021829
02/03/16, 16.61, 17.75, 16.53, 17.65, 1619528
02/02/16, 16.79, 17.00, 16.35, 16.54, 929312
02/01/16, 16.69, 16.92, 16.50, 16.83, 1292751
01/29/16, 15.52, 16.59, 15.41, 16.51, 1516884
01/28/16, 15.51, 15.87, 15.10, 15.58, 1693670
01/27/16, 15.63, 16.04, 15.43, 15.87, 1284799
01/26/16, 15.26, 15.84, 15.20, 15.80, 1135402
01/25/16, 15.31, 15.46, 14.97, 15.12, 1163572
01/22/16, 14.78, 15.36, 14.62, 14.99, 1384562
01/21/16, 15.03, 15.21, 14.51, 15.03, 1545174
01/20/16, 15.31, 15.37, 14.61, 15.23, 2814412
01/19/16, 16.31, 16.31, 15.25, 15.31, 1538370
01/18/16, 16.03, 16.29, 16.00, 16.11, 130242
01/15/16, 16.40, 16.46, 15.85, 16.20, 1927342
01/14/16, 15.89, 16.28, 15.57, 15.94, 1224919
01/13/16, 16.09, 16.34, 15.74, 16.11, 1984994
01/12/16, 16.58, 16.59, 15.54, 15.95, 1956590
01/11/16, 18.11, 18.17, 16.53, 16.74, 1623484
01/08/16, 18.07, 18.50, 17.81, 18.07, 1582961
01/07/16, 17.42, 18.44, 17.31, 18.32, 2527333
01/06/16, 17.28, 17.38, 17.10, 17.23, 950810
01/05/16, 17.49, 17.50, 16.88, 17.07, 951264
01/04/16, 17.59, 17.77, 17.12, 17.42, 1290179
12/31/15, 17.01, 17.23, 16.92, 17.20, 775560
12/30/15, 17.02, 17.20, 16.96, 17.07, 479549
12/29/15, 17.49, 17.51, 17.10, 17.22, 715006
12/24/15, 17.81, 18.10, 17.75, 17.91, 375410
12/23/15, 17.50, 17.87, 17.45, 17.69, 666449
12/22/15, 17.33, 17.68, 17.26, 17.44, 663657
12/21/15, 17.50, 17.71, 17.24, 17.37, 891170
12/18/15, 16.85, 17.45, 16.82, 17.22, 2292585
12/17/15, 17.23, 17.23, 16.64, 16.65, 1034541
12/16/15, 17.56, 17.83, 17.14, 17.72, 1953589
12/15/15, 17.49, 17.55, 17.08, 17.24, 955641
12/14/15, 18.20, 18.23, 17.19, 17.35, 1113129
12/11/15, 17.71, 18.48, 17.60, 18.29, 1192921
12/10/15, 17.82, 18.16, 17.74, 17.88, 1084198
12/09/15, 18.33, 18.59, 17.81, 17.94, 0
12/08/15, 17.93, 18.07, 17.68, 17.88, 680437
12/07/15, 18.48, 18.60, 17.78, 17.93, 1006135
12/04/15, 18.22, 18.79, 18.22, 18.69, 0
12/03/15, 18.00, 18.33, 17.90, 17.93, 0
12/02/15, 17.79, 18.04, 17.50, 17.84, 894624
12/01/15, 17.71, 18.16, 17.52, 18.08, 953816
11/30/15, 16.96, 17.58, 16.93, 17.55, 2430272
11/27/15, 16.69, 17.06, 16.65, 16.98, 510878
11/26/15, 16.87, 17.34, 16.85, 17.21, 233623
11/25/15, 16.74, 17.25, 16.62, 16.89, 837932
11/24/15, 16.80, 17.16, 16.65, 16.89, 1157748
11/23/15, 16.63, 16.97, 16.54, 16.65, 559551
11/20/15, 17.33, 17.41, 16.61, 16.74, 975571
11/19/15, 17.06, 17.29, 16.85, 17.19, 725637
11/18/15, 16.22, 16.97, 16.20, 16.88, 868325
11/17/15, 16.62, 16.62, 15.88, 16.09, 814626
11/16/15, 16.61, 16.95, 16.55, 16.70, 0
11/13/15, 16.39, 16.65, 16.29, 16.51, 594777
11/12/15, 16.38, 16.87, 16.22, 16.40, 1070287
11/11/15, 16.53, 16.59, 16.12, 16.38, 816575
11/10/15, 16.56, 16.86, 16.46, 16.53, 855427
11/09/15, 16.67, 16.92, 16.28, 16.87, 1177732
11/06/15, 16.70, 16.88, 16.35, 16.67, 1339171
11/05/15, 18.21, 18.21, 16.71, 17.08, 2003643
11/04/15, 18.29, 19.03, 17.76, 17.94, 3356320
11/03/15, 17.80, 17.99, 17.59, 17.85, 742422
11/02/15, 17.62, 18.23, 17.32, 17.98, 809457
10/30/15, 18.10, 18.35, 17.76, 17.77, 1464297
10/29/15, 18.95, 19.14, 17.90, 18.11, 1147304
10/28/15, 19.53, 20.20, 18.90, 19.28, 2216451
10/27/15, 18.75, 19.35, 18.63, 19.23, 1271176
10/26/15, 19.03, 19.11, 18.70, 18.80, 1554204
10/23/15, 18.38, 19.06, 18.28, 18.97, 1911933
10/22/15, 17.77, 18.34, 17.72, 18.20, 1363434
10/21/15, 18.11, 18.11, 17.52, 17.79, 0
10/20/15, 17.92, 18.40, 17.81, 18.20, 1590485
10/19/15, 18.39, 18.49, 17.69, 17.78, 1597562
10/16/15, 18.91, 19.20, 18.43, 18.46, 1350794
10/15/15, 18.87, 19.21, 18.62, 19.09, 1322511
10/14/15, 18.28, 19.10, 18.20, 19.06, 1816616
10/13/15, 18.23, 18.28, 17.64, 17.80, 1966241
10/09/15, 19.00, 19.07, 18.39, 18.68, 1521279
10/08/15, 18.44, 19.10, 18.26, 18.47, 2127129
10/07/15, 18.94, 19.03, 18.13, 18.86, 2992028
10/06/15, 18.16, 19.02, 18.07, 18.85, 2405866
10/05/15, 16.94, 17.98, 16.85, 17.75, 1717527
10/02/15, 15.69, 16.85, 15.59, 16.81, 1806183
10/01/15, 16.11, 16.25, 15.20, 15.27, 1541821
09/30/15, 15.67, 16.22, 15.59, 16.04, 1583222
