Date, Open, High, Low, Close, Volume
03/31/16, 3300, 3300, 3300, 3300, 100
03/30/16, 3090, 3090, 3090, 3090, 3300
03/29/16, 3090, 3090, 3090, 3090, 500
03/28/16, 3090, 3090, 3090, 3090, 700
03/24/16, 3090, 3090, 3050, 3090, 1800
03/23/16, 3110, 3110, 3110, 3110, 100
03/22/16, 2955, 2955, 2955, 2955, 0
03/21/16, 2855, 2855, 2855, 2855, 0
03/18/16, 3020, 3130, 3015, 3130, 3200
03/17/16, 3150, 3150, 3000, 3150, 11200
03/16/16, 3105, 3340, 3060, 3070, 13900
03/15/16, 3355, 3355, 3210, 3215, 6900
03/14/16, 3380, 3380, 3375, 3375, 1800
03/11/16, 3390, 3390, 3390, 3390, 4500
03/10/16, 3395, 3400, 3395, 3400, 400
03/08/16, 3005, 3150, 3000, 3150, 9100
03/07/16, 3200, 3230, 3100, 3100, 6700
03/04/16, 3455, 3455, 3200, 3200, 24900
03/03/16, 3495, 3495, 3495, 3495, 1300
03/02/16, 3650, 3650, 3495, 3495, 2300
03/01/16, 3370, 3375, 3255, 3255, 1200
02/29/16, 3500, 3895, 3305, 3305, 62500
02/26/16, 3995, 3995, 3600, 3670, 300
02/25/16, 3705, 3990, 3600, 3600, 10000
02/24/16, 3700, 3700, 3700, 3700, 0
02/23/16, 3750, 3750, 3750, 3750, 0
02/22/16, 4000, 4000, 4000, 4000, 300
02/19/16, 3810, 3810, 3810, 3810, 100
02/18/16, 3800, 3800, 3800, 3800, 600
02/17/16, 4170, 4250, 3800, 3800, 7600
02/16/16, 3800, 4150, 3450, 4150, 6300
02/15/16, 3460, 3695, 3450, 3695, 1800
02/12/16, 3750, 3750, 3750, 3750, 0
02/11/16, 3850, 3850, 3800, 3800, 400
02/10/16, 3800, 3800, 3800, 3800, 0
02/09/16, 3800, 3800, 3800, 3800, 300
02/05/16, 4000, 4000, 3775, 3775, 1500
02/04/16, 3800, 3850, 3780, 3780, 14100
02/03/16, 4000, 4000, 4000, 4000, 100
02/02/16, 3855, 3960, 3855, 3960, 300
02/01/16, 3900, 3900, 3900, 3900, 0
01/29/16, 3900, 3900, 3900, 3900, 0
01/28/16, 4000, 4000, 4000, 4000, 200
01/27/16, 3900, 3900, 3900, 3900, 0
01/26/16, 3900, 3900, 3900, 3900, 0
01/25/16, 3800, 3800, 3800, 3800, 0
01/22/16, 3805, 3805, 3805, 3805, 0
01/21/16, 4095, 4095, 4095, 4095, 100
01/20/16, 4200, 4200, 3900, 4050, 600
01/19/16, 3800, 3800, 3800, 3800, 0
01/18/16, 3810, 3810, 3810, 3810, 0
01/15/16, 3900, 3900, 3900, 3900, 0
01/14/16, 3750, 3750, 3750, 3750, 0
01/13/16, 3805, 3805, 3805, 3805, 0
01/12/16, 3900, 3900, 3900, 3900, 0
01/11/16, 3900, 3900, 3900, 3900, 0
01/08/16, 3850, 3850, 3850, 3850, 0
01/07/16, 3800, 4100, 3800, 4100, 300
01/06/16, 4100, 4100, 3900, 4000, 400
01/05/16, 4100, 4100, 4100, 4100, 100
01/04/16, 3900, 3900, 3900, 3900, 0
12/30/15, 4200, 4400, 4100, 4200, 17000
12/29/15, 3800, 4100, 3800, 4100, 10100
12/28/15, 3600, 3895, 3505, 3895, 3700
12/23/15, 3650, 3650, 3500, 3500, 4200
12/22/15, 3695, 3695, 3600, 3600, 26200
12/21/15, 3900, 3900, 3900, 3900, 100
12/18/15, 3900, 4100, 3600, 4100, 7500
12/17/15, 4000, 4005, 4000, 4000, 1100
12/16/15, 4000, 4000, 4000, 4000, 900
12/15/15, 4100, 4250, 4000, 4000, 1700
12/14/15, 4000, 4000, 4000, 4000, 0
12/11/15, 4000, 4000, 4000, 4000, 0
12/10/15, 4005, 4005, 4005, 4005, 0
12/08/15, 4050, 4050, 4050, 4050, 0
12/07/15, 4300, 4300, 4300, 4300, 100
12/04/15, 4200, 4200, 4200, 4200, 0
12/03/15, 4100, 4100, 4100, 4100, 0
12/02/15, 4150, 4150, 4150, 4150, 0
12/01/15, 4200, 4575, 4200, 4400, 700
11/30/15, 4100, 4100, 4100, 4100, 0
11/27/15, 4400, 4400, 4400, 4400, 0
11/26/15, 4250, 4250, 4250, 4250, 0
11/25/15, 4250, 4250, 4250, 4250, 0
11/24/15, 4235, 4485, 4235, 4485, 1400
11/23/15, 4400, 4405, 4365, 4365, 2600
11/20/15, 4430, 4430, 4430, 4430, 0
11/19/15, 4400, 4400, 4400, 4400, 0
11/18/15, 4420, 4420, 4420, 4420, 0
11/17/15, 4430, 4430, 4430, 4430, 0
11/16/15, 4430, 4430, 4430, 4430, 0
11/13/15, 4850, 4850, 4850, 4850, 1000
11/12/15, 4505, 4505, 4505, 4505, 0
11/11/15, 4850, 4850, 4850, 4850, 100
11/10/15, 4700, 4900, 4380, 4900, 26400
11/09/15, 4270, 4270, 4270, 4270, 0
11/06/15, 4675, 4675, 4675, 4675, 200
11/05/15, 4695, 4695, 4695, 4695, 200
11/04/15, 4375, 4375, 4375, 4375, 0
11/03/15, 4700, 4700, 4700, 4700, 1100
11/02/15, 4400, 4400, 4400, 4400, 0
10/30/15, 4500, 4700, 4500, 4700, 2000
10/29/15, 4255, 4255, 4255, 4255, 0
10/28/15, 4500, 4550, 4500, 4550, 700
10/27/15, 4400, 4550, 4400, 4550, 3100
10/26/15, 4225, 4400, 4225, 4400, 1900
10/23/15, 4200, 4325, 4150, 4325, 16700
10/22/15, 4065, 4065, 4065, 4065, 0
10/21/15, 4300, 4300, 4300, 4300, 0
10/20/15, 4400, 4400, 4400, 4400, 4400
10/19/15, 4400, 4405, 4400, 4400, 5400
10/16/15, 4400, 4400, 4400, 4400, 100
10/15/15, 4395, 4395, 4395, 4395, 700
10/13/15, 4050, 4050, 4050, 4050, 0
10/12/15, 4100, 4400, 4100, 4400, 11000
10/09/15, 4100, 4200, 4000, 4100, 3000
10/08/15, 4500, 4500, 4300, 4300, 200
10/07/15, 4005, 4525, 4005, 4525, 400
10/06/15, 4150, 4150, 4150, 4150, 500
10/05/15, 3900, 3900, 3900, 3900, 0
10/02/15, 4000, 4250, 4000, 4250, 500
10/01/15, 4400, 4400, 4400, 4400, 300
09/30/15, 4450, 4450, 4450, 4450, 100
09/29/15, 4000, 4000, 4000, 4000, 0
09/28/15, 4100, 4100, 4100, 4100, 400
09/25/15, 4200, 4200, 4200, 4200, 500
09/23/15, 4200, 4200, 4200, 4200, 100
09/22/15, 3800, 3800, 3800, 3800, 0
09/21/15, 3800, 3800, 3800, 3800, 0
09/18/15, 3800, 3800, 3800, 3800, 0
09/17/15, 4200, 4200, 4200, 4200, 200
09/16/15, 4290, 4290, 4290, 4290, 100
09/15/15, 4290, 4290, 4290, 4290, 100
09/14/15, 4155, 4155, 4155, 4155, 0
09/11/15, 4290, 4300, 4290, 4300, 1500
09/10/15, 3855, 4300, 3855, 4300, 900
09/09/15, 4200, 4200, 4200, 4200, 0
09/08/15, 4025, 4025, 4025, 4025, 0
09/07/15, 4280, 4280, 4230, 4230, 400
09/04/15, 4280, 4280, 4280, 4280, 300
09/03/15, 4425, 4425, 4325, 4325, 400
09/02/15, 4425, 4425, 4425, 4425, 100
09/01/15, 4300, 4300, 4300, 4300, 0
08/31/15, 4525, 4525, 4525, 4525, 100
08/28/15, 4500, 4600, 4500, 4525, 800
08/27/15, 4800, 4800, 4800, 4800, 100
08/26/15, 4500, 4800, 4500, 4800, 1200
08/25/15, 5000, 5000, 5000, 5000, 100
08/24/15, 4600, 4600, 4500, 4500, 1300
08/21/15, 4750, 5000, 4750, 5000, 400
08/20/15, 4150, 4150, 4150, 4150, 0
08/19/15, 4405, 4405, 4405, 4405, 0
08/18/15, 4420, 4420, 4420, 4420, 0
08/14/15, 4850, 4850, 4850, 4850, 100
08/13/15, 5000, 5000, 5000, 5000, 100
08/12/15, 4600, 4600, 4500, 4500, 300
08/11/15, 4050, 4050, 4050, 4050, 0
08/10/15, 4200, 4200, 4200, 4200, 0
08/07/15, 4005, 4005, 4005, 4005, 0
08/06/15, 4250, 4250, 4250, 4250, 0
08/05/15, 4895, 4895, 4890, 4890, 400
08/04/15, 3800, 3800, 3800, 3800, 0
08/03/15, 4010, 4010, 4010, 4010, 0
07/31/15, 4225, 4225, 4225, 4225, 0
07/30/15, 4110, 4110, 4110, 4110, 0
07/29/15, 4100, 4100, 4100, 4100, 0
07/28/15, 4100, 4100, 4100, 4100, 0
07/27/15, 4500, 4500, 4500, 4500, 0
07/24/15, 4450, 4450, 4450, 4450, 0
07/23/15, 4300, 4300, 4300, 4300, 0
07/22/15, 4990, 5000, 4990, 5000, 2000
07/15/15, 4300, 4300, 4300, 4300, 0
07/14/15, 4225, 4225, 4225, 4225, 0
07/13/15, 3760, 3760, 3760, 3760, 0
07/10/15, 4225, 4225, 4225, 4225, 0
07/09/15, 4910, 4910, 4910, 4910, 200
07/08/15, 4425, 4900, 4300, 4900, 2100
07/07/15, 4300, 4300, 4300, 4300, 0
07/06/15, 4510, 4700, 4510, 4600, 2200
07/03/15, 4650, 4650, 4525, 4525, 34200
07/02/15, 4625, 4625, 4625, 4625, 0
07/01/15, 4900, 5000, 4900, 4995, 2700
06/30/15, 4300, 4300, 4300, 4300, 0
06/29/15, 4200, 4200, 4200, 4200, 0
06/26/15, 4500, 4500, 4500, 4500, 0
06/25/15, 4400, 4400, 4400, 4400, 0
06/24/15, 4200, 4200, 4200, 4200, 0
06/23/15, 4500, 4500, 4500, 4500, 100
06/22/15, 4525, 4525, 4525, 4525, 100
06/19/15, 4600, 4895, 4600, 4895, 700
06/18/15, 4520, 4520, 4520, 4520, 200
06/17/15, 4300, 4600, 4300, 4520, 28800
06/16/15, 4970, 4970, 4970, 4970, 100
06/15/15, 4970, 4970, 4970, 4970, 200
06/12/15, 5100, 5100, 4650, 4975, 39200
06/11/15, 5000, 5000, 5000, 5000, 0
06/10/15, 5100, 5100, 5100, 5100, 1100
06/09/15, 5075, 5625, 5000, 5500, 3100
06/08/15, 5375, 5375, 5050, 5050, 5400
06/05/15, 5400, 5800, 5400, 5800, 200
06/04/15, 5425, 5750, 5425, 5750, 400
06/03/15, 5900, 5900, 5900, 5900, 800
06/01/15, 5400, 5875, 5400, 5875, 300
05/29/15, 5500, 5700, 5425, 5425, 2200
05/28/15, 5400, 5400, 5400, 5400, 400
05/27/15, 5550, 5550, 5550, 5550, 0
05/26/15, 5525, 5525, 5525, 5525, 0
05/25/15, 5600, 5625, 5550, 5550, 1300
05/22/15, 5325, 5325, 5325, 5325, 0
05/21/15, 5300, 5300, 5300, 5300, 0
05/20/15, 5600, 5600, 5600, 5600, 700
05/19/15, 5600, 5600, 5600, 5600, 1100
05/18/15, 5675, 5675, 5600, 5600, 1600
05/15/15, 5700, 5700, 5700, 5700, 0
05/13/15, 6000, 6000, 5675, 5675, 700
05/12/15, 5650, 5975, 5650, 5975, 1800
05/11/15, 5500, 6000, 5400, 5625, 1700
05/08/15, 5525, 5525, 5525, 5525, 0
05/07/15, 6000, 6050, 6000, 6050, 400
05/06/15, 5975, 6100, 5975, 6100, 800
05/05/15, 6200, 6200, 6200, 6200, 100
05/04/15, 6000, 6000, 5025, 5950, 1600
04/30/15, 5100, 5100, 5100, 5100, 0
04/29/15, 6200, 6200, 6200, 6200, 100
04/28/15, 5550, 5550, 5550, 5550, 0
04/27/15, 5625, 5625, 5625, 5625, 0
04/24/15, 5900, 5900, 5900, 5900, 0
04/23/15, 6000, 6000, 6000, 6000, 0
04/22/15, 6000, 6325, 6000, 6325, 300
04/21/15, 5600, 6400, 5600, 6325, 2600
04/20/15, 6300, 6300, 6300, 6300, 100
04/17/15, 6600, 6600, 6600, 6600, 100
04/16/15, 6075, 6075, 6075, 6075, 0
04/15/15, 6050, 6050, 6050, 6050, 0
04/14/15, 5600, 5600, 5600, 5600, 0
04/13/15, 6500, 6500, 6500, 6500, 900
04/10/15, 6550, 6550, 6550, 6550, 100
04/09/15, 6400, 6400, 6400, 6400, 300
04/08/15, 6425, 6600, 6425, 6600, 1300
04/07/15, 6075, 6075, 6075, 6075, 0
04/06/15, 6150, 6150, 6150, 6150, 0
04/02/15, 6250, 6450, 6225, 6450, 2500
04/01/15, 6475, 6500, 6475, 6475, 800
03/31/15, 6250, 6475, 6250, 6475, 5000
03/30/15, 6500, 6500, 6500, 6500, 100
03/27/15, 6250, 6700, 6175, 6400, 6300
03/26/15, 6275, 6275, 6275, 6275, 600
03/25/15, 6325, 6325, 6300, 6300, 31000
03/24/15, 6175, 6350, 6150, 6325, 2600
03/23/15, 6400, 6500, 6075, 6400, 13800
03/20/15, 6400, 6700, 6400, 6400, 1500
03/19/15, 6500, 6700, 6400, 6400, 500
03/18/15, 6375, 6375, 6375, 6375, 0
03/17/15, 6400, 6400, 6400, 6400, 0
03/16/15, 6500, 6500, 6500, 6500, 100
03/13/15, 6575, 6575, 6575, 6575, 400
03/12/15, 6575, 6575, 6575, 6575, 1400
03/11/15, 6325, 6600, 6325, 6600, 500
03/10/15, 6600, 6675, 6375, 6600, 4300
03/09/15, 6550, 6700, 6350, 6650, 1500
03/06/15, 6325, 6575, 6300, 6575, 700
03/05/15, 6400, 6425, 6400, 6425, 400
03/04/15, 6550, 6600, 6500, 6575, 700
03/03/15, 6450, 6600, 6400, 6600, 11100
