Date, Open, High, Low, Close, Volume
03/31/16, 3872.00, 3908.00, 3872.00, 3892.50, 4200
03/30/16, 3865.50, 3865.50, 3865.50, 3865.50, 0
03/29/16, 3867.00, 3867.00, 3831.00, 3843.50, 3300
03/24/16, 4025.00, 4025.00, 3962.00, 3976.50, 2100
03/23/16, 4099.00, 4099.00, 4099.00, 4056.50, 2100
03/22/16, 4137.00, 4137.00, 4137.00, 4177.50, 2100
03/21/16, 4033.00, 4033.00, 4033.00, 4086.50, 1900
03/18/16, 3979.50, 3979.50, 3979.50, 3979.50, 0
03/17/16, 4026.00, 4026.00, 4023.00, 4017.50, 2146
03/16/16, 3921.00, 3941.00, 3921.00, 3990.50, 3900
03/15/16, 3906.00, 3910.00, 3872.00, 3938.00, 13000
03/14/16, 3904.00, 3924.00, 3890.00, 3913.00, 8000
03/11/16, 3924.00, 3980.00, 3909.00, 3953.00, 15000
03/10/16, 3900.00, 3962.00, 3866.00, 3889.00, 14500
03/09/16, 3842.00, 3928.00, 3842.00, 3926.00, 11100
03/08/16, 3936.00, 3946.00, 3890.00, 3886.00, 6800
03/07/16, 3855.00, 3974.00, 3855.00, 3970.00, 10000
03/04/16, 3770.00, 3808.00, 3727.00, 3846.00, 21453
03/03/16, 3613.00, 3747.00, 3613.00, 3733.00, 18500
03/02/16, 3653.00, 3663.00, 3650.00, 3563.00, 7400
03/01/16, 3567.00, 3609.00, 3532.00, 3621.00, 22900
02/29/16, 3505.00, 3530.00, 3475.00, 3495.00, 9100
02/26/16, 3392.00, 3466.00, 3374.00, 3433.00, 20100
02/25/16, 3462.00, 3462.00, 3389.00, 3394.00, 14100
02/24/16, 3509.00, 3509.00, 3480.00, 3487.00, 11600
02/23/16, 3459.00, 3476.00, 3459.00, 3482.00, 4300
02/22/16, 3465.00, 3465.00, 3465.00, 3491.00, 2000
02/19/16, 3468.00, 3468.00, 3468.00, 3439.00, 2000
02/18/16, 3476.00, 3476.00, 3423.00, 3447.00, 6100
02/17/16, 3508.00, 3524.00, 3504.00, 3528.00, 7200
02/16/16, 3466.00, 3516.00, 3466.00, 3502.00, 11000
02/15/16, 3519.00, 3519.00, 3480.00, 3476.00, 9000
02/12/16, 3545.00, 3572.00, 3526.00, 3577.00, 6200
02/11/16, 3562.00, 3607.00, 3546.00, 3561.00, 21200
02/10/16, 3455.00, 3516.00, 3455.00, 3509.00, 8000
02/09/16, 3511.00, 3511.00, 3503.00, 3507.00, 6653
02/08/16, 3364.00, 3517.00, 3356.00, 3517.50, 8200
02/05/16, 3488.00, 3496.20, 3415.00, 3406.00, 15228
02/04/16, 3413.00, 3433.00, 3399.00, 3454.00, 9300
02/03/16, 3397.00, 3397.00, 3349.00, 3394.00, 9200
02/02/16, 3376.00, 3376.00, 3376.00, 3376.00, 0
02/01/16, 3416.00, 3416.00, 3416.00, 3454.00, 3000
01/29/16, 3396.00, 3467.00, 3396.00, 3472.00, 3700
01/28/16, 3473.00, 3473.00, 3370.00, 3356.00, 14024
01/27/16, 3379.00, 3416.00, 3379.00, 3418.00, 10714
01/26/16, 3401.00, 3447.00, 3401.00, 3409.00, 19600
01/25/16, 3422.00, 3438.00, 3400.00, 3403.00, 22200
