Date, Open, High, Low, Close, Volume
03/31/16, 6.50, 6.5399, 6.46, 6.46, 6625
03/30/16, 6.52, 6.53, 6.41, 6.42, 23335
03/29/16, 6.41, 6.5299, 6.32, 6.529, 17977
03/28/16, 6.43, 6.48, 6.38, 6.40, 32059
03/24/16, 6.50, 6.50, 6.44, 6.47, 27626
03/23/16, 6.63, 6.63, 6.52, 6.5301, 115440
03/22/16, 6.77, 6.80, 6.75, 6.78, 49385
03/21/16, 6.65, 6.72, 6.6488, 6.7104, 38570
03/18/16, 6.62, 6.6499, 6.5677, 6.59, 29304
03/17/16, 6.66, 6.688, 6.62, 6.66, 75308
03/16/16, 6.41, 6.57, 6.41, 6.57, 39300
03/15/16, 6.37, 6.41, 6.37, 6.38, 31077
03/14/16, 6.52, 6.52, 6.34, 6.414, 45928
03/11/16, 6.53, 6.55, 6.4601, 6.4601, 25427
03/10/16, 6.49, 6.5379, 6.44, 6.4595, 48652
03/09/16, 6.41, 6.51, 6.41, 6.4388, 32645
03/08/16, 6.58, 6.58, 6.4111, 6.412, 37023
03/07/16, 6.57, 6.6021, 6.5511, 6.57, 72892
03/04/16, 6.27, 6.4482, 6.27, 6.3899, 90436
03/03/16, 6.10, 6.229, 6.09, 6.20, 77003
03/02/16, 6.02, 6.04, 5.976, 6.04, 27823
03/01/16, 6.06, 6.09, 6.02, 6.04, 95115
02/29/16, 5.90, 5.9619, 5.90, 5.94, 264716
02/26/16, 5.94, 5.94, 5.82, 5.84, 42062
02/25/16, 5.96, 5.96, 5.86, 5.90, 75863
02/24/16, 6.08, 6.10, 5.96, 5.96, 117424
02/23/16, 6.03, 6.0999, 6.03, 6.08, 30548
02/22/16, 6.01, 6.08, 6.002, 6.01, 45871
02/19/16, 6.13, 6.14, 6.07, 6.07, 31718
02/18/16, 6.17, 6.17, 6.07, 6.15, 73683
02/17/16, 6.19, 6.25, 6.19, 6.20, 49268
02/16/16, 6.21, 6.21, 6.14, 6.17, 79513
02/12/16, 6.38, 6.3997, 6.31, 6.34, 59475
02/11/16, 6.33, 6.39, 6.3185, 6.365, 109122
02/10/16, 6.23, 6.26, 6.162, 6.242, 42560
02/09/16, 6.19, 6.23, 6.15, 6.199, 128897
02/08/16, 6.02, 6.16, 6.02, 6.16, 125604
02/05/16, 6.04, 6.04, 5.94, 6.00, 48628
02/04/16, 6.01, 6.08, 5.9546, 6.06, 51342
02/03/16, 5.81, 5.979, 5.7937, 5.94, 30603
02/02/16, 5.80, 5.81, 5.75, 5.75, 55149
02/01/16, 5.81, 5.8999, 5.81, 5.879, 23211
01/29/16, 5.82, 5.91, 5.75, 5.81, 38146
01/28/16, 5.88, 5.8985, 5.77, 5.77, 31671
01/27/16, 5.88, 5.94, 5.8644, 5.9178, 43401
01/26/16, 5.87, 5.92, 5.86, 5.88, 58215
01/25/16, 5.86, 5.86, 5.81, 5.82, 51423
01/22/16, 5.86, 5.86, 5.77, 5.78, 24482
01/21/16, 5.71, 5.75, 5.68, 5.74, 27575
01/20/16, 5.68, 5.74, 5.62, 5.722, 77778
01/19/16, 5.80, 5.80, 5.75, 5.77, 127354
01/15/16, 5.79, 5.79, 5.69, 5.6995, 98575
01/14/16, 5.63, 5.7582, 5.63, 5.75, 233636
01/13/16, 5.64, 5.71, 5.561, 5.68, 488449
01/12/16, 5.48, 5.48, 5.40, 5.42, 48292
