Date, Open, High, Low, Close, Volume
03/31/16, 1.01, 2.20, 1.01, 1.90, 1640
03/30/16, 1.20, 1.20, 1.01, 1.01, 884
03/29/16, 1.28, 1.28, 1.20, 1.20, 1813
03/24/16, 1.50, 1.50, 1.50, 1.50, 0
03/23/16, 1.50, 1.50, 1.50, 1.50, 0
03/22/16, 1.50, 1.50, 1.50, 1.50, 197
03/21/16, 1.50, 1.50, 1.28, 1.35, 35
03/18/16, 1.28, 1.50, 1.28, 1.50, 20
03/17/16, 1.28, 1.28, 1.28, 1.28, 0
03/16/16, 1.27, 1.28, 1.27, 1.28, 10
03/15/16, 1.26, 1.26, 1.26, 1.26, 0
03/14/16, 1.00, 1.26, 1.00, 1.26, 185
03/11/16, 1.10, 1.23, 1.10, 1.23, 379
03/10/16, 2.74, 2.74, 1.50, 1.50, 297
03/09/16, 2.00, 2.75, 2.00, 2.75, 1213
03/08/16, 2.00, 2.00, 2.00, 2.00, 0
03/07/16, 2.00, 2.00, 2.00, 2.00, 0
03/04/16, 2.00, 2.00, 2.00, 2.00, 0
03/03/16, 2.00, 2.00, 2.00, 2.00, 0
03/02/16, 2.60, 2.60, 2.00, 2.00, 4
03/01/16, 1.95, 1.95, 1.95, 1.95, 0
02/29/16, 1.95, 1.95, 1.95, 1.95, 0
02/26/16, 1.40, 2.00, 1.40, 1.95, 667
02/25/16, 2.00, 2.00, 1.40, 1.40, 1950
02/24/16, 2.00, 2.00, 2.00, 2.00, 0
02/23/16, 2.00, 2.00, 2.00, 2.00, 0
02/22/16, 2.00, 2.00, 2.00, 2.00, 0
02/19/16, 2.00, 2.00, 2.00, 2.00, 0
02/18/16, 2.00, 2.00, 2.00, 2.00, 0
02/17/16, 2.40, 2.40, 2.00, 2.00, 1000
02/16/16, 2.89, 2.89, 2.30, 2.40, 1100
02/15/16, 3.03, 3.03, 2.40, 2.90, 1016
02/12/16, 1.89, 3.00, 1.89, 3.00, 1145
02/11/16, 1.89, 1.89, 1.89, 1.89, 80
02/10/16, 1.89, 1.89, 1.89, 1.89, 15
02/09/16, 1.89, 1.89, 1.89, 1.89, 0
02/08/16, 1.89, 1.89, 1.89, 1.89, 50
02/05/16, 1.89, 1.89, 1.89, 1.89, 349
02/04/16, 1.89, 1.89, 1.89, 1.89, 0
02/03/16, 1.89, 1.89, 1.89, 1.89, 110
