Date, Open, High, Low, Close
03/31/16, 2736.77, 2736.77, 2712.06, 2714.92
03/30/16, 2737.10, 2746.73, 2737.09, 2742.77
03/29/16, 2711.78, 2717.13, 2711.41, 2712.94
03/28/16, 2711.07, 2712.11, 2694.01, 2705.73
03/27/16, 2705.87, 2705.87, 2701.19, 2705.87
03/25/16, 2708.83, 2708.83, 2708.83, 2708.83
03/24/16, 2704.99, 2709.93, 2700.65, 2708.05
03/23/16, 2743.62, 2743.62, 2716.99, 2719.22
03/22/16, 2759.74, 2766.55, 2758.15, 2760.87
03/21/16, 2740.03, 2754.68, 2739.62, 2752.49
03/20/16, 2748.49, 2748.49, 2732.93, 2748.49
03/18/16, 2748.97, 2751.57, 2748.97, 2748.97
03/17/16, 2734.81, 2745.89, 2734.57, 2735.72
03/16/16, 2684.21, 2710.84, 2684.21, 2709.43
03/15/16, 2678.01, 2680.58, 2670.24, 2675.53
03/14/16, 2705.47, 2706.32, 2699.98, 2702.92
03/13/16, 2689.63, 2718.06, 2689.63, 2689.63
03/11/16, 2687.67, 2693.03, 2687.67, 2687.67
03/10/16, 2661.40, 2663.12, 2646.04, 2654.54
03/09/16, 2643.48, 2661.43, 2643.05, 2658.61
03/08/16, 2646.36, 2646.36, 2617.71, 2625.30
03/07/16, 2664.54, 2671.06, 2631.81, 2639.56
03/06/16, 2665.36, 2671.99, 2665.36, 2665.36
03/04/16, 2660.22, 2667.90, 2660.22, 2660.22
03/03/16, 2630.06, 2644.74, 2630.06, 2640.49
03/02/16, 2594.56, 2626.78, 2594.56, 2622.92
03/01/16, 2519.06, 2571.98, 2519.03, 2569.13
02/29/16, 2497.21, 2502.92, 2486.96, 2490.15
02/28/16, 2495.52, 2514.41, 2495.52, 2495.52
02/26/16, 2498.28, 2508.51, 2498.28, 2498.28
02/25/16, 2479.37, 2499.82, 2473.90, 2496.11
02/24/16, 2497.89, 2500.47, 2475.51, 2488.03
02/23/16, 2519.98, 2520.15, 2487.86, 2509.92
02/22/16, 2529.95, 2545.36, 2521.59, 2536.08
02/21/16, 2522.34, 2536.63, 2509.27, 2522.34
02/19/16, 2518.74, 2518.74, 2518.74, 2518.74
02/18/16, 2537.57, 2537.57, 2507.36, 2512.67
02/17/16, 2484.09, 2533.43, 2484.05, 2531.37
02/16/16, 2493.17, 2498.10, 2467.17, 2487.54
02/15/16, 2468.55, 2512.38, 2457.84, 2481.14
02/14/16, 2385.68, 2385.68, 2385.59, 2385.68
02/12/16, 2385.16, 2385.16, 2385.16, 2385.16
02/11/16, 2437.76, 2438.28, 2402.25, 2410.95
02/10/16, 2462.07, 2464.96, 2434.11, 2438.63
02/09/16, 2469.13, 2469.66, 2441.39, 2444.46
02/08/16, 2511.54, 2511.54, 2472.15, 2476.16
02/07/16, 2507.26, 2507.26, 2491.83, 2507.26
02/05/16, 2510.37, 2522.95, 2510.37, 2510.37
02/04/16, 2509.27, 2513.74, 2496.16, 2510.25
02/03/16, 2469.22, 2495.26, 2469.22, 2494.86
02/02/16, 2504.34, 2504.40, 2442.09, 2449.37
02/01/16, 2537.67, 2538.93, 2516.82, 2521.31
01/31/16, 2512.39, 2512.39, 2511.80, 2512.39
01/29/16, 2517.16, 2520.75, 2517.16, 2517.16
01/28/16, 2465.09, 2473.73, 2459.38, 2469.73
01/27/16, 2461.57, 2473.04, 2446.90, 2466.47
01/26/16, 2441.38, 2475.34, 2438.33, 2471.65
01/25/16, 2475.73, 2475.73, 2445.80, 2446.74
01/24/16, 2455.08, 2455.08, 2454.77, 2455.08
01/22/16, 2455.96, 2459.59, 2455.96, 2455.96
01/21/16, 2387.79, 2431.96, 2385.61, 2428.25
01/20/16, 2412.67, 2439.58, 2412.28, 2429.57
01/19/16, 2489.59, 2490.74, 2444.50, 2448.49
01/18/16, 2463.49, 2469.14, 2453.36, 2468.83
01/17/16, 2487.76, 2490.95, 2459.42, 2487.76
01/15/16, 2488.86, 2488.86, 2484.87, 2488.86
01/14/16, 2496.63, 2514.50, 2496.63, 2502.60
01/13/16, 2532.99, 2533.16, 2470.95, 2482.67
01/12/16, 2496.46, 2547.94, 2495.95, 2535.73
01/11/16, 2528.36, 2531.51, 2516.02, 2524.93
01/10/16, 2558.54, 2558.65, 2518.38, 2558.54
01/08/16, 2559.14, 2559.14, 2559.14, 2559.14
01/07/16, 2564.06, 2585.45, 2548.49, 2562.61
01/06/16, 2615.81, 2616.31, 2579.41, 2587.14
01/05/16, 2652.26, 2657.32, 2633.28, 2634.60
01/04/16, 2660.82, 2669.55, 2651.86, 2667.15
01/03/16, 2728.57, 2730.97, 2728.57, 2728.57
01/01/16, 2729.61, 2730.19, 2729.61, 2729.61
12/31/15, 2729.06, 2730.35, 2728.60, 2728.57
12/30/15, 2726.67, 2726.67, 2720.56, 2725.04
12/29/15, 2730.27, 2741.54, 2730.27, 2736.02
12/28/15, 2724.34, 2725.41, 2716.07, 2721.05
12/27/15, 2730.92, 2737.03, 2730.92, 2730.92
12/25/15, 2728.48, 2728.48, 2728.48, 2728.48
12/24/15, 2730.90, 2733.29, 2727.38, 2733.17
12/23/15, 2715.94, 2740.07, 2715.55, 2736.76
12/22/15, 2697.74, 2716.47, 2697.27, 2712.61
12/21/15, 2692.38, 2694.98, 2687.07, 2691.96
12/20/15, 2691.14, 2691.14, 2674.60, 2691.14
12/18/15, 2689.86, 2689.86, 2689.86, 2689.86
12/17/15, 2695.94, 2709.03, 2680.63, 2687.34
12/16/15, 2679.17, 2708.76, 2678.30, 2699.03
12/15/15, 2626.21, 2684.90, 2626.21, 2669.79
12/14/15, 2639.67, 2642.47, 2633.69, 2637.29
12/13/15, 2661.79, 2661.83, 2619.84, 2661.79
12/11/15, 2669.74, 2669.74, 2663.32, 2669.74
12/10/15, 2686.25, 2690.92, 2681.66, 2685.60
12/09/15, 2686.63, 2688.78, 2675.20, 2685.69
12/08/15, 2697.92, 2698.32, 2688.17, 2691.59
12/07/15, 2740.25, 2740.25, 2712.82, 2713.91
12/06/15, 2742.43, 2764.96, 2742.43, 2742.43
12/04/15, 2745.45, 2745.45, 2736.23, 2745.45
12/03/15, 2779.64, 2779.64, 2746.72, 2746.72
12/02/15, 2782.10, 2782.10, 2763.91, 2764.40
12/01/15, 2792.33, 2797.90, 2786.83, 2789.09
11/30/15, 2723.54, 2765.29, 2723.54, 2765.00
11/29/15, 2760.34, 2761.54, 2760.34, 2760.34
11/27/15, 2762.20, 2762.20, 2760.11, 2762.20
11/26/15, 2789.47, 2794.93, 2782.90, 2782.90
11/25/15, 2780.62, 2804.92, 2780.60, 2798.67
11/24/15, 2795.50, 2795.73, 2785.00, 2785.89
11/23/15, 2797.86, 2797.87, 2788.51, 2791.32
11/22/15, 2802.05, 2804.44, 2791.30, 2802.05
11/20/15, 2802.87, 2805.57, 2802.87, 2802.87
11/19/15, 2786.68, 2790.73, 2776.84, 2780.08
11/18/15, 2739.29, 2773.79, 2739.29, 2771.58
11/17/15, 2748.58, 2756.13, 2746.57, 2754.42
11/16/15, 2722.07, 2767.53, 2721.85, 2759.11
11/15/15, 2758.68, 2758.83, 2758.68, 2758.68
11/13/15, 2759.53, 2759.53, 2756.15, 2759.53
11/12/15, 2801.43, 2801.43, 2766.79, 2771.78
11/11/15, 2790.20, 2797.64, 2785.13, 2795.32
11/10/15, 2785.10, 2789.92, 2775.42, 2780.18
11/09/15, 2810.79, 2810.97, 2787.99, 2790.43
11/08/15, 2822.52, 2824.72, 2822.52, 2822.52
11/06/15, 2829.73, 2829.73, 2822.38, 2829.73
11/05/15, 2854.02, 2857.69, 2837.80, 2838.80
11/04/15, 2871.43, 2877.66, 2861.91, 2866.51
11/03/15, 2839.58, 2902.65, 2839.39, 2875.57
11/02/15, 2812.75, 2846.78, 2812.75, 2842.13
11/01/15, 2845.91, 2846.03, 2805.50, 2845.91
10/30/15, 2844.74, 2855.37, 2844.74, 2844.74
10/29/15, 2846.16, 2846.16, 2829.31, 2842.58
