Date, Open, High, Low, Close, Volume
03/31/16, 13.69, 13.88, 13.58, 13.64, 4305234
03/30/16, 13.27, 13.61, 13.20, 13.60, 3341577
03/29/16, 13.69, 13.69, 13.02, 13.11, 3291108
03/28/16, 13.66, 13.75, 13.38, 13.46, 3165570
03/25/16, 13.45, 13.62, 13.22, 13.46, 3170168
03/24/16, 13.62, 14.00, 13.38, 13.52, 5182797
03/23/16, 13.44, 13.75, 13.30, 13.72, 3756058
03/22/16, 13.67, 13.76, 13.40, 13.52, 4824418
03/21/16, 13.38, 13.78, 13.28, 13.74, 6638267
03/18/16, 12.80, 13.32, 12.80, 13.21, 5098720
03/17/16, 12.51, 12.89, 12.42, 12.81, 2884238
03/16/16, 12.81, 12.89, 12.28, 12.44, 2240301
03/15/16, 12.60, 12.88, 12.52, 12.77, 2791215
03/14/16, 12.50, 12.92, 12.40, 12.66, 3106668
03/11/16, 12.18, 12.42, 12.04, 12.27, 1863139
03/10/16, 12.67, 12.88, 12.30, 12.33, 2035269
03/09/16, 12.90, 13.07, 12.59, 12.64, 3125074
03/08/16, 12.88, 13.38, 12.18, 13.28, 5519782
03/07/16, 12.35, 12.95, 12.30, 12.88, 3662842
03/04/16, 12.65, 12.67, 11.95, 12.16, 3338680
03/03/16, 12.40, 13.00, 12.31, 12.66, 4485091
03/02/16, 11.76, 12.60, 11.75, 12.52, 3388986
03/01/16, 11.92, 11.95, 11.45, 11.90, 2667172
02/29/16, 12.30, 12.38, 11.31, 11.52, 2937600
02/26/16, 12.38, 12.60, 12.01, 12.39, 2684636
02/25/16, 13.62, 13.62, 12.28, 12.28, 3467405
02/24/16, 13.82, 13.85, 13.30, 13.64, 2980713
02/23/16, 14.09, 14.19, 13.66, 13.82, 2479065
02/22/16, 13.90, 14.13, 13.77, 14.07, 3735902
02/19/16, 13.54, 13.78, 13.50, 13.68, 2314730
02/18/16, 13.80, 13.95, 13.63, 13.73, 3044794
02/17/16, 13.50, 13.83, 13.28, 13.80, 3114616
02/16/16, 12.94, 13.45, 12.94, 13.44, 2700165
02/15/16, 12.24, 13.13, 12.24, 12.92, 1375158
02/05/16, 13.18, 13.30, 13.00, 13.18, 2069864
02/04/16, 12.91, 13.35, 12.80, 13.17, 2846555
02/03/16, 12.55, 12.83, 12.41, 12.77, 1624704
02/02/16, 12.34, 12.85, 12.33, 12.74, 1839795
02/01/16, 12.34, 12.49, 12.12, 12.36, 1647561
01/29/16, 11.87, 12.48, 11.87, 12.36, 2073175
01/28/16, 12.34, 12.40, 11.71, 11.87, 1849215
01/27/16, 12.72, 13.00, 11.70, 12.41, 2822765
01/26/16, 13.83, 13.89, 12.68, 12.68, 3122000
01/25/16, 14.10, 14.36, 13.90, 14.09, 2112520
01/22/16, 13.85, 14.00, 13.45, 13.99, 2285600
01/21/16, 14.01, 14.47, 13.61, 13.70, 2862047
01/20/16, 14.51, 14.64, 14.10, 14.30, 3197981
01/19/16, 14.00, 14.61, 13.85, 14.51, 3595089
01/18/16, 13.60, 14.13, 13.25, 13.94, 2686191
01/15/16, 14.01, 14.20, 13.30, 13.62, 3177907
01/14/16, 13.00, 14.25, 12.83, 14.00, 3315858
01/13/16, 14.22, 14.30, 13.28, 13.34, 3089156
01/12/16, 13.80, 14.37, 13.68, 14.12, 3481052
01/11/16, 15.44, 15.44, 14.15, 14.15, 5283999
01/08/16, 16.11, 16.55, 14.60, 15.72, 5003558
01/07/16, 17.12, 17.12, 15.53, 15.54, 1404400
01/06/16, 16.87, 17.30, 16.75, 17.26, 5049099
01/05/16, 16.41, 17.70, 16.27, 16.87, 9015938
01/04/16, 19.70, 19.82, 17.96, 17.96, 6397585
12/31/15, 20.62, 21.28, 19.88, 19.96, 7152339
12/30/15, 21.00, 21.20, 20.50, 20.60, 11568212
12/29/15, 19.50, 21.70, 19.35, 21.33, 18254157
12/28/15, 18.99, 20.09, 18.75, 19.78, 10996371
12/25/15, 20.20, 20.21, 18.78, 18.97, 8836498
12/24/15, 18.61, 18.72, 18.00, 18.41, 4114509
12/23/15, 18.66, 18.98, 18.48, 18.68, 5588872
12/22/15, 18.76, 18.78, 18.33, 18.59, 3768041
12/21/15, 18.49, 18.79, 18.16, 18.58, 4105978
12/18/15, 18.58, 18.97, 18.31, 18.41, 6051756
12/17/15, 18.05, 18.51, 18.01, 18.50, 5099931
12/16/15, 18.02, 18.17, 17.66, 17.90, 3537378
12/15/15, 17.68, 18.16, 17.50, 17.85, 3836873
12/14/15, 17.04, 17.80, 16.91, 17.70, 3538991
12/11/15, 17.43, 17.43, 16.80, 16.98, 2726638
12/10/15, 17.62, 17.62, 17.06, 17.24, 2526568
12/09/15, 17.78, 17.79, 17.03, 17.18, 3924664
12/08/15, 18.32, 18.37, 17.58, 17.67, 4089030
12/07/15, 18.30, 18.48, 18.10, 18.31, 4324040
12/04/15, 18.28, 18.84, 18.15, 18.37, 5690568
12/03/15, 17.87, 18.28, 17.87, 18.17, 3309515
12/02/15, 18.16, 18.24, 17.00, 17.75, 4039612
12/01/15, 17.88, 18.49, 17.84, 18.39, 5827756
11/30/15, 17.52, 18.08, 16.50, 17.84, 7549991
11/27/15, 19.45, 19.80, 17.69, 17.78, 9067772
