Date, Open, High, Low, Close, Volume
03/31/16, 835, 835, 810, 811, 1372700
03/30/16, 890, 891, 837, 837, 2217900
03/29/16, 905, 933, 903, 930, 578700
03/28/16, 917, 921, 897, 914, 439900
03/25/16, 924, 931, 900, 912, 577400
03/24/16, 962, 963, 911, 914, 864300
03/23/16, 969, 971, 937, 967, 503600
03/22/16, 994, 1008, 961, 975, 637100
03/18/16, 983, 1003, 976, 998, 438800
03/17/16, 1016, 1037, 976, 989, 637600
03/16/16, 1003, 1038, 996, 1012, 413700
03/15/16, 1053, 1055, 1019, 1023, 360900
03/14/16, 1068, 1076, 1049, 1058, 330000
03/11/16, 1038, 1063, 1034, 1057, 326200
03/10/16, 1050, 1066, 1019, 1052, 447300
03/09/16, 1018, 1039, 1014, 1033, 379500
03/08/16, 1063, 1079, 1019, 1046, 648800
03/07/16, 1032, 1078, 1028, 1065, 604200
03/04/16, 1019, 1053, 1010, 1025, 795000
03/03/16, 981, 1033, 979, 1032, 667500
03/02/16, 996, 996, 960, 984, 608300
03/01/16, 947, 971, 927, 966, 502100
02/29/16, 932, 968, 925, 948, 597700
02/26/16, 951, 964, 909, 917, 574500
02/25/16, 914, 944, 904, 933, 389700
02/24/16, 882, 919, 875, 904, 405800
02/23/16, 883, 924, 881, 903, 756000
02/22/16, 861, 878, 853, 865, 504600
02/19/16, 915, 915, 857, 873, 725200
02/18/16, 916, 938, 901, 920, 797900
02/17/16, 880, 903, 855, 875, 458000
02/16/16, 869, 908, 858, 887, 586800
02/15/16, 890, 893, 841, 886, 664800
02/12/16, 792, 847, 791, 830, 1012000
02/10/16, 935, 943, 855, 892, 822300
02/09/16, 939, 967, 922, 935, 580400
02/08/16, 986, 1000, 956, 991, 436200
02/05/16, 977, 1015, 960, 987, 626200
02/04/16, 1010, 1060, 981, 987, 924500
02/03/16, 940, 1040, 921, 1036, 1589500
02/02/16, 1032, 1052, 966, 976, 1252200
02/01/16, 1012, 1065, 995, 1062, 2130700
01/29/16, 880, 947, 863, 915, 1516800
01/28/16, 948, 958, 844, 852, 1631300
01/27/16, 960, 967, 920, 944, 622000
01/26/16, 955, 973, 919, 923, 926500
01/25/16, 935, 992, 917, 978, 1860600
01/22/16, 834, 895, 821, 890, 988900
01/21/16, 823, 855, 800, 802, 480300
01/20/16, 880, 880, 824, 825, 704300
01/19/16, 860, 888, 854, 876, 415800
01/18/16, 825, 872, 821, 865, 607400
01/15/16, 892, 904, 860, 864, 399000
01/14/16, 872, 878, 850, 869, 514200
01/13/16, 864, 905, 863, 904, 743000
01/12/16, 899, 912, 841, 849, 963800
01/08/16, 895, 927, 882, 914, 613900
01/07/16, 928, 948, 904, 908, 720900
01/06/16, 964, 968, 931, 938, 690000
01/05/16, 980, 991, 956, 957, 630500
01/04/16, 997, 1018, 981, 983, 613700
12/30/15, 991, 1010, 984, 993, 672400
12/29/15, 998, 1007, 961, 981, 595800
12/28/15, 980, 1004, 973, 986, 636400
12/25/15, 991, 1016, 969, 979, 747200
12/24/15, 1006, 1051, 1006, 1018, 1140500
12/22/15, 987, 1019, 950, 1005, 1452600
12/21/15, 974, 996, 961, 992, 1256400
12/18/15, 1047, 1054, 985, 988, 1685900
12/17/15, 1057, 1075, 1046, 1059, 522900
12/16/15, 1067, 1070, 1039, 1046, 704300
12/15/15, 1065, 1091, 1052, 1055, 641300
12/14/15, 1063, 1085, 1028, 1065, 1319800
12/11/15, 1124, 1134, 1083, 1103, 959600
12/10/15, 1125, 1140, 1107, 1122, 1151500
12/09/15, 1159, 1159, 1133, 1139, 787000
12/08/15, 1189, 1192, 1168, 1176, 511600
12/07/15, 1221, 1222, 1186, 1188, 793900
12/04/15, 1226, 1226, 1200, 1202, 926500
12/03/15, 1249, 1252, 1228, 1242, 487100
12/02/15, 1258, 1275, 1235, 1243, 442400
12/01/15, 1233, 1270, 1233, 1257, 600400
11/30/15, 1283, 1283, 1225, 1240, 1139200
11/27/15, 1278, 1303, 1268, 1282, 1005900
11/26/15, 1274, 1288, 1260, 1263, 872500
11/25/15, 1301, 1307, 1256, 1264, 1709400
11/24/15, 1400, 1403, 1300, 1308, 2198900
11/20/15, 1543, 1543, 1395, 1397, 3019700
11/19/15, 1493, 1566, 1474, 1563, 840300
11/18/15, 1503, 1513, 1460, 1466, 287200
11/17/15, 1498, 1509, 1481, 1500, 170100
11/16/15, 1462, 1492, 1462, 1484, 227500
11/13/15, 1506, 1512, 1487, 1495, 231500
11/12/15, 1518, 1528, 1500, 1517, 238000
11/11/15, 1504, 1532, 1503, 1524, 261700
11/10/15, 1534, 1544, 1496, 1502, 453700
11/09/15, 1556, 1558, 1532, 1548, 245600
11/06/15, 1557, 1560, 1525, 1549, 244400
11/05/15, 1568, 1580, 1541, 1551, 304900
11/04/15, 1561, 1615, 1553, 1584, 417500
11/02/15, 1568, 1574, 1538, 1550, 356800
10/30/15, 1608, 1608, 1565, 1591, 484200
10/29/15, 1620, 1639, 1555, 1603, 977400
10/28/15, 1588, 1628, 1580, 1620, 511800
10/27/15, 1596, 1602, 1547, 1573, 457900
10/26/15, 1597, 1609, 1566, 1602, 359900
10/23/15, 1665, 1666, 1580, 1596, 583500
10/22/15, 1605, 1689, 1584, 1591, 1000300
10/21/15, 1496, 1600, 1493, 1596, 902900
10/20/15, 1514, 1519, 1481, 1487, 221400
10/19/15, 1487, 1513, 1456, 1496, 273900
10/16/15, 1518, 1555, 1474, 1483, 433800
10/15/15, 1483, 1535, 1470, 1518, 275600
10/14/15, 1516, 1542, 1481, 1481, 302400
10/13/15, 1475, 1558, 1475, 1522, 462700
10/09/15, 1423, 1485, 1423, 1482, 359900
10/08/15, 1460, 1464, 1411, 1414, 340400
10/07/15, 1510, 1524, 1444, 1464, 400500
10/06/15, 1463, 1513, 1440, 1498, 478800
10/05/15, 1447, 1486, 1427, 1446, 449000
10/02/15, 1410, 1445, 1381, 1436, 503200
10/01/15, 1442, 1450, 1402, 1426, 498500
09/30/15, 1492, 1496, 1390, 1421, 917400
09/29/15, 1503, 1515, 1461, 1485, 829600
09/28/15, 1514, 1515, 1461, 1473, 287900
09/25/15, 1473, 1508, 1438, 1497, 391100
09/24/15, 1441, 1536, 1441, 1462, 426300
09/18/15, 1511, 1516, 1462, 1471, 378500
09/17/15, 1480, 1530, 1450, 1524, 444500
09/16/15, 1531, 1541, 1461, 1469, 544700
09/15/15, 1545, 1572, 1511, 1512, 316000
09/14/15, 1558, 1575, 1531, 1546, 270100
09/11/15, 1522, 1597, 1520, 1563, 472300
09/10/15, 1491, 1577, 1490, 1562, 535700
09/09/15, 1553, 1554, 1493, 1535, 788500
09/08/15, 1545, 1564, 1461, 1478, 622400
09/07/15, 1538, 1595, 1521, 1546, 584800
09/04/15, 1598, 1618, 1531, 1562, 1004700
09/03/15, 1544, 1603, 1527, 1583, 1402700
09/02/15, 1435, 1510, 1411, 1444, 679500
09/01/15, 1590, 1590, 1494, 1500, 747500
08/31/15, 1580, 1627, 1561, 1596, 976900
08/28/15, 1480, 1599, 1466, 1591, 1489900
08/27/15, 1437, 1458, 1377, 1406, 987700
08/26/15, 1303, 1366, 1272, 1341, 512000
08/25/15, 1246, 1344, 1219, 1266, 686400
08/24/15, 1335, 1389, 1302, 1308, 637600
08/21/15, 1408, 1447, 1394, 1395, 419300
08/20/15, 1433, 1485, 1429, 1457, 434000
08/19/15, 1512, 1514, 1455, 1463, 380000
08/18/15, 1571, 1572, 1506, 1522, 726400
08/17/15, 1533, 1592, 1526, 1592, 434900
08/14/15, 1528, 1557, 1510, 1531, 275300
08/13/15, 1505, 1565, 1505, 1542, 347600
08/12/15, 1580, 1594, 1512, 1521, 674700
08/11/15, 1598, 1670, 1590, 1616, 801900
08/10/15, 1580, 1591, 1562, 1572, 439800
08/07/15, 1595, 1610, 1553, 1600, 505600
08/06/15, 1595, 1629, 1579, 1593, 500900
08/05/15, 1620, 1697, 1556, 1579, 1557400
08/04/15, 1573, 1609, 1538, 1604, 700900
08/03/15, 1581, 1619, 1561, 1583, 794500
07/31/15, 1557, 1609, 1522, 1605, 1737600
07/30/15, 1500, 1558, 1475, 1551, 1736800
07/29/15, 1429, 1543, 1375, 1517, 2948800
07/28/15, 1263, 1296, 1233, 1287, 725600
07/27/15, 1340, 1348, 1263, 1279, 744500
07/24/15, 1286, 1344, 1279, 1342, 744900
07/23/15, 1315, 1358, 1292, 1302, 1342700
07/22/15, 1255, 1323, 1232, 1318, 1315600
07/21/15, 1280, 1284, 1200, 1255, 1594300
07/17/15, 1332, 1337, 1274, 1277, 1021000
07/16/15, 1294, 1338, 1283, 1332, 901500
07/15/15, 1303, 1325, 1276, 1293, 393700
07/14/15, 1301, 1345, 1293, 1299, 571000
07/13/15, 1254, 1300, 1235, 1279, 517700
07/10/15, 1299, 1304, 1250, 1256, 636900
07/09/15, 1245, 1319, 1180, 1307, 1295800
07/08/15, 1322, 1323, 1256, 1264, 994000
07/07/15, 1385, 1390, 1328, 1329, 410900
07/06/15, 1360, 1384, 1346, 1367, 321900
07/03/15, 1430, 1450, 1366, 1380, 481300
07/02/15, 1423, 1433, 1391, 1423, 495500
07/01/15, 1427, 1443, 1402, 1406, 415000
06/30/15, 1372, 1427, 1370, 1414, 504300
06/29/15, 1349, 1400, 1348, 1381, 768500
06/26/15, 1471, 1472, 1411, 1415, 977700
06/25/15, 1530, 1535, 1486, 1496, 541100
06/24/15, 1516, 1548, 1515, 1538, 673000
06/23/15, 1465, 1523, 1465, 1499, 1037200
06/22/15, 1490, 1514, 1450, 1463, 889900
06/19/15, 1509, 1558, 1499, 1505, 1542700
06/18/15, 1482, 1523, 1462, 1491, 1009000
06/17/15, 1511, 1537, 1504, 1516, 778200
06/16/15, 1510, 1545, 1500, 1522, 975200
06/15/15, 1513, 1517, 1460, 1514, 1171200
06/12/15, 1559, 1574, 1515, 1524, 1018600
06/11/15, 1537, 1579, 1511, 1549, 1250000
06/10/15, 1497, 1585, 1492, 1543, 1648800
06/09/15, 1570, 1598, 1501, 1501, 1691900
06/08/15, 1640, 1648, 1587, 1602, 1219100
06/05/15, 1607, 1652, 1604, 1645, 1268200
06/04/15, 1635, 1672, 1592, 1636, 2766300
06/03/15, 1498, 1639, 1492, 1632, 4434000
06/02/15, 1468, 1476, 1438, 1452, 1037300
06/01/15, 1390, 1462, 1390, 1438, 1452300
05/29/15, 1324, 1453, 1310, 1396, 2665100
05/28/15, 1331, 1340, 1301, 1308, 468300
05/27/15, 1303, 1350, 1285, 1312, 904500
05/26/15, 1197, 1326, 1197, 1311, 1298300
05/25/15, 1212, 1228, 1196, 1203, 258400
05/22/15, 1235, 1237, 1202, 1217, 469900
05/21/15, 1195, 1250, 1194, 1234, 597800
05/20/15, 1190, 1198, 1166, 1193, 313100
05/19/15, 1192, 1196, 1168, 1189, 298000
05/18/15, 1205, 1211, 1167, 1192, 391300
05/15/15, 1222, 1226, 1203, 1208, 184900
05/14/15, 1227, 1227, 1192, 1210, 421500
05/13/15, 1216, 1238, 1185, 1211, 547200
05/12/15, 1180, 1209, 1156, 1208, 570700
05/11/15, 1199, 1248, 1183, 1184, 848400
05/08/15, 1169, 1197, 1151, 1183, 926700
05/07/15, 1100, 1182, 1070, 1168, 1534500
