Date, Open, High, Low, Close, Volume
03/31/16, 49.50, 50.50, 47.50, 47.75, 137563
03/30/16, 51.50, 51.83, 48.00, 49.00, 441655
03/29/16, 52.00, 54.19, 51.00, 51.25, 134529
03/24/16, 51.75, 54.75, 51.75, 51.75, 779038
03/23/16, 57.25, 58.56, 50.25, 52.50, 779038
03/22/16, 55.25, 61.75, 55.25, 58.25, 406235
03/21/16, 58.00, 59.53, 55.25, 55.25, 319641
03/18/16, 59.50, 59.50, 54.25, 54.25, 434371
03/17/16, 63.25, 65.97, 57.25, 58.00, 465116
03/16/16, 67.75, 68.55, 63.25, 64.50, 181969
03/15/16, 68.75, 72.13, 67.33, 68.00, 717206
03/14/16, 69.75, 69.75, 65.72, 67.50, 813947
03/11/16, 66.25, 69.50, 66.00, 69.50, 131540
03/10/16, 69.75, 69.75, 65.72, 67.50, 124513
03/09/16, 66.25, 69.50, 66.25, 68.50, 175237
03/08/16, 70.75, 71.75, 66.34, 67.50, 672258
03/07/16, 67.50, 70.37, 67.50, 69.25, 329514
03/04/16, 67.25, 71.00, 67.25, 71.00, 92435
03/03/16, 67.00, 69.75, 66.25, 67.50, 101505
03/02/16, 67.00, 69.75, 66.25, 66.75, 103984
03/01/16, 66.75, 69.75, 66.50, 68.00, 188866
02/29/16, 73.25, 73.75, 67.00, 67.00, 1212765
02/26/16, 73.25, 75.00, 69.50, 69.50, 294729
02/25/16, 77.00, 77.00, 74.50, 75.00, 189060
02/24/16, 76.75, 77.00, 73.38, 77.00, 118489
02/23/16, 72.75, 76.75, 72.75, 76.50, 128667
02/22/16, 73.75, 76.75, 71.37, 76.00, 303357
02/19/16, 69.75, 74.00, 66.00, 74.00, 669594
02/18/16, 67.75, 70.50, 66.50, 68.00, 470180
02/17/16, 64.00, 67.00, 63.50, 67.00, 264996
02/16/16, 61.25, 66.00, 61.25, 64.25, 139173
02/15/16, 63.50, 66.00, 61.00, 61.00, 71134
02/12/16, 66.00, 67.00, 61.25, 61.25, 110160
02/11/16, 63.25, 67.00, 63.25, 66.00, 507283
02/10/16, 62.75, 65.75, 62.00, 63.00, 191797
02/09/16, 65.00, 65.00, 58.75, 60.00, 647663
02/08/16, 65.50, 66.56, 64.16, 65.75, 84859
02/05/16, 63.50, 68.00, 63.50, 68.00, 146040
02/04/16, 64.50, 67.64, 63.25, 66.75, 433480
02/03/16, 70.00, 71.00, 63.00, 63.00, 637753
02/02/16, 62.00, 71.25, 60.64, 68.50, 745406
02/01/16, 60.00, 61.98, 60.00, 60.75, 61711
01/29/16, 58.50, 62.02, 58.00, 62.00, 425493
01/28/16, 60.25, 61.75, 58.00, 58.00, 609821
01/27/16, 63.00, 65.00, 61.85, 65.00, 94108
01/26/16, 64.00, 64.00, 60.85, 62.00, 196012
