Date, Open, High, Low, Close
03/31/16, 2.647, 2.660, 2.607, 2.612
03/30/16, 2.604, 2.688, 2.601, 2.656
03/29/16, 2.655, 2.667, 2.596, 2.601
03/28/16, 2.675, 2.685, 2.634, 2.658
03/24/16, 2.658, 2.675, 2.612, 2.673
03/23/16, 2.721, 2.735, 2.646, 2.659
03/22/16, 2.719, 2.728, 2.677, 2.723
03/21/16, 2.679, 2.737, 2.668, 2.718
03/18/16, 2.687, 2.696, 2.647, 2.677
03/17/16, 2.708, 2.727, 2.656, 2.688
03/16/16, 2.730, 2.750, 2.702, 2.710
03/15/16, 2.732, 2.743, 2.690, 2.738
03/14/16, 2.752, 2.758, 2.707, 2.734
03/11/16, 2.697, 2.756, 2.679, 2.754
03/10/16, 2.664, 2.727, 2.643, 2.696
03/09/16, 2.633, 2.697, 2.633, 2.663
03/08/16, 2.704, 2.704, 2.599, 2.635
03/07/16, 2.697, 2.730, 2.693, 2.706
03/04/16, 2.652, 2.734, 2.638, 2.697
03/03/16, 2.685, 2.700, 2.644, 2.660
03/02/16, 2.692, 2.723, 2.674, 2.687
03/01/16, 2.615, 2.708, 2.587, 2.697
02/29/16, 2.631, 2.634, 2.602, 2.616
02/26/16, 2.597, 2.655, 2.588, 2.637
02/25/16, 2.612, 2.618, 2.550, 2.598
02/24/16, 2.576, 2.617, 2.513, 2.607
02/23/16, 2.605, 2.672, 2.567, 2.580
02/22/16, 2.619, 2.635, 2.604, 2.609
02/19/16, 2.612, 2.645, 2.580, 2.607
02/18/16, 2.681, 2.696, 2.606, 2.611
02/17/16, 2.647, 2.713, 2.608, 2.686
02/16/16, 2.630, 2.670, 2.606, 2.642
02/12/16, 2.525, 2.616, 2.505, 2.602
02/11/16, 2.489, 2.512, 2.379, 2.503
02/10/16, 2.552, 2.595, 2.488, 2.488
02/09/16, 2.565, 2.601, 2.513, 2.550
02/08/16, 2.690, 2.701, 2.556, 2.577
02/05/16, 2.674, 2.730, 2.665, 2.667
02/04/16, 2.712, 2.739, 2.675, 2.677
02/03/16, 2.663, 2.714, 2.619, 2.713
02/02/16, 2.758, 2.763, 2.656, 2.661
02/01/16, 2.742, 2.783, 2.732, 2.763
01/29/16, 2.790, 2.797, 2.720, 2.746
01/28/16, 2.804, 2.829, 2.766, 2.784
01/27/16, 2.778, 2.836, 2.770, 2.799
01/26/16, 2.783, 2.810, 2.748, 2.786
01/25/16, 2.818, 2.827, 2.783, 2.786
01/22/16, 2.811, 2.860, 2.791, 2.824
01/21/16, 2.769, 2.816, 2.731, 2.813
01/20/16, 2.816, 2.818, 2.712, 2.753
01/19/16, 2.831, 2.861, 2.791, 2.828
01/15/16, 2.890, 2.893, 2.800, 2.815
01/14/16, 2.861, 2.913, 2.836, 2.891
01/13/16, 2.899, 2.920, 2.817, 2.885
01/12/16, 2.968, 2.991, 2.865, 2.881
01/11/16, 2.911, 2.976, 2.911, 2.969
01/08/16, 2.935, 2.980, 2.902, 2.909
01/07/16, 2.946, 2.975, 2.884, 2.928
01/06/16, 2.998, 3.007, 2.931, 2.939
01/05/16, 2.985, 3.022, 2.971, 2.999
01/04/16, 3.037, 3.039, 2.938, 2.988
12/31/15, 3.033, 3.047, 3.009, 3.017
12/30/15, 3.029, 3.065, 3.018, 3.034
12/29/15, 2.937, 3.049, 2.931, 3.036
12/28/15, 2.970, 2.972, 2.923, 2.945
12/24/15, 2.989, 2.994, 2.961, 2.964
12/23/15, 2.955, 3.016, 2.954, 2.986
12/22/15, 2.912, 2.968, 2.904, 2.958
12/21/15, 2.919, 2.934, 2.890, 2.911
12/18/15, 2.927, 2.931, 2.895, 2.922
12/17/15, 2.988, 2.989, 2.928, 2.929
12/16/15, 2.986, 3.036, 2.959, 3.006
12/15/15, 2.946, 3.020, 2.934, 2.988
12/14/15, 2.888, 2.974, 2.873, 2.955
12/11/15, 2.969, 2.972, 2.865, 2.873
12/10/15, 2.975, 2.982, 2.954, 2.967
12/09/15, 2.964, 3.022, 2.946, 2.970
12/08/15, 2.964, 2.978, 2.926, 2.958
12/07/15, 3.019, 3.026, 2.929, 2.963
12/04/15, 3.038, 3.114, 2.996, 3.011
12/03/15, 2.908, 3.084, 2.905, 3.057
12/02/15, 2.915, 2.938, 2.898, 2.910
12/01/15, 2.980, 3.005, 2.900, 2.903
11/30/15, 2.994, 3.015, 2.970, 2.971
11/27/15, 2.991, 3.003, 2.969, 2.998
11/26/15, 2.993, 2.993, 2.987, 2.987
11/25/15, 3.007, 3.007, 2.979, 2.996
11/24/15, 2.998, 3.016, 2.969, 3.006
11/23/15, 3.006, 3.048, 2.992, 2.993
11/20/15, 3.013, 3.027, 2.993, 3.021
11/19/15, 3.042, 3.042, 2.988, 3.014
11/18/15, 3.058, 3.079, 3.031, 3.043
11/17/15, 3.062, 3.105, 3.035, 3.056
11/16/15, 3.041, 3.081, 3.029, 3.063
11/13/15, 3.079, 3.085, 3.045, 3.054
11/12/15, 3.116, 3.128, 3.077, 3.091
11/10/15, 3.108, 3.122, 3.080, 3.115
11/09/15, 3.091, 3.141, 3.082, 3.111
11/06/15, 3.002, 3.103, 2.982, 3.086
11/05/15, 2.990, 3.030, 2.983, 3.002
11/04/15, 2.988, 3.012, 2.972, 2.992
11/03/15, 2.943, 3.006, 2.931, 2.993
11/02/15, 2.918, 2.966, 2.908, 2.946
10/30/15, 2.956, 2.963, 2.920, 2.924
10/29/15, 2.875, 2.970, 2.857, 2.962
10/28/15, 2.863, 2.903, 2.849, 2.879
10/27/15, 2.865, 2.866, 2.827, 2.862
10/26/15, 2.892, 2.896, 2.856, 2.870
10/23/15, 2.865, 2.930, 2.851, 2.900
10/22/15, 2.863, 2.897, 2.833, 2.864
10/21/15, 2.910, 2.919, 2.859, 2.867
10/20/15, 2.883, 2.932, 2.871, 2.915
10/19/15, 2.876, 2.913, 2.865, 2.880
10/16/15, 2.868, 2.886, 2.848, 2.885
10/15/15, 2.837, 2.876, 2.833, 2.867
10/14/15, 2.885, 2.891, 2.832, 2.836
10/13/15, 2.893, 2.910, 2.863, 2.885
10/09/15, 2.936, 2.971, 2.914, 2.920
10/08/15, 2.897, 2.963, 2.862, 2.941
10/07/15, 2.873, 2.924, 2.871, 2.895
10/06/15, 2.894, 2.923, 2.867, 2.872
10/05/15, 2.824, 2.906, 2.810, 2.901
10/02/15, 2.857, 2.872, 2.749, 2.826
10/01/15, 2.857, 2.889, 2.819, 2.849
09/30/15, 2.858, 2.901, 2.853, 2.858
09/29/15, 2.877, 2.906, 2.841, 2.854
09/28/15, 2.951, 2.963, 2.864, 2.878
09/25/15, 2.917, 2.980, 2.907, 2.959
09/24/15, 2.940, 2.950, 2.865, 2.917
09/23/15, 2.947, 2.982, 2.934, 2.948
09/22/15, 3.023, 3.026, 2.919, 2.945
09/21/15, 2.940, 3.040, 2.940, 3.024
09/18/15, 3.003, 3.010, 2.923, 2.935
09/17/15, 3.082, 3.086, 3.005, 3.007
09/16/15, 3.060, 3.091, 3.034, 3.084
09/15/15, 2.955, 3.072, 2.933, 3.069
09/14/15, 2.962, 2.964, 2.921, 2.957
09/11/15, 2.982, 2.988, 2.922, 2.955
09/10/15, 2.946, 2.999, 2.943, 2.987
09/09/15, 2.959, 3.036, 2.937, 2.963
09/08/15, 2.919, 2.980, 2.888, 2.957
09/04/15, 2.939, 2.942, 2.878, 2.887
09/03/15, 2.953, 2.980, 2.925, 2.936
09/02/15, 2.919, 2.970, 2.900, 2.954
09/01/15, 2.959, 2.963, 2.892, 2.913
08/31/15, 2.908, 2.964, 2.860, 2.961
08/28/15, 2.899, 2.935, 2.865, 2.911
08/27/15, 2.931, 2.953, 2.876, 2.926
08/26/15, 2.790, 2.960, 2.788, 2.934
08/25/15, 2.738, 2.859, 2.725, 2.801
08/24/15, 2.727, 2.760, 2.678, 2.728
08/21/15, 2.748, 2.774, 2.719, 2.730
08/20/15, 2.817, 2.821, 2.742, 2.746
08/19/15, 2.856, 2.894, 2.802, 2.817
08/18/15, 2.815, 2.872, 2.793, 2.857
08/17/15, 2.838, 2.841, 2.792, 2.819
08/14/15, 2.852, 2.877, 2.821, 2.845
08/13/15, 2.837, 2.873, 2.822, 2.857
08/12/15, 2.813, 2.842, 2.724, 2.841
08/11/15, 2.896, 2.899, 2.788, 2.810
08/10/15, 2.826, 2.910, 2.826, 2.899
08/07/15, 2.896, 2.920, 2.819, 2.821
08/06/15, 2.944, 2.958, 2.888, 2.892
08/05/15, 2.901, 2.965, 2.893, 2.952
08/04/15, 2.848, 2.905, 2.847, 2.897
08/03/15, 2.918, 2.924, 2.845, 2.853
07/31/15, 2.944, 2.964, 2.892, 2.909
07/30/15, 2.995, 3.029, 2.937, 2.943
07/29/15, 2.965, 3.009, 2.960, 2.999
07/28/15, 2.938, 2.987, 2.933, 2.966
07/27/15, 2.960, 2.964, 2.913, 2.934
07/24/15, 2.971, 2.983, 2.949, 2.962
07/23/15, 3.045, 3.052, 2.968, 2.969
07/22/15, 3.064, 3.075, 3.027, 3.039
07/21/15, 3.098, 3.140, 3.063, 3.066
07/20/15, 3.091, 3.121, 3.069, 3.103
07/17/15, 3.112, 3.122, 3.070, 3.087
07/16/15, 3.140, 3.173, 3.101, 3.111
07/15/15, 3.186, 3.217, 3.130, 3.141
07/14/15, 3.234, 3.238, 3.187, 3.197
07/13/15, 3.184, 3.251, 3.164, 3.237
07/10/15, 3.143, 3.214, 3.132, 3.192
07/09/15, 2.981, 3.129, 2.961, 3.126
07/08/15, 3.040, 3.042, 2.961, 2.977
07/07/15, 3.088, 3.108, 2.982, 3.041
07/06/15, 3.094, 3.143, 3.067, 3.084
07/02/15, 3.206, 3.251, 3.162, 3.190
07/01/15, 3.133, 3.218, 3.115, 3.203
06/30/15, 3.101, 3.140, 3.073, 3.127
06/29/15, 3.091, 3.177, 3.073, 3.101
06/26/15, 3.172, 3.254, 3.160, 3.241
06/25/15, 3.143, 3.190, 3.141, 3.177
06/24/15, 3.189, 3.193, 3.143, 3.148
06/23/15, 3.163, 3.224, 3.148, 3.197
06/22/15, 3.069, 3.172, 3.066, 3.167
06/19/15, 3.127, 3.127, 3.045, 3.051
06/18/15, 3.082, 3.161, 3.040, 3.131
06/17/15, 3.041, 3.129, 3.034, 3.096
06/16/15, 3.085, 3.099, 3.039, 3.042
06/15/15, 3.063, 3.111, 3.037, 3.088
06/12/15, 3.098, 3.120, 3.045, 3.108
06/11/15, 3.206, 3.227, 3.094, 3.096
06/10/15, 3.160, 3.228, 3.159, 3.216
06/09/15, 3.116, 3.184, 3.082, 3.170
06/08/15, 3.119, 3.124, 3.083, 3.117
06/05/15, 3.040, 3.137, 3.040, 3.119
06/04/15, 3.100, 3.158, 3.025, 3.042
06/03/15, 3.014, 3.130, 3.005, 3.105
06/02/15, 2.937, 3.032, 2.927, 3.016
06/01/15, 2.876, 2.958, 2.863, 2.935
05/29/15, 2.889, 2.892, 2.841, 2.886
05/28/15, 2.872, 2.900, 2.858, 2.887
05/27/15, 2.902, 2.929, 2.865, 2.870
05/26/15, 2.981, 2.985, 2.885, 2.900
05/22/15, 2.992, 3.010, 2.953, 2.985
05/21/15, 3.045, 3.054, 2.975, 2.989
05/20/15, 3.064, 3.088, 3.029, 3.050
05/19/15, 3.030, 3.090, 2.975, 3.077
05/18/15, 2.938, 3.035, 2.928, 3.033
05/15/15, 3.024, 3.030, 2.913, 2.931
05/14/15, 3.082, 3.102, 3.029, 3.052
05/13/15, 3.018, 3.091, 2.962, 3.088
05/12/15, 3.036, 3.129, 2.988, 3.015
05/11/15, 2.897, 3.053, 2.878, 3.044
05/08/15, 2.902, 2.933, 2.850, 2.878
05/07/15, 2.990, 3.037, 2.892, 2.913
05/06/15, 2.916, 3.009, 2.907, 2.995
05/05/15, 2.878, 2.935, 2.848, 2.919
05/04/15, 2.842, 2.887, 2.802, 2.878
05/01/15, 2.750, 2.841, 2.748, 2.829
04/30/15, 2.756, 2.813, 2.733, 2.742
04/29/15, 2.704, 2.787, 2.683, 2.756
04/28/15, 2.616, 2.708, 2.604, 2.705
04/27/15, 2.607, 2.643, 2.594, 2.615
04/24/15, 2.651, 2.665, 2.599, 2.612
04/23/15, 2.659, 2.677, 2.623, 2.654
04/22/15, 2.583, 2.677, 2.561, 2.662
04/21/15, 2.564, 2.591, 2.534, 2.582
04/20/15, 2.522, 2.577, 2.507, 2.563
04/17/15, 2.575, 2.595, 2.501, 2.519
