Date, Open, High, Low, Close, Volume
03/31/16, 1459.50, 1459.50, 1446.18, 1452.75, 1334
03/30/16, 1446.00, 1456.83, 1444.68, 1450.75, 1276
03/29/16, 1454.50, 1454.50, 1453.33, 1447.75, 44
03/24/16, 1453.50, 1453.50, 1452.83, 1445.75, 5394
03/23/16, 1440.00, 1453.00, 1434.90, 1445.25, 5394
03/22/16, 1450.00, 1455.00, 1450.00, 1447.75, 1782
03/21/16, 1451.00, 1454.33, 1440.50, 1447.50, 4088
03/18/16, 1454.00, 1454.00, 1452.33, 1447.75, 522
03/17/16, 1450.00, 1451.85, 1439.18, 1445.25, 4502
03/16/16, 1444.00, 1446.33, 1444.00, 1439.25, 1620
03/15/16, 1441.00, 1446.83, 1434.15, 1439.75, 9080
03/14/16, 1444.50, 1444.50, 1443.33, 1438.50, 1580
03/11/16, 1431.00, 1442.85, 1428.15, 1436.50, 16344
03/10/16, 1433.00, 1443.33, 1428.90, 1436.50, 752
03/09/16, 1433.00, 1444.00, 1431.68, 1437.00, 740
03/08/16, 1443.00, 1446.00, 1430.18, 1437.75, 3644
03/07/16, 1437.00, 1440.83, 1428.18, 1434.75, 980
03/04/16, 1441.50, 1441.83, 1441.00, 1434.25, 158
03/03/16, 1440.00, 1441.00, 1427.18, 1435.00, 1582
03/02/16, 1426.00, 1426.68, 1426.00, 1433.00, 100
03/01/16, 1434.00, 1442.83, 1430.18, 1434.25, 9580
02/29/16, 1431.00, 1442.00, 1428.68, 1434.75, 6588
02/26/16, 1428.50, 1442.00, 1428.50, 1434.25, 1948
02/25/16, 1443.50, 1443.50, 1441.83, 1437.25, 1350
02/24/16, 1430.00, 1443.00, 1430.00, 1437.25, 698
02/23/16, 1431.00, 1440.00, 1426.50, 1435.75, 6156
02/22/16, 1439.50, 1439.50, 1437.00, 1433.00, 1204
02/19/16, 1445.00, 1445.00, 1431.00, 1437.00, 1622
02/18/16, 1435.00, 1437.85, 1426.50, 1433.00, 3154
02/17/16, 1425.00, 1438.35, 1424.65, 1430.25, 20076
02/16/16, 1425.00, 1439.00, 1422.00, 1432.50, 16566
02/15/16, 1439.00, 1439.00, 1426.18, 1432.00, 1308
02/12/16, 1426.00, 1439.00, 1419.00, 1431.25, 23024
02/11/16, 1446.00, 1446.00, 1432.50, 1435.00, 106097
02/10/16, 1438.00, 1439.45, 1429.08, 1434.50, 1818
02/09/16, 1433.00, 1433.60, 1433.00, 1438.00, 446
02/08/16, 1444.00, 1444.00, 1443.40, 1438.75, 216
02/05/16, 1441.00, 1441.00, 1431.50, 1434.00, 182594
02/04/16, 1429.00, 1439.40, 1428.60, 1436.00, 8632
02/03/16, 1430.00, 1441.60, 1430.00, 1437.00, 4294
02/02/16, 1440.50, 1440.50, 1429.70, 1436.00, 47015
02/01/16, 1440.00, 1440.00, 1438.20, 1433.75, 1074
01/29/16, 1437.00, 1437.00, 1434.60, 1432.00, 1868
01/28/16, 1440.50, 1450.50, 1440.50, 1445.00, 649
01/27/16, 1447.00, 1447.20, 1437.50, 1442.75, 4380
01/26/16, 1440.00, 1440.40, 1440.00, 1443.75, 218
01/25/16, 1438.00, 1439.30, 1438.00, 1443.00, 1020
01/22/16, 1447.00, 1448.50, 1437.00, 1441.75, 4968
01/21/16, 1440.00, 1442.30, 1440.00, 1445.00, 796
01/20/16, 1450.00, 1453.52, 1450.00, 1446.00, 21326
01/19/16, 1443.00, 1452.50, 1443.00, 1446.75, 1394
01/18/16, 1445.00, 1445.10, 1444.00, 1448.25, 4484
01/15/16, 1445.00, 1452.80, 1444.20, 1448.75, 2432
01/14/16, 1447.25, 1447.25, 1447.25, 1447.25, 0
01/13/16, 1441.50, 1442.20, 1441.50, 1446.50, 52
01/12/16, 1438.50, 1447.20, 1438.50, 1445.75, 3558
01/11/16, 1439.00, 1448.20, 1439.00, 1444.75, 15980
