Date, Open, High, Low, Close, Volume
03/31/16, 1726.50, 1727.57, 1714.93, 1723.00, 496
03/30/16, 1729.50, 1729.57, 1716.93, 1723.00, 1941
03/29/16, 1694.50, 1700.08, 1690.00, 1698.00, 1051
03/24/16, 1695.50, 1696.58, 1689.00, 1693.25, 263
03/23/16, 1716.07, 1716.07, 1710.07, 1706.25, 263
03/22/16, 1709.00, 1715.00, 1702.93, 1714.25, 872
03/21/16, 1707.00, 1707.00, 1703.50, 1708.00, 38
03/18/16, 1715.07, 1715.07, 1713.57, 1711.25, 111
03/17/16, 1694.00, 1703.07, 1683.92, 1700.00, 4108
03/16/16, 1690.50, 1690.58, 1678.92, 1686.00, 277
03/15/16, 1684.00, 1684.00, 1674.50, 1679.25, 1622
03/14/16, 1686.50, 1686.50, 1686.50, 1686.50, 0
03/11/16, 1674.00, 1680.58, 1673.92, 1684.50, 299
03/10/16, 1672.92, 1672.92, 1655.00, 1654.50, 135
03/09/16, 1657.00, 1665.08, 1656.50, 1663.25, 837
03/08/16, 1657.00, 1665.00, 1657.00, 1660.25, 136
03/07/16, 1664.92, 1664.92, 1664.92, 1670.75, 3
03/04/16, 1674.50, 1674.50, 1663.42, 1673.75, 122
03/03/16, 1660.50, 1664.50, 1656.41, 1654.75, 392
03/02/16, 1647.91, 1647.91, 1647.91, 1652.75, 71
03/01/16, 1618.41, 1630.59, 1618.41, 1639.00, 309
02/29/16, 1629.00, 1633.00, 1619.10, 1632.50, 9167
02/26/16, 1633.50, 1646.59, 1633.50, 1634.25, 190
02/25/16, 1610.90, 1620.10, 1610.90, 1613.75, 143
02/24/16, 1590.50, 1597.00, 1589.10, 1583.50, 23
02/23/16, 1610.00, 1610.00, 1610.00, 1606.50, 44
02/22/16, 1622.00, 1625.50, 1611.50, 1622.25, 1612
02/19/16, 1601.50, 1610.00, 1601.50, 1601.00, 174
02/18/16, 1601.00, 1612.50, 1600.50, 1603.25, 5516
02/17/16, 1590.50, 1596.50, 1576.00, 1606.00, 70
02/16/16, 1578.50, 1584.00, 1578.00, 1569.25, 132
02/15/16, 1577.00, 1577.00, 1569.50, 1575.50, 274
02/12/16, 1542.00, 1544.50, 1538.00, 1551.00, 454
02/11/16, 1516.50, 1524.50, 1509.00, 1516.75, 492
02/10/16, 1554.50, 1555.50, 1554.50, 1554.00, 456
02/09/16, 1536.00, 1546.50, 1536.00, 1545.75, 882
02/08/16, 1564.00, 1565.50, 1533.00, 1532.75, 1302
02/05/16, 1575.00, 1601.50, 1575.00, 1570.50, 778
02/04/16, 1604.00, 1604.50, 1586.00, 1594.50, 486
02/03/16, 1570.50, 1601.00, 1570.50, 1577.50, 550
02/02/16, 1595.50, 1610.50, 1592.50, 1596.50, 118
02/01/16, 1605.50, 1614.00, 1604.00, 1610.25, 356
01/29/16, 1590.50, 1595.50, 1585.00, 1594.00, 442
01/28/16, 1573.00, 1590.50, 1573.00, 1574.50, 556
01/27/16, 1581.00, 1589.00, 1581.00, 1584.50, 588
01/26/16, 1584.50, 1584.50, 1566.00, 1583.50, 172
01/25/16, 1585.00, 1591.50, 1576.00, 1580.00, 550
01/22/16, 1585.00, 1585.00, 1577.50, 1583.00, 150
01/21/16, 1548.00, 1556.00, 1548.00, 1558.00, 684
01/20/16, 1529.00, 1531.50, 1529.00, 1523.00, 28
01/19/16, 1580.00, 1596.00, 1580.00, 1576.00, 50
01/18/16, 1568.50, 1578.50, 1568.50, 1567.00, 82
01/15/16, 1580.00, 1587.50, 1580.00, 1567.00, 334
01/14/16, 1583.50, 1583.50, 1579.00, 1594.50, 108
01/13/16, 1616.50, 1631.00, 1616.50, 1622.00, 2
01/12/16, 1618.00, 1623.00, 1618.00, 1613.50, 218
01/11/16, 1614.50, 1620.50, 1614.50, 1608.00, 594
01/08/16, 1631.50, 1644.00, 1631.50, 1625.75, 44
01/07/16, 1654.50, 1654.50, 1642.00, 1652.25, 808
01/06/16, 1675.50, 1683.00, 1675.50, 1679.25, 328
01/05/16, 1689.50, 1689.50, 1684.00, 1688.25, 136
01/04/16, 1674.50, 1686.50, 1674.50, 1674.50, 1564
12/31/15, 1739.00, 1739.00, 1727.00, 1729.75, 136
12/30/15, 1744.50, 1748.00, 1744.50, 1740.50, 32
12/29/15, 1743.50, 1747.50, 1738.50, 1742.50, 174
12/24/15, 1737.00, 1737.00, 1735.00, 1731.00, 144
12/23/15, 1725.00, 1725.00, 1721.50, 1726.50, 144
12/22/15, 1700.50, 1704.00, 1697.00, 1697.75, 46532
12/21/15, 1697.00, 1699.50, 1692.00, 1688.00, 3788
12/18/15, 1694.50, 1708.00, 1694.50, 1697.75, 42
12/17/15, 1730.00, 1745.00, 1730.00, 1719.75, 250
12/16/15, 1722.50, 1749.50, 1722.50, 1716.00, 86304
12/15/15, 1713.00, 1719.50, 1708.00, 1715.25, 8014
12/14/15, 1700.00, 1703.00, 1689.00, 1677.00, 24402
12/11/15, 1706.00, 1711.10, 1701.00, 1699.00, 25544
12/10/15, 1722.50, 1722.50, 1718.50, 1725.75, 46
12/09/15, 1734.25, 1734.25, 1734.25, 1734.25, 0
12/08/15, 1724.50, 1733.50, 1724.50, 1733.25, 112
12/07/15, 1740.50, 1750.50, 1740.50, 1733.25, 34
12/04/15, 1735.00, 1745.00, 1724.00, 1739.75, 266
12/03/15, 1738.50, 1740.00, 1738.50, 1742.75, 26
12/02/15, 1759.25, 1759.25, 1759.25, 1759.25, 0
12/01/15, 1751.50, 1760.00, 1749.00, 1756.00, 702
11/30/15, 1749.00, 1759.50, 1745.50, 1750.50, 492
11/27/15, 1757.50, 1757.50, 1749.50, 1755.75, 178
11/26/15, 1758.50, 1763.00, 1758.00, 1761.25, 392
11/25/15, 1753.50, 1759.50, 1751.50, 1753.75, 84
11/24/15, 1734.00, 1740.50, 1734.00, 1744.75, 218
11/23/15, 1756.75, 1756.75, 1756.75, 1756.75, 0
11/20/15, 1757.00, 1757.00, 1750.00, 1756.50, 604
11/19/15, 1744.50, 1756.50, 1744.50, 1748.75, 142
11/18/15, 1730.00, 1730.50, 1720.50, 1731.50, 1042
11/17/15, 1729.00, 1731.00, 1722.00, 1731.25, 36074
11/16/15, 1700.50, 1701.50, 1698.50, 1697.00, 192
11/13/15, 1704.00, 1715.50, 1704.00, 1703.50, 154
11/12/15, 1730.50, 1741.00, 1725.50, 1728.50, 13920
11/11/15, 1743.50, 1749.50, 1743.50, 1743.00, 100
11/10/15, 1737.50, 1741.00, 1737.50, 1738.00, 124
11/09/15, 1741.00, 1756.00, 1741.00, 1735.50, 44
11/06/15, 1752.50, 1760.50, 1752.50, 1752.75, 246
11/05/15, 1755.00, 1767.50, 1755.00, 1756.50, 136
11/04/15, 1765.50, 1770.25, 1765.50, 1762.25, 12660
11/03/15, 1762.00, 1762.00, 1756.50, 1762.25, 60
11/02/15, 1755.00, 1755.00, 1742.50, 1753.75, 172
10/30/15, 1745.00, 1747.50, 1745.00, 1747.75, 8
10/29/15, 1752.50, 1752.50, 1749.50, 1751.75, 218
10/28/15, 1741.00, 1741.00, 1734.00, 1744.00, 74
10/27/15, 1730.50, 1730.50, 1729.50, 1727.25, 212
10/26/15, 1734.00, 1735.00, 1729.50, 1734.50, 378
10/23/15, 1734.50, 1738.50, 1732.00, 1732.25, 7654
10/22/15, 1716.50, 1716.50, 1703.00, 1713.50, 526
10/21/15, 1702.50, 1709.00, 1702.50, 1702.50, 378
10/20/15, 1704.00, 1704.00, 1700.00, 1706.00, 16
10/19/15, 1702.50, 1705.50, 1698.50, 1702.75, 1122
10/16/15, 1698.50, 1703.00, 1698.50, 1700.25, 834
10/15/15, 1681.00, 1685.00, 1678.00, 1681.75, 1725
10/14/15, 1678.00, 1679.00, 1678.00, 1674.25, 118
10/13/15, 1695.00, 1695.00, 1687.50, 1694.50, 202
10/12/15, 1691.25, 1691.25, 1691.25, 1691.25, 0
10/09/15, 1697.00, 1697.00, 1692.50, 1694.25, 86
10/08/15, 1674.50, 1674.50, 1669.00, 1673.25, 56
10/07/15, 1670.50, 1671.50, 1670.50, 1660.50, 30
10/06/15, 1662.00, 1664.50, 1662.00, 1667.75, 36
10/05/15, 1658.50, 1664.50, 1655.00, 1660.25, 314
10/02/15, 1606.50, 1626.50, 1592.50, 1608.00, 358
10/01/15, 1612.00, 1631.00, 1604.00, 1606.25, 364
