Date, Open, High, Low, Close, Volume
03/31/16, 1670.00, 1670.00, 1670.00, 1670.00, 0
03/30/16, 1669.00, 1669.00, 1669.00, 1669.00, 0
03/29/16, 1645.75, 1645.75, 1645.75, 1645.75, 0
03/24/16, 1639.50, 1639.50, 1639.50, 1639.50, 0
03/23/16, 1653.00, 1653.00, 1653.00, 1653.00, 0
03/22/16, 1659.25, 1659.25, 1659.25, 1659.25, 0
03/21/16, 1654.00, 1654.00, 1654.00, 1654.00, 0
03/18/16, 1656.75, 1656.75, 1656.75, 1656.75, 0
03/17/16, 1646.50, 1646.50, 1646.50, 1646.50, 0
03/16/16, 1633.75, 1633.75, 1633.75, 1633.75, 0
03/15/16, 1627.75, 1627.75, 1627.75, 1627.75, 0
03/14/16, 1633.25, 1633.25, 1633.25, 1633.25, 0
03/11/16, 1631.25, 1631.25, 1631.25, 1631.25, 0
03/10/16, 1602.25, 1602.25, 1602.25, 1602.25, 0
03/09/16, 1610.50, 1610.50, 1610.50, 1610.50, 0
03/08/16, 1607.25, 1607.25, 1607.25, 1607.25, 0
03/07/16, 1617.75, 1617.75, 1617.75, 1617.75, 0
03/04/16, 1622.00, 1622.00, 1622.00, 1622.00, 0
03/03/16, 1602.25, 1602.25, 1602.25, 1602.25, 0
03/02/16, 1601.50, 1601.50, 1601.50, 1601.50, 0
03/01/16, 1587.25, 1587.25, 1587.25, 1587.25, 0
02/29/16, 1580.75, 1580.75, 1580.75, 1580.75, 0
02/26/16, 1583.75, 1583.75, 1583.75, 1583.75, 0
02/25/16, 1563.00, 1564.50, 1563.00, 1564.00, 40000
02/24/16, 1533.50, 1533.50, 1533.50, 1533.50, 0
02/23/16, 1556.25, 1556.25, 1556.25, 1556.25, 0
02/22/16, 1569.00, 1569.00, 1569.00, 1571.25, 10000
02/19/16, 1551.50, 1551.50, 1551.50, 1551.50, 0
02/18/16, 1552.00, 1552.00, 1552.00, 1552.50, 10000
02/17/16, 1556.50, 1556.50, 1556.50, 1556.50, 0
02/16/16, 1520.25, 1520.25, 1520.25, 1520.25, 0
02/15/16, 1525.00, 1525.00, 1525.00, 1525.00, 0
02/12/16, 1502.50, 1502.50, 1502.50, 1502.50, 0
02/11/16, 1469.50, 1469.50, 1469.50, 1469.50, 0
02/10/16, 1507.00, 1507.00, 1507.00, 1507.00, 0
02/09/16, 1478.00, 1478.00, 1476.00, 1502.00, 50000
02/08/16, 1486.25, 1486.25, 1486.25, 1486.25, 0
02/05/16, 1522.50, 1522.50, 1522.50, 1522.50, 0
02/04/16, 1545.75, 1545.75, 1545.75, 1545.75, 0
02/03/16, 1529.75, 1529.75, 1529.75, 1529.75, 0
02/02/16, 1547.25, 1547.25, 1547.25, 1547.25, 0
02/01/16, 1560.75, 1560.75, 1560.75, 1560.75, 0
01/29/16, 1544.75, 1544.75, 1544.75, 1544.75, 0
01/28/16, 1527.75, 1527.75, 1527.75, 1527.75, 0
01/27/16, 1537.75, 1537.75, 1537.75, 1537.75, 0
01/26/16, 1537.25, 1537.25, 1537.25, 1537.25, 0
01/25/16, 1533.25, 1533.25, 1533.25, 1533.25, 0
01/22/16, 1537.25, 1537.25, 1537.25, 1537.25, 0
01/21/16, 1512.50, 1512.50, 1512.50, 1512.50, 0
01/20/16, 1478.25, 1478.25, 1478.25, 1478.25, 0
01/19/16, 1530.00, 1530.00, 1530.00, 1530.00, 0
01/18/16, 1521.50, 1521.50, 1521.50, 1521.50, 0
01/15/16, 1521.00, 1521.00, 1521.00, 1521.00, 0
01/14/16, 1545.25, 1545.25, 1545.25, 1545.25, 0
01/13/16, 1570.75, 1570.75, 1570.75, 1570.75, 0
01/12/16, 1563.25, 1563.25, 1563.25, 1563.25, 0
01/11/16, 1557.25, 1557.25, 1557.25, 1557.25, 0
01/08/16, 1574.75, 1574.75, 1574.75, 1574.75, 0
01/07/16, 1600.75, 1600.75, 1600.75, 1600.75, 0
01/06/16, 1627.75, 1627.75, 1627.75, 1627.75, 0
01/05/16, 1636.25, 1636.25, 1636.25, 1636.25, 0
01/04/16, 1622.75, 1622.75, 1622.75, 1622.75, 0
12/31/15, 1676.00, 1676.00, 1676.00, 1676.00, 0
12/30/15, 1687.75, 1687.75, 1687.75, 1687.75, 0
12/29/15, 1689.25, 1689.25, 1689.25, 1689.25, 0
12/24/15, 1677.75, 1677.75, 1677.75, 1677.75, 0
12/23/15, 1673.75, 1673.75, 1673.75, 1673.75, 0
12/22/15, 1645.75, 1645.75, 1645.75, 1645.75, 0
12/21/15, 1636.75, 1636.75, 1636.75, 1636.75, 0
12/18/15, 1646.75, 1646.75, 1646.75, 1646.75, 0
12/17/15, 1667.75, 1667.75, 1667.75, 1667.75, 0
12/16/15, 1664.75, 1664.75, 1664.75, 1664.75, 0
12/15/15, 1663.75, 1663.75, 1663.75, 1663.75, 0
12/14/15, 1626.75, 1626.75, 1626.75, 1626.75, 0
12/11/15, 1647.75, 1647.75, 1647.75, 1647.75, 0
12/10/15, 1673.75, 1673.75, 1673.75, 1673.75, 0
12/09/15, 1681.75, 1681.75, 1681.75, 1681.75, 0
12/08/15, 1680.75, 1680.75, 1680.75, 1680.75, 0
12/07/15, 1680.75, 1680.75, 1680.75, 1680.75, 0
12/04/15, 1687.25, 1687.25, 1687.25, 1687.25, 0
12/03/15, 1690.25, 1690.25, 1690.25, 1690.25, 0
12/02/15, 1706.25, 1706.25, 1706.25, 1706.25, 0
12/01/15, 1703.25, 1703.25, 1703.25, 1703.25, 0
11/30/15, 1697.75, 1697.75, 1697.75, 1697.75, 0
11/27/15, 1702.75, 1702.75, 1702.75, 1702.75, 0
11/26/15, 1707.75, 1707.75, 1707.75, 1707.75, 0
11/25/15, 1700.75, 1700.75, 1700.75, 1700.75, 0
11/24/15, 1692.25, 1692.25, 1692.25, 1692.25, 0
11/23/15, 1703.75, 1703.75, 1703.75, 1703.75, 0
11/20/15, 1703.25, 1703.25, 1703.25, 1703.25, 0
11/19/15, 1695.75, 1695.75, 1695.75, 1695.75, 0
11/18/15, 1679.25, 1679.25, 1679.25, 1679.25, 0
11/17/15, 1678.50, 1678.50, 1678.50, 1678.50, 0
11/16/15, 1645.75, 1645.75, 1645.75, 1645.75, 0
11/13/15, 1652.25, 1652.25, 1652.25, 1652.25, 0
11/12/15, 1676.25, 1676.25, 1676.25, 1676.25, 0
11/11/15, 1690.25, 1690.25, 1690.25, 1690.25, 0
11/10/15, 1685.75, 1685.75, 1685.75, 1685.75, 0
11/09/15, 1683.25, 1683.25, 1683.25, 1683.25, 0
11/06/15, 1698.25, 1698.25, 1698.25, 1698.25, 0
11/05/15, 1703.75, 1703.75, 1703.75, 1703.75, 0
11/04/15, 1708.00, 1708.00, 1708.00, 1708.00, 0
11/03/15, 1708.75, 1708.75, 1708.75, 1708.75, 0
11/02/15, 1700.00, 1700.00, 1700.00, 1700.00, 0
10/30/15, 1695.25, 1695.25, 1695.25, 1695.25, 0
10/29/15, 1697.75, 1697.75, 1697.75, 1697.75, 0
10/28/15, 1691.25, 1691.25, 1691.25, 1691.25, 0
10/27/15, 1675.25, 1675.25, 1675.25, 1675.25, 0
10/26/15, 1682.25, 1682.25, 1682.25, 1682.25, 0
10/23/15, 1679.25, 1679.25, 1679.25, 1679.25, 0
10/22/15, 1661.00, 1661.00, 1661.00, 1661.00, 0
10/21/15, 1651.25, 1651.25, 1651.25, 1651.25, 0
10/20/15, 1654.25, 1654.25, 1654.25, 1654.25, 0
10/19/15, 1651.00, 1651.00, 1651.00, 1651.00, 0
10/16/15, 1648.50, 1648.50, 1648.50, 1648.50, 0
10/15/15, 1631.00, 1631.00, 1631.00, 1631.00, 0
10/14/15, 1623.75, 1623.75, 1623.75, 1623.75, 0
10/13/15, 1642.75, 1642.75, 1642.75, 1642.75, 0
10/12/15, 1640.25, 1640.25, 1640.25, 1640.25, 0
10/09/15, 1643.00, 1643.00, 1643.00, 1643.00, 0
10/08/15, 1622.50, 1622.50, 1622.50, 1622.50, 0
10/07/15, 1610.00, 1610.00, 1610.00, 1610.00, 0
10/06/15, 1616.25, 1616.25, 1616.25, 1616.25, 0
10/05/15, 1608.75, 1608.75, 1608.75, 1608.75, 0
10/02/15, 1558.25, 1558.25, 1558.25, 1558.25, 0
10/01/15, 1557.50, 1557.50, 1557.50, 1557.50, 0
