Date, Open, High, Low, Close, Volume
03/31/16, 0.03, 0.03, 0.03, 0.03, 545000
03/30/16, 0.03, 0.03, 0.03, 0.03, 1000
03/29/16, 0.03, 0.03, 0.03, 0.03, 0
03/28/16, 0.04, 0.04, 0.04, 0.04, 50000
03/24/16, 0.03, 0.04, 0.03, 0.04, 150000
03/23/16, 0.03, 0.03, 0.03, 0.03, 0
03/22/16, 0.03, 0.03, 0.03, 0.03, 35000
03/21/16, 0.03, 0.03, 0.03, 0.03, 0
03/18/16, 0.03, 0.03, 0.03, 0.03, 0
03/17/16, 0.03, 0.03, 0.03, 0.03, 0
03/16/16, 0.03, 0.03, 0.03, 0.03, 0
03/15/16, 0.04, 0.04, 0.04, 0.04, 4600
03/14/16, 0.03, 0.04, 0.03, 0.04, 76000
03/11/16, 0.03, 0.04, 0.03, 0.04, 52640
03/10/16, 0.04, 0.04, 0.04, 0.04, 53500
03/09/16, 0.03, 0.03, 0.03, 0.03, 30000
03/08/16, 0.03, 0.03, 0.03, 0.03, 0
03/07/16, 0.04, 0.04, 0.04, 0.04, 204500
03/04/16, 0.04, 0.04, 0.04, 0.04, 20000
03/03/16, 0.04, 0.04, 0.04, 0.04, 161734
03/02/16, 0.04, 0.04, 0.04, 0.04, 0
03/01/16, 0.04, 0.04, 0.04, 0.04, 2000
02/29/16, 0.04, 0.04, 0.04, 0.04, 128500
02/26/16, 0.03, 0.03, 0.03, 0.03, 200
02/25/16, 0.04, 0.04, 0.04, 0.04, 57000
02/24/16, 0.04, 0.04, 0.04, 0.04, 127663
02/23/16, 0.04, 0.04, 0.04, 0.04, 0
02/22/16, 0.04, 0.04, 0.04, 0.04, 50000
02/19/16, 0.04, 0.04, 0.04, 0.04, 125000
02/18/16, 0.04, 0.04, 0.04, 0.04, 4300
02/17/16, 0.04, 0.04, 0.04, 0.04, 0
02/16/16, 0.04, 0.04, 0.04, 0.04, 429000
02/12/16, 0.05, 0.05, 0.04, 0.04, 152000
02/11/16, 0.04, 0.04, 0.04, 0.04, 0
02/10/16, 0.05, 0.05, 0.05, 0.05, 258530
02/09/16, 0.05, 0.05, 0.04, 0.04, 246500
02/08/16, 0.05, 0.05, 0.04, 0.04, 93000
02/05/16, 0.05, 0.05, 0.05, 0.05, 0
02/04/16, 0.05, 0.05, 0.04, 0.04, 17000
02/03/16, 0.05, 0.05, 0.05, 0.05, 79800
02/02/16, 0.04, 0.04, 0.04, 0.04, 0
02/01/16, 0.05, 0.05, 0.05, 0.05, 157000
01/29/16, 0.04, 0.05, 0.04, 0.05, 122675
01/28/16, 0.03, 0.04, 0.03, 0.04, 107000
01/27/16, 0.04, 0.04, 0.03, 0.03, 83550
01/26/16, 0.04, 0.04, 0.04, 0.04, 0
01/25/16, 0.04, 0.05, 0.04, 0.04, 299000
01/22/16, 0.04, 0.04, 0.04, 0.04, 336500
01/21/16, 0.04, 0.04, 0.04, 0.04, 0
01/20/16, 0.05, 0.05, 0.05, 0.05, 0
01/19/16, 0.04, 0.04, 0.04, 0.04, 0
01/18/16, 0.04, 0.04, 0.04, 0.04, 10000
01/15/16, 0.04, 0.04, 0.04, 0.04, 0
01/14/16, 0.05, 0.05, 0.04, 0.04, 142500
01/13/16, 0.04, 0.05, 0.04, 0.04, 494720
01/12/16, 0.04, 0.04, 0.04, 0.04, 4000
01/11/16, 0.04, 0.04, 0.04, 0.04, 154000
01/08/16, 0.04, 0.04, 0.04, 0.04, 82000
01/07/16, 0.04, 0.04, 0.04, 0.04, 10000
01/06/16, 0.04, 0.04, 0.04, 0.04, 12000
01/05/16, 0.04, 0.04, 0.04, 0.04, 0
01/04/16, 0.04, 0.04, 0.04, 0.04, 22250
12/31/15, 0.04, 0.04, 0.04, 0.04, 59500
12/30/15, 0.04, 0.04, 0.04, 0.04, 0
12/29/15, 0.04, 0.04, 0.04, 0.04, 104000
12/24/15, 0.04, 0.04, 0.04, 0.04, 0
12/23/15, 0.04, 0.04, 0.04, 0.04, 7900
12/22/15, 0.04, 0.04, 0.04, 0.04, 0
12/21/15, 0.04, 0.05, 0.04, 0.04, 254393
12/18/15, 0.04, 0.04, 0.04, 0.04, 77000
12/17/15, 0.03, 0.04, 0.03, 0.04, 230000
12/16/15, 0.03, 0.04, 0.03, 0.04, 113000
12/15/15, 0.03, 0.04, 0.03, 0.04, 343750
12/14/15, 0.03, 0.03, 0.03, 0.03, 303000
12/11/15, 0.03, 0.03, 0.03, 0.03, 1335000
12/10/15, 0.03, 0.03, 0.03, 0.03, 523500
12/09/15, 0.03, 0.03, 0.03, 0.03, 25000
