Date, Open, High, Low, Close, Volume
03/31/16, 160.37, 161.03, 148.78, 159.45, 1808564
03/30/16, 145.81, 159.86, 138.66, 158.47, 2079866
03/29/16, 159.14, 162.17, 154.25, 154.81, 1642811
03/28/16, 146.22, 151.69, 143.64, 145.90, 1025433
03/24/16, 155.30, 157.00, 142.22, 143.75, 2141988
03/23/16, 133.81, 142.75, 132.29, 141.49, 1920343
03/22/16, 131.18, 131.82, 122.47, 126.23, 1377742
03/21/16, 128.00, 132.61, 123.05, 124.69, 1920845
03/18/16, 120.17, 130.00, 117.34, 128.46, 2227068
03/17/16, 133.93, 137.18, 124.36, 126.30, 1715362
03/16/16, 155.00, 155.68, 141.02, 142.00, 1459186
03/15/16, 165.40, 171.97, 164.85, 166.70, 1446600
03/14/16, 156.90, 162.99, 155.77, 157.22, 1756659
03/11/16, 143.69, 150.60, 140.20, 144.79, 1363376
03/10/16, 155.24, 159.24, 148.34, 151.50, 1695351
03/09/16, 161.96, 163.50, 146.50, 147.60, 2307287
03/08/16, 156.06, 174.24, 156.00, 173.99, 2095285
03/07/16, 177.20, 177.40, 150.17, 152.31, 3139558
03/04/16, 203.00, 210.00, 178.75, 178.80, 2026139
03/03/16, 213.99, 214.83, 195.00, 206.17, 1177250
03/02/16, 222.00, 226.76, 198.00, 202.50, 1944538
03/01/16, 225.00, 231.98, 204.40, 211.79, 1443515
02/29/16, 234.60, 242.12, 220.60, 223.35, 1379341
02/26/16, 212.77, 248.96, 211.44, 242.36, 2805241
02/25/16, 269.70, 288.79, 231.00, 240.94, 1576647
02/24/16, 299.41, 303.29, 256.60, 259.95, 1600289
02/23/16, 249.96, 274.95, 248.66, 270.50, 1282509
02/22/16, 236.46, 242.51, 225.55, 236.50, 1152275
02/19/16, 275.00, 290.22, 269.32, 271.67, 1235648
02/18/16, 231.56, 264.91, 228.20, 264.00, 1467695
02/17/16, 293.96, 297.92, 241.00, 254.00, 1684268
02/16/16, 290.00, 322.03, 287.49, 307.10, 1169677
02/12/16, 345.27, 369.99, 285.00, 306.95, 1488605
02/11/16, 406.30, 426.70, 367.01, 371.70, 1597106
02/10/16, 385.00, 394.78, 325.00, 385.68, 1703270
02/09/16, 323.33, 382.94, 306.36, 355.00, 1584876
