Date, Open, High, Low, Close, Volume
03/31/16, 0.004, 0.004, 0.004, 0.004, 0
03/30/16, 0.008, 0.008, 0.008, 0.008, 20817
03/29/16, 0.007, 0.007, 0.007, 0.007, 0
03/24/16, 0.007, 0.007, 0.007, 0.007, 0
03/23/16, 0.007, 0.007, 0.007, 0.007, 8126
03/22/16, 0.007, 0.007, 0.007, 0.007, 0
03/21/16, 0.007, 0.007, 0.007, 0.007, 0
03/18/16, 0.007, 0.008, 0.007, 0.008, 689857
03/17/16, 0.004, 0.004, 0.004, 0.004, 0
03/16/16, 0.004, 0.004, 0.004, 0.004, 0
03/15/16, 0.008, 0.008, 0.008, 0.008, 275001
03/14/16, 0.008, 0.008, 0.008, 0.008, 124755
03/11/16, 0.008, 0.008, 0.008, 0.008, 0
03/10/16, 0.008, 0.008, 0.008, 0.008, 0
03/09/16, 0.008, 0.008, 0.008, 0.008, 0
03/08/16, 0.008, 0.008, 0.008, 0.008, 0
03/07/16, 0.009, 0.009, 0.008, 0.008, 281674
03/04/16, 0.008, 0.008, 0.008, 0.008, 0
03/03/16, 0.009, 0.009, 0.009, 0.009, 170000
03/02/16, 0.008, 0.008, 0.008, 0.008, 0
03/01/16, 0.008, 0.008, 0.008, 0.008, 100000
02/29/16, 0.008, 0.008, 0.008, 0.008, 0
02/26/16, 0.009, 0.009, 0.009, 0.009, 75000
02/25/16, 0.008, 0.008, 0.008, 0.008, 0
02/24/16, 0.008, 0.008, 0.008, 0.008, 625
02/23/16, 0.008, 0.008, 0.008, 0.008, 1
02/22/16, 0.008, 0.008, 0.008, 0.008, 125
02/19/16, 0.008, 0.008, 0.008, 0.008, 0
02/18/16, 0.008, 0.008, 0.008, 0.008, 50320
02/17/16, 0.008, 0.008, 0.008, 0.008, 0
02/16/16, 0.008, 0.008, 0.008, 0.008, 0
02/15/16, 0.008, 0.008, 0.008, 0.008, 0
02/12/16, 0.008, 0.008, 0.008, 0.008, 0
02/11/16, 0.008, 0.008, 0.008, 0.008, 0
02/10/16, 0.008, 0.008, 0.008, 0.008, 0
02/09/16, 0.008, 0.008, 0.008, 0.008, 500000
02/08/16, 0.008, 0.008, 0.008, 0.008, 0
02/05/16, 0.008, 0.008, 0.008, 0.008, 0
02/04/16, 0.008, 0.008, 0.008, 0.008, 500382
02/03/16, 0.008, 0.008, 0.008, 0.008, 0
02/02/16, 0.008, 0.008, 0.008, 0.008, 0
02/01/16, 0.009, 0.009, 0.008, 0.008, 619336
01/29/16, 0.01, 0.01, 0.01, 0.01, 46592
01/28/16, 0.009, 0.009, 0.009, 0.009, 142252
01/27/16, 0.009, 0.009, 0.009, 0.009, 0
01/25/16, 0.009, 0.009, 0.009, 0.009, 69168
01/22/16, 0.008, 0.008, 0.008, 0.008, 0
01/21/16, 0.008, 0.008, 0.008, 0.008, 0
01/20/16, 0.009, 0.009, 0.009, 0.009, 2225000
01/19/16, 0.008, 0.008, 0.008, 0.008, 511645
01/18/16, 0.008, 0.008, 0.008, 0.008, 0
01/15/16, 0.008, 0.008, 0.008, 0.008, 0
01/14/16, 0.008, 0.008, 0.008, 0.008, 3125
01/13/16, 0.01, 0.01, 0.01, 0.01, 1450000
01/12/16, 0.008, 0.008, 0.008, 0.008, 0
01/11/16, 0.01, 0.01, 0.01, 0.01, 3408
01/08/16, 0.01, 0.01, 0.01, 0.01, 0
01/07/16, 0.01, 0.01, 0.01, 0.01, 0
01/06/16, 0.01, 0.01, 0.01, 0.01, 496592
01/05/16, 0.008, 0.008, 0.008, 0.008, 0
01/04/16, 0.012, 0.012, 0.012, 0.012, 1150000
12/31/15, 0.012, 0.012, 0.012, 0.012, 341200
12/30/15, 0.008, 0.008, 0.008, 0.008, 0
12/29/15, 0.008, 0.008, 0.008, 0.008, 0
12/24/15, 0.008, 0.008, 0.008, 0.008, 0
12/23/15, 0.01, 0.01, 0.01, 0.01, 273833
12/22/15, 0.01, 0.01, 0.01, 0.01, 0
12/21/15, 0.01, 0.01, 0.01, 0.01, 0
12/18/15, 0.01, 0.01, 0.01, 0.01, 0
12/17/15, 0.01, 0.01, 0.01, 0.01, 0
12/16/15, 0.01, 0.01, 0.01, 0.01, 0
12/15/15, 0.01, 0.011, 0.01, 0.01, 1296167
12/14/15, 0.009, 0.009, 0.009, 0.009, 0
12/11/15, 0.01, 0.01, 0.01, 0.01, 1630000
12/10/15, 0.01, 0.011, 0.01, 0.011, 500000
12/09/15, 0.009, 0.009, 0.009, 0.009, 0
12/08/15, 0.009, 0.009, 0.009, 0.009, 0
12/07/15, 0.009, 0.009, 0.009, 0.009, 0
12/04/15, 0.009, 0.009, 0.009, 0.009, 0
12/03/15, 0.009, 0.009, 0.008, 0.008, 191000
12/02/15, 0.009, 0.009, 0.009, 0.009, 5427
12/01/15, 0.004, 0.004, 0.004, 0.004, 0
11/30/15, 0.004, 0.004, 0.004, 0.004, 0
11/27/15, 0.007, 0.007, 0.007, 0.007, 0
11/26/15, 0.012, 0.012, 0.012, 0.012, 158800
11/25/15, 0.011, 0.013, 0.011, 0.013, 10000000
11/24/15, 0.008, 0.008, 0.008, 0.008, 0
11/23/15, 0.01, 0.011, 0.01, 0.011, 2000000
11/20/15, 0.009, 0.009, 0.009, 0.009, 0
11/19/15, 0.009, 0.009, 0.009, 0.009, 0
11/18/15, 0.01, 0.01, 0.01, 0.01, 150000
11/17/15, 0.01, 0.01, 0.01, 0.01, 3481068
11/16/15, 0.008, 0.008, 0.008, 0.008, 737000
11/13/15, 0.007, 0.007, 0.007, 0.007, 20031
11/12/15, 0.007, 0.007, 0.007, 0.007, 0
11/11/15, 0.007, 0.007, 0.007, 0.007, 0
11/10/15, 0.007, 0.007, 0.007, 0.007, 0
11/09/15, 0.007, 0.007, 0.007, 0.007, 0
11/06/15, 0.007, 0.007, 0.007, 0.007, 0
11/05/15, 0.008, 0.008, 0.007, 0.007, 162057
11/04/15, 0.007, 0.007, 0.007, 0.007, 0
11/03/15, 0.007, 0.007, 0.007, 0.007, 0
11/02/15, 0.007, 0.007, 0.007, 0.007, 0
10/30/15, 0.007, 0.007, 0.007, 0.007, 0
10/29/15, 0.008, 0.008, 0.008, 0.008, 683000
10/28/15, 0.007, 0.007, 0.007, 0.007, 0
10/27/15, 0.008, 0.008, 0.008, 0.008, 1000000
10/26/15, 0.008, 0.008, 0.008, 0.008, 0
10/23/15, 0.008, 0.008, 0.008, 0.008, 0
10/22/15, 0.008, 0.008, 0.008, 0.008, 0
10/21/15, 0.008, 0.008, 0.008, 0.008, 0
10/20/15, 0.008, 0.008, 0.008, 0.008, 0
10/19/15, 0.008, 0.008, 0.008, 0.008, 0
10/16/15, 0.011, 0.011, 0.009, 0.009, 1116250
10/15/15, 0.007, 0.015, 0.007, 0.013, 3844757
10/14/15, 0.007, 0.007, 0.007, 0.007, 110000
10/13/15, 0.007, 0.007, 0.007, 0.007, 1000000
10/12/15, 0.006, 0.006, 0.006, 0.006, 0
10/09/15, 0.006, 0.006, 0.006, 0.006, 0
10/08/15, 0.006, 0.006, 0.006, 0.006, 0
10/07/15, 0.006, 0.006, 0.006, 0.006, 86619
10/06/15, 0.005, 0.005, 0.005, 0.005, 89128
10/05/15, 0.005, 0.005, 0.005, 0.005, 200000
10/02/15, 0.005, 0.005, 0.005, 0.005, 0
10/01/15, 0.005, 0.005, 0.005, 0.005, 2675
09/30/15, 0.005, 0.005, 0.005, 0.005, 0
09/29/15, 0.006, 0.006, 0.006, 0.006, 575000
09/28/15, 0.007, 0.007, 0.007, 0.007, 365000
09/25/15, 0.005, 0.006, 0.005, 0.006, 1738484
