Date, Open, High, Low, Close, Volume
03/31/16, 19.85, 19.85, 18.70, 19.10, 22122654
03/30/16, 19.38, 20.15, 18.81, 19.42, 27878763
03/29/16, 19.25, 20.40, 18.92, 19.49, 29257615
03/28/16, 18.88, 19.63, 18.65, 18.98, 19117235
03/25/16, 18.31, 19.00, 18.31, 18.76, 11518418
03/24/16, 18.68, 18.99, 18.35, 18.47, 17488668
03/23/16, 17.80, 19.60, 17.71, 19.14, 33978845
03/22/16, 17.90, 18.20, 17.60, 17.90, 17672014
03/21/16, 17.56, 18.25, 17.41, 18.23, 25184385
03/18/16, 16.82, 18.00, 16.82, 17.73, 25919179
03/17/16, 16.50, 16.77, 16.25, 16.72, 11751869
03/16/16, 16.50, 16.69, 16.10, 16.18, 8697449
03/15/16, 17.00, 17.08, 16.26, 16.47, 15201438
03/14/16, 16.80, 17.49, 16.56, 17.05, 16177748
03/11/16, 16.50, 16.86, 16.17, 16.71, 13138174
03/10/16, 16.55, 17.04, 16.02, 16.71, 19378303
03/09/16, 17.49, 17.49, 16.50, 16.54, 29095181
03/08/16, 18.90, 18.95, 17.50, 18.24, 24016713
03/07/16, 18.80, 19.13, 18.10, 18.76, 28935221
03/04/16, 19.15, 19.61, 18.15, 18.22, 30589153
03/03/16, 19.55, 20.29, 19.03, 19.17, 30075832
03/02/16, 18.10, 20.13, 17.51, 19.63, 38063893
03/01/16, 17.60, 18.49, 16.90, 18.30, 28724418
02/29/16, 18.00, 18.36, 16.10, 17.59, 30736784
02/26/16, 16.51, 17.80, 16.25, 17.80, 30589067
02/25/16, 17.81, 18.26, 15.90, 16.18, 30102138
02/24/16, 17.75, 18.05, 17.22, 17.67, 23109471
02/23/16, 17.35, 18.60, 17.35, 18.26, 58119972
02/22/16, 16.18, 17.01, 16.18, 17.01, 33610612
02/19/16, 15.65, 15.70, 15.25, 15.46, 9189649
02/18/16, 16.10, 16.30, 15.76, 15.78, 18131629
02/17/16, 15.35, 16.25, 15.06, 15.80, 14992245
02/16/16, 15.30, 15.57, 15.11, 15.55, 13244099
02/15/16, 14.27, 15.67, 14.03, 15.33, 11669803
02/05/16, 15.06, 15.26, 14.55, 14.65, 10245199
02/04/16, 14.50, 15.45, 14.43, 15.05, 16778531
02/03/16, 13.82, 14.38, 13.82, 14.35, 9648633
02/02/16, 13.86, 14.25, 13.86, 14.20, 11073151
02/01/16, 13.68, 14.28, 13.58, 13.79, 14918018
01/29/16, 12.80, 13.77, 12.80, 13.73, 10907772
01/28/16, 13.80, 13.96, 12.65, 12.79, 11642139
01/27/16, 13.67, 14.50, 13.10, 14.01, 14704936
01/26/16, 14.47, 14.99, 13.41, 13.53, 14032973
01/25/16, 14.59, 14.89, 14.43, 14.69, 9036457
01/22/16, 14.60, 14.66, 13.92, 14.41, 9911910
01/21/16, 14.81, 15.25, 14.26, 14.35, 12040980
01/20/16, 15.14, 15.85, 15.04, 15.24, 15747618
01/19/16, 14.68, 15.35, 14.60, 15.34, 13720081
01/18/16, 14.64, 15.22, 14.51, 14.93, 8927663
01/15/16, 15.62, 15.90, 14.90, 15.01, 11101981
01/14/16, 14.83, 15.69, 14.60, 15.61, 10697340
01/13/16, 15.72, 15.98, 15.23, 15.27, 10042703
01/12/16, 15.90, 16.00, 15.31, 15.65, 13149501
01/11/16, 16.20, 16.95, 15.51, 15.76, 15985217
01/08/16, 16.37, 16.83, 15.25, 16.42, 17012424
01/07/16, 17.25, 17.32, 15.83, 15.84, 5357400
01/06/16, 16.86, 17.95, 16.67, 17.59, 18513576
01/05/16, 16.09, 16.91, 15.71, 16.66, 16953233
01/04/16, 18.82, 18.89, 16.93, 16.93, 13223558
12/31/15, 19.41, 19.45, 18.77, 18.81, 11964860
12/30/15, 19.39, 19.59, 19.10, 19.44, 14560525
12/29/15, 19.25, 19.37, 18.94, 19.23, 11462233
12/28/15, 19.70, 20.20, 18.92, 19.29, 25925547
12/25/15, 19.73, 19.84, 19.45, 19.70, 9758593
12/24/15, 19.64, 19.96, 19.35, 19.64, 13480431
12/23/15, 20.20, 20.20, 19.60, 19.65, 19831793
12/22/15, 20.01, 20.77, 19.73, 20.44, 31835228
12/21/15, 19.47, 19.97, 19.20, 19.74, 28997811
12/18/15, 19.28, 19.28, 18.75, 19.07, 17072005
12/17/15, 19.44, 19.56, 19.15, 19.36, 22437211
12/16/15, 19.15, 19.58, 18.98, 19.16, 17423980
12/15/15, 19.03, 19.18, 18.81, 19.01, 15525333
12/14/15, 18.07, 19.55, 18.01, 19.17, 27725442
12/11/15, 18.01, 18.67, 17.81, 18.40, 12407737
12/10/15, 18.32, 18.46, 18.00, 18.09, 10061907
12/09/15, 18.11, 18.62, 18.00, 18.20, 11514268
12/08/15, 18.87, 18.93, 18.17, 18.32, 15924496
12/07/15, 19.10, 19.37, 18.96, 19.13, 12090557
12/04/15, 19.34, 19.42, 18.67, 18.98, 14358137
12/03/15, 19.16, 19.50, 19.00, 19.47, 14177179
12/02/15, 19.13, 19.30, 18.50, 19.26, 14448790
12/01/15, 18.83, 19.44, 18.51, 19.08, 11753478
11/30/15, 19.16, 19.60, 17.98, 18.94, 22193617
11/27/15, 21.50, 21.80, 19.33, 19.38, 32664621
11/26/15, 20.82, 22.35, 20.80, 21.29, 36696517
11/25/15, 20.51, 20.95, 20.51, 20.80, 17515429
11/24/15, 20.27, 20.39, 19.83, 20.37, 13346844
11/23/15, 20.84, 20.95, 20.00, 20.19, 22652900
11/20/15, 20.92, 21.35, 20.61, 20.98, 23506620
11/19/15, 20.67, 20.97, 20.39, 20.90, 13517637
11/18/15, 21.70, 21.70, 20.35, 20.54, 23586080
11/17/15, 22.16, 22.66, 21.51, 21.64, 46781116
11/16/15, 21.62, 22.39, 21.58, 21.93, 26073639
11/13/15, 23.30, 23.98, 21.40, 22.37, 46549236
11/12/15, 21.85, 23.72, 21.85, 23.72, 67488090
11/11/15, 20.88, 21.99, 20.80, 21.56, 37878129
11/10/15, 20.22, 21.65, 19.91, 21.12, 35015212
11/09/15, 20.40, 20.80, 19.80, 20.35, 28039851
11/06/15, 19.59, 20.50, 19.55, 20.21, 25411357
11/05/15, 20.22, 21.20, 19.69, 19.81, 42388472
11/04/15, 19.22, 20.63, 19.10, 20.43, 31862950
11/03/15, 18.18, 19.01, 18.04, 19.00, 22383618
11/02/15, 17.78, 18.78, 17.63, 18.18, 13388978
10/30/15, 18.30, 18.41, 17.85, 18.02, 11887374
10/29/15, 18.55, 18.72, 18.18, 18.52, 10372036
10/28/15, 19.00, 19.30, 18.36, 18.40, 16473791
10/27/15, 18.71, 19.35, 18.14, 19.23, 20399756
10/26/15, 19.44, 19.50, 18.66, 18.80, 22607504
10/23/15, 18.80, 19.41, 18.41, 19.18, 33940820
10/22/15, 17.57, 19.10, 17.37, 18.96, 28432619
10/21/15, 18.38, 19.16, 17.13, 17.37, 26872152
10/20/15, 18.42, 18.62, 18.01, 18.60, 18493575
10/19/15, 18.80, 19.06, 18.40, 18.64, 20596768
10/16/15, 19.00, 19.77, 18.74, 19.26, 28094482
10/15/15, 19.00, 19.29, 18.34, 19.27, 40952259
10/14/15, 17.16, 18.79, 17.16, 18.79, 19929643
10/13/15, 16.98, 17.31, 16.81, 17.08, 13117562
10/12/15, 16.60, 17.44, 16.60, 17.30, 21129307
10/09/15, 15.68, 16.68, 15.65, 16.47, 15018382
10/08/15, 15.72, 15.90, 15.55, 15.76, 7550299
09/30/15, 15.33, 15.54, 15.15, 15.19, 5359258
09/29/15, 15.42, 15.54, 15.20, 15.26, 3725441
09/28/15, 15.78, 15.88, 15.24, 15.76, 3820765
09/25/15, 15.88, 16.40, 15.55, 15.73, 6409365
09/24/15, 15.86, 16.11, 15.75, 16.06, 5129700
09/23/15, 16.06, 16.37, 15.80, 15.83, 8243234
09/22/15, 16.05, 16.77, 15.98, 16.55, 10059391
09/21/15, 15.35, 16.08, 15.16, 16.05, 6702530
09/18/15, 15.70, 15.84, 15.31, 15.59, 5564388
09/17/15, 15.98, 16.50, 15.51, 15.56, 9707113
09/16/15, 14.76, 16.17, 14.75, 16.03, 7793040
09/15/15, 15.84, 16.00, 14.68, 14.73, 8135143
09/14/15, 17.23, 17.33, 15.40, 16.31, 13200998
09/11/15, 17.34, 17.60, 16.75, 17.11, 8763133
09/10/15, 18.00, 18.15, 17.34, 17.44, 12561697
09/09/15, 17.15, 17.92, 17.00, 17.76, 15234289
09/08/15, 16.98, 17.48, 15.76, 17.33, 9427938
09/07/15, 16.95, 17.94, 16.79, 16.90, 9982474
09/02/15, 15.60, 17.22, 15.42, 17.05, 20562997
09/01/15, 16.02, 16.40, 15.33, 16.31, 17584447
08/31/15, 16.20, 16.28, 15.60, 16.24, 14710312
08/28/15, 15.40, 16.30, 15.21, 16.28, 16136118
08/27/15, 14.98, 15.02, 14.08, 15.00, 14297693
08/26/15, 16.00, 16.11, 14.20, 14.34, 21725982
08/25/15, 16.00, 16.48, 15.63, 15.63, 15789418
08/24/15, 18.44, 18.44, 17.37, 17.37, 15999567
08/21/15, 20.20, 20.70, 19.00, 19.30, 14272132
08/20/15, 20.80, 21.94, 20.50, 20.56, 15197747
08/19/15, 20.00, 22.00, 19.50, 21.31, 21356703
08/18/15, 23.78, 23.78, 21.37, 21.37, 26267956
08/17/15, 23.27, 24.05, 22.88, 23.74, 27628045
08/14/15, 23.10, 24.20, 22.90, 23.05, 35039653
08/13/15, 21.52, 23.45, 21.22, 23.35, 32876136
08/12/15, 21.87, 22.79, 21.58, 21.76, 20761907
08/11/15, 22.98, 23.60, 22.20, 22.44, 42340932
08/10/15, 21.84, 22.88, 21.11, 22.63, 37355745
08/07/15, 21.05, 22.00, 20.58, 21.53, 30300487
08/06/15, 19.48, 21.25, 19.23, 20.83, 29525540
08/05/15, 20.20, 20.49, 19.60, 19.76, 13548226
08/04/15, 19.23, 20.37, 19.23, 20.35, 14979872
08/03/15, 18.71, 19.35, 18.49, 19.32, 20233753
07/31/15, 18.45, 18.98, 18.18, 18.94, 15642224
07/30/15, 19.36, 20.40, 18.61, 18.83, 21403972
07/29/15, 18.74, 19.60, 18.35, 19.55, 19690919
07/28/15, 18.50, 19.30, 17.27, 18.55, 27324381
07/27/15, 20.64, 21.19, 19.19, 19.19, 27361259
07/24/15, 20.90, 22.49, 20.79, 21.32, 47693833
07/23/15, 19.87, 21.30, 19.80, 20.96, 34761095
07/22/15, 19.98, 20.29, 19.31, 19.95, 22012757
07/21/15, 19.70, 20.48, 19.51, 20.17, 23145829
07/20/15, 19.75, 20.57, 19.57, 19.92, 26888393
07/17/15, 19.29, 20.49, 19.10, 20.25, 22051015
07/16/15, 18.89, 19.86, 17.59, 19.10, 19838044
07/15/15, 20.39, 20.99, 18.89, 18.89, 25831570
07/14/15, 21.83, 22.68, 20.90, 20.99, 39067339
07/13/15, 20.36, 21.81, 20.13, 21.81, 36082465
07/10/15, 18.38, 19.83, 18.35, 19.83, 27334820
07/09/15, 16.39, 18.03, 15.15, 18.03, 36267156
07/08/15, 16.39, 16.63, 16.39, 16.39, 23070481
07/07/15, 18.88, 20.00, 17.93, 18.21, 35678335
07/06/15, 21.08, 21.08, 17.63, 19.92, 35321835
07/03/15, 20.71, 21.50, 18.80, 19.20, 26229793
07/02/15, 23.20, 23.30, 20.66, 20.71, 21993248
07/01/15, 24.77, 25.53, 22.82, 22.89, 25657296
06/30/15, 23.75, 25.39, 21.80, 25.26, 28530863
06/29/15, 26.11, 26.37, 22.97, 23.81, 29139276
06/26/15, 27.33, 28.09, 25.52, 25.52, 20928433
06/25/15, 29.87, 30.50, 28.11, 28.35, 18392511
06/24/15, 29.69, 30.20, 29.12, 30.00, 20344633
06/23/15, 28.70, 29.58, 26.58, 29.43, 18855652
06/19/15, 30.25, 31.08, 28.50, 28.58, 17261237
06/18/15, 32.50, 32.55, 30.75, 30.84, 18234058
06/17/15, 31.70, 32.65, 31.22, 32.52, 20842954
06/16/15, 32.64, 32.64, 31.41, 31.64, 22767965
06/15/15, 34.19, 34.48, 33.00, 33.07, 28274646
06/12/15, 34.75, 34.79, 33.62, 34.40, 31316664
06/11/15, 34.50, 35.40, 34.33, 34.74, 25583452
06/10/15, 34.88, 35.20, 34.00, 34.63, 31756101
06/09/15, 35.64, 36.28, 34.80, 35.60, 43601734
06/08/15, 34.68, 35.48, 34.26, 35.07, 40302971
06/05/15, 33.51, 35.50, 33.48, 34.67, 51117275
06/04/15, 33.28, 33.46, 30.65, 33.10, 27439865
06/03/15, 33.18, 33.89, 32.47, 33.54, 33815436
06/02/15, 32.67, 33.33, 32.27, 33.22, 29601810
06/01/15, 31.79, 32.84, 31.00, 32.59, 26403800
05/29/15, 31.90, 32.58, 29.60, 31.36, 29430434
05/28/15, 35.00, 35.75, 32.04, 32.04, 42106343
05/27/15, 34.32, 35.90, 33.74, 35.60, 44033542
05/26/15, 34.10, 34.57, 33.37, 34.31, 35959414
05/25/15, 33.02, 34.41, 32.91, 34.12, 32486672
05/22/15, 32.67, 34.00, 32.59, 33.53, 32594815
05/21/15, 32.51, 32.96, 31.99, 32.66, 26069927
05/20/15, 32.70, 33.51, 32.10, 32.58, 32303627
05/19/15, 32.23, 32.91, 31.90, 32.64, 27514677
05/18/15, 32.61, 33.40, 32.00, 32.18, 34675154
05/15/15, 35.99, 36.89, 33.65, 33.88, 80370361
05/14/15, 30.50, 33.65, 30.01, 33.65, 52845900
05/13/15, 30.13, 31.19, 29.83, 30.59, 23139339
05/12/15, 30.00, 30.19, 29.68, 30.12, 18537952
