Date, Open, High, Low, Close, Volume
03/31/16, 17.27, 17.27, 17.27, 17.27, 0
03/30/16, 17.59, 17.59, 17.59, 17.59, 0
03/29/16, 18.26, 18.26, 18.26, 18.26, 0
03/24/16, 18.20, 18.20, 18.20, 18.20, 0
03/23/16, 18.39, 18.39, 18.39, 18.39, 0
03/22/16, 18.40, 18.40, 18.40, 18.40, 0
03/21/16, 18.55, 18.55, 18.55, 18.55, 0
03/18/16, 18.86, 18.86, 18.86, 18.86, 0
03/17/16, 18.95, 18.95, 18.95, 18.95, 0
03/16/16, 19.15, 19.15, 19.15, 19.15, 0
03/15/16, 19.44, 19.44, 19.44, 19.44, 0
03/14/16, 19.24, 19.24, 19.24, 19.24, 0
03/11/16, 18.80, 18.80, 18.80, 18.80, 0
03/10/16, 18.85, 18.85, 18.85, 18.85, 0
03/09/16, 18.54, 18.54, 18.54, 18.54, 0
03/08/16, 18.54, 18.54, 18.54, 18.54, 0
03/07/16, 18.31, 18.31, 18.31, 18.31, 0
03/04/16, 18.89, 18.89, 18.89, 18.89, 0
03/03/16, 18.99, 18.99, 18.99, 18.99, 0
03/02/16, 18.82, 18.82, 18.82, 18.82, 0
03/01/16, 18.74, 18.74, 18.74, 18.74, 0
02/29/16, 18.35, 18.35, 18.35, 18.35, 0
02/26/16, 18.83, 18.83, 18.83, 18.83, 0
02/25/16, 19.22, 19.22, 19.22, 19.22, 0
02/24/16, 18.89, 18.89, 18.89, 18.89, 0
02/23/16, 18.75, 18.75, 18.75, 18.75, 0
02/22/16, 18.72, 18.72, 18.72, 18.72, 0
02/19/16, 18.48, 18.48, 18.48, 18.48, 0
02/18/16, 17.91, 17.91, 17.91, 17.91, 0
02/17/16, 17.46, 17.46, 17.46, 17.46, 0
02/16/16, 17.68, 17.68, 17.68, 17.68, 0
02/15/16, 17.96, 17.96, 17.96, 17.96, 0
02/12/16, 16.77, 16.77, 16.77, 16.77, 0
02/11/16, 17.77, 17.77, 17.77, 17.77, 0
02/10/16, 17.43, 17.43, 17.43, 17.43, 0
02/09/16, 18.25, 18.25, 18.25, 18.25, 0
02/08/16, 19.17, 19.17, 19.17, 19.17, 0
02/05/16, 18.93, 18.93, 18.93, 18.93, 0
02/04/16, 19.52, 19.52, 19.52, 19.52, 0
02/03/16, 19.65, 19.65, 19.65, 19.65, 0
02/02/16, 19.88, 19.88, 19.88, 19.88, 0
02/01/16, 19.26, 19.26, 19.26, 19.26, 0
01/29/16, 19.75, 19.75, 19.75, 19.75, 0
01/28/16, 17.68, 17.68, 17.68, 17.68, 0
01/27/16, 18.35, 18.38, 18.35, 18.38, 30
01/26/16, 17.90, 17.90, 17.90, 17.90, 0
01/25/16, 18.25, 18.25, 18.25, 18.25, 0
01/22/16, 18.13, 18.44, 18.13, 18.44, 10
01/21/16, 17.16, 17.16, 17.16, 17.16, 0
01/20/16, 17.47, 17.47, 17.47, 17.47, 0
01/19/16, 18.22, 18.22, 18.22, 18.22, 0
01/18/16, 18.08, 18.08, 18.08, 18.08, 0
01/15/16, 18.14, 18.14, 18.14, 18.14, 0
01/14/16, 18.05, 18.05, 18.05, 18.05, 0
01/13/16, 18.27, 18.27, 18.27, 18.27, 0
01/12/16, 17.71, 18.02, 17.71, 18.02, 20
01/11/16, 18.13, 18.13, 18.13, 18.13, 0
01/08/16, 18.31, 18.31, 18.31, 18.31, 0
01/07/16, 18.82, 18.82, 18.82, 18.82, 0
01/06/16, 19.08, 19.08, 19.08, 19.08, 0
01/05/16, 19.14, 19.14, 19.14, 19.14, 0
01/04/16, 18.99, 18.99, 18.99, 18.99, 0
12/30/15, 19.42, 19.42, 19.42, 19.42, 0
12/29/15, 19.42, 19.42, 19.42, 19.42, 0
12/28/15, 19.31, 19.31, 19.31, 19.31, 0
12/23/15, 18.79, 18.79, 18.79, 18.79, 0
12/22/15, 19.09, 19.09, 19.09, 19.09, 0
12/21/15, 18.68, 19.00, 18.68, 19.00, 20
12/18/15, 18.64, 18.64, 18.64, 18.64, 0
12/17/15, 18.97, 18.97, 18.97, 18.97, 0
12/16/15, 18.20, 18.20, 18.20, 18.20, 0
12/15/15, 17.91, 17.91, 17.91, 17.91, 0
12/14/15, 18.31, 18.31, 18.31, 18.31, 0
12/11/15, 18.09, 18.09, 18.09, 18.09, 0
12/10/15, 17.59, 17.59, 17.59, 17.59, 0
12/09/15, 17.68, 17.68, 17.68, 17.68, 0
12/08/15, 17.78, 17.78, 17.78, 17.78, 0
12/07/15, 17.71, 17.71, 17.71, 17.71, 0
12/04/15, 17.53, 17.57, 17.53, 17.57, 50
12/03/15, 18.01, 18.01, 18.01, 18.01, 0
12/02/15, 18.10, 18.10, 18.10, 18.10, 0
12/01/15, 18.09, 18.09, 18.09, 18.09, 0
11/30/15, 17.90, 17.90, 17.90, 17.90, 0
11/27/15, 18.48, 18.48, 18.48, 18.48, 0
11/26/15, 18.67, 18.67, 18.67, 18.67, 0
11/25/15, 18.61, 18.61, 18.61, 18.61, 0
11/24/15, 18.45, 18.45, 18.45, 18.45, 0
11/23/15, 18.13, 18.13, 18.13, 18.13, 0
11/20/15, 18.02, 18.02, 18.02, 18.02, 0
11/19/15, 18.26, 18.26, 18.26, 18.26, 0
11/18/15, 17.91, 17.91, 17.91, 17.91, 0
11/17/15, 17.61, 17.61, 17.61, 17.61, 0
11/16/15, 17.58, 17.58, 17.58, 17.58, 0
11/13/15, 17.54, 17.54, 17.54, 17.54, 0
11/12/15, 17.81, 17.81, 17.81, 17.81, 0
11/11/15, 17.79, 17.79, 17.79, 17.79, 0
11/10/15, 17.83, 17.83, 17.83, 17.83, 0
11/09/15, 17.69, 17.69, 17.69, 17.69, 0
11/06/15, 17.46, 17.46, 17.46, 17.46, 0
11/05/15, 17.22, 17.22, 17.22, 17.22, 0
11/04/15, 16.99, 17.33, 16.99, 17.33, 20
11/03/15, 16.85, 16.85, 16.85, 16.85, 0
11/02/15, 17.11, 17.11, 17.11, 17.11, 0
10/30/15, 17.86, 17.86, 17.86, 17.86, 0
10/29/15, 18.94, 18.94, 18.94, 18.94, 0
10/28/15, 18.92, 18.92, 18.92, 18.92, 0
10/27/15, 18.95, 18.95, 18.95, 18.95, 0
10/26/15, 19.25, 19.25, 19.25, 19.25, 0
10/23/15, 19.03, 19.03, 19.03, 19.03, 0
10/22/15, 18.70, 18.70, 18.70, 18.70, 0
10/21/15, 18.63, 18.63, 18.63, 18.63, 0
10/20/15, 18.36, 18.36, 18.36, 18.36, 0
10/19/15, 18.42, 18.42, 18.42, 18.42, 0
10/16/15, 18.54, 18.54, 18.54, 18.54, 0
10/15/15, 18.27, 18.27, 18.27, 18.27, 0
10/14/15, 17.64, 17.64, 17.64, 17.64, 0
10/13/15, 18.09, 18.09, 18.09, 18.09, 0
10/12/15, 17.62, 17.62, 17.62, 17.62, 0
10/09/15, 17.87, 17.87, 17.87, 17.87, 0
10/08/15, 16.97, 16.97, 16.97, 16.97, 0
10/07/15, 17.14, 17.14, 17.14, 17.14, 0
10/06/15, 17.44, 17.44, 17.44, 17.44, 0
10/05/15, 17.25, 17.25, 17.25, 17.25, 0
10/02/15, 17.24, 17.24, 17.24, 17.24, 0
10/01/15, 17.31, 17.31, 17.31, 17.31, 0
09/30/15, 16.76, 17.10, 16.76, 17.10, 20
09/29/15, 16.34, 16.34, 16.34, 16.34, 0
09/28/15, 17.28, 17.28, 17.28, 17.28, 0
09/25/15, 17.25, 17.25, 17.25, 17.25, 0
09/24/15, 17.03, 17.03, 17.03, 17.03, 0
09/23/15, 17.26, 17.26, 17.26, 17.26, 0
09/22/15, 17.42, 17.42, 17.42, 17.42, 0
09/21/15, 17.32, 17.32, 17.32, 17.32, 0
09/18/15, 17.47, 17.47, 17.47, 17.47, 0
09/17/15, 17.63, 17.63, 17.63, 17.63, 0
09/16/15, 17.40, 17.40, 17.40, 17.40, 0
09/15/15, 17.36, 17.36, 17.36, 17.36, 0
09/14/15, 17.33, 17.33, 17.33, 17.33, 0
09/11/15, 17.41, 17.41, 17.41, 17.41, 0
09/10/15, 17.17, 17.17, 17.17, 17.17, 0
09/09/15, 17.52, 17.92, 17.52, 17.92, 15
09/08/15, 16.10, 16.10, 16.10, 16.10, 0
09/07/15, 16.87, 16.87, 16.87, 16.87, 0
09/04/15, 16.62, 16.62, 16.61, 16.61, 10
09/03/15, 16.47, 16.47, 16.47, 16.47, 0
09/02/15, 16.78, 16.78, 16.78, 16.78, 0
09/01/15, 16.39, 16.39, 16.39, 16.39, 0
