Date, Open, High, Low, Close, Volume
03/31/16, 2605, 2650, 2515, 2605, 641101
03/30/16, 2615, 2645, 2560, 2605, 741204
03/29/16, 2490, 2590, 2460, 2580, 819553
03/28/16, 2485, 2530, 2410, 2450, 396352
03/25/16, 2515, 2530, 2475, 2495, 316961
03/24/16, 2435, 2545, 2420, 2515, 603450
03/23/16, 2490, 2545, 2440, 2455, 744053
03/22/16, 2450, 2475, 2405, 2475, 471929
03/21/16, 2470, 2475, 2380, 2430, 410844
03/18/16, 2320, 2460, 2310, 2430, 727013
03/17/16, 2320, 2355, 2305, 2305, 196400
03/16/16, 2335, 2355, 2305, 2325, 142581
03/15/16, 2390, 2410, 2315, 2320, 184084
03/14/16, 2430, 2430, 2345, 2350, 217629
03/11/16, 2425, 2425, 2370, 2400, 203075
03/10/16, 2405, 2435, 2380, 2400, 269356
03/09/16, 2280, 2460, 2260, 2425, 969621
03/08/16, 2355, 2360, 2300, 2305, 246468
03/07/16, 2330, 2355, 2300, 2350, 264545
03/04/16, 2295, 2320, 2255, 2305, 235500
03/03/16, 2290, 2320, 2275, 2290, 257137
03/02/16, 2330, 2345, 2280, 2280, 228210
02/29/16, 2355, 2380, 2265, 2300, 447803
02/26/16, 2355, 2390, 2305, 2335, 340226
02/25/16, 2420, 2515, 2345, 2355, 890945
02/24/16, 2385, 2600, 2340, 2425, 2411363
02/23/16, 2260, 2330, 2210, 2320, 325547
02/22/16, 2325, 2350, 2260, 2260, 161638
02/19/16, 2320, 2335, 2275, 2320, 232487
02/18/16, 2250, 2315, 2235, 2315, 345331
02/17/16, 2335, 2350, 2240, 2240, 296041
02/16/16, 2360, 2390, 2300, 2330, 216377
02/15/16, 2290, 2380, 2265, 2335, 460533
02/12/16, 2185, 2290, 2140, 2260, 410768
02/11/16, 2215, 2235, 2175, 2185, 124378
02/05/16, 2245, 2280, 2205, 2235, 148151
02/04/16, 2160, 2300, 2160, 2240, 198173
02/03/16, 2205, 2250, 2155, 2160, 330103
02/02/16, 2340, 2350, 2200, 2220, 353876
02/01/16, 2345, 2350, 2285, 2320, 177138
01/29/16, 2260, 2330, 2240, 2330, 396517
01/28/16, 2300, 2305, 2260, 2270, 176072
01/27/16, 2165, 2315, 2150, 2285, 712807
