Date, Open, High, Low, Close, Volume
03/31/16, 11.41, 11.46, 11.16, 11.36, 40228132
03/30/16, 11.32, 11.49, 11.24, 11.43, 34154574
03/29/16, 11.29, 11.52, 11.08, 11.14, 35635344
03/28/16, 11.41, 11.72, 11.19, 11.30, 50556721
03/25/16, 11.32, 11.39, 11.18, 11.35, 29940929
03/24/16, 11.55, 11.56, 11.25, 11.31, 63658076
03/23/16, 11.70, 12.05, 11.65, 11.92, 63229636
03/22/16, 11.89, 12.10, 11.70, 11.80, 66091561
03/21/16, 11.66, 12.29, 11.45, 12.14, 95183337
03/18/16, 11.40, 12.08, 11.40, 11.74, 78771094
03/17/16, 11.10, 11.31, 10.96, 11.19, 62011820
03/16/16, 11.14, 11.34, 10.67, 10.89, 42155216
03/15/16, 11.20, 11.27, 10.97, 11.15, 46965621
03/14/16, 11.03, 11.72, 10.88, 11.46, 80266117
03/11/16, 10.88, 11.26, 10.80, 11.14, 58509785
03/10/16, 11.47, 11.54, 10.75, 10.88, 67056243
03/09/16, 11.52, 11.64, 11.17, 11.39, 81840972
03/08/16, 12.40, 12.68, 11.99, 12.33, 112103572
03/07/16, 12.45, 12.93, 12.16, 12.51, 129859410
03/04/16, 11.95, 12.14, 11.33, 11.75, 113467401
03/03/16, 11.85, 12.35, 11.64, 11.70, 138807740
03/02/16, 10.31, 11.30, 10.27, 11.30, 86621028
03/01/16, 9.80, 10.48, 9.75, 10.27, 59104568
02/29/16, 10.40, 10.45, 9.37, 9.82, 53866127
02/26/16, 10.19, 10.49, 10.03, 10.40, 56403753
02/25/16, 11.19, 11.42, 10.07, 10.14, 85097649
02/24/16, 10.80, 11.49, 10.74, 11.19, 68323393
02/23/16, 10.91, 11.18, 10.68, 10.96, 59613874
02/22/16, 10.75, 11.19, 10.69, 10.87, 66982947
02/19/16, 10.50, 10.75, 10.42, 10.59, 38564076
02/18/16, 11.00, 11.14, 10.59, 10.63, 55418427
02/17/16, 10.60, 10.86, 10.48, 10.80, 50661669
02/16/16, 10.52, 10.91, 10.41, 10.81, 63041920
02/15/16, 10.10, 10.99, 10.02, 10.68, 61990042
02/05/16, 10.78, 10.87, 10.15, 10.21, 69641920
02/04/16, 10.01, 10.58, 9.99, 10.58, 52828401
02/03/16, 9.44, 9.66, 9.28, 9.62, 31748334
02/02/16, 9.34, 9.64, 9.29, 9.60, 29198342
