Date, Open, High, Low, Close, Volume
03/31/16, 21.48, 21.70, 20.90, 21.10, 11455284
03/30/16, 20.30, 21.60, 20.21, 21.49, 13999495
03/29/16, 20.64, 20.80, 19.88, 20.01, 10909123
03/28/16, 20.59, 21.30, 20.47, 20.94, 14641380
03/25/16, 20.50, 20.99, 20.00, 20.47, 13029578
03/24/16, 20.94, 21.19, 20.52, 20.82, 12744642
03/23/16, 21.50, 21.96, 20.89, 21.54, 17023399
03/22/16, 21.68, 23.38, 21.15, 21.98, 17027314
03/21/16, 21.00, 22.53, 20.96, 22.13, 20063918
03/18/16, 18.62, 20.55, 18.62, 20.55, 11161550
03/17/16, 18.05, 18.87, 17.95, 18.68, 12190542
03/16/16, 17.89, 18.47, 17.62, 17.74, 6909293
03/15/16, 18.46, 18.46, 17.81, 17.99, 8182952
03/14/16, 18.45, 19.20, 17.92, 18.65, 13043355
03/11/16, 17.70, 18.48, 17.42, 18.05, 9276147
03/10/16, 17.88, 18.97, 17.68, 18.11, 14853286
03/09/16, 18.21, 18.46, 17.40, 17.70, 13007004
03/08/16, 19.78, 19.79, 18.50, 19.23, 14535080
03/07/16, 19.60, 20.50, 18.72, 19.98, 24740542
03/04/16, 17.25, 19.00, 17.25, 19.00, 25813884
03/03/16, 17.70, 18.40, 17.13, 17.27, 17072637
03/02/16, 15.86, 17.02, 15.77, 16.97, 14128390
03/01/16, 14.13, 15.53, 14.12, 15.53, 10141942
02/29/16, 15.40, 15.51, 14.02, 14.12, 5959483
02/26/16, 16.00, 16.27, 14.95, 15.58, 6278979
02/25/16, 17.65, 17.94, 15.91, 15.91, 7657251
02/24/16, 17.64, 17.94, 17.30, 17.68, 6914237
02/23/16, 17.46, 18.18, 17.25, 18.08, 10175171
02/22/16, 17.35, 17.75, 17.15, 17.32, 7708221
02/19/16, 17.01, 17.36, 16.86, 17.09, 5761970
02/18/16, 17.20, 18.21, 16.90, 17.25, 9094029
02/17/16, 16.97, 17.16, 16.52, 17.09, 6293652
02/16/16, 16.51, 17.30, 16.33, 17.17, 8466989
02/15/16, 15.30, 17.50, 15.30, 16.77, 8013749
02/05/16, 17.33, 17.65, 16.25, 16.30, 12742305
02/04/16, 15.88, 17.16, 15.68, 17.16, 14332618
02/03/16, 15.02, 15.88, 14.83, 15.60, 7607734
02/02/16, 14.50, 15.14, 14.30, 15.03, 4427315
02/01/16, 15.11, 15.22, 14.16, 14.44, 4886675
01/29/16, 14.80, 15.55, 14.21, 15.43, 5743498
01/28/16, 14.79, 15.70, 14.49, 14.80, 5750066
01/27/16, 15.51, 15.76, 14.11, 14.98, 6124039
01/26/16, 17.20, 17.22, 15.63, 15.63, 4152164
01/25/16, 17.23, 17.66, 17.12, 17.37, 3018741
01/22/16, 17.84, 17.89, 16.42, 17.08, 4513289
01/21/16, 18.82, 18.97, 17.32, 17.33, 5774783
01/20/16, 20.12, 20.20, 19.18, 19.23, 5230808
01/19/16, 19.01, 20.46, 19.01, 20.20, 5935325
01/18/16, 18.57, 19.98, 18.57, 19.60, 7956982
01/15/16, 21.90, 22.16, 20.20, 20.63, 4096034
01/14/16, 20.04, 21.98, 19.52, 21.90, 4321759
01/13/16, 21.20, 22.42, 20.70, 21.08, 4957680
01/12/16, 20.50, 21.37, 19.90, 20.71, 3412307
01/11/16, 21.52, 22.68, 19.99, 20.63, 4256100
01/08/16, 22.01, 22.80, 19.39, 22.11, 5493730
01/07/16, 23.16, 23.54, 21.32, 21.32, 941697
01/06/16, 22.11, 24.00, 22.11, 23.69, 5060225
01/05/16, 21.24, 24.20, 21.24, 22.18, 5953625
01/04/16, 26.16, 26.21, 23.54, 23.60, 3654316
12/31/15, 26.71, 27.12, 26.10, 26.16, 2825504
12/30/15, 26.84, 27.21, 26.49, 26.71, 2599720
12/29/15, 25.76, 27.32, 25.75, 26.80, 4911776
12/28/15, 27.90, 28.07, 26.07, 26.13, 5319080
12/25/15, 27.95, 28.18, 27.60, 27.73, 3209972
12/24/15, 28.70, 28.80, 27.30, 27.92, 4775187
12/23/15, 29.50, 29.77, 28.67, 28.72, 4909111
12/22/15, 28.85, 29.68, 28.70, 29.32, 4400487
12/21/15, 28.90, 29.30, 28.43, 28.81, 4910034
12/18/15, 29.40, 30.00, 28.80, 28.98, 7292937
12/17/15, 29.57, 30.30, 29.30, 29.79, 8787371
12/16/15, 29.20, 30.92, 28.88, 29.41, 9425263
12/15/15, 28.60, 29.90, 28.00, 29.32, 8507236
12/14/15, 27.00, 29.50, 27.00, 28.81, 10003818
12/11/15, 26.77, 28.04, 26.65, 27.46, 6026315
12/10/15, 28.30, 28.30, 26.52, 27.00, 6531401
12/09/15, 27.20, 29.30, 26.80, 27.91, 8460940
12/08/15, 28.60, 28.63, 27.49, 27.68, 12144417
12/07/15, 27.00, 29.51, 27.00, 29.06, 14510880
12/04/15, 26.39, 27.28, 26.12, 26.83, 6649603
12/03/15, 26.04, 27.30, 25.98, 26.40, 6852158
12/02/15, 26.80, 27.44, 24.51, 26.07, 8765812
12/01/15, 28.75, 29.99, 26.00, 27.20, 13958070
11/30/15, 28.00, 29.30, 26.13, 28.68, 15389084
11/27/15, 28.86, 31.10, 26.99, 27.71, 18683394
11/26/15, 29.00, 31.60, 28.00, 29.65, 20068732
11/25/15, 26.22, 29.25, 26.12, 29.25, 18853281
11/24/15, 25.50, 27.60, 24.21, 26.59, 16369732
11/23/15, 26.50, 27.70, 25.01, 25.45, 23568170
11/20/15, 23.70, 25.26, 23.50, 25.26, 17992980
11/19/15, 20.72, 22.96, 20.72, 22.96, 11922408
11/18/15, 21.69, 21.98, 20.71, 20.87, 6565669
11/17/15, 21.77, 22.30, 21.40, 21.69, 8053240
11/16/15, 20.88, 21.90, 20.68, 21.66, 6953407
11/13/15, 22.75, 22.98, 21.30, 21.48, 14289816
11/12/15, 22.62, 24.22, 22.49, 23.37, 16429130
11/11/15, 22.67, 23.19, 22.40, 22.62, 13630182
11/10/15, 22.00, 24.13, 21.04, 23.17, 27462403
11/09/15, 21.84, 22.87, 20.88, 22.24, 32260228
11/06/15, 18.91, 20.79, 18.80, 20.79, 9737999
11/05/15, 18.50, 19.73, 18.49, 18.90, 14069021
11/04/15, 17.35, 18.70, 17.35, 18.68, 8986580
11/03/15, 17.48, 17.89, 17.01, 17.63, 6054577
11/02/15, 17.30, 17.99, 17.00, 17.16, 6003624
10/30/15, 17.87, 18.20, 17.38, 17.76, 4891546
10/29/15, 18.20, 18.65, 17.50, 18.08, 7658914
10/28/15, 18.25, 19.13, 17.80, 18.04, 8596091
10/27/15, 18.94, 19.21, 17.60, 18.75, 10430174
10/26/15, 18.90, 20.00, 18.11, 19.16, 16600091
10/23/15, 17.64, 19.26, 17.10, 18.92, 18010396
10/22/15, 16.40, 17.98, 15.94, 17.81, 14126484
10/21/15, 18.21, 18.27, 16.49, 16.49, 11021241
10/20/15, 17.99, 18.36, 17.50, 18.32, 12491099
10/19/15, 18.09, 18.15, 17.49, 17.94, 11365454
10/16/15, 18.21, 18.66, 17.60, 18.13, 10861841
10/15/15, 17.56, 18.29, 17.56, 18.26, 10572555
10/14/15, 17.92, 19.20, 17.55, 17.64, 15202650
10/13/15, 17.20, 18.65, 16.88, 18.44, 19283590
