Date, Open, High, Low, Close, Volume
03/31/16, 21.24, 22.78, 21.13, 21.29, 16081948
03/30/16, 23.19, 24.14, 21.30, 21.47, 16356084
03/29/16, 21.37, 22.11, 20.87, 21.96, 12846074
03/28/16, 23.42, 23.85, 22.54, 23.50, 7280899
03/24/16, 21.87, 24.08, 21.57, 23.78, 13253200
03/23/16, 25.88, 26.22, 24.03, 24.21, 15510621
03/22/16, 26.55, 28.42, 26.34, 27.55, 11513851
03/21/16, 27.26, 28.19, 26.23, 27.95, 14712176
03/18/16, 28.96, 29.64, 26.76, 27.10, 22791381
03/17/16, 26.41, 28.03, 25.80, 27.60, 19283040
03/16/16, 23.17, 25.12, 23.17, 24.95, 16638447
03/15/16, 21.99, 22.04, 20.98, 21.74, 14493321
03/14/16, 23.05, 23.39, 22.17, 23.06, 15832456
03/11/16, 25.55, 26.10, 24.50, 25.30, 12511459
03/10/16, 23.60, 24.90, 23.00, 24.20, 14364722.7
03/09/16, 23.20, 25.40, 22.90, 24.90, 18048750.4
03/08/16, 24.35, 24.40, 21.60, 21.60, 17875356.1
03/07/16, 22.00, 25.20, 22.00, 24.90, 19576657.1
03/04/16, 19.60, 21.80, 18.90, 21.70, 17145285.6
03/03/16, 18.55, 20.30, 18.40, 19.20, 12519371.1
03/02/16, 17.80, 20.00, 17.40, 19.50, 15076953.8
03/01/16, 17.80, 19.40, 17.20, 18.70, 14011981.1
02/29/16, 17.05, 18.10, 16.60, 17.80, 12874098.4
02/26/16, 18.60, 18.80, 16.10, 16.50, 21464075.3
02/25/16, 15.10, 17.30, 13.90, 16.70, 15998746.5
02/24/16, 13.40, 15.80, 13.20, 15.60, 16737507.8
02/23/16, 16.60, 16.60, 14.70, 15.10, 14961290.4
02/22/16, 17.45, 18.00, 17.10, 17.40, 12613319.9
02/19/16, 15.50, 15.80, 14.50, 15.60, 10349625.2
02/18/16, 18.40, 18.60, 16.10, 16.20, 17157170.5
02/17/16, 15.10, 17.60, 14.90, 16.90, 21594414.8
02/16/16, 15.50, 15.60, 13.70, 14.50, 24120942.9
02/12/16, 14.00, 15.60, 13.30, 14.53, 34729357.1
02/11/16, 12.50, 13.40, 11.70, 13.23, 27171781.9
02/10/16, 13.20, 15.30, 12.90, 13.10, 30378127
02/09/16, 16.10, 17.00, 13.60, 14.20, 30069235
02/08/16, 17.80, 18.08, 16.40, 17.00, 13533961.5
