Date, Open, High, Low, Close, Volume
03/31/16, 5.09, 5.25, 5.08, 5.12, 1628500
03/30/16, 5.27, 5.36, 5.09, 5.12, 1653315
03/29/16, 5.09, 5.17, 5.05, 5.17, 1808379
03/28/16, 5.28, 5.31, 5.19, 5.27, 1138390
03/24/16, 5.16, 5.33, 5.13, 5.30, 3289580
03/23/16, 5.55, 5.57, 5.36, 5.36, 2426743
03/22/16, 5.60, 5.72, 5.56, 5.66, 2415440
03/21/16, 5.63, 5.69, 5.56, 5.69, 3205420
03/18/16, 5.76, 5.85, 5.62, 5.66, 2977860
03/17/16, 5.58, 5.70, 5.57, 5.64, 3733550
03/16/16, 5.38, 5.52, 5.38, 5.46, 2736064
03/15/16, 5.30, 5.31, 5.20, 5.25, 2708439
03/14/16, 5.31, 5.43, 5.26, 5.40, 3809067
03/11/16, 5.51, 5.58, 5.41, 5.48, 3933426
03/10/16, 5.39, 5.44, 5.27, 5.40, 1822624
03/09/16, 5.41, 5.52, 5.36, 5.43, 3936970
03/08/16, 5.39, 5.39, 5.19, 5.27, 4456193
03/07/16, 5.22, 5.51, 5.22, 5.44, 6412722
03/04/16, 5.04, 5.18, 4.98, 5.17, 3946391
03/03/16, 4.90, 5.07, 4.88, 4.97, 2688349
03/02/16, 4.85, 5.01, 4.83, 4.98, 3780259
03/01/16, 4.82, 4.98, 4.76, 4.91, 2293693
02/29/16, 4.83, 4.86, 4.73, 4.82, 2461231
02/26/16, 4.95, 4.96, 4.66, 4.74, 3994732
02/25/16, 4.72, 4.88, 4.58, 4.81, 1811870
02/24/16, 4.48, 4.81, 4.45, 4.77, 4475676
02/23/16, 4.71, 4.71, 4.57, 4.62, 3041395
02/22/16, 4.81, 4.85, 4.75, 4.79, 1823465
02/19/16, 4.53, 4.65, 4.53, 4.63, 2901417
02/18/16, 4.97, 4.99, 4.61, 4.69, 3776063
02/17/16, 4.60, 4.85, 4.53, 4.84, 4750841
02/16/16, 4.73, 4.73, 4.50, 4.60, 2821334
02/12/16, 4.59, 4.66, 4.49, 4.54, 2922351
02/11/16, 4.40, 4.55, 4.30, 4.48, 4961501
02/10/16, 4.42, 4.62, 4.40, 4.47, 3275586
02/09/16, 4.64, 4.69, 4.44, 4.51, 4898879
02/08/16, 4.69, 4.79, 4.61, 4.71, 3320444
02/05/16, 4.82, 4.94, 4.73, 4.81, 2984422
02/04/16, 5.14, 5.20, 4.83, 4.89, 3157388
02/03/16, 4.80, 5.05, 4.65, 4.98, 6134595
02/02/16, 4.64, 4.75, 4.55, 4.64, 3923263
02/01/16, 4.93, 4.97, 4.80, 4.86, 3445132
