Date, Open, High, Low, Close, Volume
03/31/16, 17560, 17570, 17290, 17290, 7498
03/30/16, 17620, 17620, 17410, 17410, 1698
03/29/16, 17510, 17680, 17510, 17630, 19186
03/28/16, 17550, 17580, 17390, 17510, 4725
03/25/16, 17350, 17410, 17340, 17400, 3270
03/24/16, 17380, 17430, 17270, 17290, 907
03/23/16, 17480, 17540, 17380, 17400, 4668
03/22/16, 17390, 17500, 17270, 17430, 8584
03/18/16, 17300, 17310, 17020, 17130, 6094
03/17/16, 17500, 17660, 17250, 17330, 6816
03/16/16, 17410, 17500, 17360, 17400, 4366
03/15/16, 17640, 17660, 17480, 17550, 1847
03/14/16, 17590, 17720, 17560, 17640, 10315
03/11/16, 17100, 17400, 16990, 17360, 6443
03/10/16, 17250, 17280, 17130, 17240, 32706
03/09/16, 17040, 17100, 16910, 17040, 3313
03/08/16, 17310, 17330, 16980, 17190, 47976
03/07/16, 17450, 17450, 17310, 17340, 4424
03/04/16, 17340, 17460, 17310, 17410, 4949
03/03/16, 17080, 17380, 17080, 17380, 2290
03/02/16, 16930, 17210, 16880, 17160, 5638
03/01/16, 16400, 16480, 16250, 16460, 2117
02/29/16, 16740, 16850, 16440, 16440, 2741
02/26/16, 16720, 16860, 16600, 16610, 8205
02/25/16, 16360, 16600, 16360, 16550, 2041
02/24/16, 16220, 16360, 16120, 16290, 9085
02/23/16, 16600, 16730, 16390, 16430, 14107
02/22/16, 16220, 16580, 16200, 16470, 5240
02/19/16, 16370, 16400, 16200, 16370, 12857
02/18/16, 16670, 16710, 16560, 16580, 10165
02/17/16, 16340, 16600, 16000, 16220, 8464
02/16/16, 16240, 16720, 16220, 16440, 10808
02/15/16, 15720, 16540, 15720, 16400, 14238
02/12/16, 15570, 15640, 15240, 15320, 24352
02/10/16, 16510, 16550, 15810, 16070, 22134
02/09/16, 16760, 16770, 16420, 16500, 15071
02/08/16, 16970, 17490, 16950, 17400, 6770
02/05/16, 17200, 17270, 17030, 17240, 8683
02/04/16, 17540, 17690, 17450, 17550, 3566
02/03/16, 17960, 17980, 17600, 17730, 9735
02/02/16, 18210, 18410, 18200, 18310, 6459
02/01/16, 18370, 18430, 18260, 18410, 9478
01/29/16, 17630, 18830, 17260, 18080, 20439
01/28/16, 17570, 17760, 17490, 17580, 1095
01/27/16, 17560, 17760, 17470, 17650, 7733
01/26/16, 17310, 17320, 17160, 17210, 1036
01/25/16, 17690, 17730, 17440, 17610, 12221
01/22/16, 17070, 17500, 16980, 17450, 9154
01/21/16, 16970, 17230, 16500, 16520, 16705
01/20/16, 17550, 17550, 16870, 16900, 31148
01/19/16, 17420, 17600, 17310, 17560, 14783
01/18/16, 17290, 17530, 17170, 17480, 8811
01/15/16, 18070, 18130, 17580, 17670, 2555
01/14/16, 17740, 17780, 17450, 17740, 62737
01/13/16, 18010, 18260, 18010, 18260, 7754
01/12/16, 17960, 18050, 17720, 17770, 13826
01/08/16, 18140, 19130, 18070, 18260, 12561
01/07/16, 18680, 18710, 18310, 18330, 30071
01/06/16, 18940, 19010, 18600, 18750, 11150
01/05/16, 18950, 19100, 18890, 18930, 4806
01/04/16, 19400, 19500, 18950, 19010, 18069
12/30/15, 19650, 19680, 19580, 19600, 7347
12/29/15, 19410, 19540, 19340, 19530, 6595
12/28/15, 19420, 19480, 19330, 19450, 1911
12/25/15, 19360, 19400, 19280, 19280, 2596
12/24/15, 19630, 19630, 19320, 19320, 10319
12/22/15, 19470, 19470, 19380, 19430, 8285
12/21/15, 19420, 19520, 19180, 19490, 16629
12/18/15, 19890, 20470, 19530, 19550, 22715
12/17/15, 19980, 20060, 19910, 19920, 7069
12/16/15, 19480, 19610, 19420, 19610, 23710
12/15/15, 19410, 19440, 19100, 19130, 16000
12/14/15, 19310, 19460, 19130, 19460, 6664
12/11/15, 19600, 19830, 19570, 19770, 1026
12/10/15, 19620, 19680, 19570, 19580, 8820
12/09/15, 19960, 20020, 19820, 19870, 5379
12/08/15, 20290, 20320, 20030, 20060, 15257
12/07/15, 20280, 20380, 20250, 20280, 3515
12/04/15, 20150, 20200, 20000, 20050, 17109
12/03/15, 20450, 20530, 20430, 20530, 2927
12/02/15, 20510, 20550, 20490, 20550, 802
12/01/15, 20400, 20550, 20400, 20550, 3525
11/30/15, 20430, 20430, 20300, 20320, 2583
11/27/15, 20570, 20570, 20410, 20430, 14021
11/26/15, 20520, 20560, 20500, 20510, 655
11/25/15, 20440, 20450, 20360, 20410, 1955
11/24/15, 20470, 20520, 20410, 20490, 2882
11/20/15, 20390, 20420, 20300, 20420, 4792
11/19/15, 20450, 20530, 20330, 20420, 9266
11/18/15, 20360, 20410, 20210, 20220, 3177
11/17/15, 20220, 20290, 20200, 20200, 8836
11/16/15, 19830, 20010, 19790, 19950, 4357
11/13/15, 20090, 20160, 19960, 20140, 5238
11/12/15, 20210, 20290, 20180, 20270, 9189
11/11/15, 20140, 20280, 20140, 20270, 4823
11/10/15, 19990, 20230, 19990, 20210, 9394
11/09/15, 19990, 20240, 19990, 20190, 9854
11/06/15, 19740, 19850, 19720, 19810, 1805
11/05/15, 19580, 19720, 19550, 19670, 5267
11/04/15, 19620, 19700, 19480, 19480, 12742
11/02/15, 19370, 19380, 19200, 19240, 5393
10/30/15, 19480, 19750, 19340, 19630, 8135
