PHLX Gold-Silver Index,ETFS Metal Securities Australia Ltd. ETFS Physical Gold,Hafslund ASA Series B,Korea Cast Iron Pipe Industry Co. Ltd,Dow Jones Europe Developed Markets Select Real Estate Securities Total Return Gross Index USD,Dow Jones Brookfield Global Infrastructure Composite Yield Total Return Index AUD,Rheon Automatic Machinery Co. Ltd,Latrobe Magnesium Ltd,STOXX Europe Total Market Growth Small Net Return Index USD,Dow Jones Brookfield Europe Infrastructure Total Return Index USD,Gulf Manganese Corp. Ltd,China Molybdenum Co. Ltd. A,Iridium Communications Inc. 6.75% Perp. Pfd. Conv. Series B,Shenzhen Silver Basis Technology Co. Ltd. A,Gold Price 2
46.18,142.44,59.0,11450.0,7174.83,3233.98,813.0,0.007,4326.25,4819.91,0.015,3.94,310.0,33.11,1077.0
48.46,148.5,58.25,12000.0,6988.51,3138.33,798.0,0.008,4219.71,4792.92,0.014,3.9,280.911,40.06,1106.35
42.85,146.0,57.5,11600.0,6897.43,3105.71,760.0,0.01,4158.8,4764.33,0.014,4.1,281.2,48.01,1085.4
41.52,150.66,58.0,12050.0,6799.41,3125.38,759.0,0.008,4054.15,4704.25,0.015,4.02,282.0,47.53,1088.4
38.84,148.5,57.0,11600.0,6623.06,3038.78,733.0,0.008,3994.1,4678.17,0.014,3.9,282.0,39.59,1086.25
40.62,152.0,56.5,10300.0,6491.64,3015.54,676.0,0.008,3887.06,4595.42,0.013,3.69,266.0,36.54,1096.5
44.44,149.4,56.5,10600.0,6767.94,3139.53,750.0,0.008,4065.75,4738.4,0.013,3.4,266.7,33.59,1113.6
44.71,151.38,56.5,10850.0,6725.03,3156.57,757.0,0.008,4043.46,4795.62,0.012,3.06,266.7,30.34,1114.0
46.25,151.5,56.5,11100.0,6796.74,3191.25,746.0,0.009,4065.27,4897.76,0.013,3.17,273.0,33.26,1128.5
52.62,151.28,59.25,11300.0,6898.87,3170.78,746.0,0.008,4082.27,4936.89,0.012,3.36,270.01,36.72,1156.35
54.34,161.58,59.25,11050.0,6509.1,3040.73,585.0,0.009,3826.09,4722.47,0.012,3.27,256.0,34.6,1191.0
58.76,163.0,59.5,10150.0,6448.87,2988.16,575.0,0.007,3818.51,4652.61,0.01,3.27,254.292,34.6,1241.0
57.24,159.0,60.5,10250.0,6578.64,3099.57,575.0,0.008,3933.13,4738.5,0.01,3.45,271.85,35.25,1209.5
61.55,161.01,61.0,10300.0,6721.96,3166.13,609.0,0.008,4099.57,4783.5,0.01,3.59,271.85,37.96,1210.1
62.39,160.53,61.25,11150.0,6584.65,3125.32,601.0,0.008,4077.49,4741.97,0.012,3.62,293.05,40.58,1221.35
63.53,163.51,61.5,11200.0,6540.35,3161.75,594.0,0.009,4070.03,4741.78,0.008,3.26,264.25,34.88,1236.0
61.61,166.18,62.0,11050.0,6617.16,3196.49,581.0,0.008,4161.66,4742.87,0.009,3.33,267.21,31.48,1236.5
66.89,161.55,62.0,11350.0,6730.32,3162.93,607.0,0.009,4176.85,4726.95,0.008,3.56,267.21,32.5,1250.25
65.88,161.97,65.0,11400.0,6687.33,3125.46,617.0,0.008,4180.15,4748.15,0.008,3.62,279.597,30.48,1267.0
69.28,159.25,65.0,11550.0,6747.88,3132.27,648.0,0.008,4180.69,4806.78,0.008,3.38,279.597,29.59,1266.5
66.75,156.42,65.25,10900.0,6987.99,3144.16,693.0,0.01,4255.57,4878.67,0.005,3.38,284.47,31.46,1232.0
70.92,159.05,64.5,11100.0,7207.53,3189.4,703.0,0.01,4347.19,5017.52,0.004,3.4,284.47,32.0,1266.5
71.32,156.14,65.0,11100.0,7094.41,3168.16,720.0,0.01,4335.4,4972.37,0.004,3.5,288.0,35.75,1252.5
67.48,154.68,65.5,10800.0,7052.73,3172.42,717.0,0.011,4287.46,4963.35,0.004,3.47,288.0,34.35,1221.0
70.75,153.79,65.5,11400.0,7052.73,3158.87,703.0,0.011,4310.6,4963.35,0.004,3.45,277.97,32.79,1226.0
69.51,153.1,66.0,11350.0,7244.09,3192.27,686.0,0.011,4440.36,5080.62,0.003,3.58,293.15,35.66,1237.0
